step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side
100000,1.29,9,0,0,0,1,0,1.00,24,0.000,2978,0.00,31.19,0.18,551,2,1,0,1.00,1.00,1.00,1,1,1,37.8,6.045,1,1.288,0.599,7
100000,61.23,43,12,8,0,15,2,4.07,0,0.131,2978,0.00,212.75,51.15,484,1,0,2,5.14,1.71,4.71,6,7,7,26.5,123.218,35,1.303,0.400,7
100000,49.51,43,12,1,0,13,1,4.92,4,0.020,2977,6.79,280.20,108.48,484,1,0,1,5.14,2.86,6.20,3,7,7,25.8,119.124,26,1.303,0.400,7
100000,9.86,13,0,0,0,7,0,1.00,16,0.000,2959,0.00,103.86,3.13,24,0,0,0,1.00,1.00,1.00,2,2,6,22.2,20.308,7,1.409,0.644,8
100000,49.51,43,12,0,0,14,0,5.12,4,0.000,2951,0.00,49.62,86.86,484,1,0,0,5.14,3.57,6.20,4,5,7,28.6,0.000,26,1.303,0.400,7
100000,62.29,49,24,0,0,2,0,11.14,6,0.000,2940,0.00,5.85,4.88,484,2,2,0,10.29,8.43,14.25,6,4,7,38.3,0.000,26,1.246,0.471,7
100000,28.32,40,11,0,0,0,0,8.25,16,0.000,2913,0.00,103.03,1.73,24,0,0,0,11.00,11.00,6.60,3,5,3,20.1,0.000,11,1.287,0.436,8
100000,4.21,8,0,0,0,3,0,1.00,24,0.000,2891,0.00,115.01,10.50,24,0,0,0,1.00,1.00,1.00,1,1,3,15.4,7.121,3,1.404,0.657,8
100000,50.81,43,13,0,0,13,0,5.64,6,0.000,2891,0.00,152.10,50.94,484,1,0,0,5.57,3.29,7.75,6,4,7,28.0,64.952,26,1.303,0.400,7
100000,46.90,43,12,0,0,12,0,5.27,6,0.000,2890,-0.00,209.63,103.78,484,1,0,0,5.14,2.86,7.50,2,4,7,31.0,32.286,24,1.303,0.400,7
100000,82.22,49,24,12,0,6,2,7.58,2,0.146,2889,0.00,169.07,59.85,484,1,1,2,10.29,1.00,9.83,6,6,7,35.6,59.877,42,1.246,0.471,7
100000,57.19,47,20,0,0,4,0,9.18,6,0.000,2870,0.00,84.18,55.11,484,2,1,0,8.57,5.71,12.75,6,4,7,41.9,10.588,24,1.300,0.502,7
100000,72.58,49,13,17,0,14,5,4.32,0,0.234,2865,0.00,29.32,118.58,484,0,0,5,5.57,1.71,5.00,6,7,7,25.5,0.000,44,1.273,0.411,7
100000,5.63,13,0,0,0,4,0,1.00,24,0.000,2847,0.33,84.79,8.89,24,0,0,0,1.00,1.00,1.00,2,2,2,20.6,3.489,4,1.409,0.644,8
100000,4.19,15,0,0,0,3,0,1.00,28,0.000,2834,0.00,113.19,1.28,24,0,1,0,1.00,1.00,1.00,1,1,3,19.2,1.982,3,1.397,0.581,9
100000,49.19,24,14,0,0,10,0,5.46,6,0.000,2830,0.00,123.99,7.13,484,0,0,0,5.25,3.50,7.20,6,5,8,16.3,35.757,24,1.295,0.449,8
100000,8.06,12,0,0,0,6,0,1.00,22,0.000,2820,0.00,98.18,42.20,24,0,1,0,1.00,1.00,1.00,2,1,6,24.7,13.490,6,1.343,0.622,9
100000,37.78,43,13,0,0,3,0,6.60,8,0.000,2809,0.00,157.24,19.10,484,0,0,0,5.57,4.71,10.00,3,3,7,7.3,154.873,16,1.303,0.400,7
100000,100.41,47,26,13,0,5,3,7.96,0,0.129,2774,0.00,23.88,27.70,484,2,2,3,11.14,3.00,8.86,9,7,7,57.1,0.023,44,1.434,0.387,7
100000,87.21,49,24,16,0,6,3,7.50,0,0.183,2747,0.00,91.03,167.82,484,0,2,3,10.29,2.57,8.57,6,7,7,22.3,0.010,46,1.246,0.471,7
100000,10.09,13,0,0,0,7,0,1.00,20,0.000,2710,-0.00,78.12,4.07,24,1,0,0,1.00,1.00,1.00,1,2,4,34.5,12.548,7,1.441,0.649,8
100000,25.31,27,0,0,0,19,0,1.00,4,0.000,2707,0.00,162.15,146.16,24,2,0,0,1.00,1.00,1.00,5,8,7,53.6,87.195,19,1.332,0.564,8
