step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,415,44.6,2.2,5.6,4.1,31.8,0.0,1.39,3.5,151,1090,80.37,29.33,157,138,120,0.1,1.29,1.67,1.30,5.77,6.90,6.77,30.8,1.009,0.526,7.68
5000,16,158,43.7,4.0,2.4,5.9,26.0,0.0,1.55,7.7,71,767,62.65,15.56,103,39,16,0.0,1.83,1.29,1.54,6.22,9.25,6.42,21.2,1.102,0.610,9.73
5000,72,134,26.7,2.1,0.0,2.9,18.2,0.0,1.60,10.3,48,628,29.27,6.32,0,14,120,0.0,1.28,1.68,1.73,4.08,5.05,5.74,48.7,1.140,0.309,7.91
5000,9,108,24.9,0.3,1.1,4.0,21.4,0.0,1.05,5.2,46,643,44.77,17.02,13,37,58,0.0,1.07,1.00,1.06,4.27,6.42,5.63,34.6,0.995,0.662,7.32
5000,23,66,18.4,2.8,0.0,0.0,18.3,0.0,1.78,6.7,26,942,53.73,24.35,44,22,0,0.0,2.18,1.48,1.82,4.05,6.65,5.05,22.5,0.770,0.550,7.53
5000,7,63,42.0,0.2,3.9,18.8,22.5,0.0,1.02,0.2,37,1304,111.43,27.31,13,39,11,0.0,1.05,1.00,1.02,5.98,6.97,7.00,31.0,1.167,0.397,7.03
5000,49,55,14.7,0.2,2.1,0.0,16.4,0.0,1.03,14.7,27,605,27.50,5.90,22,31,2,0.0,1.00,1.08,1.02,3.95,6.55,5.00,26.5,0.785,0.564,9.42
5000,15,52,30.3,4.0,0.1,0.0,16.1,0.0,1.99,16.6,19,652,50.21,17.56,51,1,0,0.1,1.72,2.24,2.30,3.90,6.48,4.60,11.0,1.238,0.441,9.67
5000,112,46,11.8,1.1,0.0,4.0,10.6,0.0,1.51,16.1,17,852,39.45,4.23,9,37,0,0.0,1.73,1.71,1.43,3.48,5.00,5.02,28.9,0.818,0.659,8.63
5000,92,42,20.9,1.3,0.7,2.0,17.7,0.1,1.25,11.5,20,1560,50.04,14.84,0,34,8,0.1,1.36,1.23,1.21,4.38,5.21,5.14,34.2,0.933,0.387,8.05
5000,18,36,58.2,10.1,10.1,1.2,23.0,0.3,3.32,0.6,23,1624,120.77,34.89,6,16,14,0.4,4.14,2.87,3.13,5.33,7.58,7.50,36.5,1.089,0.540,7.69
5000,64,35,35.8,0.7,2.8,0.3,25.0,0.1,1.19,0.1,18,1467,101.43,42.21,0,8,27,0.1,1.26,1.02,1.24,4.37,5.51,5.46,39.6,1.210,0.470,5.51
5000,74,30,55.9,9.4,2.1,26.7,46.3,0.0,2.34,0.5,16,1455,92.71,13.55,2,10,18,0.0,3.61,1.92,1.92,9.50,9.03,9.27,37.1,0.695,0.390,9.27
5000,43,27,30.0,0.0,13.3,0.0,16.6,0.0,1.00,4.7,18,1906,59.93,34.66,24,3,0,0.0,1.00,1.00,1.00,4.30,5.41,7.15,19.2,1.001,0.677,7.41
5000,35,26,54.9,5.6,5.0,17.5,31.6,0.0,1.93,0.4,16,1543,94.67,24.72,8,18,0,0.5,2.16,1.72,1.91,6.04,7.85,7.73,27.6,0.969,0.462,7.88
5000,5,26,30.6,0.0,1.8,3.0,27.8,0.0,1.00,4.2,21,1321,149.37,52.29,23,3,0,0.0,1.00,1.00,1.00,5.81,6.88,7.15,23.4,1.001,0.547,7.92
