step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2982,3.91,135.74,106.94,863,0,1,0,1.00,1.00,1.00,4,4,4,4.7,56.192,16,2.000,0.988,4
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2980,0.00,133.81,65.07,863,0,1,0,1.00,1.00,1.00,4,4,4,5.7,65.272,16,2.000,0.975,4
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,2979,0.00,109.78,140.42,794,1,0,0,1.00,1.00,1.00,2,4,4,26.6,31.561,12,2.000,0.979,4
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2978,0.00,122.20,186.12,863,0,0,0,1.00,1.00,1.00,4,4,4,21.6,81.654,14,2.000,0.967,4
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2978,0.00,127.21,21.91,863,0,1,0,1.00,1.00,1.00,2,4,4,9.4,27.630,16,2.000,0.959,4
100000,32.00,16,0,0,0,16,0,1.00,0,0.000,2959,3.82,285.62,267.20,863,0,0,0,1.00,1.00,1.00,1,4,4,6.9,96.018,16,2.000,0.934,4
100000,8.85,48,2,0,0,7,0,2.00,12,0.000,2953,2.49,217.40,63.30,523,0,0,0,1.50,2.00,2.25,4,4,4,7.6,30.781,9,0.804,0.470,7
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2939,0.00,102.45,58.61,863,0,0,0,1.00,1.00,1.00,2,4,4,23.3,27.829,15,2.000,0.952,4
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2938,1.37,108.34,183.48,863,2,0,0,1.00,1.00,1.00,2,4,4,45.2,52.827,15,2.000,0.980,4
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2934,3.84,116.99,179.33,863,2,1,0,1.00,1.00,1.00,2,4,4,37.9,55.268,14,2.000,0.983,4
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2920,3.29,105.91,98.09,863,0,2,0,1.00,1.00,1.00,1,4,4,15.6,42.724,16,2.000,0.958,4
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2890,0.00,62.43,212.60,863,0,0,0,1.00,1.00,1.00,2,4,4,25.0,7.515,16,2.000,0.983,4
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2888,4.06,85.83,167.60,863,1,0,0,1.00,1.00,1.00,1,4,4,29.5,24.703,14,2.000,0.957,4
100000,26.00,16,0,11,0,2,0,1.00,0,0.423,2847,0.00,67.47,171.68,863,0,1,0,1.00,1.00,1.00,2,4,4,19.8,36.126,13,2.000,0.978,4
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,2843,2.77,155.88,176.98,863,0,2,0,1.00,1.00,1.00,1,4,4,25.5,135.787,15,2.000,0.988,4
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2804,0.00,90.71,101.78,863,1,1,0,1.00,1.00,1.00,2,4,4,35.0,48.294,15,2.000,0.984,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2759,0.00,101.30,164.43,863,0,0,0,1.00,1.00,1.00,2,4,4,8.2,49.272,16,2.000,0.982,4
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,2755,0.00,68.74,90.14,863,0,0,0,1.00,1.00,1.00,4,4,4,1.3,11.680,15,2.000,0.988,4
100000,32.00,16,0,2,0,14,0,1.00,0,0.062,2754,0.00,107.60,34.50,794,0,0,0,1.00,1.00,1.00,2,4,4,22.7,44.715,16,2.000,0.984,4
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,2741,0.00,74.34,56.87,863,2,0,0,1.00,1.00,1.00,2,4,4,52.3,8.128,16,2.000,0.982,4
