step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,2048,0.673,0.688,8.11,32072,24962,3544,269,2679,39728,1087777.4,337616.1,0.328,0.332,0.167,0.172,80,27.53,18.74,1.70,4.96,2.70,6.49,2.71,5.97,19.95,14.14,0.04,0.38,0.080,0.175,982,0.018,0.068,0.917,0.000,0.015,180426,174699,31,0.537,0.123,0.299,5776472,0.276,2.820,0.056,3.57,52939,423,8.498,0.472,0.177,8356218,1.40,7.62,0.126,0.160,0.016,6.2,23.6,51.6,145.6,55437,0.211,0.00,0.0027,0.035,516,0.961,0.000,0.632,0.823,4.42,5.92,5.66,0.10,0.040,1.41,1.41,1.40,0.962,0.00026,2.27,60.7991,2312.52,88671.7,140185.7,12.338,104.8056,176.594,0.000,1.000,0.097,65.7,79.718,245.017,790,3676.5,55.49,26.815,7.41,172.087,4991.5,95.497,0.134,2.00,18.3966,37676.2,0.8221,0.4878,27.07,1.009,0.166,1.5345,0.0000,0.508,0.110,0.537,0.0000,7.63,1.12,7,24,49,100,77.0296,2.1622,0.7212,0.0000,0.0000,61.1466,100.00,58.0393,425.0831,0.0,0.0000,0.0000
20000,2952,0.654,0.396,5.87,27729,22420,1514,770,2121,37334,369142.0,95998.6,0.194,0.471,0.119,0.215,175,17.57,11.26,0.40,2.41,4.19,7.63,0.09,1.49,10.43,8.88,0.00,0.02,0.186,0.328,856,0.115,0.117,0.862,0.001,0.020,60302,57277,4,0.729,0.052,0.012,1685811,0.261,2.018,0.030,8.67,16227,691,2.571,0.171,0.291,4274338,1.13,11.49,0.006,0.292,0.000,5.3,15.8,27.4,111.9,44612,0.170,0.00,0.0012,0.085,750,0.669,0.000,0.741,0.552,3.64,4.22,5.51,0.01,0.005,1.11,1.18,1.13,0.671,0.00053,2.59,13.2402,1191.10,106963.7,140185.7,0.415,28.3209,67.487,0.000,1.000,0.200,58.7,32.662,65.558,278,1046.2,45.23,4.903,4.93,50.482,3967.5,28.132,0.133,2.00,8.0291,23701.8,0.8213,0.5684,15.11,1.132,0.094,0.4655,0.0000,0.484,0.088,0.577,0.0000,7.69,0.64,5,15,22,76,30.4370,0.6463,0.6264,0.0000,0.0000,14.1130,100.00,102.7743,255.2263,0.0,0.0000,0.0000
30000,3215,0.759,0.420,9.03,128189,106655,2225,4173,14873,144007,1127442.9,452468.6,0.123,0.472,0.113,0.292,143,21.32,19.10,1.33,3.82,3.28,6.95,0.08,1.33,10.75,7.32,0.16,0.62,0.075,0.154,1569,0.034,0.102,0.872,0.001,0.025,316554,292201,4,0.557,0.044,0.012,691132,0.271,2.161,0.032,9.67,88297,597,3.142,0.214,0.269,14601142,1.25,12.54,0.006,0.363,0.069,4.9,14.7,51.1,133.3,49667,0.189,0.00,0.0033,0.073,739,0.725,0.000,0.871,0.597,3.53,4.66,4.69,0.24,0.096,1.23,1.28,1.27,0.728,0.00094,7.63,56.9026,1894.83,92536.1,140185.7,32.603,62.7772,197.241,0.000,1.000,0.046,72.3,93.016,233.693,293,1136.5,38.93,7.679,4.37,147.568,3630.5,106.353,0.134,2.00,11.4738,36888.2,1.1487,0.7012,15.45,1.239,0.145,1.5345,0.0000,0.529,0.085,0.661,0.0000,7.75,0.93,4,12,34,107,85.2682,4.7255,0.6081,0.0000,0.0000,53.9410,100.00,72.8266,548.6194,0.0,0.0000,0.0000
40000,2861,0.793,0.351,11.66,40441,34072,1333,2425,2965,106459,438965.8,155739.8,0.190,0.517,0.110,0.183,202,19.17,14.57,0.92,2.97,3.11,6.26,0.27,1.49,9.05,5.85,0.09,0.47,0.090,0.171,1426,0.043,0.117,0.862,0.000,0.021,75982,66368,8,0.721,0.012,0.073,574744,0.214,1.981,0.027,10.03,27101,729,1.463,0.141,0.231,6725236,1.23,12.26,0.009,0.368,0.043,5.6,13.9,41.4,132.0,38188,0.146,0.00,0.0017,0.085,631,0.680,0.000,0.827,0.480,3.24,4.28,4.77,0.15,0.076,1.19,1.25,1.25,0.684,0.00084,3.07,14.4216,1107.34,97649.6,140185.7,0.592,21.7643,82.372,0.000,1.000,0.107,58.2,38.482,62.903,227,833.0,57.06,4.600,4.45,49.708,3460.1,34.055,0.135,2.00,11.6617,33364.2,1.2969,0.6750,13.35,1.336,0.179,0.4655,0.0000,0.556,0.073,0.777,0.0000,7.53,1.22,4,11,27,64,35.0041,1.0615,0.5526,0.0000,0.0000,12.8776,100.00,103.5375,272.7798,0.0,0.0000,0.0000
50000,3979,0.725,0.428,12.43,130134,105437,2202,9629,11748,303929,1088674.5,606549.4,0.227,0.492,0.130,0.152,118,13.93,13.88,0.84,3.11,1.80,3.36,0.15,1.38,5.76,5.51,0.02,0.25,0.129,0.174,1996,0.037,0.077,0.885,0.004,0.034,309361,274387,3,0.156,0.813,0.039,1815212,0.189,2.129,0.034,6.48,117093,579,1.996,0.207,0.297,18778145,1.29,12.13,0.012,0.482,0.012,3.1,9.1,30.2,135.9,34010,0.130,0.00,0.0047,0.082,958,0.801,0.000,0.886,0.581,2.50,3.94,3.19,0.09,0.041,1.23,1.35,1.31,0.808,0.00070,4.22,60.7418,1263.32,94536.0,140185.7,25.516,79.8021,199.318,0.000,1.000,0.057,79.3,86.604,240.877,358,1349.2,72.31,6.997,4.35,160.236,4109.3,107.716,0.135,2.00,8.6859,34561.3,1.6512,0.9318,8.55,1.527,0.285,1.5345,0.0000,0.502,0.074,0.481,0.0000,6.40,1.59,2,6,18,56,78.2524,5.5812,0.5496,0.0000,0.0000,54.9538,100.00,66.0601,525.5567,0.0,0.0000,0.0000
60000,2601,1.060,0.507,15.13,47752,40933,711,4776,2710,208290,432277.9,241666.2,0.216,0.542,0.106,0.136,195,20.90,12.87,0.49,2.04,3.81,4.41,0.06,0.89,8.10,6.50,0.02,0.22,0.153,0.164,1491,0.075,0.105,0.878,0.000,0.017,90092,77147,3,0.089,0.856,0.008,420124,0.176,2.369,0.040,8.28,37022,565,1.160,0.200,0.303,7213685,1.19,7.88,0.205,0.526,0.010,5.4,19.4,34.4,89.1,32376,0.124,0.00,0.0021,0.073,655,0.700,0.000,0.802,0.479,2.59,3.71,4.48,0.17,0.066,1.14,1.25,1.20,0.711,0.00102,1.84,16.3959,1904.83,101075.0,140185.7,0.119,25.4884,83.790,0.000,1.000,0.059,50.1,36.846,66.148,399,1563.6,58.64,5.267,4.40,53.404,4592.1,35.181,0.134,2.00,10.3473,26913.4,1.2912,0.7297,12.45,1.611,0.394,0.4655,0.0000,0.499,0.093,0.465,0.0000,6.00,2.18,4,12,21,58,33.0339,1.1655,0.5063,0.0000,0.0000,12.6333,100.00,103.9454,260.7924,0.0,0.0000,0.0000
70000,2581,0.901,0.803,19.99,92909,68975,1233,18234,4487,604492,1029243.2,879386.8,0.254,0.504,0.114,0.128,95,22.90,13.04,0.58,2.23,4.56,4.69,0.04,0.76,6.86,6.13,0.02,0.23,0.182,0.172,1498,0.026,0.068,0.923,0.000,0.009,308455,274395,17,0.299,0.468,0.005,319338,0.244,3.296,0.063,4.56,152284,527,1.455,0.236,0.352,17567714,1.25,5.52,0.288,0.580,0.014,6.0,24.0,32.0,127.3,31101,0.119,0.00,0.0058,0.074,658,0.873,0.000,0.750,0.700,2.19,3.57,4.08,0.11,0.056,1.17,1.30,1.27,0.886,0.00121,1.64,77.5658,2910.44,96587.4,140185.7,7.734,121.7877,176.333,0.000,1.000,0.017,56.1,66.400,248.297,769,3626.0,102.61,9.658,3.86,184.078,6344.5,103.374,0.134,2.00,10.4135,26877.3,1.2921,0.8821,12.05,1.810,0.341,1.5345,0.0000,0.577,0.148,0.737,0.0000,5.16,1.95,4,13,16,81,60.3154,2.9702,0.5897,0.0000,0.0000,53.3976,100.00,64.7711,432.8080,0.0,0.0000,0.0000
80000,2645,1.146,0.516,20.46,42815,31840,763,8747,1401,312927,392222.3,287660.8,0.175,0.573,0.138,0.114,154,19.31,12.68,0.46,2.55,3.46,4.36,0.07,0.89,7.35,6.01,0.01,0.10,0.146,0.172,1405,0.075,0.090,0.887,0.000,0.022,89968,74757,2,0.237,0.608,0.018,273343,0.212,2.315,0.040,7.27,46889,391,0.919,0.283,0.367,6643824,1.19,8.46,0.232,0.561,0.004,4.3,17.0,32.0,130.8,30026,0.115,0.00,0.0020,0.074,663,0.707,0.000,0.667,0.533,2.38,3.36,4.39,0.02,0.014,1.13,1.24,1.19,0.722,0.00112,1.33,18.8999,2264.26,107788.6,140185.7,0.009,32.1420,73.993,0.000,1.000,0.095,50.8,30.736,68.511,333,1301.4,42.01,5.704,3.75,54.488,4603.8,31.910,0.135,2.00,7.4996,19836.4,1.1121,0.6152,11.35,1.620,0.424,0.4655,0.0000,0.734,0.154,0.982,0.0000,5.91,2.12,3,12,16,68,27.1679,0.6136,0.4291,0.0000,0.0000,13.1776,100.00,104.9320,220.3007,0.0,0.0000,0.0000
90000,3087,0.968,0.536,25.25,114671,85485,844,22430,5470,726229,1092643.9,1002242.2,0.085,0.678,0.130,0.107,67,20.44,12.41,0.49,2.38,3.88,4.44,0.06,1.13,7.17,5.34,0.02,0.25,0.141,0.156,1364,0.063,0.080,0.900,0.000,0.020,367182,302937,6,0.366,0.329,0.009,589498,0.268,2.624,0.040,4.99,197570,477,1.380,0.212,0.349,24109947,1.20,8.28,0.303,0.471,0.011,4.0,22.9,32.0,131.5,35822,0.137,0.00,0.0049,0.097,720,0.857,0.000,0.762,0.689,2.29,3.40,4.11,0.04,0.026,1.15,1.26,1.20,0.869,0.00157,2.13,87.1544,2564.87,85789.0,140185.7,12.758,113.5411,184.385,0.000,1.000,0.000,67.2,68.455,246.666,343,1442.9,73.16,8.619,3.61,179.205,4542.1,108.486,0.135,2.00,13.3769,41294.6,1.5999,0.7955,11.60,1.639,0.442,1.5345,0.0000,0.818,0.200,0.983,0.0000,5.77,2.20,3,13,16,59,60.3250,3.2784,0.5296,0.0000,0.0000,52.3178,100.00,66.7620,456.0584,0.0,0.0000,0.0000
100000,2606,1.164,0.436,24.26,46935,37982,739,6878,1817,256438,439299.1,253726.0,0.086,0.710,0.117,0.086,148,22.13,11.92,0.41,2.40,4.24,4.71,0.14,1.45,8.58,6.08,0.01,0.17,0.146,0.162,1074,0.144,0.116,0.867,0.000,0.017,91441,71708,6,0.518,0.030,0.020,321152,0.215,2.179,0.035,8.96,49028,441,0.989,0.231,0.292,8931052,1.14,7.32,0.383,0.408,0.003,4.7,26.0,32.0,86.5,34830,0.133,0.00,0.0020,0.100,610,0.710,0.000,0.749,0.499,2.46,3.58,4.66,0.02,0.012,1.10,1.18,1.16,0.719,0.00133,1.64,18.4441,1871.20,96843.7,140185.7,0.058,26.1865,84.168,0.000,1.000,0.024,54.4,36.891,65.889,288,1100.4,79.87,6.484,3.77,53.013,3836.4,35.170,0.136,2.00,12.2626,31956.3,1.2153,0.5921,13.37,1.579,0.476,0.4655,0.0000,0.787,0.200,0.943,0.0000,5.89,2.17,4,16,17,64,32.6376,0.7744,0.4578,0.0000,0.0000,12.5994,100.00,103.3694,248.0821,0.0,0.0000,0.0000
