step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,821,26.49,2.52,3.53,3.77,14.75,0.07,1.55,0.035,0.232,365052.8,107760.2,10,42,4.42,1.30,1.75,19.7817,601.48,27483.3,2.7516,1.1563,5462,25.0543,375,63.6717,316986.0,138.87,4.9594,0.0,0.0000
10000,1,791,31.09,3.33,5.12,2.38,16.76,0.12,1.75,0.039,0.249,394704.0,130287.1,10,28,4.57,1.44,2.05,23.1536,577.45,26429.7,5.1123,1.3350,5461,25.0497,398,68.7454,345671.5,96.71,12.5903,0.0,0.0000
10000,2,437,41.01,2.14,3.92,1.11,29.58,0.03,1.48,0.016,0.184,276950.8,77061.1,11,38,5.28,1.30,1.66,13.8666,556.51,37746.5,1.4066,1.0934,5461,25.0497,464,53.7979,229506.9,64.42,31.3603,0.0,0.0000
20000,0,530,39.01,1.01,1.28,3.04,36.05,0.03,1.20,0.008,0.251,113640.0,27284.6,4,37,5.53,1.22,1.20,4.2462,706.66,27142.7,0.0438,1.4331,5462,6.5861,257,32.0433,99039.6,138.87,1.9752,0.0,0.0000
20000,1,436,40.69,0.59,2.19,2.94,39.49,0.02,1.15,0.007,0.225,72181.1,18107.4,2,29,5.75,1.15,1.17,2.8095,783.12,36174.7,0.0200,0.9310,5461,6.5849,225,17.7502,62157.5,96.71,3.0123,0.0,0.0000
20000,2,277,45.31,0.03,0.91,1.25,47.12,0.00,1.01,0.000,0.157,48806.8,10001.6,2,35,6.12,1.01,1.00,1.8310,451.50,39202.3,0.0000,0.7454,5461,6.5849,216,11.9712,39928.5,64.42,6.9506,0.0,0.0000
30000,0,722,33.86,0.65,9.05,0.46,10.76,0.00,1.25,0.000,0.173,302898.3,187009.8,1,76,4.01,1.21,1.29,18.5746,202.33,30989.0,1.1353,1.4812,5462,20.5083,452,64.1766,292258.3,138.87,4.2039,0.0,0.0000
30000,1,788,33.41,0.79,10.08,0.39,9.90,0.01,1.27,0.008,0.189,357971.6,234036.1,1,72,4.13,1.31,1.26,22.6049,413.97,30439.8,2.7611,1.5443,5461,20.5046,433,74.9265,349153.3,96.71,11.6209,0.0,0.0000
30000,2,501,34.16,1.34,8.23,0.45,12.01,0.02,1.39,0.012,0.128,225446.1,141913.1,1,79,4.27,1.35,1.38,13.3664,94.52,42685.6,0.4887,1.5216,5461,20.5046,531,55.0970,213748.9,64.42,30.3063,0.0,0.0000
40000,0,877,32.84,1.06,7.04,0.32,13.67,0.01,1.32,0.005,0.223,148902.7,62056.7,6,56,4.09,1.27,1.34,5.6168,679.38,22846.2,0.1517,1.9662,5462,7.0258,277,31.8524,129080.8,138.87,1.8526,0.0,0.0000
