step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,2729,0.8666,46839.0,638,911,943,875,19,21,16,16406,16227,19720,0,0,0
2000,2317,0.9223,41754.9,1592,760,816,741,17,20,15,22287,19737,25941,0,0,0
3000,2273,0.9155,63233.3,2537,726,808,739,14,21,14,16955,10814,18240,0,0,0
4000,1942,0.6679,41285.5,563,671,781,490,13,18,5,26385,20262,25107,0,0,0
5000,1941,0.6806,46108.0,921,753,772,416,13,18,11,21951,16993,28238,0,0,0
6000,1872,0.7740,50892.8,1446,738,701,433,13,18,18,17756,14873,30278,0,0,0
7000,2096,0.6622,44765.6,880,734,832,530,13,23,22,18995,18375,33174,0,0,0
8000,2151,0.6941,51451.7,945,784,816,551,21,17,31,19559,17975,31169,0,0,0
9000,2317,0.7199,44429.7,998,929,838,550,32,37,35,22854,20936,32654,0,0,0
10000,2049,0.8106,30459.7,1138,821,791,437,42,28,38,27483,26430,37747,0,0,0
11000,1793,0.8388,21197.1,1305,748,728,317,38,26,37,30460,30565,41579,0,0,0
12000,1236,0.8827,10596.6,1353,532,452,252,33,18,20,34412,36435,44125,0,0,0
13000,696,0.9310,5034.0,1565,353,222,121,10,12,16,35822,40504,45638,0,0,0
14000,408,0.8922,2267.0,1469,265,87,56,6,6,15,36625,42926,45932,0,0,0
15000,208,0.9567,1013.6,1433,163,37,8,2,6,2,37412,44012,45272,0,0,0
16000,151,0.9272,1109.5,1848,139,10,2,2,4,0,37729,43905,43919,0,0,0
17000,186,0.7419,1791.8,833,172,12,2,2,6,2,37404,43464,42689,0,0,0
18000,252,0.5794,3272.2,560,164,61,27,5,13,10,35539,42451,41530,0,0,0
19000,766,0.6110,11283.0,527,405,197,164,15,22,33,31980,41491,41950,0,0,0
20000,1243,0.5559,25586.0,560,530,436,277,37,29,35,27143,36175,39202,0,0,0
21000,1702,0.5881,40347.4,680,712,618,372,51,44,33,21806,28496,34552,0,0,0
22000,3311,0.5708,35637.7,479,1264,1165,882,105,82,90,23501,26662,34299,0,0,0
23000,3828,0.6970,31157.7,582,1235,1534,1059,114,108,133,25711,26757,34939,0,0,0
24000,3937,0.6777,32402.2,633,1274,1515,1148,111,96,113,25768,24569,33188,0,0,0
25000,3223,0.5948,22144.0,473,1015,1303,905,108,106,89,30121,25723,34330,0,0,0
26000,3074,0.6923,26639.6,643,936,1328,810,95,92,110,30145,22701,34211,0,0,0
27000,3600,0.6894,36137.7,797,1321,1505,774,103,92,97,25222,19673,34650,0,0,0
28000,3143,0.7442,30876.7,1038,1200,1337,606,86,94,82,24747,22365,37778,0,0,0
29000,2672,0.7268,21418.0,763,947,1140,585,87,79,70,28484,26746,41742,0,0,0
30000,2011,0.7539,16728.4,799,722,788,501,76,72,79,30989,30440,42686,0,0,0
31000,1685,0.8320,10084.5,1021,692,560,433,61,59,90,33102,35891,43955,0,0,0
32000,1259,0.8451,7638.5,1212,612,396,251,50,58,57,34070,38642,45327,0,0,0
33000,1049,0.8008,8601.1,1298,580,315,154,29,57,48,32216,40814,46941,0,0,0
34000,565,0.8283,3653.4,1276,342,165,58,15,48,35,32677,44012,49227,0,0,0
35000,376,0.7793,2951.9,1051,299,67,10,9,27,8,33025,45223,48849,0,0,0
36000,360,0.6667,3541.0,989,306,47,7,7,26,7,32444,45613,48476,0,0,0
37000,382,0.7068,3682.5,813,314,58,10,7,32,10,30821,45668,48470,0,0,0
38000,654,0.5657,7035.0,642,512,112,30,10,40,20,27219,44477,48288,0,0,0
39000,1394,0.5237,12642.7,412,724,469,201,35,72,51,23736,41222,49432,0,0,0
40000,2107,0.6122,17826.6,483,877,637,593,56,69,113,22846,37170,47616,0,0,0
41000,2804,0.6469,30359.3,695,1062,1009,733,66,55,107,21569,30326,41574,0,0,0
42000,3244,0.6039,41081.2,791,1081,1223,940,82,56,114,19367,23202,35965,0,0,0
43000,3981,0.5571,38393.4,585,1299,1468,1214,90,55,119,21638,22539,34809,0,0,0
44000,4077,0.5992,40833.9,586,1261,1586,1230,99,73,96,23634,20511,33339,0,0,0
45000,4327,0.6344,50261.2,766,1378,1643,1306,86,81,97,22961,18988,27560,0,0,0
46000,4437,0.5849,53051.1,711,1509,1559,1369,73,86,71,20368,17998,27401,0,0,0
47000,4016,0.6053,51052.4,717,1401,1516,1099,100,69,93,20748,18845,30718,0,0,0
48000,3839,0.6119,48288.1,711,1436,1338,1065,83,68,91,21347,21365,31377,0,0,0
49000,3683,0.6459,42372.7,731,1321,1324,1038,78,68,110,23904,25020,33127,0,0,0
50000,3263,0.6758,39932.2,865,1112,1240,911,57,69,75,26705,26880,32939,0,0,0
51000,2754,0.6580,31274.0,871,1060,929,765,57,69,73,29445,30671,37554,0,0,0
52000,1777,0.7012,17007.0,867,834,501,442,47,49,60,33986,37418,41552,0,0,0
53000,1139,0.8349,9601.9,1154,592,311,236,25,57,43,34190,42579,45025,0,0,0
54000,721,0.7906,5147.7,1296,504,122,95,20,27,20,34487,45457,46904,0,0,0
55000,402,0.7886,3197.4,1191,336,61,5,9,27,3,34357,47138,47861,0,0,0
56000,378,0.7725,3842.1,1141,346,31,1,5,21,1,33356,47452,47533,0,0,0
57000,690,0.5290,7837.5,698,603,83,4,13,37,4,29587,46960,47689,0,0,0
58000,1024,0.5889,12295.5,558,623,302,99,32,95,47,24981,44730,48941,0,0,0
59000,1881,0.5502,21940.7,561,801,709,371,45,102,74,20235,39783,48791,0,0,0
60000,2657,0.5480,30952.7,573,1049,934,674,86,86,114,18855,33303,45538,0,0,0
61000,3399,0.5260,36317.8,510,1233,1144,1022,73,87,114,21095,29390,39683,0,0,0
62000,3664,0.5674,46789.3,634,1253,1340,1071,81,66,67,20611,23678,33488,0,0,0
63000,3969,0.5417,39702.7,526,1387,1521,1061,114,56,69,22573,24300,31731,0,0,0
64000,4178,0.5208,32267.9,388,1474,1425,1279,71,73,90,25525,25219,32635,0,0,0
65000,4529,0.5187,31901.3,363,1405,1783,1341,109,117,130,28616,24645,31521,0,0,0
66000,4355,0.5685,32345.5,408,1466,1544,1345,103,85,96,30522,25058,29286,0,0,0
67000,4056,0.5212,25557.8,377,1562,1569,925,83,105,101,30795,26117,31857,0,0,0
68000,3990,0.6306,30499.5,537,1481,1428,1081,87,89,110,28818,26173,33936,0,0,0
69000,3768,0.6529,41668.6,780,1533,1296,939,59,80,96,23264,25207,34264,0,0,0
70000,3557,0.5921,39818.3,788,1435,1282,840,61,83,94,22700,25063,37173,0,0,0
71000,2511,0.6890,21476.7,700,1030,894,587,50,58,49,28105,33327,43950,0,0,0
72000,1657,0.7664,13844.6,933,734,546,377,29,53,58,29798,38146,47085,0,0,0
73000,1081,0.8298,9830.0,1396,467,362,252,29,56,44,30228,40771,48682,0,0,0
74000,580,0.8121,4894.3,1350,333,152,95,14,31,20,32416,43332,49591,0,0,0
75000,406,0.7463,4679.0,1148,323,76,7,4,25,3,32420,44766,49581,0,0,0
76000,573,0.6265,7695.7,753,521,49,3,3,32,3,28717,45857,50146,0,0,0
77000,587,0.5792,11060.9,820,477,86,24,3,59,23,23663,45797,51093,0,0,0
78000,1050,0.5810,17816.3,681,656,255,139,12,76,62,19173,42954,51094,0,0,0
79000,2000,0.5110,21137.2,480,943,688,369,52,83,84,18846,38481,50685,0,0,0
80000,2868,0.5523,25392.2,465,1080,1032,756,77,69,91,18600,34690,47990,0,0,0
81000,3188,0.5176,27791.3,445,1185,1193,810,75,77,72,19815,31719,44205,0,0,0
82000,3707,0.4659,31474.8,423,1187,1415,1105,71,96,123,21106,27938,39428,0,0,0
83000,4121,0.4863,34246.9,380,1370,1534,1217,80,71,92,21405,25470,37321,0,0,0
84000,4156,0.4935,43812.0,465,1399,1533,1224,68,86,126,20422,22105,33260,0,0,0
85000,4115,0.4717,47148.1,521,1460,1464,1191,83,58,97,18833,20128,31029,0,0,0
86000,4275,0.4683,43278.9,447,1502,1644,1129,86,84,76,20560,23123,31213,0,0,0
87000,4133,0.4842,43583.7,502,1320,1553,1260,85,67,103,20845,22853,30400,0,0,0
88000,3648,0.5247,39585.0,535,1163,1473,1012,77,64,94,22786,25372,32942,0,0,0
89000,3311,0.5400,40375.4,558,1190,1232,889,58,79,78,23326,27179,33472,0,0,0
90000,2959,0.5759,39337.7,686,1064,1081,814,58,79,61,25752,27641,33860,0,0,0
91000,2554,0.5536,28361.8,631,930,836,788,68,55,90,29181,32432,37321,0,0,0
92000,1492,0.5550,11266.8,428,708,432,352,54,73,74,35836,40244,43624,0,0,0
93000,1035,0.6493,8818.3,582,591,282,162,34,75,55,35028,43163,45948,0,0,0
94000,784,0.7283,7261.6,912,494,197,93,19,70,41,32942,45372,48824,0,0,0
95000,584,0.6712,6155.0,930,460,103,21,12,47,13,31588,46821,50321,0,0,0
96000,586,0.5734,7595.3,793,505,66,15,7,35,14,28961,47298,50918,0,0,0
97000,809,0.5451,8057.8,537,616,141,52,19,66,41,26470,47016,51826,0,0,0
98000,1113,0.5040,10352.5,463,696,301,116,40,75,43,23884,45096,51650,0,0,0
99000,1885,0.4621,16094.1,394,782,600,503,70,88,111,21740,41203,50649,0,0,0
100000,2490,0.5104,27215.0,452,927,879,684,63,76,85,20304,35036,45898,0,0,0
