step,event,lineage,other,size
5000,birth,1,0,373
5000,birth,2,0,244
5000,birth,3,0,9
5000,birth,4,0,26
5000,birth,5,0,10
5000,birth,6,0,83
5000,birth,8,0,29
5000,birth,10,0,46
5000,birth,13,0,10
5000,birth,15,0,9
5000,birth,16,0,13
5000,birth,20,0,12
5000,birth,21,0,8
5000,birth,23,0,6
5000,birth,24,0,29
5000,birth,26,0,20
5000,birth,30,0,58
5000,birth,32,0,9
5000,birth,36,0,9
5000,birth,37,0,21
5000,birth,52,0,18
5000,birth,53,0,76
5000,birth,60,0,64
5000,birth,63,0,8
5000,birth,71,0,5
5000,birth,76,0,16
5000,birth,94,0,8
7000,birth,96,0,30
7000,merge,21,1,8
7000,extinct,32,0,6
7000,extinct,63,0,8
7000,extinct,71,0,5
8000,birth,97,0,20
8000,birth,99,0,45
8000,birth,100,0,44
8000,birth,102,0,41
8000,birth,105,0,11
8000,birth,106,0,28
8000,birth,107,0,12
8000,split,108,1,6
8000,birth,109,0,27
8000,birth,110,0,75
8000,split,113,1,9
8000,split,114,1,18
8000,birth,116,0,55
8000,extinct,15,0,6
9000,birth,17,0,9
9000,birth,95,0,21
9000,extinct,3,0,5
9000,extinct,4,0,5
9000,extinct,94,0,5
10000,birth,104,0,8
10000,extinct,13,0,10
10000,extinct,16,0,7
10000,extinct,26,0,7
10000,extinct,36,0,7
10000,extinct,108,0,8
10000,extinct,113,0,9
11000,birth,48,0,6
11000,split,122,26,11
11000,split,125,1,127
11000,extinct,17,0,9
11000,extinct,23,0,7
11000,extinct,96,0,16
11000,extinct,102,0,5
11000,extinct,105,0,5
12000,split,134,1,8
12000,extinct,52,0,5
12000,extinct,76,0,12
12000,extinct,95,0,21
12000,extinct,99,0,8
13000,extinct,5,0,26
13000,extinct,8,0,8
13000,extinct,53,0,21
13000,extinct,97,0,19
13000,extinct,104,0,5
13000,extinct,109,0,13
13000,extinct,114,0,7
14000,split,143,10,7
14000,extinct,1,0,117
14000,extinct,10,0,8
14000,extinct,24,0,5
14000,extinct,30,0,22
14000,extinct,48,0,6
14000,extinct,106,0,8
14000,extinct,122,0,7
15000,extinct,20,0,6
15000,extinct,37,0,15
15000,extinct,60,0,5
15000,extinct,100,0,18
15000,extinct,107,0,10
15000,extinct,116,0,13
15000,extinct,134,0,8
17000,extinct,6,0,13
17000,extinct,110,0,5
17000,extinct,125,0,8
18000,extinct,143,0,6
19000,split,156,2,810
26000,split,171,156,277
28000,split,199,156,29
28000,split,201,179,5
28000,split,202,179,53
29000,split,229,2,33
29000,split,232,156,18
29000,extinct,201,0,5
30000,split,258,156,9
