step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,883,35.28,1.80,7.66,1.88,16.23,0.02,1.46,0.011,0.278,428929.3,189167.4,10,106,4.60,1.35,1.55,32.0496,1129.77,29167.5,2.1202,1.2693,5462,19.6927,168,68.5173,377441.6,165.42,2.4989,0.0,0.0000,0.917,0.7635
10000,1,470,37.53,0.90,8.63,1.16,18.01,0.00,1.25,0.000,0.153,399935.1,207789.2,3,33,4.51,1.25,1.22,35.7686,1801.53,33262.1,2.1106,2.1626,5461,19.6891,251,71.1289,339323.7,81.35,19.6738,0.0,0.0000,0.615,0.2025
10000,2,396,30.49,0.62,3.73,1.90,18.23,0.00,1.18,0.000,0.113,248151.3,123338.1,2,54,4.28,1.20,1.18,21.4623,913.89,37591.7,0.8131,2.6824,5461,19.6891,233,42.2291,180567.4,53.21,34.7788,0.0,0.0000,0.305,0.0207
20000,0,1045,24.79,1.21,3.53,1.81,12.10,0.00,1.29,0.001,0.224,242487.5,101240.8,5,106,3.69,1.20,1.38,12.5527,1729.36,27767.1,0.2697,3.4938,5462,10.7037,87,31.8573,208962.3,165.42,0.9222,0.0,0.0000,0.899,0.7635
20000,1,808,22.60,0.75,2.36,1.27,13.48,0.00,1.18,0.001,0.163,114424.6,46712.9,2,100,3.60,1.13,1.23,5.9887,899.42,33828.2,0.0156,4.0580,5461,10.7017,58,11.7764,73369.3,81.35,4.1920,0.0,0.0000,0.563,0.2025
20000,2,438,23.80,0.73,1.80,1.26,15.16,0.00,1.18,0.000,0.096,70597.9,23532.2,2,100,3.84,1.14,1.23,3.4506,610.12,41374.5,0.0021,3.5544,5461,10.7017,81,5.8087,34831.5,53.21,8.1138,0.0,0.0000,0.380,0.0207
30000,0,1331,21.27,0.80,4.14,0.22,7.87,0.00,1.26,0.001,0.199,451739.5,311434.6,3,136,2.95,1.18,1.37,36.7833,1915.42,29957.9,5.0537,1.7101,5462,21.3811,92,68.4459,438805.4,165.42,2.6737,0.0,0.0000,0.914,0.7635
30000,1,832,21.56,0.49,4.23,0.31,8.62,0.00,1.16,0.000,0.130,448152.2,326441.1,2,105,3.03,1.10,1.21,44.3103,1163.45,31756.2,4.3289,2.8520,5461,21.3772,96,68.3484,423677.0,81.35,18.4950,0.0,0.0000,0.573,0.2025
30000,2,623,21.01,0.79,3.00,0.11,10.59,0.01,1.22,0.002,0.103,286588.2,193575.8,2,109,3.21,1.20,1.27,29.4228,1059.74,38358.9,1.1865,4.0999,5461,21.3772,119,38.5833,248127.8,53.21,32.1426,0.0,0.0000,0.392,0.0207
40000,0,1146,20.45,1.03,3.74,0.15,7.88,0.00,1.35,0.001,0.168,236844.1,147259.7,7,136,2.90,1.22,1.46,12.4253,1298.38,31956.7,0.0269,3.5004,5462,11.3487,128,31.9118,203994.4,165.42,0.8949,0.0,0.0000,0.920,0.7635
40000,1,736,19.68,0.67,2.97,0.19,9.88,0.00,1.21,0.000,0.115,117739.0,66921.7,5,83,3.05,1.12,1.29,5.7981,969.67,36248.4,0.0264,4.2179,5461,11.3467,114,11.6462,75975.2,81.35,4.1165,0.0,0.0000,0.653,0.2025
40000,2,603,19.61,0.47,3.15,0.29,10.26,0.00,1.14,0.000,0.098,77808.1,40823.7,4,101,3.17,1.05,1.21,4.0206,396.71,42623.7,0.0041,3.7817,5461,11.3467,101,6.1089,40444.8,53.21,7.8650,0.0,0.0000,0.439,0.0207
50000,0,1111,21.49,0.33,4.11,0.16,6.94,0.01,1.14,0.005,0.146,420308.1,414528.9,3,67,2.02,1.14,1.14,38.7360,1465.46,32137.6,1.1052,1.6283,5462,17.9293,179,73.9001,407774.5,165.42,2.8902,0.0,0.0000,0.874,0.7635
50000,1,831,20.36,0.25,3.94,0.17,7.28,0.00,1.11,0.000,0.111,389289.9,351935.2,4,121,2.02,1.12,1.17,38.4753,1411.25,34985.6,1.6637,2.2937,5461,17.9260,163,68.5977,369371.6,81.35,16.8621,0.0,0.0000,0.688,0.2025
50000,2,410,19.18,0.54,3.44,0.37,7.08,0.00,1.20,0.000,0.053,266266.6,207263.0,2,127,2.36,1.11,1.28,25.4066,677.50,37037.1,0.5475,3.4039,5461,17.9260,360,43.8421,235181.2,53.21,32.9202,0.0,0.0000,0.513,0.0207
60000,0,1093,21.13,0.38,3.82,0.29,8.93,0.00,1.12,0.001,0.168,242137.0,172736.3,4,101,2.58,1.11,1.20,12.2303,1439.26,30160.3,0.0610,3.8036,5462,11.0481,112,33.0351,205481.5,165.42,0.9989,0.0,0.0000,0.874,0.7635
60000,1,811,19.44,0.18,3.04,0.45,9.74,0.00,1.06,0.000,0.124,107578.5,66359.8,4,129,2.76,1.04,1.08,5.2325,1121.82,35167.4,0.0000,3.3474,5461,11.0460,117,11.8231,74256.3,81.35,3.9613,0.0,0.0000,0.573,0.2025
60000,2,590,18.30,0.15,1.73,0.34,11.66,0.00,1.05,0.000,0.094,71888.0,32763.2,3,148,3.08,1.04,1.07,2.8768,794.79,42891.6,0.0000,3.1448,5461,11.0460,108,6.7913,39845.2,53.21,7.9796,0.0,0.0000,0.342,0.0207
70000,0,1214,23.18,0.17,5.20,0.06,7.69,0.00,1.08,0.000,0.182,414486.8,340294.7,13,117,2.17,1.06,1.12,35.2498,1086.65,25038.4,3.2440,1.9644,5462,19.4504,168,67.0050,397714.4,165.42,3.3104,0.0,0.0000,0.890,0.7635
70000,1,873,21.31,0.24,4.51,0.25,7.63,0.00,1.07,0.001,0.126,441752.7,364957.7,12,128,2.19,1.03,1.11,44.8937,1418.72,31760.8,2.0692,2.3416,5461,19.4468,120,72.5193,422154.0,81.35,18.2649,0.0,0.0000,0.548,0.2025
70000,2,645,20.05,0.17,3.22,0.39,10.42,0.00,1.05,0.000,0.105,284342.5,218191.7,8,120,2.75,1.01,1.08,28.8360,681.39,38832.6,0.7026,3.4311,5461,19.4468,163,43.6864,252228.5,53.21,31.2026,0.0,0.0000,0.373,0.0207
80000,0,1280,21.27,0.31,4.36,0.15,8.09,0.00,1.10,0.001,0.189,235044.7,144364.5,7,160,2.45,1.09,1.14,10.4002,1014.24,28785.6,0.0296,3.9915,5462,11.7921,148,31.0713,196569.0,165.42,1.1139,0.0,0.0000,0.887,0.7635
80000,1,911,19.99,0.12,3.96,0.20,8.28,0.00,1.04,0.001,0.131,118189.4,67589.9,6,112,2.41,1.04,1.05,5.7754,1017.47,35277.4,0.0023,3.5923,5461,11.7899,99,12.6573,82468.1,81.35,4.2286,0.0,0.0000,0.645,0.2025
80000,2,553,19.64,0.26,3.45,0.19,9.54,0.00,1.08,0.000,0.086,77007.9,38992.1,5,160,2.78,1.03,1.11,3.7768,471.54,44044.2,0.0000,3.1710,5461,11.7899,145,7.1702,45716.6,53.21,7.8142,0.0,0.0000,0.477,0.0207
90000,0,1222,22.73,0.14,4.47,0.24,7.94,0.00,1.05,0.000,0.178,416688.3,320334.8,12,159,2.13,1.05,1.07,33.5384,1481.47,26879.7,3.4455,2.1416,5462,21.1959,120,65.6198,397428.5,165.42,3.3716,0.0,0.0000,0.859,0.7635
90000,1,939,22.00,0.17,3.72,0.31,8.67,0.00,1.05,0.000,0.139,462136.3,370397.6,11,108,2.15,1.05,1.08,45.5898,1862.35,32480.6,2.4876,2.5442,5461,21.1920,130,74.0381,439604.8,81.35,16.4516,0.0,0.0000,0.609,0.2025
90000,2,561,20.65,0.22,3.37,0.09,9.76,0.00,1.06,0.000,0.086,292518.8,234885.0,11,127,2.78,1.03,1.09,27.6490,825.10,34762.2,1.4636,3.5493,5461,21.1920,163,41.4011,259324.9,53.21,32.9581,0.0,0.0000,0.425,0.0207
