step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,553,36.4,0.8,3.9,1.8,30.6,0.0,1.15,4.3,209,913,79.80,34.80,259,153,141,0.1,1.18,1.16,1.14,5.71,7.15,6.78,26.8,0.990,0.519,7.93
5000,28,144,31.0,4.3,0.0,7.5,23.2,0.0,2.03,0.7,68,1011,62.41,19.84,12,19,113,0.0,1.70,2.52,1.96,4.88,6.28,6.42,47.8,0.877,0.327,6.52
5000,74,91,18.8,3.5,0.5,0.8,10.5,0.1,1.96,11.0,37,817,50.42,20.05,0,83,8,0.1,2.14,2.09,1.79,3.05,4.01,4.66,33.5,1.009,0.424,7.05
5000,3,63,14.0,0.1,0.0,5.6,14.3,0.0,1.11,12.4,33,767,52.79,20.18,0,20,43,0.0,1.11,1.11,1.11,3.24,4.67,4.51,39.6,0.806,0.477,7.68
5000,26,63,22.3,3.6,3.4,0.0,20.5,0.1,2.11,8.0,37,790,75.23,26.48,17,36,10,0.2,2.00,2.34,2.10,4.56,4.65,6.97,30.6,0.718,0.712,7.78
5000,15,61,31.7,0.4,0.0,4.9,23.5,0.0,1.08,3.8,28,1024,67.22,25.63,53,8,0,0.0,1.00,1.08,1.13,4.75,5.67,6.03,22.0,1.191,0.489,6.61
5000,2,53,49.9,1.8,2.4,12.8,31.6,0.0,1.47,0.0,26,1181,125.80,43.85,12,31,10,0.0,1.66,1.16,1.52,5.08,6.94,6.96,31.7,1.127,0.414,6.96
5000,40,36,20.1,6.3,0.0,3.7,5.4,0.0,2.81,4.6,15,837,25.96,1.81,0,9,27,0.0,3.56,2.08,2.85,4.53,6.50,6.25,38.5,0.991,0.472,6.89
5000,57,35,58.8,15.9,0.0,0.7,19.3,0.0,4.78,0.0,18,1609,80.53,13.80,2,29,4,0.0,1.00,7.81,5.16,4.43,6.14,6.14,33.3,1.141,0.611,6.14
5000,5,34,58.3,0.0,9.6,4.2,42.4,0.0,1.00,0.8,21,1126,134.07,47.27,22,12,0,0.0,1.00,1.00,1.00,7.38,8.41,8.03,20.9,1.085,0.564,8.41
5000,38,33,9.3,0.0,3.1,0.4,8.4,0.0,1.01,7.3,22,922,45.21,14.52,20,12,1,0.0,1.00,1.02,1.01,2.85,4.12,3.64,24.7,0.804,0.347,5.70
5000,23,32,67.6,2.0,18.7,0.0,36.3,0.0,1.33,1.1,26,1390,143.05,36.02,1,4,27,0.4,1.00,1.56,1.38,6.62,7.84,8.09,49.5,1.139,0.578,8.25
5000,83,32,49.9,0.9,3.9,0.0,36.5,0.0,1.14,2.1,19,1060,100.19,28.50,9,23,0,0.0,1.00,1.27,1.14,5.22,7.41,6.34,28.3,1.181,0.434,7.41
5000,72,24,27.3,0.4,0.2,15.1,20.7,0.0,1.01,1.5,10,1763,106.39,48.40,0,0,24,0.0,1.00,1.00,1.01,5.33,6.21,5.88,46.1,0.918,0.535,6.42
5000,36,20,22.0,0.0,2.0,18.0,20.0,0.0,1.00,0.0,6,1797,51.54,9.17,0,20,0,0.0,1.00,1.00,1.00,4.90,6.30,6.30,34.1,0.709,0.556,6.30
5000,24,17,62.0,6.2,6.9,0.0,46.8,0.7,2.15,0.2,13,1746,144.79,51.31,10,3,4,0.7,2.58,2.27,1.88,7.06,8.00,7.88,27.7,0.921,0.462,8.00
5000,4,15,40.5,0.0,0.5,5.8,28.6,0.0,1.00,0.3,6,1165,66.57,51.19,15,0,0,0.0,1.00,1.00,1.00,4.47,5.87,6.00,18.6,1.256,0.398,6.00
5000,73,13,52.8,11.2,0.1,0.0,16.2,0.0,4.68,13.7,7,1731,79.82,15.04,13,0,0,0.1,4.53,6.15,4.03,4.08,5.54,5.31,11.3,1.346,0.356,8.85
5000,46,13,49.2,0.0,0.0,0.0,52.5,0.0,1.00,0.0,4,1570,275.50,157.69,13,0,0,0.0,1.00,1.00,1.00,6.31,7.31,7.31,18.9,0.944,0.548,7.31
5000,12,12,40.8,0.0,13.4,0.0,21.2,0.0,1.00,0.2,9,1966,49.22,40.68,4,7,1,0.0,1.00,1.00,1.00,5.25,6.00,6.08,28.3,1.178,0.610,6.08
5000,32,12,83.9,20.2,0.0,0.0,32.1,0.0,4.13,0.0,4,1732,164.43,75.67,0,12,0,0.0,1.00,7.78,3.86,7.75,7.42,7.42,33.9,1.160,0.443,7.42
5000,33,12,34.4,0.0,0.5,0.0,28.2,0.0,1.00,0.0,5,871,67.62,50.36,0,11,1,0.0,1.00,1.00,1.00,4.17,5.33,5.33,35.4,1.206,0.527,5.33
5000,11,11,38.5,0.3,0.3,18.7,26.5,0.0,1.07,0.7,6,1297,83.24,9.72,0,0,11,0.0,1.00,1.08,1.10,5.64,7.09,7.00,43.4,1.048,0.453,7.18
5000,8,10,60.9,0.0,0.0,0.0,66.1,0.0,1.00,3.2,3,975,170.71,72.32,8,2,0,0.0,1.00,1.00,1.00,8.20,8.20,8.20,22.2,0.912,0.304,9.00
5000,70,9,56.4,5.1,6.4,21.2,31.2,0.0,1.73,0.0,5,1293,176.09,40.69,1,5,3,0.0,1.00,2.12,1.90,6.44,8.00,8.00,33.1,0.963,0.459,8.00
5000,78,9,51.3,5.7,0.0,0.4,39.7,0.0,1.99,1.3,7,1652,59.82,13.66,0,3,6,0.0,1.19,2.71,2.06,6.56,7.00,7.67,36.9,0.979,0.544,7.67
5000,14,9,10.6,0.0,0.0,0.0,9.7,0.0,1.00,13.3,3,1213,64.76,20.24,7,2,0,0.0,1.00,1.00,1.00,2.89,4.22,4.67,24.4,1.106,0.338,7.78
5000,21,9,27.5,0.0,0.0,11.0,24.2,0.0,1.00,0.2,4,1265,107.15,79.28,0,9,0,0.0,1.00,1.00,1.00,4.67,5.89,6.00,29.3,0.927,0.343,6.00
5000,37,7,41.7,0.0,16.1,0.0,28.6,0.0,1.00,0.0,7,1694,130.32,49.18,7,0,0,0.0,1.00,1.00,1.00,7.00,7.43,7.43,21.1,0.936,0.477,7.43
5000,98,7,50.1,4.0,6.9,0.0,28.1,0.0,2.42,1.7,5,1304,120.87,74.82,0,7,0,1.1,2.20,2.87,2.31,4.14,6.43,6.43,32.6,1.164,0.470,6.86
5000,16,6,7.0,0.0,0.0,0.0,6.0,0.0,1.00,11.0,3,1629,67.17,11.48,4,2,0,0.0,1.00,1.00,1.00,2.00,3.17,2.67,24.3,1.179,0.456,5.67
5000,22,6,24.8,9.8,0.0,0.0,8.8,0.0,4.42,12.7,6,1692,24.18,3.64,0,6,0,0.0,4.34,3.92,4.81,3.50,4.17,6.17,34.3,0.852,0.431,8.33
5000,47,6,17.3,4.8,0.0,0.0,10.2,0.0,2.10,10.0,5,1856,28.53,6.38,0,6,0,0.0,2.51,1.75,2.10,3.67,3.33,8.00,29.8,0.849,0.403,8.00
5000,105,5,21.0,0.0,2.6,0.0,24.8,0.0,1.00,4.8,5,1538,75.53,33.24,0,0,5,0.0,1.00,1.00,1.00,4.80,5.80,6.60,48.8,0.766,0.251,7.40
6000,1,522,37.2,1.3,4.7,1.9,29.9,0.0,1.24,4.1,219,1425,101.70,35.27,232,157,133,0.1,1.26,1.24,1.22,5.78,7.11,6.98,27.7,0.975,0.498,7.97
6000,28,143,31.4,5.2,0.0,8.1,21.3,0.0,2.31,0.6,64,1425,80.10,20.08,14,20,109,0.0,1.97,2.84,2.22,4.83,6.17,6.29,47.3,0.881,0.331,6.37
6000,15,80,32.9,0.3,0.0,3.5,24.8,0.0,1.06,4.8,30,844,54.67,17.10,72,8,0,0.0,1.00,1.06,1.10,4.53,5.62,5.81,20.9,1.205,0.471,6.80
6000,74,77,26.9,5.1,0.7,2.1,14.4,0.2,2.36,5.7,45,1297,72.51,24.36,0,63,14,0.2,2.71,2.52,2.10,4.09,5.62,5.94,34.7,1.028,0.427,7.09
6000,3,57,15.5,1.0,0.0,0.0,19.3,0.0,1.39,11.6,26,653,50.75,16.61,0,23,34,0.0,1.51,1.42,1.35,3.65,5.05,5.23,39.5,0.737,0.485,8.04
6000,57,47,59.4,16.0,0.3,0.5,19.3,0.0,4.63,0.0,24,1877,78.39,10.18,2,38,7,0.0,1.00,7.80,4.86,4.72,6.15,6.15,34.3,1.146,0.614,6.15
