step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,2750,0.9153,33320.7,912,931,991,828,22,21,26,25630,28514,33210,0,0,0,1.000,1.000,1.000,725,212,19
2000,2678,0.8988,60208.8,1828,876,976,826,23,27,24,15292,18404,24749,0,0,0,1.000,1.000,1.000,674,214,22
3000,2654,0.9118,79598.3,2701,878,969,807,22,27,25,8992,12150,18931,0,0,0,1.000,1.000,1.000,678,214,15
4000,1988,0.6559,42197.1,643,781,723,484,45,22,28,25094,23355,29310,0,0,0,1.000,1.000,1.000,562,213,4
5000,1993,0.7070,58513.4,1093,700,720,573,30,23,30,18300,20343,24527,0,0,0,1.000,1.000,1.000,530,222,16
6000,1816,0.7902,61729.3,1624,610,684,522,32,20,33,17681,18952,21699,0,0,0,1.000,1.000,1.000,448,172,10
7000,2122,0.6381,48654.8,883,721,803,598,31,25,23,23854,23155,24848,0,0,0,1.000,1.000,1.000,567,215,24
8000,2108,0.6561,49653.3,902,790,718,600,26,29,30,22447,24382,25614,0,0,0,1.000,1.000,1.000,663,209,31
9000,1989,0.7169,50594.1,1203,757,735,497,17,33,26,21519,24408,27164,0,0,0,1.000,1.000,1.000,610,210,12
10000,1871,0.7114,38540.3,1023,734,712,425,17,27,30,27651,29074,31639,0,0,0,1.000,1.000,1.000,586,197,6
11000,1435,0.7659,25735.3,1156,678,479,278,15,29,16,31620,34668,36147,0,0,0,1.000,1.000,1.000,564,126,3
12000,1209,0.7734,15823.1,1205,582,387,240,23,36,29,34666,39636,40218,0,0,0,1.000,1.000,1.000,475,102,4
13000,898,0.7929,11038.8,1133,488,267,143,16,31,24,37157,42617,43245,0,0,0,1.000,1.000,1.000,391,78,7
14000,680,0.8029,5852.1,1152,439,183,58,13,35,16,40054,44676,44621,0,0,0,1.000,1.000,1.000,394,49,0
15000,498,0.7751,4114.8,1063,409,72,17,15,17,9,41126,45607,45351,0,0,0,1.000,1.000,1.000,369,15,0
16000,371,0.8652,3414.5,1078,312,48,11,12,14,9,40950,45749,45711,0,0,0,1.000,1.000,1.000,271,9,0
17000,528,0.6742,3878.8,651,416,69,43,9,22,19,40192,44900,45475,0,0,0,1.000,1.000,1.000,356,19,4
18000,977,0.5650,8978.0,501,619,218,140,37,55,53,37299,43817,45935,0,0,0,1.000,1.000,1.000,492,62,2
19000,1579,0.5611,16696.8,480,804,495,280,56,39,86,32734,39918,44717,0,0,0,1.000,1.000,1.000,621,182,16
20000,2205,0.5238,29470.4,568,985,767,453,80,56,68,27319,34009,40977,0,0,0,1.000,1.000,1.000,780,257,36
21000,2899,0.5285,39001.7,601,1227,990,682,94,68,72,23820,29474,37809,0,0,0,1.000,1.000,1.000,1036,338,27
22000,3073,0.5809,45474.3,681,1320,1079,674,87,63,79,21823,26465,35765,0,0,0,1.000,1.000,1.000,1071,350,24
23000,3231,0.5395,50505.0,698,1238,1279,714,55,91,73,20608,23840,33037,0,0,0,1.000,1.000,1.000,963,312,23
24000,3561,0.5445,54177.5,702,1312,1446,803,72,77,80,19452,22762,30783,0,0,0,1.000,1.000,1.000,1034,355,29
25000,3507,0.5358,54617.1,667,1338,1243,926,81,78,82,19088,23459,30752,0,0,0,1.000,1.000,1.000,1019,408,34
26000,3461,0.5611,54527.2,681,1341,1206,914,83,70,78,20037,23595,30401,0,0,0,1.000,1.000,1.000,1083,349,11
27000,3257,0.5238,53216.6,696,1251,1104,902,77,58,83,19864,23904,30044,0,0,0,1.000,1.000,1.000,997,303,41
28000,3823,0.5020,54743.3,634,1549,1266,1008,105,85,108,18791,22929,30001,0,0,0,1.000,1.000,1.000,1179,370,55
29000,3828,0.5327,48060.2,609,1496,1457,875,120,127,106,20961,24412,32691,0,0,0,1.000,1.000,1.000,1135,406,40
30000,4379,0.5956,31766.0,486,1717,1630,1032,106,244,220,27240,31008,39039,0,0,0,1.000,1.000,1.000,1384,482,32
31000,2337,0.6273,21208.2,611,999,822,516,109,122,96,31638,36689,42248,0,0,0,1.000,1.000,1.000,813,214,41
32000,1715,0.6851,15806.8,690,928,493,294,91,81,101,33598,39668,44195,0,0,0,1.000,1.000,1.000,730,113,28
33000,1153,0.7641,10308.5,937,650,333,170,57,82,84,35998,42285,45782,0,0,0,1.000,1.000,1.000,529,73,2
34000,775,0.8529,5547.6,1278,483,182,110,29,51,50,38591,44194,46592,0,0,0,1.000,1.000,1.000,408,43,0
