step,event,lineage,other,size
5000,birth,1,0,640
5000,birth,2,0,41
5000,birth,3,0,21
5000,birth,4,0,30
5000,birth,5,0,30
5000,birth,6,0,27
5000,birth,7,0,78
5000,birth,8,0,59
5000,birth,9,0,133
5000,birth,10,0,10
5000,birth,11,0,17
5000,birth,16,0,17
5000,birth,18,0,9
5000,birth,20,0,11
5000,birth,23,0,22
5000,birth,25,0,31
5000,birth,29,0,41
5000,birth,34,0,31
5000,birth,36,0,44
5000,birth,40,0,5
5000,birth,43,0,21
5000,birth,44,0,11
5000,birth,46,0,13
5000,birth,50,0,30
5000,birth,53,0,9
5000,birth,54,0,111
5000,birth,60,0,33
5000,birth,70,0,33
5000,birth,73,0,19
5000,birth,75,0,12
5000,birth,82,0,5
5000,birth,83,0,16
5000,birth,102,0,5
5000,birth,103,0,18
5000,birth,106,0,24
5000,birth,109,0,8
5000,birth,120,0,8
5000,birth,125,0,21
5000,birth,127,0,16
5000,birth,130,0,38
6000,birth,133,0,22
6000,birth,135,0,6
6000,birth,136,0,14
7000,birth,141,0,7
7000,extinct,18,0,9
7000,extinct,40,0,5
7000,extinct,109,0,6
7000,extinct,135,0,6
8000,birth,104,0,94
8000,birth,144,0,19
8000,split,146,1,20
8000,birth,148,0,61
8000,split,149,1,7
8000,birth,150,0,39
8000,split,156,53,7
8000,extinct,4,0,15
8000,extinct,46,0,8
8000,extinct,82,0,16
8000,extinct,120,0,11
9000,birth,160,0,16
9000,extinct,6,0,6
9000,extinct,25,0,12
9000,extinct,75,0,10
9000,extinct,127,0,16
10000,birth,49,0,32
10000,birth,163,0,9
10000,extinct,10,0,9
10000,extinct,20,0,5
10000,extinct,44,0,11
10000,extinct,102,0,6
10000,extinct,133,0,5
10000,extinct,144,0,16
11000,split,165,1,47
11000,split,169,2,20
11000,extinct,11,0,9
11000,extinct,23,0,39
11000,extinct,150,0,32
11000,extinct,163,0,9
12000,extinct,53,0,23
12000,extinct,60,0,5
12000,extinct,125,0,14
12000,extinct,141,0,9
12000,extinct,149,0,7
12000,extinct,160,0,7
13000,extinct,16,0,7
13000,extinct,103,0,5
13000,extinct,165,0,20
14000,split,178,104,25
14000,extinct,3,0,18
14000,extinct,7,0,5
14000,extinct,36,0,7
14000,extinct,50,0,6
14000,extinct,83,0,6
14000,extinct,136,0,10
14000,extinct,169,0,6
15000,split,182,8,5
15000,extinct,5,0,6
15000,extinct,43,0,12
15000,extinct,70,0,18
15000,extinct,73,0,11
15000,extinct,146,0,13
15000,extinct,148,0,11
16000,merge,34,1,50
16000,extinct,54,0,12
16000,extinct,104,0,16
16000,extinct,156,0,8
16000,extinct,182,0,5
17000,extinct,49,0,7
17000,extinct,106,0,11
18000,extinct,29,0,12
19000,extinct,8,0,5
20000,extinct,2,0,5
21000,split,192,1,18
22000,extinct,130,0,8
23000,split,193,9,24
25000,split,194,1,118
25000,extinct,192,0,6
26000,split,196,194,7
26000,split,197,194,5
27000,extinct,193,0,24
27000,extinct,197,0,5
28000,extinct,9,0,20
30000,extinct,196,0,5
31000,split,201,194,12
34000,extinct,178,0,5
34000,extinct,194,0,17
35000,extinct,201,0,10
37000,split,225,220,43
37000,split,226,220,153
39000,split,222,1,35
39000,split,233,225,76
39000,split,234,220,376
42000,extinct,225,0,24
45000,split,249,226,19
47000,extinct,222,0,5
47000,extinct,249,0,5
48000,split,255,247,18
49000,split,289,234,37
50000,extinct,233,0,10
51000,extinct,1,0,59
52000,split,304,226,7
52000,split,306,234,63
52000,extinct,289,0,8
53000,split,320,234,127
54000,extinct,255,0,12
55000,split,351,226,7
55000,extinct,304,0,7
56000,split,364,351,11
57000,split,375,226,7
57000,split,377,226,18
57000,split,378,226,6
57000,split,379,351,16
57000,extinct,234,0,16
58000,split,384,377,15
58000,extinct,351,0,7
58000,extinct,364,0,9
60000,extinct,377,0,8
60000,extinct,378,0,5
61000,extinct,320,0,9
61000,extinct,379,0,10
61000,extinct,384,0,16
62000,split,391,306,21
62000,extinct,226,0,8
64000,extinct,375,0,25
66000,split,396,306,44
67000,split,400,306,28
67000,split,401,306,57
68000,split,410,306,9
68000,split,412,306,60
69000,split,418,306,19
69000,split,419,306,10
69000,split,420,407,17
69000,split,421,306,14
69000,split,422,306,51
69000,split,423,306,5
69000,split,426,306,14
70000,split,428,306,19
70000,split,430,306,1388
70000,split,431,306,38
70000,extinct,410,0,8
70000,extinct,418,0,19
70000,extinct,419,0,10
70000,extinct,423,0,5
71000,split,439,306,11
71000,extinct,391,0,20
71000,extinct,420,0,12
71000,extinct,421,0,14
71000,extinct,426,0,14
72000,split,449,439,6
72000,extinct,412,0,12
72000,extinct,428,0,19
72000,extinct,439,0,11
73000,extinct,401,0,14
73000,extinct,431,0,7
74000,split,476,401,30
74000,split,478,306,8
74000,extinct,396,0,10
74000,extinct,400,0,6
74000,extinct,449,0,6
75000,split,484,430,18
75000,extinct,306,0,26
76000,extinct,422,0,8
76000,extinct,478,0,8
78000,split,485,306,121
78000,split,509,430,19
79000,split,510,430,198
79000,split,512,430,24
80000,split,513,430,36
81000,split,517,484,9
83000,split,520,510,447
83000,split,525,510,6
83000,extinct,517,0,9
84000,split,527,510,58
84000,extinct,512,0,8
85000,split,535,510,59
86000,split,540,485,45
86000,extinct,513,0,6
87000,split,545,510,48
87000,split,550,510,9
87000,extinct,525,0,6
88000,split,554,520,37
88000,split,555,510,10
88000,split,558,485,104
88000,split,569,485,187
88000,extinct,430,0,6
88000,extinct,484,0,13
88000,extinct,527,0,14
89000,split,577,520,27
89000,split,582,485,43
89000,split,583,520,49
89000,split,587,554,37
89000,split,601,485,6
89000,extinct,545,0,18
89000,extinct,550,0,9
91000,split,614,520,397
91000,split,619,558,39
91000,extinct,509,0,12
91000,extinct,555,0,6
91000,extinct,577,0,27
91000,extinct,587,0,5
92000,extinct,520,0,23
92000,extinct,583,0,26
92000,extinct,601,0,6
93000,extinct,510,0,5
93000,extinct,535,0,19
93000,extinct,540,0,9
94000,split,672,614,74
94000,split,676,554,10
95000,split,689,476,30
96000,extinct,476,0,5
96000,extinct,676,0,10
97000,split,715,703,32
97000,extinct,569,0,21
97000,extinct,614,0,5
97000,extinct,619,0,12
98000,split,723,569,20
99000,extinct,689,0,23
100000,extinct,554,0,27
100000,extinct,723,0,10
