step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,818,26.49,3.23,2.00,2.12,15.75,0.06,1.86,0.020,0.216,437453.3,158522.7,23,34,4.03,1.85,2.01,30.4487,854.20,26115.3,6.2631,0.6808,5462,24.0368,149,67.5655,389843.5,165.42,2.7840,0.0,0.0000,1.000,0.7635
10000,1,602,27.69,3.53,2.92,1.53,16.08,0.04,1.85,0.027,0.166,390103.3,135417.8,24,22,4.01,1.98,1.97,24.5413,1110.08,29451.7,6.5287,0.9385,5461,24.0324,124,60.3011,340010.3,81.35,19.2725,0.0,0.0000,1.000,0.2025
10000,2,514,26.51,2.44,3.51,2.86,17.05,0.03,1.62,0.016,0.151,275053.4,93035.3,19,55,4.25,1.47,1.71,16.4100,289.13,32705.7,3.9489,0.8797,5461,24.0324,106,39.1830,225265.1,53.21,36.1163,0.0,0.0000,1.000,0.0207
20000,0,809,20.46,1.78,0.44,2.76,13.45,0.02,1.39,0.010,0.171,186288.6,65287.5,4,68,3.70,1.51,1.34,11.2153,879.45,28291.3,0.1807,1.2328,5462,7.5522,45,30.3984,174288.8,165.42,0.8435,0.0,0.0000,1.000,0.7635
20000,1,585,17.14,0.67,0.58,2.53,12.42,0.01,1.16,0.009,0.108,67403.2,22051.4,3,54,3.38,1.20,1.14,3.7504,475.98,34271.0,0.1185,0.8392,5461,7.5508,73,10.1867,59230.4,81.35,4.3603,0.0,0.0000,1.000,0.2025
20000,2,340,19.79,1.01,0.51,1.49,14.83,0.05,1.28,0.012,0.070,35767.9,9066.4,3,73,3.61,1.40,1.27,1.4793,188.29,40594.4,0.0236,0.6825,5461,7.5508,30,6.0349,28777.9,53.21,8.6081,0.0,0.0000,1.000,0.0207
30000,0,867,19.46,1.07,0.48,1.62,14.18,0.01,1.28,0.007,0.174,408535.0,174728.6,3,59,3.63,1.25,1.35,29.4235,971.94,24618.3,13.9135,0.9581,5462,23.3487,21,55.3254,400386.4,165.42,2.3781,0.0,0.0000,1.000,0.7635
30000,1,923,17.38,1.11,0.54,1.39,12.50,0.01,1.28,0.003,0.163,372121.4,151384.9,3,77,3.42,1.33,1.25,25.4285,830.98,28968.5,13.6467,1.1963,5461,23.3444,26,51.1329,361296.1,81.35,20.0949,0.0,0.0000,1.000,0.2025
30000,2,427,21.25,1.85,1.72,1.81,13.22,0.01,1.49,0.007,0.090,216592.7,85142.0,3,53,3.71,1.39,1.55,14.3493,237.70,38032.9,6.3709,1.2673,5461,23.3444,48,29.6543,204989.4,53.21,34.3874,0.0,0.0000,1.000,0.0207
40000,0,1049,16.73,0.83,2.03,0.44,9.16,0.01,1.27,0.005,0.149,192659.2,80707.8,6,59,3.09,1.27,1.27,11.2972,913.28,27015.1,0.5512,1.2437,5462,8.1636,65,27.8876,181073.3,165.42,1.0786,0.0,0.0000,1.000,0.7635
40000,1,653,16.70,0.84,1.68,0.40,9.34,0.01,1.23,0.006,0.092,78112.4,33171.5,4,89,3.18,1.14,1.28,4.6853,381.48,34638.5,0.2882,0.8903,5461,8.1622,71,10.0979,69760.3,81.35,4.2880,0.0,0.0000,1.000,0.2025
40000,2,349,16.04,0.53,1.52,0.28,10.15,0.02,1.16,0.006,0.050,30581.4,9037.1,4,83,3.22,1.05,1.23,1.3163,344.81,43122.1,0.0149,0.7672,5461,8.1622,29,3.6453,22965.3,53.21,8.0816,0.0,0.0000,1.000,0.0207
50000,0,1579,14.91,0.34,2.36,0.11,5.01,0.00,1.13,0.003,0.141,410323.8,299273.9,4,129,2.38,1.15,1.15,24.6861,926.23,29609.3,7.5663,0.8638,5462,25.5726,98,62.6739,398707.5,165.42,2.6870,0.0,0.0000,1.000,0.7635
50000,1,1171,14.00,0.33,2.34,0.13,4.57,0.00,1.13,0.000,0.098,385518.2,253870.7,2,169,2.27,1.14,1.14,21.5445,377.97,35064.2,11.2112,1.0115,5461,25.5679,54,59.0847,372504.4,81.35,17.7751,0.0,0.0000,1.000,0.2025
50000,2,836,15.99,0.42,2.78,0.05,5.23,0.00,1.17,0.001,0.081,227568.2,157693.2,3,208,2.50,1.18,1.18,12.8346,331.24,41242.0,5.1505,1.2651,5461,25.5679,86,34.1034,216767.7,53.21,33.3017,0.0,0.0000,1.000,0.0207
60000,0,878,13.15,0.31,0.44,0.95,10.07,0.00,1.10,0.000,0.118,180582.4,88950.1,6,47,3.09,1.03,1.13,8.8120,780.17,28339.0,0.4095,1.3740,5462,7.4831,9,26.6138,167106.0,165.42,0.7823,0.0,0.0000,1.000,0.7635
60000,1,309,13.99,0.49,0.37,0.59,10.46,0.00,1.13,0.000,0.043,60175.5,32504.3,3,58,3.16,1.01,1.19,2.5120,263.12,38367.8,0.1017,1.0273,5461,7.4818,4,8.5847,50288.6,81.35,4.4607,0.0,0.0000,1.000,0.2025
60000,2,249,14.69,0.26,0.44,1.35,11.66,0.00,1.07,0.000,0.039,29012.4,14685.9,2,95,3.41,1.05,1.09,1.0566,162.67,44436.6,0.0178,0.7766,5461,7.4818,9,3.6553,21157.0,53.21,8.1170,0.0,0.0000,1.000,0.0207
70000,0,1260,18.42,0.36,4.68,0.45,7.84,0.00,1.11,0.003,0.193,396931.9,201432.0,9,119,3.04,1.08,1.18,28.2485,1850.58,28081.1,15.7425,1.0198,5462,22.6209,17,52.8105,388769.5,165.42,2.9469,0.0,0.0000,1.000,0.7635
70000,1,989,20.09,0.34,5.04,0.34,8.19,0.00,1.10,0.000,0.158,337407.9,172813.2,9,88,3.09,1.06,1.16,23.9455,1258.41,32308.7,16.1477,1.3000,5461,22.6167,35,43.2839,326118.7,81.35,15.9753,0.0,0.0000,1.000,0.2025
70000,2,587,24.12,0.66,6.35,0.24,8.88,0.02,1.18,0.003,0.108,196679.9,88549.6,8,139,3.37,1.14,1.30,11.6958,407.28,38918.0,7.0754,1.5374,5461,22.6167,38,25.3680,182323.6,53.21,34.0216,0.0,0.0000,1.000,0.0207
80000,0,848,25.14,0.27,5.51,0.34,9.86,0.01,1.07,0.005,0.155,195784.9,105375.0,8,56,3.45,1.07,1.07,10.8723,1193.17,25320.3,0.0387,0.9526,5462,7.5134,24,32.4683,186947.1,165.42,0.8741,0.0,0.0000,1.000,0.7635
80000,1,465,23.35,0.38,4.71,0.19,10.16,0.00,1.07,0.000,0.082,74174.8,41774.6,8,74,3.58,1.02,1.09,3.6822,350.09,33823.6,0.0285,0.7916,5461,7.5120,24,11.4151,66670.6,81.35,4.0939,0.0,0.0000,1.000,0.2025
80000,2,229,28.49,0.52,4.93,0.36,12.65,0.01,1.13,0.004,0.049,38431.7,20532.0,6,70,3.82,1.11,1.15,1.6678,360.17,40748.0,0.0041,0.6907,5461,7.5120,8,5.6640,31703.2,53.21,8.3210,0.0,0.0000,1.000,0.0207
90000,0,962,21.48,0.61,3.53,0.07,7.61,0.02,1.23,0.008,0.130,411642.6,373887.4,11,123,2.69,1.26,1.25,37.4352,1147.15,34199.6,3.2354,0.5865,5462,17.9493,91,71.7016,408476.2,165.42,3.0504,0.0,0.0000,1.000,0.7635
