step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,18.00,16,0,5,0,4,0,1.00,2,0.278,2931,0.40,43.45,97.57,481,1,1,0,1.00,1.00,1.00,2,3,4,28.2,1.646,9,2.000,0.127,4,1.000
100000,38.00,25,0,9,0,10,0,1.00,2,0.237,2805,0.00,156.04,395.72,682,0,0,0,1.00,1.00,1.00,2,4,5,23.2,62.201,19,2.000,0.120,5,1.000
100000,2.19,22,0,0,0,2,0,1.00,30,0.000,2804,0.89,102.97,17.25,687,0,0,0,1.00,1.00,1.00,2,2,1,13.8,10.943,2,1.094,0.509,9,1.000
100000,8.00,25,0,0,0,4,0,1.00,10,0.000,2803,0.00,98.52,91.69,682,0,0,0,1.00,1.00,1.00,1,1,4,9.7,0.000,4,2.000,0.120,5,1.000
100000,20.00,16,0,6,0,4,0,1.00,0,0.300,2622,3.19,56.22,166.52,481,1,0,0,1.00,1.00,1.00,2,4,4,31.0,11.969,10,2.000,0.127,4,0.103
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,2600,4.03,80.36,250.51,682,0,0,0,1.00,1.00,1.00,2,4,4,10.9,55.406,15,2.000,0.139,4,1.000
100000,26.00,16,0,9,0,4,0,1.00,0,0.346,2525,3.11,142.29,166.94,481,0,0,0,1.00,1.00,1.00,1,4,4,9.9,121.269,13,2.000,0.127,4,1.000
100000,7.19,26,0,0,0,7,0,1.00,16,0.000,2504,0.00,109.70,27.07,687,0,0,0,1.00,1.00,1.00,2,6,4,16.3,22.697,7,1.028,0.427,8,1.000
100000,6.00,16,0,0,0,3,0,1.00,8,0.000,2489,2.03,85.22,29.01,682,0,0,0,1.00,1.00,1.00,1,1,3,19.0,30.000,3,2.000,0.142,4,1.000
100000,12.58,11,0,0,0,11,0,1.00,16,0.000,2477,0.00,104.06,31.57,299,0,1,0,1.00,1.00,1.00,3,3,5,12.8,30.273,11,1.143,0.424,8,1.000
100000,30.00,16,1,9,0,4,0,1.00,0,0.300,2475,1.31,78.70,44.04,481,0,0,0,1.00,1.00,1.00,2,4,4,12.5,17.159,14,2.000,0.116,4,1.000
100000,14.00,16,0,4,0,3,0,1.00,2,0.286,2432,0.00,102.09,53.05,481,0,0,0,1.00,1.00,1.00,2,4,4,14.3,69.782,7,2.000,0.123,4,1.000
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2427,0.00,81.03,66.49,682,0,0,0,1.00,1.00,1.00,1,4,4,17.9,17.543,15,2.000,0.142,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.313,2426,4.02,169.87,110.35,682,0,0,0,1.00,1.00,1.00,2,4,4,16.9,131.257,16,2.000,0.142,4,1.000
100000,225.99,81,52,7,0,2,0,13.36,0,0.031,2424,0.00,16.34,116.12,688,0,0,2,7.56,16.67,14.61,9,9,9,13.8,0.002,61,2.000,0.348,9,1.000
100000,18.00,16,0,3,0,6,0,1.00,2,0.167,2413,0.00,84.88,65.45,682,0,0,0,1.00,1.00,1.00,2,3,4,12.4,12.317,9,2.000,0.142,4,1.000
100000,16.00,25,2,2,0,2,0,2.17,8,0.125,2393,0.00,40.05,105.42,682,0,0,1,2.67,2.67,1.67,3,3,3,14.6,0.000,6,2.000,0.156,5,1.000
100000,101.98,36,22,0,0,7,0,9.73,2,0.000,2391,0.00,97.37,11.60,688,0,0,0,11.00,5.17,11.70,4,5,6,9.8,19.063,29,2.000,0.211,6,1.000
100000,26.00,16,0,7,0,6,0,1.00,0,0.269,2367,3.68,162.41,96.16,682,0,0,0,1.00,1.00,1.00,2,4,4,15.8,97.112,13,2.000,0.142,4,1.000
100000,3.95,11,0,0,0,4,0,1.00,34,0.000,2357,0.00,113.78,5.31,683,0,0,0,1.00,1.00,1.00,2,1,4,18.1,10.833,4,0.986,0.353,11,1.000
100000,24.00,16,0,6,0,6,0,1.00,0,0.250,2356,0.00,84.28,19.80,682,0,0,0,1.00,1.00,1.00,2,4,4,17.1,32.560,12,2.000,0.129,4,1.000
100000,44.11,31,19,2,0,0,1,7.58,16,0.045,2346,0.00,90.83,20.79,694,0,0,2,4.40,9.60,8.00,3,7,5,10.8,3.857,21,1.103,0.646,10,1.000
100000,30.00,16,0,11,0,4,0,1.00,0,0.367,2344,0.00,55.73,194.28,481,0,0,0,1.00,1.00,1.00,4,4,4,15.4,44.494,15,2.000,0.127,4,1.000
100000,8.00,16,0,1,0,3,0,1.00,6,0.125,2337,0.00,107.28,16.46,481,0,0,0,1.00,1.00,1.00,2,4,2,12.5,37.334,4,2.000,0.123,4,1.000
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,2335,3.67,129.36,167.08,481,0,0,0,1.00,1.00,1.00,2,4,4,3.3,114.750,14,2.000,0.127,4,1.000
