step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,6,421,13.1,0.8,0.4,0.3,10.1,0.0,1.29,6.8,129,440,30.55,12.99,249,81,91,0.0,1.07,1.62,1.26,2.94,4.86,3.57,26.5,1.085,0.479,5.90
5000,1,375,41.6,5.0,3.7,1.1,25.7,0.1,1.44,5.8,159,621,78.31,24.90,78,175,122,0.4,1.16,2.04,1.29,5.25,6.83,6.30,32.8,1.028,0.460,8.01
5000,29,77,53.3,0.0,2.1,14.1,31.3,0.0,1.00,0.1,36,510,69.71,23.20,25,37,15,0.0,1.00,1.00,1.00,6.77,7.04,7.06,29.2,1.318,0.427,7.06
5000,10,73,34.2,0.8,0.0,5.1,27.9,0.0,1.23,9.5,31,535,85.28,22.24,57,15,1,0.0,1.21,1.15,1.40,5.60,5.36,8.51,15.8,0.986,0.406,9.19
5000,7,42,24.4,4.6,0.0,3.8,15.8,0.0,2.49,6.9,21,1191,101.12,26.03,5,20,17,0.0,1.63,2.98,2.64,4.33,5.17,5.31,36.2,0.905,0.337,6.93
5000,21,41,19.5,2.5,3.8,10.8,10.4,0.0,1.48,10.6,25,1359,111.00,31.18,17,23,1,0.0,1.17,2.02,1.38,4.34,5.61,5.41,26.3,0.798,0.370,8.17
5000,41,20,18.1,0.0,0.0,3.0,14.3,0.0,1.00,11.9,8,776,67.34,37.45,0,5,15,0.0,1.00,1.00,1.00,3.55,4.05,4.20,40.1,1.137,0.572,7.10
5000,28,14,30.1,2.0,0.0,2.6,21.9,0.0,1.31,11.7,5,707,73.49,30.48,0,0,14,0.0,1.52,1.00,1.36,4.79,5.14,9.71,45.9,1.121,0.562,10.36
5000,26,12,24.6,0.0,3.3,5.2,15.5,0.0,1.00,2.8,6,849,61.39,17.24,0,12,0,0.0,1.00,1.00,1.00,4.17,6.17,6.75,29.5,1.126,0.379,7.17
6000,1,1343,22.7,1.7,1.4,0.8,18.3,0.0,1.35,15.7,490,566,59.50,17.61,420,486,437,0.1,1.37,1.36,1.35,3.85,4.78,5.19,32.8,0.908,0.414,8.83
6000,6,296,14.5,0.9,0.7,0.7,10.5,0.0,1.38,5.6,111,604,41.57,14.75,108,131,57,0.1,1.17,1.83,1.34,3.10,5.03,3.86,29.7,1.097,0.482,5.84
6000,29,76,60.4,0.9,1.3,13.4,34.1,0.0,1.22,0.1,37,802,99.33,23.44,23,37,16,0.0,1.27,1.19,1.21,6.91,7.28,7.32,30.8,1.374,0.458,7.33
6000,10,47,41.1,0.2,0.1,8.1,33.5,0.0,1.06,6.5,25,1079,163.19,39.09,33,14,0,0.0,1.06,1.06,1.07,5.94,6.13,8.64,19.3,1.002,0.385,8.91
