step,event,lineage,other,size
5000,birth,1,0,1108
5000,birth,2,0,683
5000,birth,4,0,44
5000,birth,5,0,99
5000,birth,10,0,28
5000,birth,11,0,10
5000,birth,15,0,167
6000,split,31,5,8
6000,split,36,5,11
7000,split,46,31,6
7000,extinct,10,0,9
7000,extinct,11,0,10
7000,extinct,31,0,8
7000,extinct,36,0,11
8000,split,52,2,121
8000,split,54,5,20
8000,split,60,10,122
8000,extinct,4,0,51
8000,extinct,46,0,6
9000,split,76,55,13
10000,extinct,52,0,15
10000,extinct,54,0,20
10000,extinct,76,0,13
11000,extinct,15,0,8
11000,extinct,60,0,8
12000,split,114,1,49
14000,split,138,5,86
14000,extinct,2,0,6
15000,split,144,1,27
18000,split,165,159,381
19000,split,146,1,17
19000,extinct,138,0,72
19000,extinct,144,0,13
20000,extinct,146,0,17
21000,extinct,1,0,14
24000,split,174,114,6
24000,split,177,5,32
25000,split,181,165,14
25000,split,185,165,1672
25000,extinct,165,0,277
25000,extinct,174,0,6
26000,extinct,114,0,53
27000,extinct,177,0,36
28000,split,221,5,8
29000,split,236,185,286
29000,split,237,5,6
29000,split,239,5,170
29000,split,240,5,13
29000,extinct,181,0,14
30000,split,260,185,877
30000,split,267,5,17
31000,extinct,221,0,8
31000,extinct,236,0,46
32000,split,310,5,121
32000,split,313,291,95
32000,split,317,239,6
32000,extinct,237,0,6
33000,split,328,236,66
33000,split,329,5,6
34000,split,342,239,21
34000,extinct,240,0,5
34000,extinct,260,0,32
34000,extinct,267,0,5
34000,extinct,317,0,6
35000,split,350,5,10
35000,split,353,239,54
35000,extinct,328,0,6
37000,extinct,185,0,11
37000,extinct,310,0,10
37000,extinct,329,0,6
37000,merge,342,239,21
37000,extinct,350,0,10
39000,split,366,5,10
39000,split,367,239,1895
39000,split,369,353,35
41000,extinct,366,0,7
44000,split,389,367,86
44000,split,394,239,77
45000,split,408,239,266
46000,split,417,367,1521
46000,split,422,369,252
46000,split,428,353,36
46000,split,430,408,201
46000,split,432,369,5
47000,split,446,367,23
47000,split,458,313,13
47000,extinct,239,0,6
47000,extinct,313,0,17
47000,extinct,367,0,9
47000,extinct,432,0,5
48000,split,485,313,27
48000,split,493,430,5
48000,extinct,353,0,5
48000,extinct,394,0,36
48000,extinct,458,0,13
49000,extinct,428,0,41
50000,extinct,389,0,21
50000,extinct,446,0,6
50000,extinct,485,0,6
50000,extinct,493,0,5
51000,split,565,417,56
51000,split,567,417,25
52000,split,584,5,45
52000,split,585,369,30
52000,split,592,430,8
52000,extinct,5,0,6
53000,extinct,565,0,6
54000,split,623,430,71
55000,split,637,417,45
55000,split,642,585,28
55000,extinct,369,0,7
55000,extinct,408,0,8
55000,extinct,567,0,34
55000,extinct,585,0,6
55000,extinct,592,0,7
56000,split,656,408,5
56000,split,661,369,49
57000,extinct,656,0,5
58000,extinct,417,0,81
58000,extinct,430,0,6
62000,split,675,637,1835
63000,extinct,584,0,22
63000,extinct,637,0,120
63000,extinct,642,0,85
65000,extinct,661,0,24
67000,split,713,675,5
68000,split,729,623,42
68000,split,734,623,61
68000,split,735,623,107
68000,extinct,713,0,5
70000,split,777,623,37
70000,extinct,422,0,23
71000,split,801,776,358
71000,extinct,675,0,70
72000,split,819,675,273
72000,split,823,776,21
72000,split,826,776,34
73000,split,809,623,36
74000,split,859,801,8
74000,extinct,623,0,12
74000,extinct,729,0,13
75000,extinct,859,0,8
76000,extinct,809,0,14
76000,extinct,823,0,8
78000,extinct,735,0,5
79000,extinct,777,0,8
81000,extinct,826,0,19
83000,extinct,734,0,46
83000,extinct,819,0,274
84000,split,930,901,1098
86000,split,958,930,722
88000,split,989,958,111
88000,split,991,958,12
88000,split,992,958,64
88000,split,994,958,78
89000,split,1010,930,18
89000,split,1011,930,54
89000,split,1017,930,9
90000,split,1041,958,15
90000,extinct,930,0,12
90000,extinct,1017,0,9
91000,split,1039,930,6
91000,split,1061,958,1099
91000,extinct,958,0,50
91000,extinct,994,0,14
91000,extinct,1010,0,18
91000,extinct,1011,0,54
92000,extinct,989,0,39
92000,extinct,991,0,6
92000,extinct,992,0,14
92000,extinct,1039,0,6
92000,extinct,1041,0,7
