step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,1057,32.16,0.28,6.91,0.13,10.74,0.00,1.10,0.000,0.218,480021.1,367088.7,3,163,3.40,1.12,1.10,18.1879,726.25,30020.2,0.0323,42.7719,5462,37.0914,1236,2.8458,17871.2,165.42,2.0160,0.0,0.0000,1.000,0.7635
10000,1,1027,30.41,0.21,7.06,0.24,10.13,0.00,1.06,0.000,0.208,452185.9,343760.3,3,225,3.36,1.08,1.05,16.8740,709.76,32542.2,0.0332,40.0933,5461,37.0846,1132,2.5060,15715.1,81.35,14.5195,0.0,0.0000,1.000,0.2025
10000,2,881,30.03,0.13,7.13,0.42,10.28,0.00,1.04,0.000,0.181,354767.1,233653.5,1,294,3.32,1.05,1.03,10.7615,459.04,36055.7,0.0289,30.9627,5461,37.0846,967,1.3502,8045.1,53.21,29.8993,0.0,0.0000,1.000,0.0207
20000,0,1252,24.02,0.49,5.05,0.18,10.40,0.00,1.17,0.001,0.230,271253.5,228098.2,3,198,3.31,1.18,1.18,6.1390,501.40,27877.5,0.0000,26.2750,5462,15.3349,795,0.9799,5870.3,165.42,0.9397,0.0,0.0000,1.000,0.7635
20000,1,933,24.17,0.52,5.58,0.17,9.91,0.00,1.17,0.002,0.174,139733.1,117788.6,3,214,3.28,1.16,1.17,2.8002,361.62,35221.7,0.0000,13.5048,5461,15.3321,818,0.4782,2707.2,81.35,4.2885,0.0,0.0000,1.000,0.2025
20000,2,698,23.89,0.39,5.76,0.12,9.24,0.00,1.13,0.000,0.124,92289.7,81782.1,3,221,3.20,1.11,1.17,1.8530,180.59,44176.0,0.0000,8.9182,5461,15.3321,704,0.2653,1457.9,53.21,8.0756,0.0,0.0000,1.000,0.0207
30000,0,1221,23.28,0.31,4.64,0.03,10.11,0.01,1.09,0.002,0.212,462882.9,363816.7,17,206,3.27,1.08,1.12,12.5725,220.97,31239.4,0.0000,44.3363,5462,37.8832,714,2.4311,16120.6,165.42,2.0639,0.0,0.0000,1.000,0.7635
30000,1,954,24.52,0.42,5.06,0.01,9.78,0.00,1.13,0.002,0.165,438738.3,341582.9,18,196,3.22,1.11,1.16,11.6166,155.58,34867.5,0.0000,41.9359,5461,37.8763,553,2.3408,15426.7,81.35,14.9194,0.0,0.0000,1.000,0.2025
30000,2,849,24.71,0.23,4.89,0.04,10.58,0.00,1.08,0.001,0.154,337181.2,240546.9,19,252,3.28,1.08,1.11,7.1157,125.07,39789.7,0.0000,32.4601,5461,37.8763,332,1.3443,8750.1,53.21,30.8474,0.0,0.0000,1.000,0.0207
40000,0,1053,27.68,0.16,5.92,0.00,9.70,0.00,1.06,0.000,0.190,254643.7,135516.0,4,156,3.04,1.05,1.07,3.5122,129.70,25967.1,0.0000,25.2831,5462,14.8811,793,0.3429,2284.1,165.42,0.8885,0.0,0.0000,1.000,0.7635
40000,1,828,24.53,0.13,5.14,0.00,9.62,0.00,1.05,0.000,0.143,130802.4,73587.4,4,205,2.98,1.04,1.07,2.0202,120.35,35055.9,0.0000,12.9129,5461,14.8784,431,0.1186,770.8,81.35,4.0201,0.0,0.0000,1.000,0.2025
40000,2,597,23.40,0.08,4.88,0.02,9.56,0.00,1.03,0.000,0.099,85619.3,45569.5,4,249,2.95,1.02,1.03,1.3432,52.91,44245.1,0.0000,8.5352,5461,14.8784,239,0.0364,242.8,53.21,7.6777,0.0,0.0000,1.000,0.0207
50000,0,1262,25.81,0.03,2.29,0.01,11.82,0.00,1.01,0.000,0.204,486535.3,165249.2,23,209,2.96,1.00,1.01,11.9510,334.68,21091.7,0.6760,46.4740,5462,39.1445,531,2.2687,15828.4,165.42,2.2345,0.0,0.0000,1.000,0.7635
50000,1,1056,26.60,0.01,2.06,0.04,12.70,0.00,1.00,0.000,0.179,455855.4,166681.7,24,226,3.06,1.00,1.00,10.3324,289.40,25986.2,0.6059,43.7255,5461,39.1373,443,2.0556,14496.9,81.35,15.5271,0.0,0.0000,1.000,0.2025
50000,2,755,25.14,0.08,1.86,0.07,12.73,0.00,1.02,0.000,0.128,345376.0,127222.4,18,207,2.97,1.00,1.03,7.8124,186.62,33386.7,0.0120,33.5329,5461,39.1373,308,1.3415,8983.6,53.21,32.0472,0.0,0.0000,1.000,0.0207
60000,0,920,28.60,0.09,6.18,0.01,9.55,0.00,1.03,0.000,0.168,244317.9,118336.1,5,149,3.07,1.01,1.03,3.9978,102.11,25843.1,0.0000,24.4879,5462,15.1427,790,0.1069,756.9,165.42,0.8637,0.0,0.0000,1.000,0.7635
60000,1,737,24.50,0.18,5.20,0.01,9.08,0.00,1.05,0.000,0.121,125833.8,60210.4,5,197,2.94,1.04,1.06,2.4632,68.99,34537.4,0.0000,12.5032,5461,15.1400,398,0.0319,237.3,81.35,3.9198,0.0,0.0000,1.000,0.2025
60000,2,574,19.99,0.02,4.30,0.00,8.61,0.00,1.01,0.000,0.085,83381.0,37798.2,5,217,2.90,1.01,1.01,1.5534,43.23,43859.0,0.0000,8.3155,5461,15.1400,237,0.0149,106.5,53.21,7.5752,0.0,0.0000,1.000,0.0207
70000,0,1140,26.27,0.02,2.87,0.02,11.31,0.00,1.01,0.000,0.186,470419.4,165221.1,31,216,3.01,1.00,1.01,13.1213,286.85,24243.8,1.4426,45.1787,5462,37.6297,350,1.3564,10187.9,165.42,2.0967,0.0,0.0000,1.000,0.7635
70000,1,1001,24.77,0.04,3.21,0.03,10.45,0.00,1.01,0.000,0.156,442997.3,166220.3,31,193,2.98,1.00,1.02,12.3519,278.64,28890.3,0.8939,42.7964,5461,37.6228,277,1.2904,9730.2,81.35,15.0276,0.0,0.0000,1.000,0.2025
70000,2,743,21.74,0.06,3.00,0.03,9.93,0.00,1.01,0.000,0.111,335866.7,132603.3,26,206,2.94,1.00,1.02,8.4407,171.80,35692.5,0.0548,32.8335,5461,37.6228,114,0.6929,5056.2,53.21,30.8017,0.0,0.0000,1.000,0.0207
80000,0,916,26.01,0.02,5.72,0.00,8.62,0.00,1.00,0.000,0.150,244427.7,118486.7,6,134,2.89,1.00,1.01,4.1494,68.41,28255.7,0.0000,24.2516,5462,14.9340,245,0.0767,574.4,165.42,0.8705,0.0,0.0000,1.000,0.7635
80000,1,803,24.11,0.01,5.26,0.00,8.45,0.00,1.00,0.000,0.127,125407.3,55564.1,7,286,2.88,1.00,1.00,2.2219,73.41,35719.8,0.0000,12.4996,5461,14.9313,250,0.0216,159.9,81.35,3.9304,0.0,0.0000,1.000,0.2025
80000,2,585,21.35,0.05,4.59,0.00,8.03,0.00,1.02,0.000,0.085,83251.4,35455.3,8,244,2.91,1.01,1.02,1.4457,78.66,44329.1,0.0000,8.3609,5461,14.9313,102,0.0063,46.0,53.21,7.6240,0.0,0.0000,1.000,0.0207
90000,0,1276,28.69,0.00,2.08,0.01,12.51,0.00,1.00,0.000,0.213,487638.6,158597.6,32,191,2.95,1.00,1.00,13.2702,357.00,17668.3,1.1570,47.0431,5462,38.4170,655,1.7792,13000.1,165.42,2.2023,0.0,0.0000,1.000,0.7635
90000,1,1112,27.27,0.00,2.17,0.01,11.79,0.00,1.00,0.000,0.178,451951.5,155804.8,36,240,2.88,1.00,1.00,11.9210,277.67,23585.7,1.2652,43.6906,5461,38.4100,636,1.6143,11797.5,81.35,15.4899,0.0,0.0000,1.000,0.2025
