step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,5,2227,34.5,0.5,7.3,0.1,13.7,0.0,1.16,12.6,1765,225,11.71,9.82,823,784,620,0.0,1.11,1.22,1.16,3.85,5.19,5.10,30.1,1.555,0.507,8.31
5000,6,33,31.6,0.5,0.0,0.0,28.9,0.0,1.09,1.9,22,168,15.45,2.28,0,1,32,0.0,1.16,1.00,1.09,5.27,5.97,6.06,50.8,1.059,0.573,6.48
5000,3,18,48.5,0.4,0.0,0.0,51.5,0.0,1.09,3.7,13,354,40.31,5.10,0,1,17,0.0,1.05,1.17,1.08,6.72,8.33,7.83,50.3,0.925,0.605,9.00
6000,5,1195,41.3,0.4,13.6,2.7,5.6,0.0,1.13,4.5,995,108,3.80,17.98,521,458,216,0.2,1.12,1.16,1.13,4.08,4.98,5.33,28.6,1.917,0.729,6.29
6000,3,27,36.9,0.1,0.0,0.0,39.6,0.0,1.02,7.4,22,221,26.13,5.99,0,12,15,0.0,1.02,1.03,1.01,5.85,6.41,6.26,39.4,0.925,0.584,8.19
6000,38,12,20.8,9.2,0.0,0.0,4.9,0.0,5.90,13.0,12,549,24.36,9.69,0,5,7,0.0,4.34,7.31,6.07,3.25,4.83,4.00,42.4,0.892,0.646,7.67
7000,5,447,25.6,0.1,8.6,2.3,3.1,0.0,1.03,3.3,369,155,3.45,16.64,144,178,125,0.0,1.04,1.03,1.03,3.05,4.00,4.05,32.3,1.979,0.870,4.86
7000,3,93,31.3,0.0,0.5,0.8,32.4,0.0,1.00,8.6,79,130,16.53,4.75,0,24,69,0.0,1.00,1.00,1.00,5.04,5.91,5.98,43.3,0.940,0.581,8.11
7000,44,17,11.9,0.0,2.3,0.5,11.3,0.0,1.00,4.9,17,115,10.35,4.73,0,17,0,0.0,1.00,1.00,1.00,3.12,4.24,3.76,30.6,0.869,0.620,5.24
8000,3,27,40.3,6.7,2.4,0.0,25.1,0.0,3.11,8.4,25,254,27.96,8.15,0,5,22,0.0,3.37,3.46,2.99,4.85,6.07,5.93,44.1,0.981,0.583,8.11
9000,63,39,12.3,0.0,0.0,1.3,17.1,0.0,1.00,12.4,34,252,17.04,2.17,18,20,1,0.0,1.00,1.01,1.00,3.51,3.97,4.74,25.2,0.692,0.624,7.46
10000,128,37,23.4,0.0,0.0,0.0,21.9,0.0,1.00,10.3,31,257,17.09,3.08,0,17,20,0.0,1.00,1.00,1.00,4.22,4.41,5.62,38.6,1.069,0.418,7.59
10000,100,34,23.4,0.4,0.8,0.0,20.0,0.0,1.20,21.9,30,267,15.58,5.39,6,19,9,0.0,1.18,1.22,1.20,3.94,5.00,5.00,34.1,1.090,0.427,10.47
10000,106,26,28.8,1.0,0.0,0.0,23.6,0.0,1.24,9.8,15,283,20.08,2.14,21,5,0,0.0,1.21,1.32,1.22,4.15,4.46,6.73,23.4,1.128,0.346,8.04
10000,63,21,26.4,0.3,0.0,0.0,34.2,0.0,1.08,2.7,12,138,12.37,2.61,6,14,1,0.0,1.09,1.13,1.06,5.00,5.90,5.81,29.9,0.755,0.684,6.52
11000,161,417,10.3,0.7,0.1,0.0,13.7,0.0,1.24,13.4,282,332,16.61,1.43,175,180,62,0.0,1.10,1.35,1.27,3.25,4.74,4.05,27.1,0.673,0.575,7.76
11000,151,199,14.6,0.0,1.3,0.0,18.1,0.0,1.00,5.3,150,364,23.38,3.18,76,79,44,0.0,1.00,1.00,1.00,3.75,4.52,4.49,30.0,0.748,0.682,5.83
11000,142,191,30.4,0.1,9.8,4.5,2.9,0.0,1.03,2.0,148,178,3.24,18.95,117,57,17,0.1,1.03,1.03,1.03,3.42,4.40,4.35,25.1,2.000,0.791,4.87
11000,106,42,22.7,1.4,0.5,0.0,16.5,0.0,1.57,13.3,41,613,40.48,5.22,21,15,6,0.1,1.57,1.70,1.54,3.81,4.07,5.33,28.5,1.140,0.348,8.02
11000,166,21,24.8,0.0,0.0,0.0,34.6,0.0,1.00,5.5,18,165,13.66,1.80,5,16,0,0.0,1.00,1.00,1.00,5.05,6.43,5.76,29.1,0.728,0.420,7.48
11000,128,12,17.1,0.0,0.0,0.0,16.8,0.0,1.00,9.8,11,842,41.65,4.18,1,10,1,0.0,1.00,1.00,1.00,3.33,4.25,5.00,33.8,1.020,0.447,7.08
11000,63,12,19.1,0.3,0.0,0.0,24.4,0.0,1.00,4.5,11,624,44.11,3.73,6,4,2,0.0,1.00,1.00,1.00,3.67,5.25,4.67,25.3,0.741,0.694,6.08
11000,146,7,24.4,0.0,0.0,0.0,25.9,0.0,1.00,9.1,6,1259,91.59,5.94,0,0,7,0.0,1.00,1.00,1.00,4.86,5.00,6.43,48.1,0.948,0.276,8.00
12000,161,409,9.9,0.5,0.1,0.0,13.6,0.0,1.12,14.8,293,421,20.40,1.70,180,153,76,0.0,1.03,1.22,1.12,3.13,4.43,3.98,27.5,0.670,0.563,7.90
12000,142,256,43.5,0.7,12.6,6.2,4.7,0.0,1.13,1.2,199,176,4.11,20.11,164,59,33,1.0,1.07,1.15,1.14,4.24,5.06,5.17,23.0,2.000,0.749,5.43
