step,measure,value,count
50000,hamming,0,571
50000,hamming,1,1256
50000,hamming,2,1689
50000,hamming,3,1959
50000,hamming,4,2146
50000,hamming,5,2285
50000,hamming,6,2399
50000,hamming,7,2630
50000,hamming,8,2494
50000,hamming,9,2660
50000,hamming,10,2829
50000,hamming,11,2708
50000,hamming,12,2838
50000,hamming,13,3095
50000,hamming,14,3213
50000,hamming,15,3372
50000,hamming,16,3326
50000,hamming,17,3431
50000,hamming,18,3494
50000,hamming,19,3358
50000,hamming,20,3558
50000,hamming,21,3594
50000,hamming,22,3593
50000,hamming,23,3608
50000,hamming,24,3686
50000,hamming,25,3720
50000,hamming,26,3928
50000,hamming,27,3882
50000,hamming,28,4068
50000,hamming,29,4425
50000,hamming,30,4418
50000,hamming,31,4846
50000,hamming,32,5098
50000,hamming,33,5281
50000,hamming,34,5733
50000,hamming,35,6168
50000,hamming,36,6715
50000,hamming,37,7042
50000,hamming,38,7670
50000,hamming,39,8628
50000,hamming,40,9379
50000,hamming,41,10374
50000,hamming,42,11374
50000,hamming,43,12695
50000,hamming,44,14052
50000,hamming,45,16397
50000,hamming,46,18060
50000,hamming,47,19868
50000,hamming,48,22838
50000,hamming,49,25242
50000,hamming,50,27579
50000,hamming,51,30937
50000,hamming,52,33481
50000,hamming,53,36249
50000,hamming,54,39081
50000,hamming,55,41940
50000,hamming,56,44343
50000,hamming,57,46699
50000,hamming,58,49978
50000,hamming,59,51051
50000,hamming,60,53844
50000,hamming,61,55456
50000,hamming,62,56959
50000,hamming,63,58779
50000,hamming,64,60063
50000,hamming,65,61862
50000,hamming,66,62580
50000,hamming,67,63022
50000,hamming,68,62643
50000,hamming,69,61114
50000,hamming,70,60746
50000,hamming,71,59709
50000,hamming,72,58053
50000,hamming,73,57141
50000,hamming,74,55806
50000,hamming,75,54370
50000,hamming,76,52722
50000,hamming,77,53188
50000,hamming,78,51713
50000,hamming,79,50835
50000,hamming,80,49659
50000,hamming,81,49223
50000,hamming,82,47535
50000,hamming,83,46118
50000,hamming,84,45661
50000,hamming,85,45119
50000,hamming,86,44119
50000,hamming,87,42906
50000,hamming,88,41213
50000,hamming,89,40209
50000,hamming,90,38497
50000,hamming,91,36916
50000,hamming,92,35204
50000,hamming,93,32666
50000,hamming,94,30477
50000,hamming,95,27811
50000,hamming,96,25170
50000,hamming,97,22477
50000,hamming,98,20267
50000,hamming,99,17886
50000,hamming,100,15928
50000,hamming,101,14332
50000,hamming,102,12762
50000,hamming,103,11633
50000,hamming,104,10276
50000,hamming,105,9239
50000,hamming,106,8477
50000,hamming,107,7489
50000,hamming,108,7161
50000,hamming,109,6336
50000,hamming,110,6043
50000,hamming,111,6045
50000,hamming,112,5771
50000,hamming,113,5690
50000,hamming,114,5573
50000,hamming,115,5719
50000,hamming,116,5556
50000,hamming,117,5456
50000,hamming,118,5569
50000,hamming,119,5744
50000,hamming,120,5812
50000,hamming,121,5821
50000,hamming,122,5615
50000,hamming,123,5634
50000,hamming,124,5563
50000,hamming,125,5385
50000,hamming,126,4994
50000,hamming,127,4891
50000,hamming,128,4890
50000,hamming,129,4842
50000,hamming,130,4597
50000,hamming,131,4510
50000,hamming,132,4381
50000,hamming,133,4311
50000,hamming,134,4142
50000,hamming,135,4094
50000,hamming,136,4302
50000,hamming,137,4566
50000,hamming,138,5122
50000,hamming,139,5431
50000,hamming,140,6157
50000,hamming,141,7005
50000,hamming,142,8099
50000,hamming,143,9208
50000,hamming,144,10685
50000,hamming,145,11698
50000,hamming,146,12733
50000,hamming,147,13782
50000,hamming,148,15426
50000,hamming,149,16422
50000,hamming,150,17766
50000,hamming,151,18884
50000,hamming,152,19634
50000,hamming,153,19836
50000,hamming,154,20213
50000,hamming,155,20459
50000,hamming,156,20211
50000,hamming,157,19706
50000,hamming,158,19101
50000,hamming,159,18368
50000,hamming,160,17323
50000,hamming,161,15975
50000,hamming,162,14465
50000,hamming,163,13058
50000,hamming,164,11083
50000,hamming,165,9486
50000,hamming,166,8381
50000,hamming,167,7374
50000,hamming,168,6380
50000,hamming,169,5428
50000,hamming,170,4266
50000,hamming,171,3670
50000,hamming,172,3113
50000,hamming,173,2618
50000,hamming,174,2254
50000,hamming,175,1763
50000,hamming,176,1435
50000,hamming,177,1293
50000,hamming,178,1155
50000,hamming,179,979
50000,hamming,180,811
50000,hamming,181,717
50000,hamming,182,655
50000,hamming,183,580
50000,hamming,184,497
50000,hamming,185,414
50000,hamming,186,331
50000,hamming,187,287
50000,hamming,188,287
50000,hamming,189,330
50000,hamming,190,271
50000,hamming,191,234
50000,hamming,192,150
50000,hamming,193,122
50000,hamming,194,92
50000,hamming,195,58
50000,hamming,196,39
50000,hamming,197,28
50000,hamming,198,15
50000,hamming,199,17
50000,hamming,200,13
50000,hamming,201,5
50000,hamming,202,13
50000,hamming,203,11
50000,hamming,204,5
50000,hamming,205,4
50000,hamming,206,5
50000,hamming,207,2
50000,hamming,208,3
50000,hamming,209,4
50000,hamming,210,5
50000,hamming,211,7
50000,hamming,212,8
50000,hamming,213,12
50000,hamming,214,17
50000,hamming,215,18
50000,hamming,216,24
50000,hamming,217,23
50000,hamming,218,34
50000,hamming,219,47
50000,hamming,220,46
50000,hamming,221,36
50000,hamming,222,43
50000,hamming,223,60
50000,hamming,224,54
50000,hamming,225,41
50000,hamming,226,54
50000,hamming,227,51
50000,hamming,228,39
