step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies
10000,2260,1.154,0.564,8.09,141006,106566,0,32297,1346,2222797,1272395.4,1031482.0,0.123,0.625,0.111,0.141,106,30.90,19.64,3.19,5.07,4.43,7.28,0.52,2.26,16.57,10.24,0.82,1.56,0.097,0.153,1659,0.038,0.067,0.922,0.003,0.008,240264,174573,7,0.357,0.399,0.128,3952439,0.226,1.603,0.052,114.21,88689,230,0.464,0.196,0.281,17198356,1.92,4.99,0.219,0.634,0.247,7.7,27.2,61.9,117.8,55848,0.213,0.00,0.0034,0.112,601,0.761,0.000,0.643,0.439,4.24,5.09,5.51,0.84,0.253,2.19,1.34,2.14,0.796,0.00766,80.07,50.3734,588.43,110012.0,140221.3,0.098,20.6962,268.115,0.000,1.000,0.127,88.3,111.954,112.288,1539,6941.5,15.07,99.446,5.83,7.442,59.2,4.493,0.135,2.00,7.4679,16877.5,0.4831,0.3226,24.71,1.075,0.183,1.5308,0.0000,0.537,0.125,0.550,0.0000,6.54,1.10,8,25,41,80,97.1532,0.0371,0.4367,0.0000,0.0000,48.9930,100.00,83.2204,251.9194,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0014,0.000008,3,0.2262,0.0226,0.0145,48,155,475,0.0000,0.0000,0.0199,0.052,13.0813,0.0293,4.6655
20000,2731,1.054,0.793,6.19,54843,40060,0,13933,368,783626,478743.1,356191.6,0.116,0.717,0.045,0.121,192,21.55,17.42,2.23,3.88,4.49,7.22,0.44,2.55,8.23,7.09,0.81,1.50,0.127,0.188,1538,0.066,0.044,0.937,0.002,0.017,55651,34173,4,0.852,0.076,0.074,1412166,0.155,1.978,0.080,47.47,20945,327,0.455,0.151,0.355,5167022,1.77,9.10,0.080,0.704,0.250,3.3,15.6,49.9,107.9,42007,0.160,0.00,0.0021,0.130,667,0.471,0.000,0.576,0.170,3.28,3.57,4.99,0.83,0.251,1.92,1.27,2.09,0.500,0.00493,15.32,10.1390,1230.31,109844.7,140221.3,0.000,4.7208,102.522,0.000,1.000,0.323,74.0,43.627,26.992,2016,10124.4,16.62,20.472,4.09,0.896,117.6,0.546,0.134,2.01,4.8563,13262.5,0.6577,0.3832,15.38,1.207,0.237,0.4692,0.0000,0.574,0.063,0.831,0.0000,6.55,0.79,3,14,33,64,33.4995,0.1450,0.3856,0.0000,0.0000,13.1825,100.00,110.3151,188.7574,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0028,0.0013,0.000007,11,0.0968,0.0044,0.0146,45,149,568,0.0000,0.0000,0.0329,0.101,5.3583,0.0242,2.1560
30000,2718,1.157,0.870,5.79,173452,124579,0,46893,1988,2690418,1169129.5,1205407.9,0.099,0.717,0.038,0.145,116,24.55,17.51,2.83,3.78,5.06,7.38,0.20,1.92,9.27,7.12,1.15,1.68,0.130,0.179,1686,0.071,0.057,0.924,0.004,0.015,234870,167822,1,0.983,0.017,0.018,1011180,0.222,2.097,0.090,115.55,64229,246,0.448,0.146,0.372,22784820,2.01,7.93,0.099,0.688,0.362,4.3,19.1,52.5,113.0,47212,0.180,0.00,0.0046,0.130,633,0.746,0.001,0.781,0.304,3.44,3.81,5.23,1.17,0.366,2.16,1.32,2.43,0.778,0.00766,79.71,43.3447,845.90,107244.5,140221.3,0.000,19.3130,265.664,0.000,1.000,0.098,78.0,103.353,106.077,2226,11643.3,14.30,82.267,3.88,7.374,186.0,4.419,0.135,2.00,5.2127,14168.2,0.5889,0.3571,17.37,1.182,0.137,1.5308,0.0000,0.577,0.053,0.911,0.0000,6.50,0.79,4,14,36,61,85.5192,0.0906,0.3856,0.0000,0.0000,48.1670,100.00,87.4543,260.2632,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0014,0.000008,5,0.1571,0.0085,0.0089,52,158,457,0.0000,0.0000,0.0166,0.051,23.2091,0.0380,8.1355
40000,2744,1.130,0.715,7.14,51528,38144,0,12834,511,641420,483724.2,325673.1,0.123,0.753,0.021,0.104,208,24.21,20.51,2.69,4.49,4.47,7.25,0.43,2.39,8.79,6.39,0.81,1.53,0.113,0.171,1509,0.125,0.073,0.908,0.004,0.015,50313,29816,3,0.543,0.042,0.078,565963,0.173,1.884,0.072,47.34,17746,365,0.508,0.120,0.340,5287959,1.90,8.71,0.122,0.673,0.246,4.3,15.2,57.2,110.8,44950,0.171,0.00,0.0020,0.132,735,0.450,0.000,0.598,0.150,3.38,3.46,5.22,0.83,0.247,2.04,1.31,2.26,0.472,0.00545,15.41,7.9014,891.45,109479.3,140221.3,0.000,3.6902,102.922,0.000,1.000,0.350,79.2,44.910,24.273,1787,9169.3,12.68,19.245,3.37,1.033,123.6,0.634,0.133,2.01,5.2884,14511.4,0.6449,0.4371,16.38,1.237,0.216,0.4692,0.0000,0.609,0.067,0.976,0.0000,6.52,0.79,4,14,36,64,34.4598,0.1398,0.3765,0.0000,0.0000,13.0816,100.00,110.8203,197.0372,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0026,0.0012,0.000009,13,0.0867,0.0131,0.0135,51,169,617,0.0000,0.0000,0.0205,0.045,3.9071,0.0248,1.5096
50000,2777,1.016,0.714,6.55,155120,116252,0,37291,1538,2291574,1166891.0,1043381.5,0.085,0.746,0.028,0.141,120,24.04,17.72,3.30,4.28,4.64,6.89,0.19,2.09,9.83,7.35,1.14,1.67,0.120,0.172,1636,0.077,0.050,0.936,0.001,0.013,204482,133460,2,0.484,0.458,0.019,971343,0.233,1.845,0.070,115.22,64674,269,0.455,0.139,0.365,22795760,2.15,8.03,0.120,0.686,0.356,4.3,17.4,50.0,93.1,49866,0.190,0.00,0.0043,0.134,790,0.756,0.000,0.788,0.288,3.53,3.82,5.25,1.15,0.358,2.33,1.33,2.68,0.783,0.00713,80.81,34.9778,760.13,109734.1,140221.3,0.000,14.7601,263.809,0.000,1.000,0.116,90.5,107.174,103.368,1914,9235.1,12.54,79.114,4.04,6.685,96.5,4.211,0.134,2.00,5.2394,14549.8,0.5860,0.3615,17.96,1.121,0.076,1.5308,0.0000,0.629,0.050,0.985,0.0000,6.54,0.71,4,14,36,64,90.3993,0.0751,0.4307,0.0000,0.0000,48.0939,100.00,88.5505,263.6435,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0032,0.0014,0.000007,6,0.1707,0.0112,0.0109,55,166,498,0.0000,0.0000,0.0277,0.067,14.2700,0.0322,5.1286
60000,2451,1.077,0.698,6.14,47855,36912,0,10789,463,601640,474994.8,304539.3,0.109,0.763,0.023,0.106,219,21.88,15.90,3.32,4.57,4.09,6.76,0.19,2.04,9.32,6.54,0.97,1.56,0.114,0.181,1363,0.103,0.086,0.900,0.001,0.012,46089,28948,2,0.532,0.024,0.018,206339,0.224,1.823,0.067,46.96,15946,420,0.506,0.102,0.316,5385242,2.12,8.71,0.106,0.667,0.315,4.0,15.4,46.2,104.0,41482,0.158,0.00,0.0021,0.150,566,0.459,0.000,0.600,0.146,3.47,3.59,5.36,0.99,0.316,2.33,1.39,2.55,0.479,0.00547,16.08,7.5935,683.74,110979.5,140221.3,0.000,3.3197,101.778,0.000,1.000,0.383,69.8,44.550,22.478,1848,8905.0,16.94,16.986,3.49,0.780,108.0,0.488,0.136,2.00,5.7242,14030.0,0.7088,0.4314,16.92,1.097,0.081,0.4692,0.0000,0.639,0.042,0.997,0.0000,6.65,0.71,3,14,36,64,34.7545,0.2671,0.3815,0.0000,0.0000,13.0426,100.00,110.7947,193.4838,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0025,0.0012,0.000009,17,0.1144,0.0126,0.0180,53,174,648,0.0000,0.0000,0.0190,0.041,3.7653,0.0387,1.4548
70000,2537,1.061,0.588,6.80,146816,111828,0,33045,1850,2165045,1159328.1,990721.7,0.065,0.725,0.041,0.169,130,25.45,15.83,4.20,4.46,4.87,6.72,0.19,2.07,10.31,6.88,1.36,1.74,0.127,0.167,1670,0.048,0.066,0.923,0.001,0.009,194453,140483,2,0.585,0.000,0.020,749823,0.259,1.669,0.056,114.47,60582,286,0.458,0.134,0.381,21067664,2.43,8.46,0.133,0.711,0.428,5.4,22.1,46.4,110.8,49652,0.189,0.00,0.0044,0.138,608,0.735,0.001,0.771,0.289,3.60,4.36,4.95,1.37,0.429,2.67,1.42,3.05,0.762,0.00774,82.67,32.5312,687.73,111475.4,140221.3,0.000,13.6610,261.848,0.000,1.000,0.154,86.0,106.743,100.790,1483,7210.1,17.90,76.524,4.23,5.883,75.7,3.755,0.133,2.01,5.9320,15049.5,0.5673,0.3656,19.57,1.094,0.062,1.5308,0.0000,0.668,0.038,1.000,0.0000,6.77,0.90,4,17,36,64,90.3804,0.0913,0.4178,0.0000,0.0000,47.7828,100.00,89.0726,260.5868,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0031,0.0014,0.000008,7,0.1756,0.0146,0.0117,55,169,524,0.0000,0.0000,0.0385,0.087,13.1781,0.0397,4.8757
80000,2445,1.030,0.478,6.91,40749,30953,0,9047,776,485783,473464.8,289322.8,0.023,0.758,0.113,0.105,228,23.56,16.00,3.87,4.31,4.55,6.52,0.15,1.08,8.75,5.86,1.18,1.61,0.116,0.161,1516,0.024,0.059,0.924,0.001,0.016,40235,26158,2,0.492,0.027,0.066,561783,0.080,1.418,0.041,46.75,14260,512,0.596,0.099,0.366,3883456,2.33,9.76,0.099,0.712,0.383,3.7,19.4,46.4,86.8,42372,0.162,0.00,0.0022,0.150,516,0.352,0.000,0.439,0.157,3.41,4.17,4.76,1.19,0.384,2.51,1.40,2.92,0.369,0.00635,16.79,7.6726,776.65,113071.2,140221.3,0.000,3.2125,99.831,0.000,1.000,0.418,73.0,44.059,18.566,1213,5224.3,12.72,13.130,4.38,0.366,36.2,0.250,0.135,1.99,6.3708,15576.6,0.8051,0.5029,17.33,1.148,0.075,0.4692,0.0000,0.671,0.059,0.998,0.0000,6.91,0.92,3,14,36,58,33.3424,0.4359,0.3898,0.0000,0.0000,12.9676,100.00,110.6311,192.3707,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0022,0.0011,0.000010,65,0.2092,0.0160,0.0266,54,183,739,0.0000,0.0000,0.0450,0.230,3.5334,0.0557,1.2313
90000,2485,0.914,0.374,7.06,134089,96400,0,34811,2828,1952129,1119270.4,1012108.0,0.026,0.691,0.117,0.166,138,24.39,15.72,4.02,4.67,4.32,6.29,0.05,0.87,9.72,6.22,1.15,1.58,0.113,0.161,1646,0.031,0.062,0.924,0.001,0.013,172398,116608,2,0.509,0.012,0.008,398060,0.151,1.212,0.030,111.80,55135,324,0.518,0.135,0.367,17547067,2.36,9.82,0.109,0.722,0.390,5.0,20.1,46.4,106.2,45002,0.172,0.00,0.0046,0.137,639,0.655,0.001,0.638,0.275,3.35,4.30,4.63,1.16,0.392,2.60,1.42,2.91,0.681,0.00946,90.11,29.6884,479.43,113748.3,140221.3,0.000,11.1969,257.004,0.000,1.000,0.205,86.1,103.469,82.651,974,3997.2,15.14,60.597,4.58,2.799,20.5,1.951,0.136,2.00,6.7507,16775.4,0.7381,0.4243,18.11,1.142,0.089,1.5308,0.0000,0.682,0.052,0.999,0.0000,6.92,0.95,4,16,36,63,84.8126,0.1207,0.4254,0.0000,0.0000,46.0995,100.00,91.7581,234.4519,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0027,0.0012,0.000010,10,0.1708,0.0137,0.0126,56,178,586,0.0000,0.0000,0.0251,0.136,10.1769,0.0335,3.9705
100000,2384,1.002,0.270,7.05,43341,31332,0,11144,866,535660,463827.0,311684.7,0.028,0.708,0.171,0.093,216,21.23,14.56,2.78,4.34,3.60,6.00,0.05,0.95,9.91,6.55,0.56,1.03,0.108,0.176,1420,0.043,0.081,0.901,0.003,0.015,43421,27786,2,0.543,0.102,0.005,182435,0.149,0.920,0.016,45.92,15496,457,0.582,0.156,0.292,3690921,1.96,11.66,0.088,0.673,0.249,4.0,17.9,42.8,89.7,38947,0.149,0.00,0.0020,0.136,632,0.351,0.000,0.372,0.145,3.25,4.09,4.48,0.57,0.250,2.10,1.28,2.34,0.371,0.00628,17.75,7.9110,511.28,114065.4,140221.3,0.000,3.1524,99.425,0.000,1.000,0.394,66.9,43.049,16.126,608,2155.7,15.18,10.719,4.28,0.245,8.1,0.165,0.135,2.00,7.6600,18261.5,0.9966,0.4927,16.34,1.170,0.152,0.4692,0.0000,0.695,0.034,1.000,0.0000,7.20,0.94,3,14,35,64,32.1814,0.5251,0.3519,0.0000,0.0000,12.9482,100.00,110.2726,179.5348,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0022,0.0011,0.000010,100,0.2097,0.0176,0.0261,47,161,728,0.0000,0.0000,0.0583,0.204,3.5346,0.0640,1.5655
