step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,5,463,22.9,0.9,0.3,0.3,20.5,0.0,1.24,6.6,343,208,17.72,5.08,215,157,91,0.0,1.30,1.26,1.21,4.00,4.91,4.80,26.0,1.011,0.617,6.39
5000,1,44,30.8,0.0,11.8,0.2,4.3,0.0,1.00,3.0,41,124,2.12,16.31,0,9,35,0.0,1.00,1.00,1.00,3.23,4.39,4.52,46.6,1.907,0.534,5.18
5000,2,6,26.5,0.0,0.0,0.0,23.8,0.0,1.00,10.0,4,166,18.06,2.28,0,0,6,0.0,1.00,1.00,1.00,4.67,6.00,6.83,41.9,1.112,0.482,8.00
6000,5,2519,31.7,4.7,5.3,0.6,13.1,1.3,2.72,3.2,1842,196,9.91,11.35,918,829,772,1.3,2.87,1.43,3.61,4.11,5.08,5.45,30.8,1.120,0.559,6.03
6000,29,60,22.6,0.2,0.0,0.6,19.0,0.0,1.04,7.7,51,244,20.41,4.17,1,3,56,0.0,1.05,1.00,1.05,4.20,4.45,5.05,53.8,1.161,0.558,6.57
6000,2,22,26.7,1.2,0.0,0.0,20.9,0.0,1.19,5.9,17,375,26.75,3.06,0,1,21,0.0,1.07,1.39,1.18,5.27,5.73,5.82,50.0,1.144,0.489,7.09
7000,5,1423,35.2,6.7,7.6,0.9,8.1,1.9,3.45,2.0,1106,224,7.20,15.28,483,512,428,1.9,3.71,1.61,4.66,4.01,4.99,5.55,30.8,1.199,0.594,5.73
7000,52,169,19.1,0.5,1.3,0.0,18.5,0.0,1.21,6.2,123,211,15.00,3.24,61,70,38,0.0,1.23,1.24,1.21,3.89,4.91,4.76,28.3,0.912,0.445,6.33
7000,29,67,30.3,0.2,0.0,2.8,26.6,0.0,1.07,2.2,46,191,18.32,2.06,7,18,42,0.0,1.07,1.05,1.08,4.96,5.46,5.75,44.2,1.082,0.596,6.13
7000,38,35,17.1,0.0,0.1,1.3,20.1,0.0,1.00,6.3,29,197,13.48,4.13,22,12,1,0.0,1.00,1.00,1.00,3.97,4.83,4.66,20.2,0.829,0.427,6.31
7000,34,33,31.4,1.0,7.0,0.0,8.4,0.1,1.46,1.3,28,135,3.23,10.93,10,11,12,0.5,1.39,1.40,1.57,2.97,4.21,4.42,33.2,1.804,0.662,4.64
8000,5,1650,32.2,6.0,7.2,0.6,7.9,1.8,3.22,2.0,1235,207,7.03,13.63,577,520,553,1.8,3.43,1.52,4.42,3.87,4.84,5.32,31.7,1.182,0.580,5.55
8000,29,75,23.8,0.0,0.0,2.2,20.6,0.0,1.00,5.5,54,224,17.95,2.23,22,18,35,0.0,1.00,1.00,1.00,4.17,5.00,5.32,35.8,1.098,0.571,6.51
