step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,1940,0.5376,16709.4,243,713,638,589,82,56,67,34249,34787,37199,0,0,0,1.000,1.000,1.000,507,122,6,0.1621,0.2780,0.5300,0.1014
2000,2864,0.3712,14712.6,147,1040,976,848,104,136,125,31126,30939,34337,0,0,0,1.000,1.000,1.000,762,235,28,0.2886,0.1541,0.5613,0.0690
3000,3322,0.4097,18832.3,173,1179,1190,953,138,177,135,28677,28082,31995,0,0,0,1.000,1.000,1.000,884,302,23,0.3362,0.1401,0.5560,0.0626
4000,3629,0.4277,21616.9,200,1302,1231,1096,152,164,130,29788,27779,31908,0,0,0,1.000,1.000,1.000,928,265,26,0.2555,0.1821,0.5158,0.0682
5000,3879,0.4107,19533.0,194,1354,1350,1175,188,207,161,30405,28223,32308,0,0,0,1.000,1.000,1.000,1019,310,34,0.3004,0.1542,0.5596,0.0637
6000,3696,0.4462,21365.1,208,1342,1270,1084,166,168,156,31887,29404,33907,0,0,0,1.000,1.000,1.000,1014,309,29,0.1957,0.2760,0.5109,0.0869
7000,3362,0.4709,22048.8,233,1214,1167,981,166,157,160,33208,30511,34897,0,0,0,1.000,1.000,1.000,900,285,32,0.1550,0.2505,0.5012,0.1024
8000,3127,0.4490,19164.2,226,1146,1044,937,169,153,158,33137,31006,36470,0,0,0,1.000,1.000,1.000,845,269,21,0.1736,0.2200,0.5528,0.0936
9000,2845,0.4900,17560.9,249,1110,938,797,159,170,149,34150,32991,38039,0,0,0,1.000,1.000,1.000,857,231,22,0.1330,0.2668,0.5766,0.1064
10000,2464,0.4590,15064.5,252,978,752,734,139,164,164,34181,33588,39288,0,0,0,1.000,1.000,1.000,724,190,19,0.1734,0.1987,0.6273,0.0978
11000,2059,0.4696,12835.8,258,850,673,536,139,156,155,34132,35718,42188,0,0,0,1.000,1.000,1.000,667,162,23,0.1364,0.2219,0.6508,0.1128
12000,1372,0.4993,9819.7,310,659,406,307,96,135,133,35009,39014,46126,0,0,0,1.000,1.000,1.000,514,112,12,0.0754,0.3204,0.7324,0.1634
13000,967,0.4685,9009.2,460,542,261,164,74,122,105,34686,41670,49656,0,0,0,1.000,1.000,1.000,391,77,2,0.0134,0.7944,0.7836,0.3302
14000,720,0.4472,7916.0,600,438,179,103,40,132,83,33582,43371,52140,0,0,0,1.000,1.000,1.000,323,53,2,0.0035,1.0000,0.7599,0.3200
15000,630,0.4270,8225.6,671,445,158,27,23,134,25,31870,44298,53962,0,0,0,1.000,1.000,1.000,341,44,1,0.0003,1.0000,0.5688,0.2215
16000,753,0.4329,6849.7,490,533,165,55,28,126,51,30865,44353,54825,0,0,0,1.000,1.000,1.000,423,45,2,0.0033,1.0000,0.7795,0.3440
17000,976,0.4201,6672.5,296,584,263,129,45,139,90,30358,43685,54714,0,0,0,1.000,1.000,1.000,458,72,4,0.0065,0.9564,0.7890,0.3391
18000,1549,0.3751,9989.4,254,824,449,276,90,151,132,28890,41536,52852,0,0,0,1.000,1.000,1.000,629,99,8,0.0219,0.6774,0.7401,0.2900
19000,1931,0.4076,11192.7,248,866,574,491,139,133,167,28241,39332,50741,0,0,0,1.000,1.000,1.000,645,145,20,0.0478,0.4339,0.7155,0.1766
20000,2406,0.4111,15974.9,255,986,779,641,173,165,162,28200,37100,47921,0,0,0,1.000,1.000,1.000,769,207,15,0.0427,0.4996,0.6373,0.1906
21000,2573,0.4267,17663.5,263,989,899,685,152,192,167,28700,35027,45124,0,0,0,1.000,1.000,1.000,735,268,23,0.0739,0.3330,0.6398,0.1459
22000,3160,0.4304,21107.8,269,1207,1057,896,192,184,169,28474,32736,41845,0,0,0,1.000,1.000,1.000,897,258,23,0.0926,0.3552,0.5829,0.1234
23000,3519,0.4280,23497.5,273,1258,1256,1005,196,169,180,28773,30838,40001,0,0,0,1.000,1.000,1.000,949,295,34,0.1035,0.3085,0.5550,0.1211
24000,3553,0.4596,25272.2,284,1260,1218,1075,165,200,170,28976,29781,37913,0,0,0,1.000,1.000,1.000,915,307,28,0.1115,0.3268,0.5565,0.1125
25000,3697,0.4309,24705.2,285,1254,1303,1140,191,198,162,30040,30188,37420,0,0,0,1.000,1.000,1.000,893,308,32,0.1042,0.3165,0.5432,0.1172
