step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn
100000,2.27,18,0,0,0,2,0,1.00,18,0.000,1426,0.13,47.64,14.33,417,0,0,0,1.00,1.00,1.00,1,2,1,12.9,2.600,2,1.134,0.548,6,1.000,0
100000,3.16,18,0,0,0,3,0,1.00,16,0.000,1392,0.00,72.27,4.07,417,1,0,0,1.00,1.00,1.00,2,2,2,36.1,15.816,3,1.054,0.494,6,1.000,0
100000,7.21,17,0,0,0,7,0,1.00,12,0.000,1271,0.00,65.92,5.89,416,1,1,0,1.00,1.00,1.00,1,3,3,37.8,33.218,7,1.030,0.529,6,1.000,0
100000,4.22,18,0,0,0,4,0,1.00,14,0.000,1262,1.88,42.96,0.91,417,1,0,0,1.00,1.00,1.00,1,3,2,35.2,11.870,4,1.054,0.494,6,1.000,0
100000,1.05,18,0,0,0,1,0,1.00,20,0.000,1181,0.00,59.99,3.62,417,2,1,0,1.00,1.00,1.00,1,1,1,41.1,3.249,1,1.054,0.494,6,1.000,0
100000,1.05,18,0,0,0,1,0,1.00,20,0.000,1150,0.00,40.60,2.55,417,1,0,0,1.00,1.00,1.00,1,1,1,38.2,3.377,1,1.054,0.494,6,1.000,0
100000,1.05,18,0,0,0,1,0,1.00,20,0.000,1124,0.00,29.82,1.43,417,2,2,0,1.00,1.00,1.00,1,1,1,40.2,0.858,1,1.054,0.494,6,1.000,0
100000,5.95,22,0,0,0,5,0,1.00,12,0.000,1115,0.00,55.53,3.74,1,0,0,0,1.00,1.00,1.00,2,1,5,11.6,3.184,5,1.191,0.509,6,1.000,0
100000,2.25,18,0,0,0,2,0,1.00,18,0.000,1080,0.23,38.19,5.31,417,0,0,0,1.00,1.00,1.00,1,1,2,15.7,10.403,2,1.124,0.484,6,1.000,0
100000,3.09,18,0,0,0,3,0,1.00,16,0.000,1050,0.00,39.45,7.37,416,0,1,0,1.00,1.00,1.00,2,2,2,23.1,13.744,3,1.029,0.532,6,1.000,0
100000,13.61,18,4,2,0,1,2,3.25,8,0.147,1047,0.00,22.23,30.91,1,0,0,2,3.00,2.50,3.75,3,4,4,24.5,1.881,7,1.238,0.424,6,1.000,0
100000,16.09,18,4,5,0,0,2,3.29,10,0.311,1043,0.00,21.71,35.21,1,0,1,2,3.00,1.50,4.67,2,3,4,4.6,6.446,9,1.238,0.424,6,1.000,1
100000,2.11,18,0,0,0,2,0,1.00,18,0.000,1031,0.01,41.21,1.42,417,0,1,0,1.00,1.00,1.00,1,1,2,9.4,10.544,2,1.054,0.494,6,1.000,0
100000,3.62,36,0,0,0,3,0,1.00,16,0.000,1019,0.00,43.09,5.46,1,0,2,0,1.00,1.00,1.00,1,2,2,17.7,4.975,3,1.208,0.379,6,1.000,0
100000,14.85,18,4,4,0,0,2,3.43,10,0.269,1002,0.00,29.13,48.82,1,2,1,2,3.00,2.00,4.67,2,3,4,40.5,9.449,8,1.238,0.424,6,1.000,0
100000,1.01,18,0,0,0,1,0,1.00,20,0.000,1002,0.00,60.42,0.87,417,1,0,0,1.00,1.00,1.00,1,1,1,29.9,2.644,1,1.014,0.477,6,1.000,0
100000,2.11,17,0,0,0,2,0,1.00,18,0.000,996,0.13,40.07,4.42,417,2,0,0,1.00,1.00,1.00,1,2,1,42.3,7.316,2,1.054,0.494,6,1.000,0
100000,6.03,18,0,0,0,6,0,1.00,10,0.000,995,0.00,38.39,1.95,417,2,2,0,1.00,1.00,1.00,2,3,4,46.8,11.318,6,1.005,0.518,6,1.000,0
100000,1.03,17,0,0,0,1,0,1.00,20,0.000,975,0.00,45.35,2.68,416,2,1,0,1.00,1.00,1.00,1,1,1,39.5,4.842,1,1.030,0.529,6,1.000,0
100000,7.38,18,0,0,0,7,0,1.00,12,0.000,965,0.70,59.51,3.73,417,0,0,0,1.00,1.00,1.00,3,3,3,13.9,29.352,7,1.054,0.494,6,1.000,0
100000,1.04,17,0,0,0,1,0,1.00,20,0.000,933,0.00,58.06,2.51,416,2,2,0,1.00,1.00,1.00,1,1,1,43.9,2.680,1,1.037,0.489,6,1.000,0
100000,5.15,18,0,0,0,5,0,1.00,14,0.000,927,0.42,63.76,4.20,416,1,1,0,1.00,1.00,1.00,1,2,3,29.4,25.036,5,1.029,0.532,6,1.000,0
100000,2.10,18,0,0,0,2,0,1.00,18,0.000,923,0.00,53.57,0.86,227,0,0,0,1.00,1.00,1.00,2,1,2,13.3,2.501,2,1.048,0.534,6,1.000,0
100000,4.15,17,0,0,0,4,0,1.00,14,0.000,921,0.00,37.98,7.19,416,2,2,0,1.00,1.00,1.00,2,1,4,42.7,14.879,4,1.037,0.489,6,1.000,0
100000,6.18,17,0,0,0,6,0,1.00,12,0.000,902,0.04,44.22,3.03,416,1,1,0,1.00,1.00,1.00,2,3,3,38.4,30.910,6,1.030,0.529,6,1.000,0
100000,3.16,17,0,0,0,3,0,1.00,16,0.000,899,0.00,42.57,7.19,423,2,2,0,1.00,1.00,1.00,2,3,1,40.1,2.634,3,1.052,0.577,6,1.000,0
100000,2.06,17,0,0,0,2,0,1.00,18,0.000,889,0.03,33.67,3.58,416,1,1,0,1.00,1.00,1.00,1,1,2,38.6,7.356,2,1.030,0.529,6,1.000,0
100000,2.02,10,0,0,0,2,0,1.00,14,0.000,887,0.00,28.41,0.77,417,0,0,0,1.00,1.00,1.00,2,2,1,22.3,8.850,2,1.008,0.472,5,1.000,0
100000,3.16,17,0,0,0,3,0,1.00,16,0.000,867,0.71,46.77,1.89,417,1,0,0,1.00,1.00,1.00,1,3,1,29.8,8.092,3,1.054,0.494,6,1.000,0
100000,14.41,18,0,0,0,14,0,1.00,8,0.000,864,1.36,57.48,1.84,416,2,2,0,1.00,1.00,1.00,2,3,5,44.9,14.474,14,1.029,0.532,6,1.000,0
100000,2.06,18,0,0,0,2,0,1.00,18,0.000,861,0.00,35.89,1.27,416,1,1,0,1.00,1.00,1.00,1,1,2,33.5,5.873,2,1.029,0.532,6,1.000,0
100000,23.51,18,4,7,0,4,2,2.88,8,0.298,860,-0.00,15.31,68.36,1,2,1,2,3.00,1.00,3.75,4,4,4,40.1,4.925,15,1.238,0.424,6,1.000,0
100000,2.11,18,0,0,0,2,0,1.00,18,0.000,853,0.00,42.52,1.52,417,2,1,0,1.00,1.00,1.00,2,2,1,39.4,0.803,2,1.054,0.494,6,1.000,0
100000,17.33,18,4,5,0,1,2,3.00,8,0.289,851,0.00,20.11,38.88,1,0,1,2,3.00,1.50,3.75,2,4,4,1.3,9.153,10,1.238,0.424,6,1.000,0
100000,2.11,18,0,0,0,2,0,1.00,16,0.000,848,0.35,37.30,2.60,417,2,1,0,1.00,1.00,1.00,1,2,2,41.2,10.544,2,1.054,0.494,6,1.000,0
100000,27.64,24,6,8,0,6,2,3.27,2,0.289,829,1.83,19.42,59.59,1,0,2,2,3.00,1.67,4.40,4,5,6,14.7,17.581,20,1.063,0.511,6,1.000,0
100000,18.56,18,4,6,0,1,2,3.00,8,0.323,828,0.00,18.71,41.62,1,2,2,2,3.00,1.50,3.75,3,4,4,44.4,17.648,11,1.238,0.424,6,1.000,0
100000,3.16,18,0,0,0,3,0,1.00,16,0.000,824,0.69,51.40,2.46,417,2,1,0,1.00,1.00,1.00,2,3,1,39.9,15.816,3,1.054,0.494,6,1.000,0
100000,3.16,18,0,0,0,3,0,1.00,16,0.000,824,0.00,37.60,5.20,417,0,0,0,1.00,1.00,1.00,1,2,2,3.9,2.534,3,1.054,0.494,6,1.000,0
100000,3.09,18,0,0,0,3,0,1.00,16,0.000,811,0.00,32.66,9.36,227,0,1,0,1.00,1.00,1.00,1,2,2,26.1,11.137,3,1.030,0.551,6,1.000,1
100000,2.00,15,0,0,0,2,0,1.00,18,0.000,808,0.02,39.31,1.02,416,1,2,0,1.00,1.00,1.00,1,2,1,39.2,7.308,2,0.998,0.495,6,1.000,0
100000,1.03,18,0,0,0,1,0,1.00,20,0.000,808,0.00,42.19,3.20,227,1,1,0,1.00,1.00,1.00,1,1,1,29.3,2.332,1,1.030,0.551,6,1.000,0
100000,16.09,18,4,4,0,1,2,3.12,8,0.249,807,0.00,8.74,70.76,1,1,2,2,3.00,2.00,3.75,2,4,4,28.3,15.484,9,1.238,0.424,6,1.000,0
100000,3.16,18,0,0,0,3,0,1.00,16,0.000,799,0.00,44.40,6.99,417,0,0,0,1.00,1.00,1.00,1,1,3,20.6,12.506,3,1.054,0.494,6,1.000,0
100000,1.18,12,0,0,0,1,0,1.00,20,0.000,797,0.13,44.67,0.50,417,2,2,0,1.00,1.00,1.00,1,1,1,40.5,3.253,1,1.180,0.432,6,1.000,0
100000,1.04,17,0,0,0,1,0,1.00,20,0.000,796,0.00,33.53,1.19,416,1,1,0,1.00,1.00,1.00,1,1,1,31.6,1.539,1,1.037,0.489,6,1.000,0
100000,5.27,17,0,0,0,5,0,1.00,14,0.000,793,0.06,36.92,6.57,417,1,0,0,1.00,1.00,1.00,3,3,5,29.3,16.658,5,1.054,0.494,6,1.000,0
100000,4.09,18,0,0,0,4,0,1.00,16,0.000,792,0.89,48.04,0.30,417,0,0,0,1.00,1.00,1.00,1,2,2,19.2,18.684,4,1.023,0.491,6,1.000,0
100000,3.09,17,0,0,0,3,0,1.00,16,0.000,775,0.00,42.26,4.30,416,1,2,0,1.00,1.00,1.00,1,1,3,34.0,9.437,3,1.030,0.529,6,1.000,0
100000,2.07,17,0,0,0,2,0,1.00,18,0.000,771,0.53,26.61,0.34,416,2,2,0,1.00,1.00,1.00,1,1,2,41.1,6.349,2,1.037,0.489,6,1.000,0
100000,2.06,18,0,0,0,2,0,1.00,18,0.000,771,0.00,26.44,6.15,227,0,0,0,1.00,1.00,1.00,1,1,2,25.4,5.252,2,1.030,0.551,6,1.000,0
100000,2.38,26,0,0,0,2,0,1.00,22,0.000,761,0.00,32.75,2.42,1,0,1,0,1.00,1.00,1.00,2,1,2,18.5,6.875,2,1.191,0.452,7,1.000,0
100000,5.09,30,2,0,0,0,0,4.00,18,0.000,753,0.00,10.36,40.26,1,1,1,0,3.00,3.00,6.00,1,1,2,32.5,0.190,2,1.271,0.416,6,1.000,1
100000,2.09,19,0,0,0,2,0,1.00,18,0.000,749,0.02,34.36,1.45,423,2,2,0,1.00,1.00,1.00,1,2,1,46.7,3.085,2,1.044,0.568,6,1.000,0
100000,2.11,18,0,0,0,2,0,1.00,18,0.000,747,0.00,27.85,1.38,417,1,2,0,1.00,1.00,1.00,2,1,2,38.6,7.295,2,1.054,0.494,6,1.000,0
100000,3.16,18,0,0,0,3,0,1.00,16,0.000,746,0.97,32.90,2.44,417,1,1,0,1.00,1.00,1.00,1,2,2,37.8,10.413,3,1.054,0.494,6,1.000,1
100000,7.38,18,0,0,0,7,0,1.00,12,0.000,737,2.01,41.63,1.71,417,0,0,0,1.00,1.00,1.00,1,3,3,6.9,6.391,7,1.054,0.494,6,1.000,0
100000,3.16,17,0,0,0,3,0,1.00,14,0.000,737,1.06,32.16,10.01,417,1,1,0,1.00,1.00,1.00,2,3,4,33.7,15.816,3,1.054,0.494,6,1.000,0
100000,5.15,17,0,0,0,5,0,1.00,14,0.000,737,0.00,39.83,1.93,416,1,2,0,1.00,1.00,1.00,2,3,2,39.2,18.406,5,1.030,0.529,6,1.000,0
100000,2.25,18,0,0,0,2,0,1.00,18,0.000,735,0.00,33.66,4.93,417,0,0,0,1.00,1.00,1.00,1,1,2,6.3,3.074,2,1.124,0.484,6,1.000,0
100000,3.16,18,0,0,0,3,0,1.00,14,0.000,730,0.00,34.57,1.06,417,2,2,0,1.00,1.00,1.00,2,3,2,45.0,1.788,3,1.054,0.494,6,1.000,0
100000,9.49,18,0,0,0,9,0,1.00,12,0.000,729,1.66,68.18,1.92,417,0,0,0,1.00,1.00,1.00,4,3,3,6.2,28.757,9,1.054,0.494,6,1.000,0
100000,4.13,31,0,0,0,4,0,1.00,16,0.000,727,0.83,37.06,2.70,416,0,0,0,1.00,1.00,1.00,1,2,2,11.9,10.321,4,1.033,0.538,6,1.000,0
100000,5.27,18,0,0,0,5,0,1.00,14,0.000,727,0.00,34.42,9.20,417,2,1,0,1.00,1.00,1.00,2,2,3,39.5,4.258,5,1.054,0.494,6,1.000,0
100000,23.02,21,5,8,0,3,2,3.00,0,0.347,726,1.81,16.53,46.42,1,0,0,2,3.00,1.40,3.80,3,5,5,4.3,11.224,16,1.096,0.418,5,1.000,0
