step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3377,0.00,111.15,133.98,588,2,0,0,1.00,1.00,1.00,1,1,1,40.7,4.959,1,2.000,0.000,4,1.000,12
100000,6.00,16,0,0,0,3,0,1.00,8,0.000,3329,0.00,102.16,131.62,734,0,0,0,1.00,1.00,1.00,1,2,2,10.5,17.944,3,2.000,0.000,4,1.000,10
100000,8.00,16,0,2,0,2,0,1.00,8,0.250,3222,0.00,93.89,153.67,719,2,0,0,1.00,1.00,1.00,2,2,2,54.2,7.888,4,2.000,0.000,4,1.000,7
100000,8.00,16,0,4,0,0,0,1.00,6,0.500,3128,0.00,87.09,144.02,719,1,0,0,1.00,1.00,1.00,3,2,3,32.5,2.990,4,2.000,0.000,4,1.000,7
100000,22.00,16,0,5,0,6,0,1.00,0,0.227,3126,0.00,117.00,58.36,734,0,0,0,1.00,1.00,1.00,3,4,4,21.7,42.313,11,2.000,0.000,4,1.000,5
100000,10.00,16,0,5,0,0,0,1.00,4,0.500,3125,0.00,95.68,118.48,732,0,0,0,1.00,1.00,1.00,2,3,3,1.1,0.046,5,2.000,0.000,4,1.000,6
100000,10.00,16,0,0,0,5,0,1.00,6,0.000,3120,0.00,90.97,73.49,732,1,0,0,1.00,1.00,1.00,2,2,3,37.2,8.779,5,2.000,0.000,4,1.000,9
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,3030,0.11,105.01,129.46,734,0,0,0,1.00,1.00,1.00,1,2,1,21.5,11.728,2,2.000,0.000,4,1.000,7
100000,18.00,25,0,5,0,4,0,1.00,4,0.278,3026,-0.00,114.79,148.11,741,1,1,0,1.00,1.00,1.00,2,3,5,30.9,10.572,9,2.000,0.000,5,1.000,13
100000,14.00,16,0,6,0,1,0,1.00,4,0.429,3017,0.00,90.96,142.23,487,0,0,0,1.00,1.00,1.00,4,2,4,27.4,15.705,7,2.000,0.000,4,1.000,6
100000,12.00,16,0,3,0,3,0,1.00,2,0.250,2993,0.00,101.62,41.14,588,0,0,0,1.00,1.00,1.00,2,4,3,14.9,11.298,6,2.000,0.000,4,1.000,8
100000,10.00,16,0,1,0,4,0,1.00,6,0.100,2957,0.00,66.78,131.17,719,1,0,0,1.00,1.00,1.00,2,3,2,32.2,4.168,5,2.000,0.000,4,1.000,7
100000,20.00,16,0,6,0,4,0,1.00,0,0.300,2957,0.00,89.46,196.58,588,2,1,0,1.00,1.00,1.00,2,4,4,44.7,30.126,10,2.000,0.000,4,1.000,6
100000,14.00,16,0,3,0,4,0,1.00,2,0.214,2948,0.00,83.19,68.65,588,1,0,0,1.00,1.00,1.00,3,4,3,36.2,9.511,7,2.000,0.000,4,1.000,7
100000,28.00,16,0,7,0,7,0,1.00,0,0.250,2795,0.43,102.83,99.35,588,0,0,0,1.00,1.00,1.00,2,4,4,2.1,43.498,14,2.000,0.000,4,1.000,2
100000,28.00,16,0,4,0,10,0,1.00,0,0.143,2761,0.00,129.74,77.78,719,2,0,0,1.00,1.00,1.00,2,4,4,44.2,72.092,14,2.000,0.000,4,1.000,2
100000,20.00,16,0,1,0,9,0,1.00,0,0.050,2746,0.00,86.80,40.44,719,0,0,0,1.00,1.00,1.00,3,4,4,23.3,21.612,10,2.000,0.000,4,1.000,5
