step,cause,age,size,n,worn
10000,hunger,0,0,4,0
10000,hunger,0,4,5,0
10000,hunger,0,8,7,0
10000,hunger,0,12,9,0
10000,hunger,0,16,16,0
10000,hunger,0,20,12,0
10000,hunger,0,24,302,0
10000,hunger,0,28,14,0
10000,hunger,0,32,59,1
10000,hunger,0,36,799,4
10000,hunger,0,40,31,0
10000,hunger,0,44,35,1
10000,hunger,0,48,589,0
10000,hunger,0,52,17,0
10000,hunger,0,56,13,0
10000,hunger,0,60,39,0
10000,hunger,0,64,335,2
10000,hunger,0,68,8,0
10000,hunger,0,72,7,0
10000,hunger,0,76,8,0
10000,hunger,0,80,111,0
10000,hunger,0,88,3,0
10000,hunger,0,96,1,0
10000,hunger,0,100,52,1
10000,hunger,0,116,3,0
10000,hunger,0,120,14,0
10000,hunger,0,144,1,0
10000,hunger,50,0,87,0
10000,hunger,50,4,56,0
10000,hunger,50,8,74,1
10000,hunger,50,12,81,0
10000,hunger,50,16,80,0
10000,hunger,50,20,54,0
10000,hunger,50,24,660,2
10000,hunger,50,28,40,0
10000,hunger,50,32,92,0
10000,hunger,50,36,1803,8
10000,hunger,50,40,133,1
10000,hunger,50,44,107,0
10000,hunger,50,48,1379,13
10000,hunger,50,52,63,1
10000,hunger,50,56,68,0
10000,hunger,50,60,117,0
10000,hunger,50,64,884,4
10000,hunger,50,68,17,0
10000,hunger,50,72,16,0
10000,hunger,50,76,22,0
10000,hunger,50,80,313,0
10000,hunger,50,84,2,0
10000,hunger,50,92,5,0
10000,hunger,50,96,2,0
10000,hunger,50,100,52,0
10000,hunger,50,104,1,0
10000,hunger,50,120,12,0
10000,hunger,50,140,1,0
10000,hunger,50,144,2,0
10000,hunger,100,0,24,0
10000,hunger,100,4,34,0
10000,hunger,100,8,24,0
10000,hunger,100,12,31,0
10000,hunger,100,16,55,0
10000,hunger,100,20,52,1
10000,hunger,100,24,470,0
10000,hunger,100,28,47,1
10000,hunger,100,32,91,0
10000,hunger,100,36,1406,7
10000,hunger,100,40,136,3
10000,hunger,100,44,117,0
10000,hunger,100,48,1432,10
10000,hunger,100,52,46,0
10000,hunger,100,56,85,1
10000,hunger,100,60,130,1
10000,hunger,100,64,891,10
10000,hunger,100,68,22,0
10000,hunger,100,72,17,0
10000,hunger,100,76,23,0
10000,hunger,100,80,304,5
10000,hunger,100,84,3,0
10000,hunger,100,88,1,0
10000,hunger,100,92,2,0
10000,hunger,100,96,3,0
10000,hunger,100,100,49,1
10000,hunger,100,108,2,0
10000,hunger,100,120,8,0
10000,hunger,100,144,2,0
10000,hunger,150,0,11,0
10000,hunger,150,4,13,0
10000,hunger,150,8,23,0
10000,hunger,150,12,52,2
10000,hunger,150,16,57,0
10000,hunger,150,20,85,0
10000,hunger,150,24,338,1
10000,hunger,150,28,59,0
10000,hunger,150,32,103,2
10000,hunger,150,36,1239,11
10000,hunger,150,40,162,1
10000,hunger,150,44,130,3
10000,hunger,150,48,1382,19
10000,hunger,150,52,69,1
10000,hunger,150,56,76,3
10000,hunger,150,60,119,0
10000,hunger,150,64,904,17
10000,hunger,150,68,28,0
10000,hunger,150,72,15,0
10000,hunger,150,76,30,1
10000,hunger,150,80,300,4
10000,hunger,150,84,2,0
10000,hunger,150,88,2,0
10000,hunger,150,92,1,0
10000,hunger,150,96,3,0
10000,hunger,150,100,40,1
10000,hunger,150,104,2,0
10000,hunger,150,112,1,0
10000,hunger,150,116,1,0
10000,hunger,150,120,23,1
10000,hunger,150,132,1,0
10000,hunger,150,144,5,0
10000,hunger,150,196,1,0
10000,hunger,200,0,5,0
