step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,356,45.67,0.06,9.74,1.65,19.92,0.01,1.02,0.003,0.129,282446.9,221194.5,3,44,4.99,1.01,1.01,6.7568,180.93,29348.7,0.0115,48.7020,5462,22.8422,1854,11.3758,47018.2,149.79,3.0681,0.0,0.0000,1.000,0.7360
10000,1,325,48.15,0.14,10.22,2.14,21.36,0.00,1.04,0.000,0.124,279361.4,208033.3,3,64,5.26,1.05,1.04,6.3397,166.15,29825.5,0.0142,48.0496,5461,22.8380,1715,11.8990,47429.6,94.51,13.9405,0.0,0.0000,1.000,0.2913
10000,2,193,58.25,0.14,15.69,1.62,16.85,0.01,1.01,0.005,0.077,207362.3,139124.0,3,76,5.37,1.01,1.01,4.0831,136.74,33570.3,0.0145,35.3997,5461,22.8380,1802,7.8390,28906.9,55.70,34.9580,0.0,0.0000,1.000,0.0101
20000,0,298,43.08,0.43,0.48,6.22,35.31,0.00,1.01,0.000,0.144,137650.6,53661.2,2,44,6.66,1.01,1.01,2.8368,391.38,15765.3,0.0003,25.8858,5462,6.9943,1225,3.2579,13030.6,149.79,1.2214,0.0,0.0000,1.000,0.7360
20000,1,270,42.39,0.63,0.82,5.95,33.94,0.03,1.09,0.007,0.129,76883.8,26155.6,2,83,6.42,1.12,1.10,1.4054,338.97,26649.3,0.0000,14.5218,5461,6.9930,1209,1.7360,6335.7,94.51,3.6507,0.0,0.0000,1.000,0.2913
20000,2,195,43.12,0.34,0.24,6.71,35.76,0.00,1.00,0.000,0.095,51563.2,16386.0,3,113,6.60,1.00,1.01,0.8750,285.25,31062.1,0.0000,9.5662,5461,6.9930,1137,1.0782,3397.8,55.70,8.4141,0.0,0.0000,1.000,0.0101
30000,0,478,31.02,0.81,5.91,2.37,14.10,0.02,1.15,0.004,0.127,275999.2,263308.8,1,75,4.37,1.12,1.18,9.1489,302.09,28401.6,0.0004,51.1146,5462,21.4773,1775,8.3974,39109.3,149.79,3.0698,0.0,0.0000,1.000,0.7360
30000,1,488,33.27,0.82,5.93,2.30,15.97,0.01,1.19,0.002,0.139,272291.7,254049.8,2,91,4.55,1.18,1.23,8.7400,256.78,30341.8,0.0000,50.2807,5461,21.4734,1650,8.5728,39701.3,94.51,13.9099,0.0,0.0000,1.000,0.2913
30000,2,356,34.68,0.95,6.31,2.68,15.97,0.02,1.14,0.006,0.107,198190.5,173399.2,2,106,4.49,1.14,1.15,5.6699,200.14,33811.9,0.0000,37.2555,5461,21.4734,1790,5.7441,24692.5,55.70,34.9684,0.0,0.0000,1.000,0.0101
40000,0,295,42.20,0.22,0.01,3.84,37.07,0.00,1.00,0.000,0.139,138721.5,54389.1,1,36,6.78,1.00,1.01,3.9466,308.24,17230.2,0.0005,26.2661,5462,6.9500,1116,2.5332,11004.5,149.79,1.1776,0.0,0.0000,1.000,0.7360
40000,1,251,44.75,0.29,0.06,4.17,39.16,0.00,1.01,0.000,0.125,77348.6,28405.2,1,87,7.15,1.00,1.02,1.8292,215.14,27565.8,0.0000,14.6774,5461,6.9487,1103,1.4632,5373.2,94.51,3.6413,0.0,0.0000,1.000,0.2913
40000,2,186,45.07,0.24,0.03,4.14,39.66,0.00,1.00,0.000,0.094,51298.7,18410.7,1,112,7.45,1.00,1.00,1.0926,257.17,32355.1,0.0000,9.6284,5461,6.9487,1098,0.9137,2931.6,55.70,8.3712,0.0,0.0000,1.000,0.0101
50000,0,514,37.78,0.53,8.17,2.78,15.44,0.03,1.12,0.014,0.157,274027.9,157321.6,1,64,4.64,1.12,1.13,11.7939,405.08,28060.8,0.0008,52.7103,5462,21.4703,1712,3.4399,19314.6,149.79,2.8949,0.0,0.0000,1.000,0.7360
50000,1,345,41.76,0.48,7.61,2.50,19.37,0.02,1.10,0.006,0.121,270582.5,157171.1,1,81,4.98,1.11,1.13,12.4573,299.61,31740.2,0.0000,52.0175,5461,21.4663,1554,3.1318,18046.1,94.51,13.1527,0.0,0.0000,1.000,0.2913
50000,2,262,43.94,0.21,8.85,2.01,18.68,0.00,1.05,0.000,0.088,199418.8,111404.5,1,101,4.93,1.05,1.06,9.6544,94.20,36338.2,0.0000,38.6772,5461,21.4663,1521,2.2003,11739.7,55.70,33.5285,0.0,0.0000,1.000,0.0101
60000,0,317,44.49,0.20,0.15,3.41,39.38,0.00,1.01,0.000,0.156,138730.2,56398.6,1,62,6.90,1.00,1.02,3.1731,400.79,16540.0,0.0064,26.1865,5462,7.0831,1084,2.7353,11612.3,149.79,1.1793,0.0,0.0000,1.000,0.7360
60000,1,274,43.69,0.28,0.20,3.16,38.53,0.00,1.05,0.000,0.133,77026.6,32320.8,1,92,6.84,1.04,1.09,1.5857,296.20,28220.3,0.0000,14.5025,5461,7.0818,1015,1.5532,5874.1,94.51,3.6057,0.0,0.0000,1.000,0.2913
60000,2,179,45.43,0.02,0.19,3.46,40.51,0.00,1.00,0.000,0.091,51198.6,18416.2,1,90,7.13,1.00,1.00,0.8444,195.13,33000.1,0.0000,9.6325,5461,7.0818,1069,0.9736,3298.4,55.70,8.4032,0.0,0.0000,1.000,0.0101
70000,0,476,38.77,0.46,9.94,1.86,14.46,0.00,1.13,0.000,0.147,273885.4,211807.9,2,67,5.04,1.12,1.12,11.5239,385.20,28761.0,0.0043,52.0487,5462,21.1793,1762,5.1899,25969.3,149.79,2.9668,0.0,0.0000,1.000,0.7360
70000,1,392,38.11,0.73,10.17,1.42,13.53,0.00,1.18,0.000,0.115,269071.5,197289.6,2,78,4.91,1.15,1.24,10.3155,335.30,30193.2,0.0000,51.1022,5461,21.1754,1818,5.3277,26330.3,94.51,13.3778,0.0,0.0000,1.000,0.2913
70000,2,302,37.95,0.24,10.34,1.72,13.41,0.00,1.05,0.000,0.089,197511.1,144849.5,2,106,4.83,1.03,1.09,7.9156,223.80,35344.7,0.0000,37.9369,5461,21.1754,1619,3.6550,16684.4,55.70,34.0584,0.0,0.0000,1.000,0.0101
80000,0,397,38.85,0.21,9.10,1.83,16.18,0.01,1.03,0.003,0.124,131614.9,93697.2,2,63,5.37,1.03,1.03,3.0241,407.84,23281.5,0.0000,25.1743,5462,7.3264,1847,3.5506,13030.3,149.79,1.1911,0.0,0.0000,1.000,0.7360
80000,1,365,39.86,0.42,9.01,1.65,16.85,0.00,1.07,0.000,0.117,74102.7,49820.4,2,78,5.41,1.05,1.09,1.7194,390.30,33439.2,0.0000,14.1903,5461,7.3250,1666,1.8232,5898.5,94.51,3.6079,0.0,0.0000,1.000,0.2913
80000,2,237,42.50,0.19,8.99,1.92,20.07,0.01,1.02,0.004,0.084,48381.3,27501.8,2,74,5.84,1.02,1.02,0.9009,261.93,37070.9,0.0000,9.3981,5461,7.3250,1613,1.1217,3204.6,55.70,8.3522,0.0,0.0000,1.000,0.0101
90000,0,478,29.99,0.25,6.17,1.69,13.43,0.00,1.04,0.000,0.118,276675.8,293694.2,2,71,4.01,1.04,1.08,8.4954,195.82,27937.4,0.0000,50.8347,5462,20.5287,1962,9.0462,39272.0,149.79,3.0841,0.0,0.0000,1.000,0.7360
90000,1,458,30.99,0.15,6.61,1.24,13.89,0.00,1.02,0.000,0.115,271663.2,293424.1,2,66,4.11,1.03,1.04,8.6457,182.14,30793.5,0.0000,49.7174,5461,20.5250,1680,9.0296,39393.4,94.51,13.8222,0.0,0.0000,1.000,0.2913
90000,2,275,31.55,0.07,7.61,1.07,12.07,0.00,1.01,0.000,0.066,199633.8,200292.2,2,93,3.99,1.01,1.03,5.4663,97.29,35812.9,0.0000,36.8885,5461,20.5250,1420,6.2222,25134.3,55.70,35.0471,0.0,0.0000,1.000,0.0101
100000,0,488,26.82,0.03,6.06,0.56,9.50,0.00,1.00,0.000,0.091,132100.2,85039.5,3,94,3.33,1.01,1.00,2.0628,75.36,21215.7,0.0000,25.0850,5462,7.7759,1899,3.8435,14089.4,149.79,1.1717,0.0,0.0000,1.000,0.7360
100000,1,457,26.03,0.10,5.93,0.81,8.96,0.00,1.02,0.000,0.080,72682.1,43474.5,3,104,3.23,1.01,1.03,1.2517,104.19,32114.1,0.0000,14.1539,5461,7.7744,1849,1.8933,6320.4,94.51,3.6517,0.0,0.0000,1.000,0.2913
100000,2,351,26.77,0.02,5.55,0.83,10.75,0.00,1.00,0.000,0.071,47686.0,24042.0,3,116,3.50,1.00,1.00,0.6818,116.92,37270.1,0.0000,9.4018,5461,7.7744,1684,1.2106,3450.8,55.70,8.4056,0.0,0.0000,1.000,0.0101
