step,measure,value,count
50000,hamming,0,220
50000,hamming,1,433
50000,hamming,2,718
50000,hamming,3,839
50000,hamming,4,979
50000,hamming,5,1041
50000,hamming,6,1041
50000,hamming,7,1216
50000,hamming,8,1158
50000,hamming,9,1147
50000,hamming,10,1234
50000,hamming,11,1187
50000,hamming,12,1164
50000,hamming,13,1198
50000,hamming,14,1182
50000,hamming,15,1214
50000,hamming,16,1216
50000,hamming,17,1253
50000,hamming,18,1250
50000,hamming,19,1420
50000,hamming,20,1426
50000,hamming,21,1557
50000,hamming,22,1647
50000,hamming,23,1751
50000,hamming,24,1967
50000,hamming,25,2064
50000,hamming,26,2249
50000,hamming,27,2187
50000,hamming,28,2181
50000,hamming,29,2143
50000,hamming,30,2102
50000,hamming,31,1996
50000,hamming,32,1929
50000,hamming,33,1820
50000,hamming,34,1764
50000,hamming,35,1978
50000,hamming,36,2080
50000,hamming,37,2275
50000,hamming,38,2718
50000,hamming,39,3123
50000,hamming,40,3875
50000,hamming,41,4471
50000,hamming,42,5633
50000,hamming,43,6614
50000,hamming,44,7667
50000,hamming,45,8528
50000,hamming,46,9757
50000,hamming,47,10559
50000,hamming,48,11365
50000,hamming,49,12141
50000,hamming,50,12775
50000,hamming,51,13470
50000,hamming,52,13834
50000,hamming,53,14230
50000,hamming,54,14362
50000,hamming,55,14048
50000,hamming,56,13812
50000,hamming,57,13070
50000,hamming,58,12595
50000,hamming,59,11908
50000,hamming,60,11212
50000,hamming,61,10585
50000,hamming,62,9730
50000,hamming,63,9178
50000,hamming,64,8397
50000,hamming,65,7720
50000,hamming,66,7098
50000,hamming,67,6412
50000,hamming,68,5678
50000,hamming,69,4841
50000,hamming,70,4339
50000,hamming,71,3801
50000,hamming,72,3193
50000,hamming,73,2863
50000,hamming,74,2390
50000,hamming,75,2233
50000,hamming,76,1843
50000,hamming,77,1719
50000,hamming,78,1559
50000,hamming,79,1225
50000,hamming,80,1092
50000,hamming,81,913
50000,hamming,82,750
50000,hamming,83,605
50000,hamming,84,458
50000,hamming,85,321
50000,hamming,86,236
50000,hamming,87,195
50000,hamming,88,128
50000,hamming,89,92
50000,hamming,90,75
50000,hamming,91,74
50000,hamming,92,87
50000,hamming,93,112
50000,hamming,94,97
50000,hamming,95,92
50000,hamming,96,96
50000,hamming,97,74
50000,hamming,98,78
50000,hamming,99,70
50000,hamming,100,68
50000,hamming,101,64
50000,hamming,102,77
50000,hamming,103,72
50000,hamming,104,77
50000,hamming,105,60
50000,hamming,106,60
50000,hamming,107,58
50000,hamming,108,47
50000,hamming,109,41
50000,hamming,110,38
50000,hamming,111,36
50000,hamming,112,48
50000,hamming,113,67
50000,hamming,114,69
50000,hamming,115,87
50000,hamming,116,94
50000,hamming,117,98
50000,hamming,118,94
50000,hamming,119,85
50000,hamming,120,74
50000,hamming,121,84
50000,hamming,122,86
50000,hamming,123,64
50000,hamming,124,79
50000,hamming,125,70
50000,hamming,126,93
50000,hamming,127,71
50000,hamming,128,88
50000,hamming,129,96
50000,hamming,130,115
50000,hamming,131,106
50000,hamming,132,106
50000,hamming,133,126
50000,hamming,134,141
50000,hamming,135,119
50000,hamming,136,122
50000,hamming,137,91
50000,hamming,138,98
50000,hamming,139,90
50000,hamming,140,81
50000,hamming,141,85
50000,hamming,142,112
50000,hamming,143,123
50000,hamming,144,129
50000,hamming,145,108
50000,hamming,146,89
50000,hamming,147,88
50000,hamming,148,80
50000,hamming,149,111
50000,hamming,150,83
50000,hamming,151,119
50000,hamming,152,106
50000,hamming,153,129
50000,hamming,154,141
50000,hamming,155,113
50000,hamming,156,97
50000,hamming,157,104
50000,hamming,158,114
50000,hamming,159,124
50000,hamming,160,135
50000,hamming,161,122
50000,hamming,162,167
50000,hamming,163,166
50000,hamming,164,213
50000,hamming,165,229
50000,hamming,166,307
50000,hamming,167,263
50000,hamming,168,261
50000,hamming,169,247
50000,hamming,170,200
50000,hamming,171,242
50000,hamming,172,171
50000,hamming,173,191
50000,hamming,174,186
50000,hamming,175,173
50000,hamming,176,171
50000,hamming,177,194
50000,hamming,178,233
50000,hamming,179,272
50000,hamming,180,307
50000,hamming,181,257
50000,hamming,182,344
50000,hamming,183,325
50000,hamming,184,345
50000,hamming,185,385
50000,hamming,186,391
50000,hamming,187,482
50000,hamming,188,475
50000,hamming,189,492
50000,hamming,190,497
50000,hamming,191,600
50000,hamming,192,544
50000,hamming,193,545
50000,hamming,194,558
50000,hamming,195,627
50000,hamming,196,585
50000,hamming,197,608
50000,hamming,198,645
50000,hamming,199,590
50000,hamming,200,671
50000,hamming,201,815
50000,hamming,202,856
50000,hamming,203,1093
50000,hamming,204,1111
50000,hamming,205,1096
50000,hamming,206,1031
50000,hamming,207,950
50000,hamming,208,984
50000,hamming,209,1021
50000,hamming,210,946
50000,hamming,211,1049
50000,hamming,212,1106
50000,hamming,213,1124
50000,hamming,214,1085
50000,hamming,215,1012
50000,hamming,216,875
50000,hamming,217,839
50000,hamming,218,767
50000,hamming,219,749
50000,hamming,220,742
50000,hamming,221,846
50000,hamming,222,830
50000,hamming,223,883
50000,hamming,224,960
50000,hamming,225,1066
50000,hamming,226,1174
50000,hamming,227,1185
50000,hamming,228,1282
50000,hamming,229,1294
50000,hamming,230,1328
