step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies
10000,1282,1.429,2.055,14.12,70358,55335,0,15103,102,1670368,728408.6,623887.4,0.079,0.733,0.116,0.072,88,34.58,20.03,0.40,2.05,6.95,8.53,0.21,1.44,15.57,15.60,0.02,0.23,0.172,0.187,930,0.050,0.024,0.953,0.002,0.021,91046,54145,1,0.399,0.601,0.042,995059,0.190,3.190,0.241,127.56,36647,259,0.374,0.141,0.388,8448620,1.13,4.20,0.331,0.665,0.009,8.0,36.0,51.0,157.1,29639,0.113,0.00,0.0036,0.166,335,0.627,0.000,0.597,0.284,3.90,4.96,4.90,0.03,0.012,1.15,1.13,1.12,0.671,0.01588,34.61,21.0465,590.34,95655.8,140221.3,0.058,27.0957,155.209,0.000,1.000,0.000,50.2,64.764,135.824,4874,31005.9,12.52,122.275,6.55,29.386,917.9,11.852,0.136,2.00,6.3357,8122.3,0.4502,0.3077,23.12,1.566,0.523,1.5308,0.0000,0.515,0.128,0.536,74.6502,5.98,1.09,5,23,48,73,48.0155,0.0012,0.4025,0.0000,0.0000,59.1978,100.00,74.9361,306.7749,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0013,0.000021,2,0.1027,0.0101,0.0138,45,166,467,0.0000,0.0000,0.0073,0.021,8.7406,0.0125,2.7716
20000,1191,1.427,1.903,12.21,17370,14930,0,2521,0,310661,265646.8,137140.7,0.088,0.703,0.108,0.101,115,36.35,18.40,0.81,2.92,5.03,7.59,0.16,1.21,21.93,18.11,0.03,0.29,0.127,0.172,773,0.121,0.042,0.940,0.002,0.016,18498,9980,2,0.560,0.102,0.034,73326,0.171,3.079,0.225,50.29,9580,364,0.441,0.188,0.254,1615441,1.19,3.60,0.384,0.607,0.016,9.2,40.0,54.3,127.6,33249,0.127,0.00,0.0010,0.155,282,0.408,0.000,0.365,0.187,4.52,5.37,5.33,0.05,0.018,1.28,1.08,1.22,0.438,0.00787,4.31,4.1900,452.30,96526.4,140221.3,0.000,6.7565,52.513,0.000,1.000,0.023,50.6,24.209,47.666,4571,28685.2,16.51,41.500,6.39,7.138,810.0,2.578,0.136,2.00,8.3184,9907.2,0.4686,0.3770,27.92,1.397,0.507,0.4692,0.0000,0.683,0.102,0.943,26.5449,6.25,1.13,7,25,49,81,17.6468,0.0079,0.4097,0.0000,0.0000,15.1391,100.00,95.0040,159.6047,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0027,0.0010,0.000012,10,0.1683,0.0235,0.0320,42,162,658,0.0000,0.0000,0.0007,0.002,1.3722,0.0647,0.4571
30000,1120,1.191,1.746,18.23,70723,54550,0,16231,11,1614973,713902.4,619029.5,0.136,0.686,0.097,0.081,90,36.68,20.84,0.48,2.20,6.40,7.41,0.55,2.42,18.47,16.03,0.05,0.44,0.151,0.160,752,0.043,0.029,0.961,0.004,0.006,87703,45934,5,0.373,0.032,0.127,755257,0.197,2.964,0.200,134.21,44310,256,0.383,0.188,0.358,7765802,1.12,3.66,0.392,0.604,0.015,8.7,38.3,56.6,204.0,29002,0.111,0.00,0.0035,0.189,266,0.584,0.000,0.562,0.252,4.13,5.18,5.16,0.06,0.021,1.20,1.06,1.12,0.632,0.01905,32.48,17.2076,336.06,98860.1,140221.3,0.000,20.9661,154.933,0.000,1.000,0.003,51.2,65.088,142.866,4253,26147.0,13.39,116.271,6.29,24.350,721.3,11.033,0.136,2.00,9.4198,10550.2,0.5257,0.3261,25.89,1.496,0.561,1.5308,0.0000,0.742,0.121,0.994,72.7399,6.09,1.23,7,25,49,81,47.9893,0.0058,0.4938,0.0000,0.0000,59.7708,100.00,78.7553,311.1296,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0031,0.0011,0.000021,2,0.1790,0.0634,0.0160,42,158,515,0.0000,0.0000,0.0022,0.007,7.3071,0.0460,2.1421
40000,1226,1.187,2.126,19.23,18616,16136,0,2362,2,301966,263720.8,138200.6,0.104,0.728,0.095,0.073,111,29.48,13.93,0.20,2.48,4.62,4.81,0.85,3.90,15.72,16.94,0.00,0.08,0.155,0.151,611,0.098,0.025,0.945,0.009,0.021,20933,11001,2,0.643,0.004,0.157,1111954,0.171,3.221,0.252,50.62,11903,355,0.458,0.234,0.399,1786254,1.06,3.56,0.500,0.493,0.002,8.4,32.0,50.0,88.8,26225,0.100,0.00,0.0014,0.194,349,0.410,0.000,0.431,0.201,3.69,4.63,4.50,0.00,0.002,1.08,1.04,1.06,0.439,0.00737,4.15,4.3533,361.17,93893.5,140221.3,0.000,6.3904,53.096,0.000,1.000,0.003,44.2,24.384,47.627,5037,32290.5,13.99,40.815,6.51,7.036,964.7,2.750,0.134,2.00,7.5646,9274.2,0.5539,0.3846,21.39,1.611,0.528,0.4692,0.0000,0.681,0.133,0.936,26.3892,5.46,1.82,7,16,50,79,18.1693,0.0230,0.4323,0.0000,0.0000,15.0602,100.00,95.9322,157.9166,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0028,0.0010,0.000009,10,0.2197,0.0269,0.0354,43,156,675,0.0000,0.0000,0.0008,0.003,1.9375,0.0973,0.5093
50000,1285,1.217,2.151,20.79,78200,61468,0,16591,72,1618399,715484.8,582117.8,0.039,0.822,0.087,0.053,80,30.91,15.01,0.04,0.87,5.39,5.06,0.73,2.32,14.91,16.34,0.00,0.00,0.171,0.150,573,0.212,0.033,0.951,0.005,0.011,97464,46517,3,0.521,0.032,0.166,2618654,0.152,3.219,0.253,134.17,51777,214,0.360,0.231,0.430,10920769,1.01,3.57,0.568,0.428,0.000,8.4,32.0,51.5,128.0,27085,0.103,0.00,0.0037,0.184,298,0.630,0.000,0.569,0.245,3.68,4.56,4.50,0.00,0.000,1.00,1.01,1.01,0.668,0.01606,30.44,15.7624,445.55,93289.7,140221.3,0.000,20.1186,155.395,0.000,1.000,0.000,48.0,67.057,141.888,5170,32595.0,14.42,116.659,6.37,26.152,1060.2,12.024,0.134,2.01,7.2233,9282.0,0.5362,0.3012,21.08,1.657,0.499,1.5308,0.0000,0.594,0.128,0.829,73.0854,5.42,1.80,7,16,50,64,50.6057,0.0027,0.4646,0.0000,0.0000,60.0497,100.00,77.1273,305.7726,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0032,0.0012,0.000014,10,0.3785,0.0747,0.0196,38,145,499,0.0000,0.0000,0.0019,0.009,10.2069,0.1058,2.3522
60000,1213,1.115,2.134,19.23,22290,19018,0,3326,10,369432,264934.9,157090.6,0.054,0.770,0.100,0.075,103,28.02,14.53,0.09,1.44,4.97,5.10,0.89,4.13,13.76,16.02,0.00,0.10,0.169,0.166,616,0.119,0.026,0.952,0.002,0.019,26167,13285,4,0.453,0.160,0.175,1218820,0.137,3.218,0.250,50.09,14870,253,0.425,0.291,0.412,2162816,1.03,4.42,0.509,0.491,0.002,7.4,32.0,49.7,94.0,23906,0.091,0.00,0.0016,0.211,311,0.424,0.000,0.384,0.218,3.57,4.38,4.39,0.00,0.002,1.03,1.02,1.03,0.454,0.00789,4.12,4.7195,342.45,94224.8,140221.3,0.000,6.9168,53.818,0.000,1.000,0.005,43.0,24.376,47.179,5059,32289.7,13.24,41.564,6.49,7.584,1001.4,2.850,0.133,2.00,7.3826,8955.1,0.5764,0.3566,19.71,1.617,0.514,0.4692,0.0000,0.432,0.160,0.422,26.4765,5.50,1.88,6,16,48,81,17.9271,0.0038,0.4608,0.0000,0.0000,15.0746,100.00,95.2803,157.7182,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0030,0.0011,0.000011,8,0.1875,0.0371,0.0278,39,145,594,0.0000,0.0000,0.0026,0.007,2.5687,0.0657,0.5829
70000,1205,1.364,2.304,21.20,78920,62786,0,16037,67,1487595,713452.0,542828.9,0.053,0.792,0.098,0.057,80,31.39,14.60,0.07,1.44,5.02,5.92,1.07,4.67,17.00,18.72,0.00,0.00,0.161,0.153,545,0.121,0.030,0.948,0.002,0.020,96103,43831,6,0.347,0.380,0.189,2524198,0.160,3.302,0.276,133.91,54124,201,0.365,0.266,0.390,10882078,1.01,2.99,0.586,0.409,0.000,10.0,32.0,54.8,98.9,27909,0.106,0.00,0.0035,0.179,343,0.627,0.000,0.548,0.229,3.83,4.68,4.67,0.00,0.001,1.01,1.02,1.01,0.663,0.01604,30.16,15.5670,290.93,90353.2,140221.3,0.000,20.3287,155.044,0.000,1.000,0.001,43.7,66.902,142.137,5501,35217.3,11.41,116.315,6.28,26.559,1198.8,12.057,0.134,2.00,8.0328,9679.6,0.5748,0.3013,23.16,1.628,0.511,1.5308,0.0000,0.456,0.190,0.520,72.8532,5.42,1.92,7,16,63,81,52.0969,0.0037,0.4241,0.0000,0.0000,60.1727,100.00,76.0738,307.0524,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0031,0.0012,0.000015,38,0.5626,0.0714,0.0228,38,142,509,0.0000,0.0000,0.0012,0.003,10.6374,0.1764,2.4704
80000,1460,0.892,1.924,23.82,22333,18530,0,3536,7,358641,268486.8,154916.8,0.052,0.804,0.097,0.048,101,27.35,12.53,0.00,0.00,5.52,4.69,0.49,2.62,11.55,13.62,0.00,0.00,0.191,0.145,592,0.254,0.036,0.947,0.005,0.012,25968,12779,1,0.262,0.738,0.116,1199639,0.144,3.127,0.222,50.22,15559,245,0.432,0.309,0.503,2107700,1.00,3.65,0.575,0.423,0.000,8.0,32.0,32.0,82.8,25650,0.098,0.00,0.0016,0.188,416,0.395,0.000,0.431,0.210,3.22,4.17,4.14,0.00,0.000,1.00,1.00,1.00,0.424,0.00698,4.15,4.2904,393.92,96441.6,140221.3,0.000,6.5128,54.541,0.000,1.000,0.004,54.1,24.902,46.537,4451,28822.4,22.89,41.743,6.57,7.464,837.0,2.937,0.139,1.99,6.9149,10095.7,0.5477,0.3674,17.57,1.718,0.473,0.4692,0.0000,0.558,0.119,0.734,26.8739,5.07,1.77,6,16,29,81,18.2298,0.0020,0.4918,0.0000,0.0000,15.0471,100.00,95.1638,158.4851,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0029,0.0010,0.000009,5,0.1808,0.0404,0.0299,41,141,601,0.0000,0.0000,0.0009,0.004,2.4744,0.0556,0.5599
90000,1604,1.362,2.077,22.89,68302,52134,0,15893,74,1313109,707590.8,474054.4,0.032,0.847,0.083,0.038,80,30.03,13.56,0.07,0.94,4.66,4.16,1.00,4.27,15.74,17.16,0.00,0.07,0.160,0.137,680,0.248,0.032,0.956,0.002,0.011,81850,35551,7,0.352,0.182,0.192,2117132,0.156,3.184,0.252,132.28,44500,167,0.361,0.299,0.396,11454398,1.01,2.97,0.546,0.451,0.001,10.0,32.0,50.6,86.9,34431,0.131,0.00,0.0028,0.175,467,0.632,0.000,0.543,0.216,3.74,4.57,4.53,0.00,0.001,1.02,1.01,1.01,0.662,0.01247,30.16,12.7081,474.06,89614.3,140221.3,0.000,20.4884,150.965,0.000,1.000,0.001,55.1,67.252,138.299,5041,31723.3,12.69,114.667,6.03,28.357,878.6,12.389,0.134,2.00,8.3366,13371.9,0.6214,0.3002,21.47,1.657,0.495,1.5308,0.0000,0.695,0.148,0.930,72.2173,5.30,1.87,7,16,56,81,52.5515,0.0009,0.4258,0.0000,0.0000,60.0052,100.00,73.1827,302.5475,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0026,0.0010,0.000007,57,0.9274,0.1116,0.0341,37,147,547,0.0000,0.0000,0.0008,0.004,8.7568,0.3151,2.1447
100000,1258,0.911,2.047,24.89,20795,17542,0,3573,9,332217,261359.8,141348.9,0.059,0.794,0.109,0.038,95,27.36,11.51,0.03,0.62,5.05,4.17,0.81,3.24,12.21,12.85,0.00,0.00,0.174,0.138,520,0.265,0.042,0.944,0.004,0.010,23537,11151,4,0.660,0.033,0.156,1108999,0.208,3.173,0.236,49.45,14179,221,0.425,0.360,0.428,2448711,1.01,3.25,0.582,0.417,0.000,8.0,32.0,32.0,64.6,22761,0.087,0.00,0.0017,0.167,315,0.453,0.000,0.406,0.191,3.46,4.24,4.24,0.00,0.001,1.01,1.00,1.00,0.479,0.00745,4.50,3.8503,273.57,94971.4,140221.3,0.000,6.6633,54.099,0.000,1.000,0.008,45.1,25.009,45.737,4883,30986.8,11.22,40.807,6.23,7.892,900.0,2.926,0.132,2.01,7.8159,9832.4,0.5892,0.3606,18.09,1.705,0.490,0.4692,0.0000,0.560,0.163,0.789,26.2027,5.05,1.74,6,16,32,64,19.0774,0.0015,0.5048,0.0000,0.0000,15.0359,100.00,92.9364,157.0985,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0027,0.0010,0.000007,17,0.2581,0.0525,0.0390,40,155,671,0.0000,0.0000,0.0007,0.002,2.2357,0.0917,0.5442
