step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,1194,0.4724,15735.7,186,453,426,315,81,74,112,31491,32144,32348,0,0,0,1.000,1.000,1.000,346,117,11,0.3668,0.1380,0.5800,0.0553
2000,997,0.4383,12098.3,295,403,347,247,77,92,75,30674,30813,33069,0,0,0,1.000,1.000,1.000,317,85,13,0.5018,0.1068,0.7061,0.0479
3000,1290,0.3775,12194.7,252,466,451,373,100,91,130,27925,28662,32041,0,0,0,1.000,1.000,1.000,365,106,10,0.5462,0.0847,0.7301,0.0418
4000,1592,0.4146,13346.0,228,614,490,488,113,108,139,26724,26565,29593,0,0,0,1.000,1.000,1.000,478,100,12,0.5866,0.0938,0.7193,0.0378
5000,1697,0.4243,15868.5,259,637,591,469,103,126,132,27679,27048,29910,0,0,0,1.000,1.000,1.000,488,143,19,0.5369,0.0985,0.6851,0.0410
6000,1815,0.4667,15311.2,262,692,663,460,117,140,168,27863,27505,30185,0,0,0,1.000,1.000,1.000,546,144,8,0.5438,0.0891,0.6962,0.0396
7000,1961,0.4549,14823.7,275,766,696,499,138,146,157,28843,28447,31203,0,0,0,1.000,1.000,1.000,609,167,12,0.5253,0.0923,0.6870,0.0420
8000,1492,0.5094,13211.4,330,579,501,412,105,109,134,29064,29609,32552,0,0,0,1.000,1.000,1.000,443,126,20,0.5395,0.0916,0.7239,0.0417
9000,1388,0.5000,13181.1,344,550,449,389,111,109,130,30023,30278,32979,0,0,0,1.000,1.000,1.000,423,130,21,0.5176,0.0922,0.6949,0.0434
10000,1198,0.5376,12191.9,386,432,458,308,95,98,113,31208,32407,34564,0,0,0,1.000,1.000,1.000,348,99,7,0.4768,0.0932,0.7078,0.0490
11000,810,0.5716,8725.7,445,355,264,191,61,87,79,31089,33168,35827,0,0,0,1.000,1.000,1.000,278,71,2,0.5447,0.0824,0.7545,0.0446
12000,590,0.5627,7677.6,493,256,200,134,45,89,79,32916,36012,37084,0,0,0,1.000,1.000,1.000,194,49,8,0.4466,0.1087,0.7258,0.0524
13000,346,0.5173,6152.5,577,199,80,67,18,45,37,33193,36950,38706,0,0,0,1.000,1.000,1.000,171,19,0,0.3687,0.1299,0.6682,0.0544
14000,239,0.5565,4594.4,622,155,52,32,11,42,27,34777,39228,40692,0,0,0,1.000,1.000,1.000,130,11,2,0.2097,0.1741,0.5905,0.0652
15000,180,0.6333,4938.4,688,131,34,15,6,30,13,35950,40941,42626,0,0,0,1.000,1.000,1.000,103,7,0,0.1445,0.2854,0.4731,0.0855
16000,150,0.5333,5624.7,1155,115,26,9,6,22,9,36022,41476,43493,0,0,0,1.000,1.000,1.000,99,8,0,0.1543,0.1905,0.5710,0.0985
17000,201,0.4527,8282.6,1080,128,43,30,6,41,28,34024,38889,41308,0,0,0,1.000,1.000,1.000,111,7,0,0.3013,0.1492,0.7918,0.0777
18000,414,0.4565,8242.9,581,233,118,63,26,86,40,33913,37811,40119,0,0,0,1.000,1.000,1.000,184,26,1,0.3126,0.1246,0.6921,0.0797
