step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3750,0.00,135.50,86.97,728,1,0,0,1.00,1.00,1.00,1,1,1,25.7,6.777,1,2.000,0.875,4,1.000,12
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3728,0.00,130.45,65.68,654,1,0,0,1.00,1.00,1.00,1,1,1,32.7,3.453,1,2.000,0.613,4,1.000,12
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3726,0.00,163.08,73.31,728,0,0,0,1.00,1.00,1.00,1,1,1,14.0,1.979,1,2.000,0.917,4,1.000,12
100000,4.00,16,0,2,0,0,0,1.00,10,0.500,3697,0.00,147.42,114.36,728,2,0,0,1.00,1.00,1.00,1,2,1,48.5,2.542,2,2.000,0.886,4,1.000,12
100000,4.00,16,0,1,0,1,0,1.00,8,0.250,3627,-0.00,128.39,84.38,728,0,0,0,1.00,1.00,1.00,1,2,2,12.0,4.528,2,2.000,0.857,4,1.000,12
100000,6.00,16,0,1,0,2,0,1.00,6,0.167,3605,0.00,137.32,118.42,654,0,0,0,1.00,1.00,1.00,1,3,2,10.6,21.162,3,2.000,0.837,4,1.000,12
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3602,0.00,154.01,64.11,596,0,0,0,1.00,1.00,1.00,1,1,1,10.1,3.567,1,2.000,0.936,4,1.000,11
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3515,0.00,130.99,71.80,654,1,0,0,1.00,1.00,1.00,1,1,1,34.7,2.567,1,2.000,0.900,4,1.000,12
100000,4.00,16,0,0,0,2,0,1.00,8,0.000,3512,0.00,135.48,27.93,764,0,0,0,1.00,1.00,1.00,2,2,2,24.6,7.774,2,2.000,0.917,4,1.000,11
100000,6.00,16,0,1,0,2,0,1.00,8,0.167,3511,0.17,165.21,37.47,733,0,1,0,1.00,1.00,1.00,1,3,1,25.7,13.944,3,2.000,0.924,4,1.000,8
100000,4.00,16,0,2,0,0,0,1.00,10,0.500,3490,0.00,158.17,37.86,654,2,0,0,1.00,1.00,1.00,2,1,2,42.9,5.902,2,2.000,0.879,4,1.000,12
100000,4.00,16,0,2,0,0,0,1.00,8,0.500,3488,0.00,165.53,56.64,654,0,0,0,1.00,1.00,1.00,2,2,2,10.9,6.608,2,2.000,0.879,4,1.000,13
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3487,0.00,129.65,117.65,654,0,0,0,1.00,1.00,1.00,1,1,1,18.8,4.186,1,2.000,0.882,4,1.000,13
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3475,0.00,149.84,38.06,728,0,0,0,1.00,1.00,1.00,1,1,1,0.8,4.903,1,2.000,0.886,4,1.000,13
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3468,0.00,167.27,56.84,728,2,0,0,1.00,1.00,1.00,1,1,1,40.6,1.224,1,2.000,0.857,4,1.000,12
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,3450,0.00,125.48,46.52,654,1,0,0,1.00,1.00,1.00,2,1,2,30.4,0.464,2,2.000,0.891,4,1.000,12
100000,3.00,16,0,0,1,1,0,1.00,10,0.000,3449,0.00,126.46,19.25,644,0,0,0,1.00,1.00,1.00,1,1,2,0.8,0.963,2,2.000,0.789,4,1.000,11
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3448,0.00,147.95,23.24,644,0,0,0,1.00,1.00,1.00,1,1,1,19.0,0.820,1,2.000,0.732,4,1.000,11
