step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,3,569,65.3,12.6,12.7,0.0,13.1,2.5,4.62,2.8,487,244,10.98,27.30,170,211,188,2.6,5.51,1.96,5.86,5.34,6.34,6.96,33.2,1.281,0.381,7.34
5000,9,63,20.6,0.9,0.2,0.1,14.8,0.0,1.37,11.6,50,252,14.98,3.36,0,1,62,0.0,1.25,1.37,1.49,3.63,3.43,5.94,42.7,1.213,0.561,7.57
6000,3,337,62.5,15.7,11.4,0.1,7.6,2.5,6.00,1.4,282,237,6.98,28.35,123,117,97,2.6,7.14,2.49,7.46,5.00,6.02,6.54,31.9,1.231,0.340,6.63
6000,25,325,34.0,0.1,9.4,0.2,8.0,0.0,1.03,2.8,248,190,6.74,15.41,146,87,92,0.2,1.02,1.05,1.03,3.26,4.34,4.49,30.8,1.924,0.103,5.13
6000,29,210,22.0,0.4,0.8,0.0,19.2,0.0,1.15,2.4,111,201,13.62,3.62,138,31,41,0.0,1.17,1.03,1.21,3.59,4.63,4.54,25.8,1.062,0.684,5.18
6000,9,18,30.4,0.4,0.0,0.0,23.9,0.0,1.12,3.9,14,197,18.02,2.40,0,0,18,0.0,1.00,1.14,1.18,4.44,5.11,5.61,41.0,1.227,0.567,6.33
7000,25,432,34.5,0.5,4.7,0.6,12.7,0.0,1.18,3.1,352,268,13.73,10.54,150,129,153,0.0,1.17,1.21,1.18,3.33,4.42,4.44,33.0,1.878,0.123,5.20
7000,3,271,56.8,13.4,9.8,0.1,10.6,2.2,5.24,1.3,212,236,9.03,23.48,140,83,48,2.3,6.20,2.35,6.46,4.93,5.97,6.52,26.8,1.200,0.341,6.57
7000,36,117,22.3,0.5,0.2,0.7,19.2,0.0,1.09,8.5,76,169,12.65,3.21,28,72,17,0.0,1.01,1.15,1.10,4.02,4.60,6.40,32.7,1.074,0.566,7.63
7000,29,39,22.8,0.4,0.0,0.0,18.3,0.0,1.13,3.5,24,250,16.54,4.00,11,17,11,0.0,1.05,1.17,1.20,3.38,4.54,4.18,30.4,1.192,0.624,5.23
7000,39,31,29.7,0.0,0.3,0.0,30.5,0.0,1.00,5.4,26,248,21.13,4.46,3,22,6,0.0,1.00,1.00,1.00,4.90,5.94,5.39,34.5,0.958,0.481,7.00
7000,37,8,33.3,4.2,0.0,2.0,31.8,0.0,1.78,4.8,8,179,20.11,2.44,0,0,8,0.0,2.05,1.23,1.97,5.88,6.00,7.38,49.9,0.807,0.640,7.88
8000,3,437,55.8,12.2,9.4,0.2,12.8,2.0,4.75,2.3,379,264,11.98,25.27,194,122,121,2.1,5.48,2.08,6.07,4.85,5.99,6.63,30.0,1.200,0.337,6.89
8000,52,249,31.7,1.0,0.2,1.0,28.2,0.0,1.26,4.1,147,190,17.01,3.47,16,85,148,0.0,1.22,1.36,1.25,4.89,5.72,5.55,38.3,1.034,0.491,6.65
8000,36,194,20.5,0.3,0.0,0.3,18.0,0.0,1.06,9.1,124,247,15.86,3.11,101,83,10,0.0,1.02,1.11,1.06,3.73,4.03,6.05,28.3,1.087,0.582,7.31
8000,56,66,14.2,0.0,0.5,0.1,11.7,0.0,1.00,2.2,32,131,9.16,1.47,24,42,0,0.0,1.01,1.00,1.00,2.61,3.48,3.55,28.5,1.143,0.738,4.08
8000,25,57,33.8,0.3,0.8,0.2,17.2,0.0,1.06,3.8,39,356,24.31,4.34,30,9,18,0.0,1.00,1.12,1.05,3.60,4.53,4.02,31.8,1.786,0.100,5.21
8000,29,25,22.7,0.1,0.2,0.0,19.2,0.0,1.04,2.9,12,239,15.80,2.29,23,0,2,0.0,1.09,1.00,1.03,3.52,4.56,4.08,21.9,1.161,0.642,5.04
8000,54,20,17.5,0.0,0.0,0.0,15.4,0.0,1.00,2.1,9,346,17.94,3.12,9,11,0,0.0,1.00,1.00,1.00,2.90,3.90,4.05,30.4,1.112,0.805,4.50
8000,39,15,27.5,0.5,0.0,0.0,38.9,0.0,1.29,2.7,12,132,16.24,3.93,11,4,0,0.0,1.16,1.16,1.73,6.60,6.47,6.47,27.1,0.685,0.528,7.13
9000,3,520,49.1,10.4,8.7,0.1,12.7,1.7,4.20,2.3,459,270,12.18,20.16,207,175,138,1.8,4.93,1.85,5.33,4.58,5.78,6.29,30.4,1.161,0.304,6.61
9000,36,365,22.0,0.9,0.0,0.8,18.6,0.0,1.24,9.0,253,270,17.92,2.47,191,154,20,0.0,1.12,1.29,1.28,3.84,4.34,6.02,28.1,1.057,0.568,7.43
9000,52,110,29.2,1.0,0.0,0.0,26.2,0.0,1.23,5.7,83,289,24.61,4.25,3,20,87,0.0,1.16,1.25,1.30,4.76,5.48,5.85,40.0,1.043,0.504,7.09
9000,39,85,21.9,0.7,0.2,0.1,26.5,0.0,1.13,5.7,66,239,21.18,4.45,30,49,6,0.0,1.00,1.22,1.14,4.59,5.36,5.27,29.3,0.773,0.401,6.75
9000,29,52,22.5,0.1,0.0,0.0,19.3,0.0,1.03,3.8,35,204,14.15,2.13,25,26,1,0.0,1.04,1.03,1.02,3.33,4.35,4.35,27.3,1.171,0.616,5.29
9000,25,10,16.0,0.0,0.0,0.0,9.5,0.0,1.00,4.2,7,335,18.81,2.29,0,3,7,0.0,1.00,1.00,1.00,2.60,3.60,2.70,40.3,1.679,0.269,4.20
