step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,2022,0.5974,17077.6,228,815,700,507,65,65,88,32559,33622,36392,0,0,0,1.000,1.000,1.000,606,291,116,0.2374,0.1842,0.5313,0.0806
2000,2412,0.3881,17784.3,198,859,807,746,94,98,146,30572,29766,34514,0,0,0,1.000,1.000,1.000,616,317,152,0.2524,0.1807,0.5240,0.0787
3000,2808,0.4092,21755.8,205,1017,980,811,93,108,112,29609,26736,31495,0,0,0,1.000,1.000,1.000,731,356,142,0.2896,0.1689,0.5090,0.0711
4000,3627,0.4213,23152.2,203,1328,1222,1077,108,134,148,28253,25650,30563,0,0,0,1.000,1.000,1.000,914,466,183,0.3193,0.1640,0.5277,0.0638
5000,3476,0.4287,23159.5,222,1215,1292,969,137,131,154,28787,25210,31482,0,0,0,1.000,1.000,1.000,852,449,150,0.3054,0.1724,0.5475,0.0660
6000,3467,0.4563,24424.9,237,1264,1264,939,143,131,152,30380,26083,32498,0,0,0,1.000,1.000,1.000,908,446,139,0.2400,0.1844,0.5124,0.0754
7000,3358,0.4410,23778.7,245,1170,1254,934,139,109,152,31067,26611,32227,0,0,0,1.000,1.000,1.000,860,479,157,0.2567,0.1755,0.5355,0.0748
8000,3097,0.4385,21994.2,252,1168,1140,789,135,122,146,32946,27932,33663,0,0,0,1.000,1.000,1.000,834,439,137,0.2224,0.2025,0.5492,0.0818
9000,2769,0.4662,18121.2,247,1000,1007,762,114,115,133,34314,31159,37052,0,0,0,1.000,1.000,1.000,716,413,130,0.1782,0.2530,0.5699,0.0923
10000,2507,0.4555,15692.9,227,954,894,659,127,140,125,35920,34181,38763,0,0,0,1.000,1.000,1.000,711,340,109,0.1277,0.2801,0.6016,0.1139
11000,1859,0.4158,11877.8,241,797,579,483,91,96,136,34965,36077,40525,0,0,0,1.000,1.000,1.000,626,232,88,0.1877,0.1931,0.6683,0.0975
12000,1372,0.4592,9451.3,262,707,387,278,79,112,101,35114,39887,43742,0,0,0,1.000,1.000,1.000,519,137,48,0.1174,0.2473,0.7106,0.1324
13000,996,0.4257,7260.8,304,591,218,187,50,83,84,34117,43792,47058,0,0,0,1.000,1.000,1.000,475,74,34,0.0518,0.4476,0.7595,0.1990
14000,576,0.4809,5078.9,401,405,89,82,24,59,59,32598,47648,50827,0,0,0,1.000,1.000,1.000,319,45,18,0.0132,0.7990,0.7853,0.3591
15000,420,0.4667,3666.3,434,348,56,16,7,51,15,29661,49980,53429,0,0,0,1.000,1.000,1.000,268,18,2,0.0244,0.7153,0.5914,0.4143
16000,428,0.3458,5371.0,478,357,57,14,5,49,14,26738,50232,54503,0,0,0,1.000,1.000,1.000,266,23,1,0.0139,0.8600,0.8652,0.3700
17000,837,0.4229,6918.5,381,461,225,151,18,136,100,25380,49101,54513,0,0,0,1.000,1.000,1.000,353,93,25,0.0109,0.8730,0.7914,0.3488
18000,1356,0.3400,8812.0,273,677,383,296,66,124,135,24575,46910,53438,0,0,0,1.000,1.000,1.000,528,125,57,0.0194,0.6141,0.7403,0.2853
19000,1819,0.3766,9973.0,205,807,549,463,91,153,180,23179,43177,51123,0,0,0,1.000,1.000,1.000,594,194,74,0.0959,0.2710,0.7003,0.1342
20000,2552,0.3589,12823.7,178,991,880,681,135,134,167,22986,40007,48689,0,0,0,1.000,1.000,1.000,711,340,137,0.1077,0.2713,0.6243,0.1175
21000,3250,0.3726,16035.8,176,1166,1181,903,147,155,214,23497,36965,46064,0,0,0,1.000,1.000,1.000,864,452,146,0.1216,0.2810,0.5825,0.1133
22000,3692,0.3770,17793.0,174,1278,1388,1026,149,166,222,24271,34348,43472,0,0,0,1.000,1.000,1.000,932,573,175,0.1478,0.2629,0.5471,0.0978
23000,3871,0.3947,19296.9,177,1420,1397,1054,170,142,198,26244,32599,41829,0,0,0,1.000,1.000,1.000,1010,525,174,0.1271,0.3012,0.5297,0.1030
24000,3942,0.4069,19921.0,182,1365,1405,1172,157,166,177,27097,30865,39331,0,0,0,1.000,1.000,1.000,970,495,207,0.1844,0.2355,0.5315,0.0866
25000,3905,0.4056,20101.5,183,1389,1426,1090,135,172,175,28723,29824,38448,0,0,0,1.000,1.000,1.000,1004,534,194,0.1877,0.2284,0.5346,0.0851
26000,3984,0.4114,20225.8,182,1332,1478,1174,124,144,207,30143,29552,37564,0,0,0,1.000,1.000,1.000,964,551,206,0.1724,0.2743,0.5297,0.0891
27000,3586,0.4127,18975.5,194,1303,1268,1015,162,134,199,32146,30271,36860,0,0,0,1.000,1.000,1.000,914,465,144,0.1776,0.2538,0.5503,0.0890
28000,3539,0.3928,18657.8,192,1233,1286,1020,146,128,185,33226,30973,36671,0,0,0,1.000,1.000,1.000,906,500,180,0.1592,0.2453,0.5464,0.0972
29000,2980,0.4151,16135.1,194,1106,1055,819,141,131,170,34685,32739,38101,0,0,0,1.000,1.000,1.000,767,391,120,0.1530,0.2464,0.5876,0.0993
30000,2553,0.4156,15583.4,216,979,890,684,126,134,166,36073,35423,40196,0,0,0,1.000,1.000,1.000,711,327,132,0.0853,0.3575,0.6083,0.1485
31000,1924,0.4262,11709.4,235,812,646,466,131,138,172,37363,39043,43249,0,0,0,1.000,1.000,1.000,588,266,70,0.0448,0.4685,0.6933,0.2208
32000,1477,0.3974,10316.6,289,742,423,312,69,120,153,36608,42024,45838,0,0,0,1.000,1.000,1.000,533,166,57,0.0133,0.8015,0.7108,0.3494
33000,889,0.4454,7610.4,383,497,213,179,41,100,113,35372,45192,48610,0,0,0,1.000,1.000,1.000,380,80,22,0.0085,0.9811,0.7672,0.3862
34000,627,0.5152,6216.9,588,379,140,108,20,91,93,32793,47861,51100,0,0,0,1.000,1.000,1.000,281,50,18,0.0059,0.9999,0.7344,0.4195
35000,481,0.4137,5584.2,602,397,69,15,9,55,15,30064,49786,53360,0,0,0,1.000,1.000,1.000,301,26,1,0.0024,1.0000,0.5737,0.3963
36000,511,0.3738,5721.7,567,411,78,22,6,68,21,27563,50308,54523,0,0,0,1.000,1.000,1.000,310,30,3,0.0011,1.0000,0.8373,0.2352
37000,859,0.3725,7438.2,457,487,207,165,13,127,106,25738,49344,54627,0,0,0,1.000,1.000,1.000,372,82,20,0.0023,1.0000,0.7775,0.3395
38000,1278,0.3310,7823.8,248,611,358,309,58,102,149,25039,47619,54006,0,0,0,1.000,1.000,1.000,470,144,46,0.0160,0.7985,0.7520,0.3281
39000,1910,0.3482,10594.8,191,812,625,473,119,122,158,23945,44327,51608,0,0,0,1.000,1.000,1.000,585,253,86,0.0519,0.4176,0.6843,0.1979
40000,2525,0.3846,13864.7,199,1050,782,693,158,133,223,23935,40830,48783,0,0,0,1.000,1.000,1.000,773,287,125,0.0801,0.3397,0.6518,0.1512
41000,3022,0.3703,15701.2,187,1180,1032,810,162,138,195,24060,37435,46613,0,0,0,1.000,1.000,1.000,840,408,139,0.1120,0.3107,0.6041,0.1193
42000,3523,0.4116,17879.9,191,1209,1308,1006,166,163,196,25048,35348,44240,0,0,0,1.000,1.000,1.000,851,488,187,0.1163,0.2803,0.5670,0.1106
43000,3953,0.4356,19532.1,190,1365,1440,1148,151,157,221,26355,33184,42248,0,0,0,1.000,1.000,1.000,963,555,199,0.1267,0.3007,0.5246,0.1050
44000,4232,0.3911,20522.5,188,1416,1570,1246,153,157,192,27323,31226,40232,0,0,0,1.000,1.000,1.000,1026,617,217,0.1471,0.2835,0.5204,0.0989
45000,4232,0.4116,21502.6,190,1491,1528,1213,170,145,203,27888,29995,38408,0,0,0,1.000,1.000,1.000,1067,575,194,0.1642,0.2631,0.5170,0.0897
46000,4033,0.4166,20329.9,190,1426,1453,1154,162,156,177,29265,29826,37001,0,0,0,1.000,1.000,1.000,1044,551,178,0.2162,0.2132,0.5375,0.0819
47000,4003,0.4157,19568.5,190,1395,1458,1150,154,151,214,31291,29900,37098,0,0,0,1.000,1.000,1.000,1003,535,173,0.1767,0.2686,0.5466,0.0885
48000,3597,0.4087,18121.5,195,1226,1327,1044,149,130,203,33024,31022,37564,0,0,0,1.000,1.000,1.000,867,494,165,0.1706,0.2152,0.5698,0.0916
49000,3506,0.4355,17572.1,201,1333,1247,926,168,156,179,34334,32820,39746,0,0,0,1.000,1.000,1.000,950,516,162,0.1019,0.3217,0.5632,0.1264
50000,2929,0.4292,14439.9,196,1116,1085,728,137,161,192,35044,35495,41454,0,0,0,1.000,1.000,1.000,806,405,152,0.0919,0.2965,0.6158,0.1372
51000,2315,0.4376,12075.7,221,950,762,603,128,139,194,35518,38682,44221,0,0,0,1.000,1.000,1.000,686,309,108,0.0535,0.4026,0.6527,0.1956
52000,1680,0.4357,9955.0,260,833,476,371,122,117,159,35030,42032,46832,0,0,0,1.000,1.000,1.000,634,163,60,0.0208,0.6983,0.7237,0.2929
53000,1052,0.4278,7257.0,325,567,252,233,65,122,127,33956,45303,49379,0,0,0,1.000,1.000,1.000,423,104,37,0.0194,0.7389,0.7646,0.3769
54000,719,0.4284,5639.0,459,519,122,78,17,80,54,32134,48122,51890,0,0,0,1.000,1.000,1.000,394,42,14,0.0042,1.0000,0.7531,0.3806
55000,539,0.4378,4688.4,524,435,76,28,5,65,25,29542,50267,54142,0,0,0,1.000,1.000,1.000,339,29,2,0.0043,1.0000,0.5001,0.4501
56000,517,0.4217,5573.4,568,387,94,36,2,88,35,27207,50641,55096,0,0,0,1.000,1.000,1.000,288,38,1,0.0001,1.0000,0.8196,0.1911
57000,857,0.3734,7212.6,416,500,188,169,23,119,98,25648,49435,54858,0,0,0,1.000,1.000,1.000,363,65,34,0.0021,1.0000,0.7907,0.2912
58000,1389,0.3571,8852.0,264,647,381,361,67,128,147,25189,47450,53972,0,0,0,1.000,1.000,1.000,487,145,78,0.0038,1.0000,0.7432,0.3111
59000,2052,0.3635,10797.9,200,935,633,484,134,125,146,24720,44624,52025,0,0,0,1.000,1.000,1.000,679,251,96,0.0221,0.6338,0.6979,0.2516
60000,2653,0.3539,12884.1,182,1041,950,662,124,124,164,23130,40811,48999,0,0,0,1.000,1.000,1.000,762,372,103,0.0965,0.3029,0.6402,0.1282
61000,3346,0.4056,15692.9,176,1272,1215,859,158,179,188,23520,37438,46645,0,0,0,1.000,1.000,1.000,929,467,146,0.1187,0.2684,0.5890,0.1131
62000,3712,0.4006,17378.8,179,1316,1333,1063,142,156,187,24063,35067,43899,0,0,0,1.000,1.000,1.000,969,451,186,0.1451,0.2247,0.5671,0.0968
63000,4075,0.4211,18425.5,169,1448,1497,1130,153,166,199,24351,32036,40687,0,0,0,1.000,1.000,1.000,1032,524,171,0.2191,0.2133,0.5563,0.0771
64000,4519,0.3844,19828.1,170,1557,1702,1260,162,194,209,25572,29963,38383,0,0,0,1.000,1.000,1.000,1123,666,217,0.2289,0.1883,0.5517,0.0757
65000,4552,0.4192,20689.9,184,1592,1621,1339,181,166,180,27102,29155,37327,0,0,0,1.000,1.000,1.000,1123,575,236,0.2203,0.2125,0.5379,0.0741
66000,4391,0.4193,19943.1,179,1542,1530,1319,177,159,221,29512,28308,36629,0,0,0,1.000,1.000,1.000,1120,572,200,0.2347,0.2099,0.5532,0.0749
