step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved
10000,3046,1.135,3.197,28.48,162585,107261,0,53153,573,2653271,1170514.6,1258942.9,0.110,0.750,0.085,0.055,70,21.40,11.62,0.01,0.18,6.58,5.20,0.96,2.13,3.64,4.78,0.00,0.02,0.290,0.160,1341,0.090,0.012,0.938,0.006,0.044,288887,214158,1,0.631,0.369,0.309,10938822,0.107,3.587,0.379,107.03,132672,189,0.474,0.219,0.455,15158683,1.00,2.61,0.375,0.625,0.000,7.0,22.0,32.0,139.4,34089,0.130,0.00,0.0106,0.119,870,0.537,0.001,0.545,0.448,2.56,3.34,3.53,0.00,0.002,1.00,1.00,1.00,0.574,0.00433,65.41,59.5472,1694.72,69233.0,140078.7,0.103,46.1547,254.246,0.000,1.000,0.000,68.3,95.143,112.602,7342,47597.1,17.73,108.977,5.70,27.341,1881.4,9.584,0.135,2.00,4.4770,13637.1,0.6220,0.3711,11.19,1.997,0.036,1.5122,0.0000,0.128,0.151,0.049,0.0000,4.08,0.39,4,12,16,70,83.9390,0.0008,0.4304,0.0000,0.0000,47.8777,100.00,59.9248,260.4308,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0032,0.0013,0.000005,1,0.1843,0.0066,0.0102,43,154,415,0.0000,0.0000,0.0103,0.033,5.6717,0.0075,2.4049,0.0112,0.3310,0.1344
20000,2511,1.131,2.693,36.37,63693,48177,0,16041,2,575710,473281.0,309010.3,0.126,0.823,0.048,0.004,72,27.60,8.43,0.00,0.13,5.70,3.51,1.17,2.68,7.51,4.44,0.00,0.00,0.205,0.117,939,0.166,0.096,0.882,0.008,0.014,74031,47176,1,0.822,0.178,0.374,4692895,0.091,3.445,0.311,43.71,51589,204,0.537,0.293,0.147,6977909,1.00,0.78,0.670,0.330,0.000,16.0,31.0,32.0,128.0,36104,0.138,0.00,0.0025,0.124,730,0.470,0.000,0.241,0.201,2.85,3.84,3.86,0.00,0.000,1.00,1.00,1.00,0.487,0.00230,8.80,8.7220,375.80,67197.3,140078.7,0.093,14.2224,100.916,0.000,1.000,0.009,72.4,42.349,41.106,6439,40580.1,16.45,38.051,3.92,13.063,1799.4,3.139,0.135,2.00,9.7427,24463.8,0.8217,0.4585,14.38,2.000,0.000,0.4878,0.0000,0.028,0.051,0.002,0.0000,4.04,0.29,8,16,16,79,38.0137,0.0010,0.4859,0.0000,0.0000,14.2420,100.00,76.9276,205.1046,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0029,0.0013,0.000002,8,0.2008,0.0657,0.0140,45,163,522,0.0000,0.0000,0.0000,0.000,0.6758,0.0142,0.3844,0.0151,0.4021,0.0873
30000,3079,1.109,2.295,36.16,144892,122976,0,21227,3,939942,1199313.8,517489.3,0.031,0.917,0.050,0.003,60,28.45,6.99,0.00,0.11,5.32,3.59,0.63,2.01,8.58,4.21,0.00,0.00,0.185,0.118,987,0.213,0.098,0.880,0.005,0.018,175469,112343,8,0.332,0.589,0.180,10370829,0.062,3.290,0.267,111.58,126922,149,0.551,0.322,0.132,27585888,1.00,0.60,0.712,0.288,0.000,18.0,32.0,32.0,72.0,44773,0.171,0.00,0.0045,0.109,771,0.666,0.000,0.251,0.228,2.91,3.85,3.89,0.00,0.000,1.00,1.00,1.00,0.674,0.00229,50.85,22.0416,389.91,71145.3,140078.7,0.050,26.7793,258.202,0.000,1.000,0.011,93.9,118.694,120.230,5526,34575.2,20.29,100.703,4.02,33.501,1359.9,13.009,0.134,2.01,8.4691,26076.2,0.7224,0.3838,14.54,2.000,0.000,1.5122,0.0000,0.034,0.067,0.005,0.0000,4.02,0.16,10,16,16,36,113.0124,0.0018,0.5076,0.0000,0.0000,51.7918,100.00,53.9665,307.4973,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0030,0.0013,0.000002,118,1.3439,0.0760,0.0245,58,188,542,0.0000,0.0000,0.0000,0.000,0.7524,0.1851,0.5495,0.0159,0.2799,0.0806
40000,2833,1.077,2.209,36.06,46422,41751,0,4779,0,230956,498367.4,134293.1,0.044,0.925,0.028,0.003,95,28.24,6.95,0.00,0.04,5.24,3.53,0.33,1.61,8.72,3.90,0.00,0.00,0.183,0.116,848,0.238,0.123,0.856,0.004,0.017,44039,27551,17,0.127,0.234,0.076,1731109,0.063,3.254,0.253,46.98,35342,173,0.581,0.358,0.106,8379921,1.00,0.67,0.685,0.315,0.000,16.0,32.0,32.0,50.0,40461,0.154,0.00,0.0020,0.116,762,0.529,0.000,0.191,0.110,3.07,3.82,3.86,0.00,0.000,1.00,1.00,1.00,0.535,0.00155,7.89,6.6443,385.66,71400.2,140078.7,0.058,10.1071,100.860,0.000,1.000,0.035,83.3,47.485,44.891,5314,33115.7,11.92,38.998,3.96,10.587,1326.3,3.081,0.136,2.00,9.7933,27744.5,0.8292,0.4070,14.28,2.000,0.000,0.4878,0.0000,0.032,0.052,0.002,0.0000,4.01,0.08,9,16,16,25,44.3160,0.0005,0.4935,0.0000,0.0000,14.3984,100.00,82.3368,243.4388,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0026,0.0012,0.000002,138,0.9288,0.0819,0.0402,62,194,712,0.0000,0.0000,0.0000,0.000,0.1599,0.1467,0.1973,0.0191,0.3863,0.0535
50000,3091,1.001,2.199,35.65,143155,121657,0,21053,0,890670,1221908.0,499873.7,0.042,0.913,0.036,0.009,58,28.38,7.30,0.02,0.28,5.64,3.41,0.28,1.44,8.37,3.89,0.00,0.02,0.197,0.113,940,0.320,0.104,0.878,0.001,0.016,168825,104874,31,0.347,0.302,0.066,3391988,0.078,3.262,0.253,114.89,122129,150,0.561,0.325,0.099,27576907,1.00,0.66,0.676,0.324,0.000,16.0,32.0,32.0,98.0,44234,0.169,0.00,0.0047,0.120,839,0.653,0.000,0.251,0.209,2.69,3.83,3.86,0.00,0.003,1.00,1.01,1.01,0.662,0.00253,51.18,21.2004,446.27,67366.2,140078.7,0.102,23.3905,262.815,0.000,1.000,0.014,93.8,121.147,123.417,5170,32908.5,16.08,101.366,3.94,30.054,1298.4,12.569,0.134,2.00,10.2683,31739.2,0.8479,0.3911,14.31,2.000,0.000,1.5122,0.0000,0.032,0.067,0.003,0.0000,4.01,0.11,8,16,16,49,115.0444,0.0007,0.5102,0.0000,0.0000,51.5392,100.00,55.1037,316.2597,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0029,0.0012,0.000003,187,1.7150,0.1087,0.0280,58,186,560,0.0000,0.0000,0.0000,0.000,0.5893,0.2428,0.5435,0.0184,0.2878,0.0883
60000,3126,1.143,1.863,36.07,42708,39231,0,3189,1,171238,506549.6,110312.8,0.106,0.804,0.031,0.059,96,28.86,6.80,0.01,0.25,4.80,3.46,0.18,1.13,9.52,4.10,0.00,0.00,0.166,0.116,992,0.145,0.132,0.852,0.001,0.015,39606,25602,8,0.627,0.162,0.046,882314,0.125,3.025,0.211,47.55,32015,180,0.644,0.354,0.049,6566317,1.00,0.53,0.699,0.301,0.000,20.0,32.0,32.0,72.0,45347,0.173,0.00,0.0017,0.108,818,0.480,0.000,0.135,0.097,2.89,3.86,3.89,0.00,0.001,1.00,1.00,1.00,0.485,0.00130,7.74,7.5449,493.88,69479.3,140078.7,0.155,10.3435,100.628,0.000,1.000,0.040,87.1,47.383,45.720,4654,27686.9,19.21,39.597,3.96,9.962,944.6,3.019,0.136,2.00,11.0734,34615.6,0.9325,0.4017,14.51,2.000,0.000,0.4878,0.0000,0.033,0.072,0.003,0.0000,4.01,0.10,10,16,16,36,44.4934,0.0024,0.4619,0.0000,0.0000,14.5049,100.00,80.7934,255.2151,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0024,0.0011,0.000001,252,1.3053,0.1097,0.0508,72,193,775,0.0000,0.0000,0.0000,0.000,0.1072,0.2161,0.2074,0.0230,0.4295,0.0449
70000,3166,0.976,1.815,35.84,115150,104972,0,9465,9,525444,1251747.8,360903.1,0.055,0.844,0.026,0.074,73,28.55,7.03,0.02,0.36,5.04,3.29,0.04,0.53,9.19,3.87,0.00,0.06,0.177,0.110,1057,0.164,0.101,0.889,0.000,0.010,130639,86840,11,0.821,0.151,0.012,936160,0.155,2.990,0.205,119.57,95768,155,0.687,0.341,0.051,23437471,1.00,0.57,0.657,0.343,0.001,18.0,32.0,32.0,84.0,45220,0.173,0.00,0.0043,0.117,894,0.606,0.000,0.200,0.183,2.94,3.85,3.87,0.00,0.002,1.01,1.00,1.00,0.612,0.00241,53.17,24.3113,728.48,65702.5,140078.7,0.840,19.6142,264.149,0.000,1.000,0.011,91.5,122.708,128.367,4527,26699.4,14.71,102.157,3.96,23.128,869.2,11.112,0.134,2.00,12.5246,39652.8,1.0803,0.3716,14.28,2.000,0.000,1.5122,0.0000,0.010,0.034,0.001,0.0000,4.00,0.08,9,16,16,36,117.4760,0.0047,0.5060,0.0000,0.0000,51.0557,100.00,50.0966,328.7399,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0025,0.0011,0.000002,664,3.8752,0.1946,0.0500,66,190,688,0.0000,0.0000,0.0003,0.000,0.3972,0.6747,0.7058,0.0452,0.3325,0.0825
80000,2974,1.024,1.727,35.59,38045,36427,0,1369,7,115098,519202.3,97572.9,0.059,0.831,0.020,0.091,110,28.58,6.75,0.01,0.27,4.37,3.13,0.11,0.91,9.84,3.90,0.00,0.00,0.154,0.107,1060,0.109,0.127,0.859,0.001,0.012,33418,21562,10,0.354,0.220,0.024,270105,0.166,2.925,0.193,49.43,27539,222,0.848,0.340,0.052,6408136,1.00,0.55,0.662,0.329,0.000,18.0,32.0,32.0,68.0,42634,0.163,0.00,0.0018,0.096,789,0.443,0.000,0.133,0.076,2.91,3.85,3.88,0.00,0.002,1.00,1.00,1.00,0.447,0.00137,8.54,9.5388,509.11,71135.3,140078.7,0.144,9.1227,102.971,0.000,1.000,0.053,85.8,48.273,47.077,4343,25456.0,12.65,39.437,3.96,7.418,823.2,2.571,0.136,1.99,12.0407,35809.1,1.0238,0.3907,14.34,2.000,0.000,0.4878,0.0000,0.012,0.024,0.000,0.0000,4.00,0.06,9,16,16,25,45.6823,0.0056,0.5067,0.0000,0.0000,14.3771,100.00,83.6399,259.2269,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0022,0.0010,0.000001,434,2.0512,0.1406,0.0767,75,194,1034,0.0000,0.0000,0.0007,0.001,0.0973,0.3667,0.3012,0.0360,0.4699,0.0476
90000,3318,0.939,1.578,36.11,111817,105364,0,5246,51,406287,1259380.1,322098.1,0.034,0.848,0.035,0.083,77,28.02,6.94,0.02,0.31,4.25,2.90,0.20,1.25,9.61,3.77,0.00,0.02,0.153,0.101,1377,0.080,0.096,0.890,0.001,0.012,123592,81905,20,0.271,0.282,0.047,1500013,0.182,2.806,0.177,121.24,90972,199,0.793,0.315,0.045,22953647,1.01,0.51,0.577,0.376,0.001,16.0,32.0,32.0,70.0,46751,0.178,0.00,0.0039,0.098,905,0.587,0.000,0.190,0.172,2.88,3.88,3.88,0.01,0.003,1.00,1.01,1.01,0.591,0.00213,54.63,24.5819,683.90,68967.4,140078.7,0.574,17.7155,265.533,0.000,1.000,0.022,96.4,123.854,129.693,4015,23055.1,20.68,102.520,3.97,20.543,663.5,10.358,0.134,2.00,12.1118,40186.9,1.0539,0.3770,14.09,2.000,0.000,1.5122,0.0000,0.024,0.051,0.003,0.0000,4.00,0.08,9,16,16,47,119.2339,0.0034,0.5121,0.0000,0.0000,50.7786,100.00,52.6822,330.9656,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0024,0.0011,0.000002,812,4.1424,0.1923,0.0534,74,198,728,0.0000,0.0000,0.0020,0.003,0.4022,0.7126,0.7369,0.0549,0.3561,0.0735
100000,2955,1.016,1.647,36.24,37192,36026,0,1001,18,101171,524250.1,97698.0,0.030,0.827,0.036,0.107,116,28.27,7.20,0.03,0.40,4.08,2.95,0.36,1.77,9.81,3.90,0.00,0.00,0.145,0.101,1183,0.092,0.125,0.860,0.002,0.013,31721,20587,15,0.189,0.267,0.072,984669,0.179,2.848,0.183,50.18,26786,297,0.966,0.307,0.048,6186627,1.01,0.51,0.616,0.358,0.000,16.0,32.0,32.0,96.0,42210,0.161,0.00,0.0018,0.100,798,0.425,0.000,0.130,0.073,2.98,3.88,3.89,0.01,0.004,1.00,1.01,1.01,0.427,0.00128,8.81,10.1186,532.15,69800.8,140078.7,0.120,8.6672,103.545,0.000,1.000,0.051,82.8,48.046,47.673,4228,24174.7,20.01,39.338,3.97,6.448,740.5,2.291,0.135,2.01,13.0433,38543.0,1.0987,0.4137,14.28,2.000,0.000,0.4878,0.0000,0.027,0.047,0.002,0.0000,4.01,0.13,9,16,16,38,45.6866,0.0060,0.4860,0.0000,0.0000,14.3513,100.00,84.8378,260.3599,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0021,0.0010,0.000001,510,2.1573,0.1496,0.0779,76,196,1088,0.0000,0.0000,0.0031,0.004,0.1182,0.3887,0.3350,0.0423,0.4931,0.0452
