step,event,lineage,other,size
5000,birth,2,0,149
7000,split,21,2,1311
7000,extinct,2,0,8
8000,split,30,2,52
9000,split,67,21,179
11000,split,143,21,41
11000,split,145,21,12
11000,split,146,21,10
11000,extinct,21,0,15
11000,extinct,30,0,40
13000,split,238,143,13
13000,split,240,67,7
13000,extinct,143,0,41
13000,extinct,145,0,12
13000,extinct,146,0,18
15000,extinct,238,0,13
16000,split,290,253,103
16000,extinct,240,0,7
19000,split,280,238,16
19000,split,336,290,115
19000,split,337,328,157
21000,extinct,280,0,16
21000,extinct,337,0,54
23000,split,349,290,21
23000,extinct,290,0,37
24000,split,358,337,14
24000,split,364,290,90
24000,split,366,336,84
24000,split,368,336,31
25000,split,371,336,14
25000,split,374,336,20
25000,split,382,365,22
25000,extinct,349,0,21
25000,extinct,358,0,14
26000,split,384,358,20
26000,split,386,336,35
26000,split,389,336,104
26000,extinct,336,0,12
27000,split,399,368,28
27000,extinct,374,0,13
27000,extinct,382,0,22
27000,extinct,384,0,20
28000,split,425,386,55
28000,split,436,368,18
28000,extinct,368,0,34
28000,extinct,371,0,8
28000,extinct,386,0,35
28000,extinct,399,0,28
29000,split,463,424,53
29000,split,464,366,62
29000,extinct,436,0,18
30000,split,479,455,16
30000,split,490,455,11
30000,extinct,366,0,7
30000,extinct,389,0,7
31000,split,500,364,45
32000,split,522,364,80
32000,extinct,479,0,9
33000,split,533,364,14
33000,extinct,500,0,45
34000,extinct,425,0,16
34000,extinct,490,0,10
35000,extinct,463,0,19
36000,extinct,533,0,14
37000,extinct,522,0,26
38000,split,566,464,142
38000,split,567,522,70
42000,extinct,567,0,55
43000,split,582,464,74
44000,split,587,464,27
44000,extinct,364,0,5
44000,extinct,566,0,14
45000,split,584,364,8
45000,split,600,464,19
45000,split,604,464,5
45000,split,610,590,7
46000,split,616,582,16
46000,split,618,464,7
46000,extinct,464,0,12
46000,extinct,584,0,8
46000,extinct,587,0,27
46000,extinct,604,0,5
48000,split,650,633,109
48000,split,651,464,8
48000,split,657,616,66
48000,split,661,638,12
48000,split,665,618,12
48000,extinct,600,0,14
48000,extinct,610,0,15
48000,extinct,618,0,12
49000,extinct,651,0,8
50000,split,684,650,53
50000,extinct,582,0,16
50000,extinct,616,0,12
50000,extinct,665,0,12
51000,split,699,657,29
52000,extinct,657,0,6
52000,extinct,684,0,7
52000,extinct,699,0,29
53000,split,721,657,29
53000,extinct,650,0,28
54000,extinct,661,0,13
55000,split,737,722,170
57000,extinct,721,0,9
63000,split,756,737,27
65000,extinct,756,0,27
66000,split,776,737,254
67000,split,790,737,59
68000,split,800,790,14
68000,split,804,737,5
69000,split,822,737,255
69000,extinct,800,0,14
69000,extinct,804,0,5
71000,split,863,790,24
72000,split,893,790,13
72000,extinct,737,0,28
72000,extinct,822,0,60
72000,extinct,863,0,24
73000,split,911,864,27
74000,extinct,790,0,5
74000,extinct,893,0,8
76000,split,947,776,27
76000,split,948,776,62
78000,extinct,947,0,27
79000,split,952,947,229
80000,split,957,911,428
81000,extinct,776,0,19
82000,extinct,952,0,28
83000,split,960,911,12
84000,extinct,960,0,12
87000,extinct,911,0,6
90000,extinct,957,0,44
93000,split,1018,948,36
94000,split,1027,948,8
95000,split,1032,1018,21
95000,extinct,1018,0,5
95000,extinct,1027,0,8
96000,split,1036,948,83
