step,measure,value,count
50000,hamming,0,312
50000,hamming,1,702
50000,hamming,2,925
50000,hamming,3,1169
50000,hamming,4,1271
50000,hamming,5,1369
50000,hamming,6,1422
50000,hamming,7,1360
50000,hamming,8,1578
50000,hamming,9,1523
50000,hamming,10,1576
50000,hamming,11,1804
50000,hamming,12,1860
50000,hamming,13,1996
50000,hamming,14,2172
50000,hamming,15,2273
50000,hamming,16,2488
50000,hamming,17,2575
50000,hamming,18,2722
50000,hamming,19,2918
50000,hamming,20,2937
50000,hamming,21,3100
50000,hamming,22,3357
50000,hamming,23,3552
50000,hamming,24,3724
50000,hamming,25,3897
50000,hamming,26,4229
50000,hamming,27,4687
50000,hamming,28,4842
50000,hamming,29,5432
50000,hamming,30,5945
50000,hamming,31,6792
50000,hamming,32,7416
50000,hamming,33,8392
50000,hamming,34,9397
50000,hamming,35,10024
50000,hamming,36,11063
50000,hamming,37,12138
50000,hamming,38,13222
50000,hamming,39,14415
50000,hamming,40,15507
50000,hamming,41,16672
50000,hamming,42,18164
50000,hamming,43,19482
50000,hamming,44,20891
50000,hamming,45,22734
50000,hamming,46,23851
50000,hamming,47,25234
50000,hamming,48,26832
50000,hamming,49,27799
50000,hamming,50,28437
50000,hamming,51,29884
50000,hamming,52,31191
50000,hamming,53,32054
50000,hamming,54,33076
50000,hamming,55,33888
50000,hamming,56,34517
50000,hamming,57,35751
50000,hamming,58,35958
50000,hamming,59,36044
50000,hamming,60,35892
50000,hamming,61,35951
50000,hamming,62,35624
50000,hamming,63,34789
50000,hamming,64,34713
50000,hamming,65,33913
50000,hamming,66,33017
50000,hamming,67,31797
50000,hamming,68,30469
50000,hamming,69,28784
50000,hamming,70,28245
50000,hamming,71,26806
50000,hamming,72,25195
50000,hamming,73,24081
50000,hamming,74,22609
50000,hamming,75,20974
50000,hamming,76,19857
50000,hamming,77,18470
50000,hamming,78,16800
50000,hamming,79,15714
50000,hamming,80,14233
50000,hamming,81,13160
50000,hamming,82,11800
50000,hamming,83,10809
50000,hamming,84,9586
50000,hamming,85,8480
50000,hamming,86,7660
50000,hamming,87,6724
50000,hamming,88,5958
50000,hamming,89,5343
50000,hamming,90,5004
50000,hamming,91,4395
50000,hamming,92,3783
50000,hamming,93,3459
50000,hamming,94,3161
50000,hamming,95,2998
50000,hamming,96,2653
50000,hamming,97,2481
50000,hamming,98,2374
50000,hamming,99,2120
50000,hamming,100,1988
50000,hamming,101,1842
50000,hamming,102,1848
50000,hamming,103,1712
50000,hamming,104,1648
50000,hamming,105,1762
50000,hamming,106,1727
50000,hamming,107,1665
50000,hamming,108,1834
50000,hamming,109,1866
50000,hamming,110,1895
50000,hamming,111,1991
50000,hamming,112,2078
50000,hamming,113,2182
50000,hamming,114,2392
50000,hamming,115,2529
50000,hamming,116,2561
50000,hamming,117,2713
50000,hamming,118,2824
50000,hamming,119,2816
50000,hamming,120,3193
50000,hamming,121,3439
50000,hamming,122,3548
50000,hamming,123,3852
50000,hamming,124,4157
50000,hamming,125,4546
50000,hamming,126,5041
50000,hamming,127,5370
50000,hamming,128,5899
50000,hamming,129,6295
50000,hamming,130,6744
50000,hamming,131,7333
