step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,906,0.6004,7176.6,165,323,415,168,14,15,15,39840,36381,39386,0,0,0,1.000,1.000,1.000,153,354,144,0.1470,0.2430,0.4637,0.0878
2000,958,0.5689,7431.5,227,246,298,414,19,15,32,43244,34155,36674,0,0,0,1.000,1.000,1.000,192,142,293,0.1676,0.2398,0.5151,0.0822
3000,1530,0.4451,8726.2,167,649,363,518,43,27,41,39262,37402,35309,0,0,0,1.000,1.000,1.000,468,221,318,0.1533,0.2517,0.4854,0.0895
4000,1235,0.4421,8142.4,169,425,428,382,30,47,52,37399,35310,36095,0,0,0,1.000,1.000,1.000,244,350,277,0.1895,0.2225,0.4675,0.0770
5000,1360,0.3941,9418.4,176,341,532,487,35,44,36,41757,31113,34604,0,0,0,1.000,1.000,1.000,251,261,315,0.1809,0.2128,0.4530,0.0819
6000,1320,0.4568,10723.7,195,511,348,461,28,36,50,37919,34703,32310,0,0,0,1.000,1.000,1.000,368,219,266,0.2052,0.1944,0.4534,0.0778
7000,998,0.3727,8789.6,194,385,341,272,35,47,36,34647,35725,34389,0,0,0,1.000,1.000,1.000,279,271,149,0.2118,0.1685,0.4507,0.0698
8000,1134,0.4559,10364.7,222,277,436,421,30,29,49,39265,29773,33988,0,0,0,1.000,1.000,1.000,154,262,267,0.2203,0.1708,0.4575,0.0677
9000,1000,0.3950,8864.6,182,305,253,442,20,21,27,39901,33199,31451,0,0,0,1.000,1.000,1.000,230,174,281,0.2111,0.1840,0.4879,0.0650
10000,767,0.4133,7896.2,231,395,210,162,26,35,18,37530,38146,35559,0,0,0,1.000,1.000,1.000,277,156,65,0.1684,0.2106,0.4476,0.0781
11000,604,0.4454,7979.6,315,202,250,152,27,23,30,40438,35513,37003,0,0,0,1.000,1.000,1.000,81,161,99,0.1934,0.1907,0.4758,0.0804
12000,334,0.4910,5034.6,329,144,81,109,10,19,12,42227,37760,36111,0,0,0,1.000,1.000,1.000,103,22,48,0.1931,0.1832,0.5286,0.0803
13000,240,0.4917,4428.6,361,148,36,56,9,11,17,37750,40078,37544,0,0,0,1.000,1.000,1.000,96,8,15,0.1717,0.2560,0.5281,0.0703
14000,106,0.5094,2476.8,550,73,24,9,4,15,6,37241,40828,39659,0,0,0,1.000,1.000,1.000,29,14,0,0.1407,0.2665,0.6059,0.0675
15000,49,0.6939,1508.1,827,22,22,5,4,12,5,36753,40902,39743,0,0,0,1.000,1.000,1.000,2,2,0,0.1274,0.2595,0.5733,0.0634
16000,16,0.5625,707.8,1456,7,5,4,2,4,3,31389,39623,38526,0,0,0,1.000,1.000,1.000,2,3,1,0.2106,0.2105,0.6750,0.0465
17000,299,0.3880,4500.9,244,252,37,10,1,24,8,31893,39459,39780,0,0,0,1.000,1.000,1.000,37,17,5,0.2133,0.2459,0.6772,0.0601
18000,321,0.4704,5268.9,312,127,115,79,11,26,30,33341,38852,38880,0,0,0,1.000,1.000,1.000,46,24,14,0.2070,0.1644,0.5929,0.0610
19000,620,0.4290,8990.3,285,285,143,192,16,26,26,29764,40221,38162,0,0,0,1.000,1.000,1.000,172,59,59,0.2168,0.1615,0.4741,0.0725
20000,553,0.4014,7998.0,301,247,191,115,27,33,31,28877,39820,39982,0,0,0,1.000,1.000,1.000,117,137,54,0.2291,0.1483,0.4770,0.0750
21000,900,0.4789,11125.1,282,214,388,298,35,22,43,32426,35093,38545,0,0,0,1.000,1.000,1.000,122,181,154,0.1985,0.1956,0.4456,0.0721
22000,969,0.3849,11113.7,248,393,287,289,39,37,35,30754,37817,34899,0,0,0,1.000,1.000,1.000,264,167,138,0.2250,0.1785,0.4437,0.0783
23000,816,0.4252,9107.4,267,358,275,183,25,43,42,27829,38027,36595,0,0,0,1.000,1.000,1.000,233,187,85,0.2372,0.1617,0.4592,0.0659
24000,1270,0.3882,13349.9,261,294,582,394,53,53,69,31559,30056,34976,0,0,0,1.000,1.000,1.000,151,386,238,0.2418,0.1617,0.4586,0.0665
25000,1487,0.4109,10207.5,226,467,383,637,46,29,56,32132,33484,31816,0,0,0,1.000,1.000,1.000,331,254,398,0.2639,0.1459,0.5013,0.0538
26000,1509,0.3983,8720.2,178,722,395,392,61,44,51,28458,37336,35011,0,0,0,1.000,1.000,1.000,457,244,186,0.2399,0.1693,0.4805,0.0570
27000,1812,0.4514,10476.3,185,476,695,641,62,43,70,32878,31556,35342,0,0,0,1.000,1.000,1.000,214,468,402,0.2378,0.1652,0.4721,0.0581
28000,1379,0.4453,9715.9,206,495,368,516,37,41,21,35812,34678,34185,0,0,0,1.000,1.000,1.000,353,213,380,0.2062,0.2234,0.4731,0.0657
29000,1153,0.5221,8671.6,225,593,280,280,25,38,36,32646,41087,38445,0,0,0,1.000,1.000,1.000,414,181,140,0.1491,0.2577,0.3980,0.0828
30000,1093,0.4364,8323.7,221,232,524,337,33,43,57,35707,37784,40680,0,0,0,1.000,1.000,1.000,109,418,235,0.1734,0.2159,0.4384,0.0950
31000,653,0.4456,5221.2,244,190,223,240,39,20,47,38940,38642,39128,0,0,0,1.000,1.000,1.000,133,88,162,0.1822,0.2160,0.4771,0.0834
32000,491,0.5153,5023.5,329,274,95,122,28,33,21,37063,42811,41346,0,0,0,1.000,1.000,1.000,178,44,48,0.1308,0.2392,0.4539,0.1044
33000,290,0.5310,3628.8,413,161,89,40,16,31,21,36073,43404,43504,0,0,0,1.000,1.000,1.000,72,38,21,0.1406,0.3470,0.5012,0.1040
34000,194,0.5567,2956.3,409,95,55,44,12,14,13,37863,44722,44737,0,0,0,1.000,1.000,1.000,52,17,13,0.0472,0.3879,0.4674,0.1378
35000,276,0.5109,3492.7,286,251,22,3,8,16,2,35647,46144,45810,0,0,0,1.000,1.000,1.000,151,7,0,0.0416,0.5055,0.4600,0.1554
36000,234,0.5342,2696.1,354,196,28,10,2,18,3,33826,47779,48062,0,0,0,1.000,1.000,1.000,114,22,1,0.0425,0.4726,0.5123,0.1795
37000,241,0.5145,3198.5,367,135,81,25,14,27,12,33869,46380,47382,0,0,0,1.000,1.000,1.000,89,32,5,0.0737,0.3359,0.5981,0.1487
38000,486,0.4177,4926.0,262,278,116,92,17,29,25,31300,46322,45631,0,0,0,1.000,1.000,1.000,167,86,48,0.1057,0.2971,0.5066,0.1252
39000,660,0.4182,6728.4,268,347,161,152,22,45,51,27860,45963,46005,0,0,0,1.000,1.000,1.000,248,122,78,0.1364,0.2618,0.4169,0.1161
40000,936,0.4017,8115.0,254,274,367,295,51,34,53,30840,39872,44677,0,0,0,1.000,1.000,1.000,152,209,165,0.1707,0.2125,0.4216,0.0985
41000,1199,0.3870,9301.1,225,409,356,434,37,40,41,30579,40883,39896,0,0,0,1.000,1.000,1.000,281,248,286,0.1890,0.2007,0.4213,0.0860
42000,1464,0.4501,10168.0,244,693,417,354,50,46,45,25920,42427,40320,0,0,0,1.000,1.000,1.000,422,281,166,0.1790,0.2108,0.3965,0.0800
43000,1943,0.4292,13521.6,238,486,834,623,71,62,81,28574,32956,38686,0,0,0,1.000,1.000,1.000,273,623,347,0.2218,0.1832,0.4113,0.0705
44000,1895,0.4522,12820.4,254,621,510,764,62,53,44,31247,34300,35032,0,0,0,1.000,1.000,1.000,483,260,527,0.2207,0.1727,0.4361,0.0656
45000,1779,0.5183,13676.5,297,778,507,494,49,57,51,26805,39668,37024,0,0,0,1.000,1.000,1.000,474,280,196,0.1907,0.2126,0.3793,0.0760
46000,1903,0.4256,13243.3,246,539,873,491,87,60,64,30347,32009,36858,0,0,0,1.000,1.000,1.000,265,628,324,0.2424,0.1806,0.4213,0.0650
47000,1845,0.4699,12726.9,272,564,593,688,56,77,88,34905,32512,32558,0,0,0,1.000,1.000,1.000,401,279,370,0.2293,0.1652,0.4449,0.0623
48000,1726,0.5267,12304.9,305,841,366,519,65,71,74,31575,38141,34845,0,0,0,1.000,1.000,1.000,464,141,270,0.1795,0.2043,0.3950,0.0692
49000,1376,0.5138,10695.9,298,492,541,343,38,79,65,32690,35185,37154,0,0,0,1.000,1.000,1.000,194,364,232,0.2178,0.1823,0.4126,0.0645
50000,1143,0.5512,9813.3,400,358,406,379,47,57,55,38237,35678,37037,0,0,0,1.000,1.000,1.000,261,140,226,0.1720,0.2179,0.4202,0.0793
51000,805,0.5304,8087.2,403,365,220,220,34,36,36,36495,39745,36990,0,0,0,1.000,1.000,1.000,179,81,101,0.1731,0.2091,0.4094,0.0792
52000,457,0.5274,4274.1,378,225,162,70,18,39,23,36197,42730,41185,0,0,0,1.000,1.000,1.000,103,114,31,0.1587,0.2722,0.4570,0.0904
