step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,354,43.88,0.97,8.12,0.40,14.17,0.06,1.25,0.023,0.097,227705.9,187512.8,1,33,3.97,1.27,1.21,10.5028,158.14,38486.3,0.0317,17.8856,5462,17.7629,1162,4.1082,14787.5,61.81,42.6897,0.0,0.0000,1.000,0.1313
10000,1,318,44.76,0.49,8.35,0.39,15.06,0.07,1.13,0.022,0.088,224498.2,190739.5,1,30,3.97,1.14,1.07,11.2634,147.69,34580.9,0.0346,17.5206,5461,17.7596,1386,4.4564,16651.8,102.89,54.4040,0.0,0.0000,1.000,0.3256
10000,2,575,42.71,0.49,9.79,0.61,13.43,0.02,1.14,0.010,0.159,213161.4,181887.6,1,63,3.99,1.15,1.11,10.8905,251.50,30458.4,0.0355,16.3821,5461,17.7596,1267,3.8443,15090.7,135.31,58.6383,0.0,0.0000,1.000,0.4519
20000,0,247,36.33,0.10,10.49,1.13,10.14,0.01,1.04,0.008,0.061,110916.3,65313.0,3,52,3.70,1.04,1.02,2.3453,187.65,33705.9,0.0428,10.4826,5462,7.1083,854,1.3300,3997.8,59.62,20.7348,0.0,0.0000,1.000,0.2018
20000,1,376,38.49,0.18,9.60,0.85,14.61,0.01,1.05,0.005,0.108,63466.8,32668.1,3,45,4.14,1.04,1.04,1.2366,160.34,42989.3,0.0000,5.8285,5461,7.1070,850,0.6420,1927.6,137.06,12.8663,0.0,0.0000,1.000,0.3823
20000,2,420,38.82,0.24,10.58,0.83,12.47,0.00,1.06,0.002,0.117,55992.5,33031.2,3,81,4.07,1.05,1.07,1.1655,252.75,38377.4,0.0000,5.2417,5461,7.1070,928,0.5856,1773.1,103.33,12.9355,0.0,0.0000,1.000,0.3347
30000,0,265,50.50,0.09,8.45,0.00,16.63,0.02,1.01,0.008,0.078,193202.6,200986.7,0,35,4.03,1.02,1.00,8.0929,173.79,39929.5,0.0012,18.4361,5462,15.1424,1323,3.9925,13638.4,105.54,43.6922,0.0,0.0000,1.000,0.2680
30000,1,453,33.27,0.13,7.53,0.00,8.85,0.03,1.04,0.018,0.084,194126.6,206331.2,0,32,3.26,1.06,1.02,8.5881,316.22,34707.1,0.0003,18.4156,5461,15.1396,1409,4.0831,15167.0,97.03,57.1818,0.0,0.0000,1.000,0.3091
30000,2,356,32.21,0.22,8.14,0.07,7.49,0.02,1.07,0.011,0.065,180206.8,195968.5,0,83,3.19,1.08,1.06,8.1459,189.74,29578.1,0.0000,17.1471,5461,15.1396,1570,3.8859,13791.2,97.42,58.0780,0.0,0.0000,1.000,0.3347
40000,0,544,26.91,0.27,5.55,0.02,7.37,0.01,1.11,0.006,0.081,105082.4,57129.7,3,62,2.89,1.11,1.10,2.1649,349.28,30348.4,0.1328,10.0411,5462,6.4080,1360,2.2828,4977.6,152.73,20.2682,0.0,0.0000,1.000,0.3912
40000,1,535,31.59,0.28,6.54,0.00,8.69,0.01,1.10,0.006,0.097,57189.0,31023.8,2,31,3.06,1.11,1.07,1.2893,308.70,39310.2,0.0000,5.4299,5461,6.4068,1267,1.1144,2051.0,68.33,13.3664,0.0,0.0000,1.000,0.2432
40000,2,390,33.74,0.18,8.31,0.00,8.21,0.02,1.07,0.010,0.074,51810.3,28690.8,3,58,3.25,1.11,1.07,1.1243,217.53,34943.4,0.0000,4.9290,5461,6.4068,1347,1.0236,1707.3,78.94,13.3340,0.0,0.0000,1.000,0.2749
50000,0,408,34.14,0.26,6.99,0.04,9.55,0.01,1.08,0.005,0.078,190818.8,97089.8,1,52,3.19,1.09,1.06,5.2497,114.55,38232.4,0.1636,17.6744,5462,16.8873,1498,5.6917,17213.8,193.95,44.4452,0.0,0.0000,1.000,0.5020
50000,1,369,34.28,0.28,6.85,0.00,9.76,0.00,1.04,0.003,0.072,190743.6,103628.4,1,34,3.43,1.03,1.03,5.8285,118.14,34799.5,0.0348,17.2428,5461,16.8842,1145,5.6941,19061.9,83.37,56.4162,0.0,0.0000,1.000,0.2490
50000,2,368,31.23,0.13,7.00,0.03,8.34,0.00,1.03,0.000,0.065,179583.1,105622.9,1,69,3.18,1.05,1.01,5.8012,67.21,31927.4,0.0067,16.0686,5461,16.8842,955,5.3758,17645.8,22.66,59.6693,0.0,0.0000,1.000,0.0793
60000,0,567,39.77,0.29,6.63,0.00,12.68,0.00,1.05,0.002,0.127,113235.8,29803.7,3,42,3.55,1.03,1.07,1.6739,140.14,26166.7,0.1796,10.7511,5462,6.8963,1400,2.2297,5641.7,207.36,19.5756,0.0,0.0000,1.000,0.5350
60000,1,326,42.16,0.10,6.69,0.00,14.18,0.00,1.04,0.000,0.079,57496.2,16137.9,3,24,3.69,1.04,1.03,0.9250,84.10,41541.8,0.0000,5.4805,5461,6.8950,988,0.9340,2097.0,84.84,13.6222,0.0,0.0000,1.000,0.2915
60000,2,147,41.74,0.00,9.01,0.00,11.86,0.00,1.00,0.000,0.034,49901.2,14170.5,3,40,3.63,1.00,1.00,0.7634,31.89,41907.3,0.0000,4.5600,5461,6.8950,521,0.6565,1348.7,7.78,14.0732,0.0,0.0000,1.000,0.0381
70000,0,555,44.24,0.31,8.58,0.00,12.93,0.01,1.07,0.005,0.138,206496.2,83424.1,2,56,3.78,1.11,1.07,4.6892,150.65,33639.9,0.3493,19.0659,5462,18.2103,1177,4.3332,16697.6,144.78,42.2297,0.0,0.0000,1.000,0.4495
70000,1,324,45.92,0.15,8.11,0.01,14.56,0.01,1.03,0.006,0.086,202751.9,92813.5,1,37,3.88,1.05,1.02,5.2537,120.65,36721.6,0.0444,18.5804,5461,18.2069,972,4.7071,18594.7,101.46,56.4440,0.0,0.0000,1.000,0.3126
70000,2,143,50.15,0.27,10.18,0.00,14.36,0.00,1.11,0.000,0.040,183296.2,85663.9,2,65,4.07,1.10,1.12,4.8974,56.16,38969.3,0.0018,16.8971,5461,18.2069,750,4.2891,17082.0,53.76,57.9761,0.0,0.0000,1.000,0.2397
