step,event,lineage,other,size
6000,split,9,1,14
6000,split,11,1,593
7000,split,17,1,27
7000,extinct,9,0,14
8000,split,36,9,452
8000,extinct,17,0,27
16000,split,104,11,159
16000,extinct,36,0,25
21000,extinct,104,0,24
26000,extinct,11,0,146
27000,split,124,11,153
27000,split,126,11,337
29000,split,142,126,83
29000,extinct,124,0,5
31000,split,169,124,48
31000,extinct,142,0,83
34000,split,203,126,136
34000,extinct,169,0,8
37000,extinct,126,0,16
42000,split,216,203,601
42000,extinct,203,0,46
46000,split,252,216,70
47000,split,263,216,29
47000,extinct,252,0,70
48000,extinct,263,0,29
49000,extinct,216,0,8
51000,split,346,216,51
51000,split,350,333,125
51000,split,351,263,123
52000,extinct,351,0,123
54000,extinct,346,0,49
55000,split,411,350,276
55000,extinct,350,0,5
60000,split,440,411,47
60000,extinct,411,0,24
61000,split,442,411,103
62000,extinct,440,0,11
63000,split,454,440,560
73000,split,501,454,12
74000,extinct,501,0,12
78000,split,514,454,5
79000,extinct,454,0,7
79000,extinct,514,0,5
80000,split,517,514,92
82000,extinct,517,0,9
83000,split,522,517,169
87000,split,537,530,70
87000,extinct,522,0,5
88000,extinct,537,0,70
89000,split,554,537,326
94000,split,580,554,5
94000,split,581,554,50
94000,extinct,554,0,33
95000,extinct,580,0,5
99000,split,600,442,166
100000,split,601,581,122
