step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west
10000,1235,1.859,1.758,15.32,85058,48558,0,18095,521,1279583,651232.9,596542.8,0.108,0.778,0.072,0.042,61,28.38,14.87,0.37,1.78,6.42,5.71,1.06,2.84,13.39,12.44,0.01,0.14,0.239,0.189,802,0.062,0.029,0.918,0.027,0.026,169432,132313,2,0.445,0.147,0.229,2661584,0.112,2.932,0.202,50.79,72582,142,0.466,0.262,0.283,7133349,1.11,2.13,0.381,0.562,0.003,9.1,30.0,41.7,162.0,26236,0.100,0.00,0.0039,0.049,305,0.560,0.001,0.449,0.511,3.59,4.65,4.75,0.06,0.023,1.07,1.16,1.11,0.600,0.00438,26.59,50.0448,1356.65,102907.5,140215.1,0.210,35.3870,111.524,0.000,1.000,0.162,26.0,37.655,164.202,4495,25917.0,26.09,59.845,6.08,11.957,516.2,4.654,0.135,2.00,4.4442,5488.6,0.4016,0.2984,21.24,1.479,0.449,1.5299,0.0000,0.521,0.139,0.492,0.0000,5.23,1.12,7,16,36,81,33.0716,0.0006,0.3028,0.0000,0.0000,161.1168,100.00,83.2505,161.6305,0.0,0.0000,0.0000,0.9355,0.7463,18091,0.2893,0.0000,0.0000,0.0034,0.0013,0.000006,1,0.0695,0.0073,0.0080,37,130,334,0.0000,0.0000,0.0135,0.041,3.8928,0.0015,1.4297,0.0057,0.3131,0.1425,0.5920,0.00802
20000,696,2.076,1.584,13.79,22193,15431,0,3423,18,342930,223056.5,138445.3,0.109,0.810,0.067,0.014,83,46.28,26.43,0.08,0.90,13.42,11.37,0.11,0.85,14.40,11.68,0.00,0.04,0.278,0.172,542,0.024,0.049,0.938,0.000,0.013,30526,23046,2,0.820,0.145,0.032,787514,0.124,2.827,0.179,21.19,15333,169,0.404,0.264,0.372,1887182,1.03,3.68,0.316,0.616,0.001,10.2,49.1,81.2,166.7,19487,0.074,0.00,0.0022,0.122,139,0.458,0.000,0.370,0.329,4.22,5.42,5.49,0.01,0.006,1.02,1.03,1.03,0.488,0.00416,3.55,9.8520,1247.10,107033.3,140215.1,0.000,8.5244,41.410,0.000,1.000,0.287,22.8,16.189,53.130,3982,22979.9,16.98,17.437,6.41,3.114,496.5,0.925,0.137,2.00,7.3642,5125.5,0.4382,0.3011,28.00,1.644,0.071,0.4701,0.0000,0.536,0.117,0.593,0.0000,6.38,0.88,6,30,49,100,13.9272,0.0000,0.3779,0.0000,0.0000,49.1688,100.00,95.0862,88.3305,0.0,0.0000,0.0000,0.9172,0.8040,3860,0.3126,0.0000,0.0000,0.0034,0.0014,0.000005,0,0.0314,0.0216,0.0127,45,148,406,0.0000,0.0000,0.0064,0.021,0.9458,0.0006,0.2926,0.0144,0.3881,0.1034,0.6283,0.00816
30000,951,1.264,1.622,19.03,66905,39734,0,14388,174,1078592,555224.8,502001.4,0.121,0.783,0.077,0.019,53,26.81,15.13,0.22,1.51,8.31,6.86,1.52,3.38,11.03,13.02,0.01,0.20,0.303,0.195,675,0.085,0.022,0.936,0.007,0.035,119067,88758,2,0.241,0.758,0.375,2143225,0.110,2.801,0.181,50.91,55776,162,0.465,0.225,0.424,6416534,1.05,3.31,0.300,0.617,0.007,8.0,27.1,46.8,93.1,20032,0.076,0.00,0.0053,0.091,229,0.563,0.001,0.460,0.453,3.56,4.63,4.70,0.06,0.029,1.06,1.05,1.05,0.600,0.00525,23.13,37.2366,1603.42,106784.4,140215.1,0.021,29.5888,99.749,0.000,1.000,0.194,29.6,34.694,161.115,4078,23263.3,12.22,47.894,6.18,13.396,511.2,4.949,0.134,2.00,5.3831,5119.4,0.4623,0.3173,21.06,1.522,0.501,1.5299,0.0000,0.545,0.143,0.637,0.0000,5.49,1.58,5,16,49,80,30.4506,0.0000,0.4458,0.0000,0.0000,163.2033,100.00,81.7136,157.4420,0.0,0.0000,0.0000,0.9090,0.7952,12354,0.3315,0.0000,0.0000,0.0031,0.0012,0.000007,0,0.0654,0.0063,0.0098,40,150,387,0.0000,0.0000,0.0068,0.018,4.2074,0.0046,1.3010,0.0263,0.3191,0.1540,0.6254,0.01369
40000,1096,1.861,1.882,13.33,22325,14961,0,2807,19,304794,215231.5,122248.2,0.098,0.784,0.084,0.034,87,35.95,16.59,0.19,1.18,7.64,7.54,0.60,2.34,16.56,15.90,0.02,0.19,0.229,0.201,727,0.043,0.046,0.929,0.007,0.018,29509,22508,1,0.052,0.948,0.129,684636,0.126,3.000,0.216,21.06,13330,177,0.401,0.247,0.246,1930535,1.05,2.43,0.422,0.529,0.008,11.9,38.3,52.8,92.5,27386,0.104,0.00,0.0012,0.052,320,0.492,0.000,0.351,0.307,4.04,5.05,5.12,0.04,0.021,1.01,1.06,1.07,0.520,0.00225,3.81,9.4251,1513.05,99971.2,140215.1,0.001,8.6904,39.017,0.000,1.000,0.163,31.5,15.167,52.855,4767,27457.8,28.46,17.177,6.05,3.479,616.0,0.960,0.134,2.01,5.9771,6550.9,0.4062,0.2947,24.99,1.523,0.275,0.4701,0.0000,0.478,0.113,0.456,0.0000,5.69,0.92,8,25,48,64,13.2405,0.0006,0.3467,0.0000,0.0000,48.6682,100.00,95.2799,89.5819,0.0,0.0000,0.0000,0.9029,0.7847,4393,0.2999,0.0000,0.0000,0.0033,0.0013,0.000003,0,0.0245,0.0055,0.0106,45,151,416,0.0000,0.0000,0.0101,0.028,0.9120,0.0006,0.2924,0.0091,0.3526,0.0654,0.5753,0.00506
50000,951,1.509,2.011,23.67,70981,43256,0,12782,68,893187,541314.7,450362.3,0.051,0.860,0.070,0.019,49,29.62,20.25,0.82,2.56,7.23,5.50,1.21,4.18,12.26,14.73,0.08,0.55,0.273,0.192,720,0.032,0.035,0.914,0.018,0.034,115446,83315,0,0.000,1.000,0.152,1508871,0.108,3.059,0.235,49.55,64502,165,0.504,0.255,0.367,7623015,1.16,2.58,0.307,0.644,0.029,9.4,27.1,53.4,114.5,20466,0.078,0.00,0.0046,0.043,373,0.569,0.000,0.419,0.404,3.36,4.63,4.62,0.26,0.101,1.13,1.18,1.17,0.595,0.00490,22.39,33.1954,2067.72,99802.9,140215.1,0.020,28.3589,99.756,0.000,1.000,0.186,25.7,35.571,163.943,4930,29336.8,26.73,46.395,5.54,14.396,577.7,5.020,0.137,2.00,5.7273,5446.6,0.4857,0.3467,21.52,1.577,0.471,1.5299,0.0000,0.362,0.172,0.220,0.0000,5.27,1.66,6,16,49,81,31.8162,0.0003,0.3754,0.0000,0.0000,164.3054,100.00,80.7458,156.1933,0.0,0.0000,0.0000,0.8535,0.7749,15020,0.2933,0.0000,0.0000,0.0031,0.0012,0.000007,0,0.0591,0.0084,0.0083,42,158,393,0.0000,0.0000,0.0057,0.009,3.2237,0.0024,1.0652,0.0147,0.3250,0.1677,0.6108,0.00881
60000,692,1.719,1.589,12.81,21039,14973,0,2175,29,253267,222991.9,103475.8,0.101,0.755,0.102,0.042,83,42.52,21.48,0.61,3.30,11.55,9.95,1.26,4.08,18.76,11.93,0.05,0.31,0.268,0.188,513,0.032,0.065,0.922,0.003,0.010,27020,20749,1,0.069,0.931,0.176,567357,0.147,2.792,0.175,20.84,14585,173,0.409,0.270,0.231,1857120,1.15,2.70,0.299,0.540,0.023,15.7,42.4,66.5,185.5,22274,0.085,0.00,0.0017,0.078,238,0.485,0.000,0.397,0.295,5.00,5.95,6.03,0.09,0.040,1.15,1.13,1.17,0.508,0.00335,3.85,8.5393,607.48,106666.6,140215.1,0.000,8.1907,40.800,0.000,1.000,0.210,27.9,16.738,52.051,4199,23470.2,15.99,17.473,6.08,3.407,510.9,0.973,0.130,2.02,8.2531,5711.2,0.3611,0.2931,32.19,1.315,0.239,0.4701,0.0000,0.508,0.093,0.504,0.0000,6.67,0.77,12,34,49,81,15.0009,0.0004,0.4234,0.0000,0.0000,48.9245,100.00,94.5515,88.6683,0.0,0.0000,0.0000,0.8968,0.8007,4120,0.3287,0.0000,0.0000,0.0032,0.0014,0.000005,1,0.0358,0.0101,0.0144,50,163,448,0.0000,0.0000,0.0051,0.011,0.6854,0.0015,0.2401,0.0130,0.3707,0.0938,0.6063,0.00658
70000,1080,1.600,1.414,10.60,46036,28147,0,7090,41,940105,552026.8,425332.4,0.092,0.784,0.087,0.037,64,34.97,17.51,1.88,5.61,10.34,7.67,1.14,3.21,17.43,14.80,0.36,0.98,0.291,0.181,848,0.027,0.016,0.960,0.006,0.018,83233,64533,2,0.638,0.219,0.233,3336504,0.157,2.629,0.161,50.56,37324,189,0.452,0.200,0.282,4671405,1.43,2.59,0.329,0.669,0.132,11.1,35.1,53.7,139.5,33259,0.127,0.00,0.0029,0.069,286,0.542,0.000,0.448,0.468,4.81,5.71,5.68,0.48,0.156,1.55,1.23,1.47,0.577,0.00507,24.38,33.9501,1641.17,106797.5,140215.1,0.015,29.0156,95.758,0.000,1.000,0.238,39.3,33.938,166.799,3766,20319.4,19.24,47.185,6.65,12.378,223.0,4.569,0.136,1.99,7.1545,7726.8,0.4068,0.3186,30.80,1.267,0.539,1.5299,0.0000,0.614,0.254,0.441,0.0000,6.34,1.20,9,26,56,81,29.3714,0.0002,0.4009,0.0000,0.0000,163.3338,100.00,83.7099,164.4339,0.0,0.0000,0.0000,0.8752,0.7824,10369,0.3007,0.0000,0.0000,0.0029,0.0011,0.000005,1,0.0700,0.0139,0.0147,46,165,422,0.0000,0.0000,0.0039,0.011,2.4563,0.0015,0.7446,0.0093,0.3427,0.0989,0.6182,0.00629
80000,785,1.590,1.313,9.64,18472,13050,0,1180,0,256140,222373.2,104578.3,0.033,0.882,0.059,0.025,110,32.94,14.57,1.84,4.19,10.28,7.52,0.86,2.79,15.50,11.31,0.92,1.54,0.303,0.179,633,0.023,0.037,0.943,0.004,0.017,22680,17409,2,0.673,0.199,0.155,1057857,0.093,2.549,0.146,21.34,9336,231,0.408,0.190,0.248,2051340,1.42,2.27,0.310,0.689,0.284,11.3,34.6,48.9,110.2,22360,0.085,0.00,0.0018,0.071,215,0.482,0.001,0.374,0.282,4.48,5.55,5.46,0.98,0.297,1.68,1.12,1.46,0.503,0.00331,4.14,9.0027,1322.87,111549.8,140215.1,0.004,7.6633,41.355,0.000,1.000,0.285,27.0,16.514,54.370,3465,18736.2,16.55,16.659,6.35,2.364,311.8,0.808,0.134,1.99,6.8267,5359.0,0.4286,0.2947,28.48,1.249,0.450,0.4701,0.0000,0.572,0.246,0.361,0.0000,6.07,1.18,8,28,49,81,14.5958,0.0006,0.4000,0.0000,0.0000,49.1713,100.00,98.1964,98.6967,0.0,0.0000,0.0000,0.9351,0.7966,4535,0.2816,0.0000,0.0000,0.0029,0.0013,0.000005,2,0.0531,0.0166,0.0209,47,169,496,0.0000,0.0000,0.0001,0.002,1.0287,0.0027,0.3114,0.0217,0.3732,0.0923,0.6028,0.00959
90000,955,1.543,1.410,13.40,61006,39013,0,8671,7,938688,560612.6,429695.0,0.071,0.812,0.080,0.037,80,32.01,15.74,1.58,4.19,9.20,6.86,0.69,2.25,13.12,10.56,0.12,0.50,0.297,0.184,771,0.016,0.026,0.940,0.007,0.026,106159,80332,2,0.689,0.249,0.140,1864143,0.131,2.652,0.162,52.15,42129,174,0.458,0.244,0.311,7000977,1.40,2.64,0.297,0.694,0.065,10.7,32.0,49.0,102.3,23491,0.090,0.00,0.0045,0.095,229,0.608,0.001,0.529,0.447,3.96,5.13,5.21,0.52,0.169,1.47,1.37,1.41,0.639,0.00450,25.00,33.5203,1252.04,108829.5,140215.1,0.003,24.4764,103.485,0.000,1.000,0.196,26.9,37.667,171.152,3718,20542.2,17.23,47.115,6.24,10.266,297.9,4.545,0.135,2.01,6.4589,6168.2,0.4263,0.3013,24.60,1.320,0.352,1.5299,0.0000,0.666,0.166,0.951,0.0000,5.83,0.96,8,25,36,64,34.0378,0.0012,0.3686,0.0000,0.0000,163.2430,100.00,88.9780,165.9356,0.0,0.0000,0.0000,0.9197,0.7916,13145,0.2893,0.0000,0.0000,0.0031,0.0012,0.000005,0,0.0642,0.0188,0.0103,41,158,427,0.0000,0.0000,0.0005,0.003,3.8427,0.0033,1.2051,0.0262,0.2837,0.1434,0.6180,0.00770
100000,835,1.623,2.114,22.60,19915,13865,0,2384,4,275634,208103.0,118516.5,0.084,0.830,0.057,0.030,92,31.57,18.97,0.65,3.84,7.35,5.53,1.12,2.58,9.74,11.72,0.05,0.39,0.254,0.149,612,0.024,0.059,0.907,0.012,0.023,25418,18382,4,0.411,0.240,0.299,720278,0.153,3.145,0.240,21.03,12653,191,0.430,0.267,0.352,1995442,1.17,2.04,0.423,0.577,0.022,10.0,29.3,60.6,140.9,15751,0.060,0.00,0.0026,0.103,225,0.484,0.000,0.370,0.291,3.25,4.37,4.41,0.10,0.041,1.21,1.17,1.16,0.508,0.00307,3.49,8.6339,1253.62,98525.9,140215.1,0.003,8.1550,38.643,0.000,1.000,0.172,21.0,15.164,53.176,5269,31273.6,16.90,16.163,5.83,3.320,708.0,0.959,0.137,1.99,6.1729,5154.4,0.5624,0.3287,18.86,1.821,0.292,0.4701,0.0000,0.799,0.252,0.763,0.0000,4.90,1.26,6,16,43,73,13.1516,0.0001,0.3844,0.0000,0.0000,49.1774,100.00,94.5720,90.7212,0.0,0.0000,0.0000,0.9239,0.8151,3782,0.3126,0.0000,0.0000,0.0031,0.0013,0.000004,0,0.0304,0.0108,0.0145,47,164,462,0.0000,0.0000,0.0006,0.001,0.7179,0.0009,0.2551,0.0120,0.3730,0.0808,0.6111,0.00943
