step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,617,27.82,0.29,6.62,1.41,13.21,0.01,1.09,0.005,0.152,226167.9,199195.0,2,23,3.64,1.09,1.12,16.1507,657.44,32951.4,0.0803,17.9568,5462,12.5531,1667,4.2959,15672.3,164.76,43.9597,0.0,0.0000,0.948,0.4123
10000,1,313,32.49,0.58,6.17,1.04,16.15,0.00,1.17,0.000,0.086,218983.8,202861.2,2,38,3.95,1.04,1.26,17.0578,364.98,35772.5,0.0834,17.0210,5461,12.5508,1430,3.9196,15982.4,92.11,55.9431,0.0,0.0000,0.943,0.2771
10000,2,305,25.30,0.34,6.29,0.36,10.91,0.01,1.09,0.003,0.063,206099.3,196130.5,2,30,3.11,1.05,1.13,16.8364,334.23,34183.5,0.0461,15.8157,5461,12.5508,1398,3.7418,14885.8,43.11,61.2139,0.0,0.0000,0.903,0.1785
20000,0,274,41.42,0.15,13.44,0.21,11.05,0.00,1.05,0.004,0.077,112526.8,75039.9,2,30,3.99,1.03,1.05,4.9501,474.23,28230.9,0.0004,10.7098,5462,5.3970,1462,1.6429,5076.8,98.90,20.7429,0.0,0.0000,0.898,0.2457
20000,1,283,45.73,0.04,12.27,0.02,15.30,0.00,1.02,0.000,0.091,61529.5,37151.9,2,55,4.19,1.03,1.03,2.6205,418.13,39281.4,0.0000,5.8967,5461,5.3960,1319,0.8197,2435.9,138.57,14.4028,0.0,0.0000,0.960,0.4333
20000,2,139,56.96,0.00,15.71,0.10,19.15,0.00,1.00,0.000,0.055,48374.4,26220.9,2,34,4.71,1.00,1.00,2.2814,354.75,39521.0,0.0000,4.5805,5461,5.3960,1201,0.6513,1734.6,62.53,14.0231,0.0,0.0000,0.869,0.2587
30000,0,240,28.51,0.41,8.26,1.81,12.75,0.00,1.10,0.004,0.064,193685.2,172145.5,1,43,3.85,1.06,1.15,12.6916,808.47,36814.9,0.0105,17.8823,5462,11.5660,1296,4.6800,15846.0,56.73,45.0737,0.0,0.0000,0.850,0.2131
30000,1,482,25.37,0.10,8.05,1.44,9.59,0.01,1.02,0.006,0.106,187917.8,172391.5,2,44,3.32,1.04,1.00,12.5368,549.26,34109.3,0.0079,17.2896,5461,11.5639,1409,4.5466,17567.2,162.20,56.6436,0.0,0.0000,0.949,0.4671
30000,2,229,28.07,0.27,8.90,1.36,12.23,0.03,1.07,0.013,0.059,171436.2,156905.7,1,67,3.76,1.10,1.06,12.0082,245.69,35860.1,0.0024,15.7391,5461,11.5639,1373,4.1698,16080.9,81.07,61.4859,0.0,0.0000,0.887,0.3142
40000,0,226,36.87,0.54,9.21,0.59,12.85,0.02,1.17,0.013,0.059,103812.6,59667.8,1,36,3.98,1.03,1.20,4.1510,329.85,29658.5,0.0013,10.2868,5462,5.0563,1833,1.8602,5013.3,92.43,21.1854,0.0,0.0000,0.892,0.2373
