step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,154,0.2532,1335.8,121,39,100,15,11,3,2,30273,28527,36605,0,0,0,0.892,0.802,0.951,31,45,13,0.3954,0.0699,0.7119,0.0355
2000,1046,0.5000,10736.4,141,310,351,385,14,15,8,36857,32600,31850,0,0,0,0.885,0.881,0.775,244,276,228,0.2026,0.2074,0.5308,0.0647
3000,646,0.3824,5970.6,159,364,139,143,19,22,12,32276,35788,32861,0,0,0,0.979,0.869,0.904,344,95,117,0.2231,0.1895,0.6713,0.0505
4000,930,0.4226,7666.8,191,250,448,232,43,30,47,30382,30681,35718,0,0,0,0.956,0.968,0.889,225,406,186,0.2284,0.1864,0.6227,0.0478
5000,1296,0.3681,8683.3,153,377,429,490,37,62,37,32642,28646,28895,0,0,0,0.961,0.925,0.903,337,376,391,0.2718,0.1570,0.6535,0.0435
6000,1370,0.3905,8786.4,178,568,356,446,62,63,22,31785,31682,30032,0,0,0,0.922,0.803,0.902,473,222,344,0.2118,0.2138,0.6508,0.0480
7000,1451,0.3322,8547.8,165,459,686,306,69,71,70,32325,32013,33464,0,0,0,0.855,0.967,0.861,342,631,226,0.2437,0.1568,0.6003,0.0524
8000,1394,0.3199,8739.5,169,411,384,599,26,35,59,35432,31099,30170,0,0,0,0.950,0.789,0.829,352,259,395,0.2505,0.1716,0.5872,0.0524
9000,1067,0.4339,7073.6,191,401,384,282,31,45,27,34515,31988,31682,0,0,0,0.922,0.824,0.909,346,238,224,0.2473,0.1657,0.6319,0.0503
10000,738,0.4417,5110.2,207,291,289,158,35,58,31,31421,34937,33377,0,0,0,0.898,0.962,0.824,229,265,110,0.2739,0.1345,0.6661,0.0436
11000,950,0.4126,6226.5,187,416,294,240,47,62,59,33819,33034,31826,0,0,0,0.897,0.876,0.901,331,218,191,0.2501,0.1381,0.6559,0.0454
12000,359,0.3649,3217.9,258,177,111,71,23,21,23,34797,32918,32072,0,0,0,0.654,0.832,0.706,97,76,34,0.3282,0.1253,0.7050,0.0390
13000,632,0.3892,4204.7,221,369,151,112,32,55,18,34295,36276,35619,0,0,0,0.887,0.966,0.814,291,139,60,0.1580,0.2657,0.6394,0.0500
14000,172,0.3488,1593.9,326,88,71,13,15,20,12,35404,36303,36718,0,0,0,0.887,0.724,0.934,66,26,11,0.1912,0.2160,0.6212,0.0464
15000,318,0.5189,2456.9,269,234,41,43,8,13,15,35944,38192,38061,0,0,0,0.739,0.871,0.555,115,28,9,0.1189,0.3329,0.5853,0.0547
16000,404,0.4975,3293.0,211,345,45,14,6,23,12,34891,39571,39267,0,0,0,0.932,0.944,0.897,298,39,11,0.0966,0.3558,0.5654,0.0642
17000,262,0.3511,2617.5,270,158,80,24,16,18,17,34607,38613,39433,0,0,0,0.799,0.980,0.950,105,74,21,0.2222,0.1805,0.6542,0.0565
18000,440,0.3523,3951.2,202,191,107,142,17,39,26,34384,37331,36648,0,0,0,0.932,0.878,0.785,155,84,84,0.2230,0.1583,0.7175,0.0515
