step,cause,age,size,n,worn
10000,hunger,0,0,8,0
10000,hunger,0,4,9,0
10000,hunger,0,8,14,0
10000,hunger,0,12,21,0
10000,hunger,0,16,32,0
10000,hunger,0,20,21,1
10000,hunger,0,24,391,1
10000,hunger,0,28,56,0
10000,hunger,0,32,79,0
10000,hunger,0,36,631,1
10000,hunger,0,40,44,0
10000,hunger,0,44,50,1
10000,hunger,0,48,1028,4
10000,hunger,0,52,15,0
10000,hunger,0,56,22,0
10000,hunger,0,60,44,0
10000,hunger,0,64,477,2
10000,hunger,0,68,8,0
10000,hunger,0,72,3,0
10000,hunger,0,76,6,0
10000,hunger,0,80,155,0
10000,hunger,0,84,1,0
10000,hunger,0,88,2,0
10000,hunger,0,92,4,0
10000,hunger,0,96,2,0
10000,hunger,0,100,56,1
10000,hunger,0,120,15,0
10000,hunger,0,128,1,0
10000,hunger,0,144,1,0
10000,hunger,0,168,3,0
10000,hunger,50,0,151,0
10000,hunger,50,4,155,0
10000,hunger,50,8,161,0
10000,hunger,50,12,139,0
10000,hunger,50,16,159,0
10000,hunger,50,20,149,1
10000,hunger,50,24,1051,1
10000,hunger,50,28,213,2
10000,hunger,50,32,325,1
10000,hunger,50,36,1713,7
10000,hunger,50,40,131,0
10000,hunger,50,44,160,1
10000,hunger,50,48,2564,6
10000,hunger,50,52,71,0
10000,hunger,50,56,73,1
10000,hunger,50,60,85,0
10000,hunger,50,64,1283,8
10000,hunger,50,68,10,0
10000,hunger,50,72,14,0
10000,hunger,50,76,17,0
10000,hunger,50,80,403,7
10000,hunger,50,84,2,0
10000,hunger,50,96,1,0
10000,hunger,50,100,50,1
10000,hunger,50,116,1,0
10000,hunger,50,120,3,0
10000,hunger,50,136,1,0
10000,hunger,100,0,90,0
10000,hunger,100,4,138,0
10000,hunger,100,8,127,0
10000,hunger,100,12,71,1
10000,hunger,100,16,141,0
10000,hunger,100,20,127,1
10000,hunger,100,24,718,2
10000,hunger,100,28,187,0
10000,hunger,100,32,297,3
10000,hunger,100,36,1392,6
10000,hunger,100,40,117,0
10000,hunger,100,44,147,0
10000,hunger,100,48,2223,14
10000,hunger,100,52,46,0
10000,hunger,100,56,59,0
10000,hunger,100,60,123,2
10000,hunger,100,64,1428,12
10000,hunger,100,68,8,0
10000,hunger,100,72,13,0
10000,hunger,100,76,9,0
10000,hunger,100,80,454,8
10000,hunger,100,84,2,0
10000,hunger,100,92,2,0
10000,hunger,100,96,4,1
10000,hunger,100,100,59,3
10000,hunger,150,0,40,0
10000,hunger,150,4,123,0
10000,hunger,150,8,157,1
10000,hunger,150,12,135,0
10000,hunger,150,16,139,0
10000,hunger,150,20,121,0
10000,hunger,150,24,627,3
10000,hunger,150,28,185,1
10000,hunger,150,32,297,4
10000,hunger,150,36,1351,13
10000,hunger,150,40,138,2
10000,hunger,150,44,142,3
10000,hunger,150,48,2159,26
10000,hunger,150,52,56,2
10000,hunger,150,56,69,1
10000,hunger,150,60,125,2
10000,hunger,150,64,1530,37
10000,hunger,150,68,12,0
10000,hunger,150,72,16,0
10000,hunger,150,76,23,1
10000,hunger,150,80,416,9
10000,hunger,150,92,3,0
10000,hunger,150,96,4,0
10000,hunger,150,100,74,2
10000,hunger,150,120,2,0
10000,hunger,200,0,26,0
10000,hunger,200,4,124,0
10000,hunger,200,8,165,0
10000,hunger,200,12,109,0
10000,hunger,200,16,124,1
10000,hunger,200,20,116,1
10000,hunger,200,24,464,3
10000,hunger,200,28,168,5
10000,hunger,200,32,275,2
10000,hunger,200,36,1029,12
10000,hunger,200,40,139,1
10000,hunger,200,44,114,2
10000,hunger,200,48,1745,18
10000,hunger,200,52,45,0
10000,hunger,200,56,40,0
10000,hunger,200,60,89,5
10000,hunger,200,64,1191,35
10000,hunger,200,68,10,0
10000,hunger,200,72,9,0
10000,hunger,200,76,14,0
10000,hunger,200,80,326,13
10000,hunger,200,92,2,1
10000,hunger,200,100,48,1
10000,hunger,200,112,1,0
