step,cause,age,size,n,worn
10000,hunger,0,0,32,0
10000,hunger,0,4,43,0
10000,hunger,0,8,122,0
10000,hunger,0,12,197,0
10000,hunger,0,16,1683,1
10000,hunger,0,20,130,0
10000,hunger,0,24,1859,0
10000,hunger,0,28,73,0
10000,hunger,0,32,102,1
10000,hunger,0,36,965,1
10000,hunger,0,40,57,0
10000,hunger,0,44,54,0
10000,hunger,0,48,503,1
10000,hunger,0,52,21,0
10000,hunger,0,56,17,0
10000,hunger,0,60,25,0
10000,hunger,0,64,178,0
10000,hunger,0,68,10,0
10000,hunger,0,72,9,0
10000,hunger,0,76,9,0
10000,hunger,0,80,55,0
10000,hunger,0,84,9,0
10000,hunger,0,88,3,0
10000,hunger,0,92,2,0
10000,hunger,0,96,5,0
10000,hunger,0,100,37,0
10000,hunger,0,108,1,0
10000,hunger,0,112,1,0
10000,hunger,0,120,8,0
10000,hunger,0,128,1,0
10000,hunger,0,140,1,0
10000,hunger,0,144,6,0
10000,hunger,0,168,1,0
10000,hunger,50,0,215,0
10000,hunger,50,4,384,0
10000,hunger,50,8,572,2
10000,hunger,50,12,852,1
10000,hunger,50,16,4666,8
10000,hunger,50,20,545,0
10000,hunger,50,24,6426,13
10000,hunger,50,28,262,2
10000,hunger,50,32,338,1
10000,hunger,50,36,2708,5
10000,hunger,50,40,181,2
10000,hunger,50,44,180,2
10000,hunger,50,48,1363,6
10000,hunger,50,52,75,1
10000,hunger,50,56,54,0
10000,hunger,50,60,112,2
10000,hunger,50,64,531,5
10000,hunger,50,68,24,1
10000,hunger,50,72,13,0
10000,hunger,50,76,16,0
10000,hunger,50,80,146,0
10000,hunger,50,84,3,0
10000,hunger,50,88,2,0
10000,hunger,50,92,4,0
10000,hunger,50,96,4,0
10000,hunger,50,100,13,0
10000,hunger,50,104,1,0
10000,hunger,50,112,1,0
10000,hunger,50,120,3,1
10000,hunger,100,0,149,0
10000,hunger,100,4,248,0
10000,hunger,100,8,385,0
10000,hunger,100,12,574,1
10000,hunger,100,16,3328,14
10000,hunger,100,20,416,3
10000,hunger,100,24,4653,16
10000,hunger,100,28,180,2
10000,hunger,100,32,259,3
10000,hunger,100,36,1769,11
10000,hunger,100,40,132,0
10000,hunger,100,44,134,2
10000,hunger,100,48,1006,9
10000,hunger,100,52,51,0
10000,hunger,100,56,37,0
10000,hunger,100,60,67,2
10000,hunger,100,64,386,4
10000,hunger,100,68,12,2
10000,hunger,100,72,13,0
10000,hunger,100,76,13,0
10000,hunger,100,80,87,2
10000,hunger,100,84,2,0
10000,hunger,100,88,2,0
10000,hunger,100,92,3,0
10000,hunger,100,96,5,0
10000,hunger,100,100,27,0
10000,hunger,100,108,1,0
10000,hunger,100,112,1,0
10000,hunger,100,120,2,0
10000,hunger,150,0,51,0
10000,hunger,150,4,161,2
10000,hunger,150,8,335,0
10000,hunger,150,12,508,1
10000,hunger,150,16,2497,7
10000,hunger,150,20,352,6
10000,hunger,150,24,4029,23
10000,hunger,150,28,155,1
10000,hunger,150,32,206,3
10000,hunger,150,36,1628,18
10000,hunger,150,40,120,0
10000,hunger,150,44,127,0
10000,hunger,150,48,1075,8
10000,hunger,150,52,37,1
10000,hunger,150,56,46,0
10000,hunger,150,60,85,1
10000,hunger,150,64,426,13
10000,hunger,150,68,21,1
10000,hunger,150,72,9,0
10000,hunger,150,76,17,0
10000,hunger,150,80,130,2
10000,hunger,150,84,7,0
10000,hunger,150,88,6,1
10000,hunger,150,92,4,0
10000,hunger,150,96,6,0
10000,hunger,150,100,36,1
10000,hunger,150,104,1,0
10000,hunger,150,112,1,0
10000,hunger,150,116,1,1
10000,hunger,150,120,4,0
10000,hunger,200,0,53,0
10000,hunger,200,4,146,0
10000,hunger,200,8,309,1
10000,hunger,200,12,426,0
10000,hunger,200,16,2088,11
10000,hunger,200,20,333,2
10000,hunger,200,24,3398,22
10000,hunger,200,28,161,0
