step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,2739,0.4023,24796.0,149,1135,908,696,42,40,31,26418,26664,29193,0,0,0,1.000,1.000,1.000,859,282,111,0.3261,0.1247,0.4827,0.0742
2000,2937,0.4110,20999.3,201,1073,1102,762,77,82,97,25729,25410,28591,0,0,0,1.000,1.000,1.000,802,401,105,0.4507,0.1047,0.6379,0.0518
3000,3297,0.3861,21976.7,194,1164,1281,852,59,70,75,21629,20349,23514,0,0,0,1.000,1.000,1.000,856,478,135,0.5692,0.0783,0.7024,0.0389
4000,3647,0.4234,25779.2,215,1322,1378,947,57,77,90,21370,18482,21147,0,0,0,1.000,1.000,1.000,902,480,171,0.5611,0.0865,0.6766,0.0380
5000,3916,0.4321,27541.2,234,1477,1393,1046,66,65,70,19753,16827,21912,0,0,0,1.000,1.000,1.000,1030,507,153,0.5532,0.0754,0.6582,0.0374
6000,4132,0.4276,27393.2,228,1520,1513,1099,57,84,92,19581,16369,21710,0,0,0,1.000,1.000,1.000,1086,543,185,0.5758,0.0788,0.6829,0.0372
7000,4445,0.4259,27098.4,211,1493,1682,1270,79,87,105,19921,17145,22015,0,0,0,1.000,1.000,1.000,1049,610,214,0.5635,0.0824,0.6780,0.0377
8000,4079,0.3859,23647.5,188,1418,1542,1119,65,89,106,19869,17761,23951,0,0,0,1.000,1.000,1.000,1014,564,166,0.5870,0.0792,0.7202,0.0365
9000,3496,0.4025,22707.2,206,1342,1290,864,61,64,79,19535,17498,22664,0,0,0,1.000,1.000,1.000,988,534,165,0.6428,0.0641,0.7328,0.0322
10000,2611,0.4584,18244.7,240,980,947,684,48,64,91,22229,21597,27310,0,0,0,1.000,1.000,1.000,757,386,152,0.6467,0.0669,0.7676,0.0328
11000,2311,0.4833,17745.5,254,884,776,651,59,66,70,22945,24863,29784,0,0,0,1.000,1.000,1.000,606,332,120,0.5642,0.0837,0.7275,0.0372
