step,event,lineage,other,size
5000,birth,1,0,13
7000,split,15,1,185
7000,extinct,1,0,13
8000,split,21,14,88
9000,split,24,14,74
10000,split,36,21,19
11000,split,44,24,77
11000,extinct,36,0,19
12000,split,55,15,101
12000,extinct,15,0,79
12000,extinct,21,0,7
12000,extinct,44,0,77
13000,extinct,24,0,75
14000,split,66,55,6
16000,split,82,55,108
16000,extinct,55,0,8
18000,extinct,66,0,100
20000,split,74,55,338
20000,split,91,82,354
20000,extinct,82,0,188
24000,extinct,74,0,15
27000,split,111,102,84
27000,extinct,91,0,185
28000,split,122,91,142
28000,extinct,111,0,84
29000,extinct,122,0,142
31000,split,155,122,44
31000,split,158,111,151
32000,split,164,155,5
32000,extinct,155,0,44
33000,extinct,164,0,5
35000,split,184,164,31
35000,extinct,158,0,6
41000,split,201,184,236
43000,extinct,184,0,175
45000,split,207,184,15
47000,split,219,201,336
47000,extinct,207,0,15
49000,split,232,201,199
49000,extinct,201,0,41
51000,split,244,232,37
51000,extinct,219,0,16
51000,extinct,232,0,40
52000,split,252,232,415
52000,split,259,232,17
52000,extinct,244,0,37
54000,extinct,259,0,7
55000,extinct,252,0,53
56000,split,293,252,76
59000,split,303,293,502
59000,extinct,293,0,40
65000,split,324,303,272
67000,split,354,324,20
68000,extinct,324,0,101
68000,extinct,354,0,20
70000,split,415,324,207
72000,split,459,303,8
73000,split,470,303,63
73000,split,472,303,20
73000,extinct,415,0,20
75000,extinct,459,0,5
76000,extinct,472,0,30
78000,extinct,470,0,19
85000,split,558,303,136
86000,split,587,303,272
87000,split,603,558,183
88000,extinct,558,0,76
89000,extinct,603,0,63
92000,split,670,603,98
95000,extinct,670,0,18
98000,split,714,670,158
99000,extinct,587,0,6
100000,extinct,714,0,25
