step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,1150,0.4174,9578.5,127,240,608,302,6,9,11,34262,33662,41079,0,0,0,0.935,0.908,0.848,206,474,231,0.1346,0.2596,0.4681,0.0847
2000,931,0.3867,8038.5,168,313,333,285,26,26,19,36809,33749,36451,0,0,0,0.941,0.968,0.910,260,303,234,0.1709,0.2529,0.5778,0.0645
3000,723,0.4841,6270.6,213,372,120,231,19,14,10,33555,36525,37001,0,0,0,0.944,0.830,0.916,320,78,187,0.1836,0.2135,0.6285,0.0584
4000,1215,0.3350,7438.9,153,401,592,222,49,36,28,33112,30689,37333,0,0,0,0.876,0.926,0.911,306,474,176,0.2358,0.1669,0.5980,0.0531
5000,1210,0.4504,8714.0,198,385,369,456,30,25,23,36787,31922,30826,0,0,0,0.931,0.930,0.883,329,315,347,0.2311,0.1936,0.5909,0.0556
6000,1009,0.4519,7989.9,191,457,254,298,35,30,21,34188,34032,32608,0,0,0,0.941,0.761,0.880,391,145,227,0.1996,0.2247,0.6306,0.0512
7000,1396,0.3130,9126.6,148,470,617,309,46,52,47,31708,33873,35280,0,0,0,0.867,0.948,0.901,350,553,244,0.1840,0.2349,0.5629,0.0593
8000,1281,0.4028,9084.4,181,366,334,581,28,44,34,36106,33157,31845,0,0,0,0.927,0.824,0.850,312,243,418,0.2200,0.2007,0.5535,0.0573
9000,1129,0.3933,6575.2,180,433,400,296,48,39,21,34975,33490,31723,0,0,0,0.912,0.815,0.885,367,232,228,0.2586,0.1696,0.6271,0.0480
10000,748,0.4372,4810.5,200,297,222,229,22,20,15,31927,33852,32331,0,0,0,0.893,0.974,0.844,232,205,143,0.2932,0.1226,0.6523,0.0413
11000,754,0.4469,4384.9,191,212,207,335,21,15,33,33890,32851,32200,0,0,0,0.951,0.875,0.961,192,148,301,0.2693,0.1473,0.6609,0.0398
12000,505,0.4119,3329.6,201,215,135,155,18,21,13,35073,33467,32673,0,0,0,0.858,0.961,0.845,174,125,103,0.2565,0.1671,0.6924,0.0410
13000,455,0.4440,3572.9,210,284,97,74,21,8,6,36036,37383,35822,0,0,0,0.928,0.717,0.762,247,54,48,0.1948,0.2057,0.6521,0.0517
14000,290,0.4241,2484.7,193,174,72,44,9,9,14,39038,38333,38355,0,0,0,0.899,0.715,0.853,140,30,27,0.1332,0.2445,0.6050,0.0644
15000,109,0.5413,1097.5,320,45,54,10,8,3,8,40249,40890,40103,0,0,0,0.738,0.996,0.832,20,52,6,0.1185,0.3516,0.5720,0.0781
16000,230,0.4522,2343.9,225,196,20,14,4,12,10,37782,42272,41098,0,0,0,0.966,0.806,0.956,178,14,13,0.0834,0.3309,0.5554,0.0848
17000,233,0.3348,2137.6,226,151,74,8,11,26,8,36896,40413,40919,0,0,0,0.953,0.955,0.936,132,67,7,0.1903,0.2235,0.6699,0.0705
18000,272,0.3529,3520.2,243,108,82,82,25,15,20,36630,38603,38273,0,0,0,0.968,0.966,0.912,96,72,70,0.1954,0.2008,0.7499,0.0611
19000,437,0.4577,5414.4,244,301,61,75,30,22,12,32771,38131,36625,0,0,0,0.954,0.848,0.966,277,45,65,0.1793,0.1946,0.7355,0.0546
20000,599,0.4240,6229.2,207,178,317,104,28,40,26,30807,34604,37967,0,0,0,0.958,0.953,0.909,157,277,84,0.2471,0.1521,0.6761,0.0513
21000,647,0.3864,7400.2,196,234,225,188,32,33,29,32823,33609,33525,0,0,0,0.931,0.951,0.895,210,196,145,0.2545,0.1802,0.6472,0.0528
22000,877,0.3558,7559.9,182,480,181,216,51,33,14,30822,34290,33237,0,0,0,0.974,0.842,0.903,447,128,168,0.2172,0.1882,0.6652,0.0500
23000,1127,0.3949,9140.8,194,405,527,195,72,35,43,27551,31613,34356,0,0,0,0.934,0.977,0.910,343,495,150,0.2307,0.1749,0.6365,0.0468
24000,1179,0.3690,9655.0,191,336,317,526,39,21,39,30868,29347,29875,0,0,0,0.947,0.881,0.928,301,249,434,0.2568,0.1748,0.6409,0.0460
25000,1175,0.3728,8996.7,187,440,375,360,42,49,24,29071,28247,27790,0,0,0,0.950,0.820,0.893,398,256,290,0.2950,0.1627,0.7010,0.0383
26000,1537,0.3637,9307.7,165,615,568,354,54,91,53,26010,28923,29695,0,0,0,0.914,0.972,0.885,495,530,264,0.2709,0.1741,0.6932,0.0395
27000,1631,0.3869,9286.8,165,649,481,501,50,63,42,28501,27149,28700,0,0,0,0.834,0.829,0.946,501,324,437,0.2977,0.1398,0.6611,0.0371
28000,1238,0.4564,6894.1,195,402,409,427,56,39,52,30765,27340,27339,0,0,0,0.969,0.924,0.903,376,341,327,0.3206,0.1271,0.7162,0.0327
29000,1049,0.4299,5336.2,168,639,255,155,18,49,16,25111,29096,26676,0,0,0,0.907,0.891,0.634,502,197,68,0.2939,0.1121,0.7817,0.0299
30000,526,0.4506,3652.9,241,185,250,91,44,29,35,32673,31762,34740,0,0,0,0.915,0.825,0.907,141,159,66,0.3388,0.1041,0.7892,0.0391
31000,1055,0.4616,6751.6,207,315,392,348,54,57,56,32717,30398,32337,0,0,0,0.915,0.954,0.824,246,339,225,0.2324,0.1519,0.7244,0.0391
32000,643,0.4012,4333.6,226,455,105,83,22,41,17,28748,32005,33833,0,0,0,0.949,0.800,0.718,392,71,42,0.2708,0.1300,0.7722,0.0350
33000,150,0.6200,1692.4,483,60,61,29,8,22,25,28773,31077,34704,0,0,0,0.830,0.803,0.971,40,34,28,0.3333,0.1263,0.7745,0.0319
34000,365,0.3151,2112.9,128,303,51,11,8,19,7,29255,30200,32133,0,0,0,0.870,0.901,0.938,212,40,9,0.2192,0.1897,0.7937,0.0306
35000,37,0.5676,450.7,496,21,3,13,4,1,12,34032,37761,36971,0,0,0,0.935,0.893,0.842,18,2,8,0.1193,0.2924,0.7941,0.0437
36000,232,0.3534,2256.3,198,145,56,31,10,22,11,30935,35722,36054,0,0,0,0.804,0.951,0.950,93,49,25,0.1971,0.2479,0.7533,0.0399
37000,293,0.4027,2975.3,295,128,64,101,19,25,34,32167,36186,36205,0,0,0,0.844,0.918,0.947,97,53,87,0.2091,0.1769,0.7463,0.0432
38000,640,0.3594,5007.2,178,483,100,57,25,35,17,29761,35161,35223,0,0,0,0.976,0.672,0.852,448,48,35,0.2277,0.1621,0.7290,0.0425
39000,799,0.3830,4792.6,191,233,362,204,32,62,50,28646,34989,37048,0,0,0,0.861,0.946,0.715,162,316,102,0.2709,0.1334,0.7418,0.0430
40000,1056,0.3854,6174.6,177,362,294,400,36,54,54,30193,32246,34208,0,0,0,0.944,0.849,0.874,325,223,279,0.2773,0.1336,0.6951,0.0422
41000,1067,0.3636,5555.1,167,308,304,455,39,41,36,27623,30718,33614,0,0,0,0.970,0.910,0.892,291,240,361,0.2915,0.1345,0.7400,0.0368
