step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat
10000,853,2.057,1.816,14.91,62578,32952,0,12685,365,1273616,651240.4,596953.6,0.176,0.522,0.174,0.128,50,44.83,21.55,0.25,1.76,11.75,7.56,0.21,1.00,14.33,12.36,0.01,0.13,0.270,0.144,653,0.039,0.045,0.930,0.004,0.022,136870,107919,1,0.537,0.463,0.069,1195427,0.227,2.955,0.209,50.92,54027,176,0.469,0.186,0.399,3742404,1.08,2.86,0.374,0.606,0.007,15.1,46.3,72.8,145.5,22635,0.086,0.00,0.0053,0.056,439,0.509,0.001,0.356,0.555,4.21,5.24,5.35,0.06,0.028,1.06,1.05,1.11,0.569,0.00597,29.31,51.6250,1973.06,101195.7,140496.8,0.646,36.8266,110.201,0.000,1.000,0.207,25.1,34.463,165.002,4570,26163.0,21.89,58.355,6.64,10.246,480.8,4.203,0.133,2.01,8.2050,6998.9,0.4881,0.3084,26.54,1.726,0.212,1.5414,0.0000,0.377,0.204,0.368,0.0000,6.01,1.12,9,25,49,96,30.1312,0.0007,0.3411,0.0000,0.0000,161.4189,100.00,83.0876,170.9427,0.0,0.0000,0.0000,0.8862,0.7351,17204,0.3029,0.0000,0.0000,0.0028,0.0010,0.000006,1,0.0682,0.0223,0.0103,40,142,377,0.0000,0.0000,0.0109,0.059,3.5210,0.0026,1.1484,0.0129,0.3321,0.1432,0.5856,0.00669,0.652,0.0320,0.927,0.256,0.20,0.069,0.546,0.024,0.2265,0.107,0.754
20000,748,2.245,1.509,14.89,17207,10706,0,2442,12,302283,217896.0,138209.0,0.173,0.700,0.072,0.055,62,56.85,25.40,0.57,3.00,11.41,8.39,0.12,1.45,18.42,10.43,0.04,0.34,0.204,0.120,546,0.041,0.033,0.957,0.000,0.009,21987,16179,1,0.619,0.381,0.029,128361,0.166,2.742,0.173,20.48,11713,205,0.457,0.227,0.298,1282215,1.16,2.52,0.348,0.623,0.019,21.8,60.9,87.2,227.2,22828,0.087,0.00,0.0016,0.061,330,0.397,0.000,0.318,0.296,4.71,5.69,5.74,0.13,0.047,1.19,1.08,1.19,0.429,0.00385,3.65,9.9879,1239.03,105869.4,140496.8,0.018,9.5926,39.441,0.000,1.000,0.224,29.7,14.836,51.150,3914,21982.9,16.47,17.406,6.29,3.480,406.2,0.956,0.137,1.98,9.8108,7338.5,0.4796,0.3582,30.52,1.836,0.093,0.4586,0.0000,0.437,0.074,0.180,0.0000,6.34,0.73,12,33,49,81,12.5001,0.0000,0.4144,0.0000,0.0000,47.5062,100.00,90.2584,91.8592,0.0,0.0000,0.0000,0.9094,0.7759,4151,0.3063,0.0000,0.0000,0.0026,0.0010,0.000004,1,0.0494,0.0214,0.0213,50,175,479,0.0000,0.0000,0.0020,0.002,0.4623,0.0026,0.1619,0.0094,0.4526,0.0697,0.5807,0.00667,0.163,0.0016,0.988,0.500,0.09,0.029,0.400,0.020,0.0376,0.075,0.733
30000,962,2.060,1.738,27.12,68679,36906,0,17000,132,1085209,557232.7,568073.6,0.122,0.777,0.054,0.046,48,43.78,24.55,0.16,1.20,9.44,7.90,0.03,0.46,12.14,9.00,0.00,0.00,0.212,0.129,752,0.022,0.054,0.923,0.003,0.020,110802,79685,1,0.117,0.883,0.007,360941,0.152,2.905,0.202,51.64,63043,168,0.523,0.244,0.306,6346911,1.06,2.80,0.247,0.649,0.000,14.0,44.0,72.0,187.9,20941,0.080,0.00,0.0048,0.063,336,0.526,0.000,0.470,0.403,3.86,4.75,4.98,0.09,0.045,1.03,1.07,1.06,0.560,0.00614,23.99,36.7955,1672.84,101547.2,140496.8,0.026,29.2549,103.401,0.000,1.000,0.198,25.1,34.592,171.072,4439,25217.2,27.41,47.797,5.36,12.639,486.0,4.839,0.137,2.00,7.9318,7630.4,0.5527,0.3841,21.77,1.998,0.007,1.5414,0.0000,0.066,0.086,0.009,0.0000,5.56,1.13,7,22,36,94,29.4648,0.0000,0.3399,0.0000,0.0000,164.2466,100.00,82.5626,164.5755,0.0,0.0000,0.0000,0.8963,0.7766,14426,0.3040,0.0000,0.0000,0.0027,0.0010,0.000006,1,0.0700,0.0104,0.0099,40,156,404,0.0000,0.0000,0.0050,0.015,2.0022,0.0024,0.8164,0.0291,0.3583,0.1534,0.6070,0.01178,0.109,0.0020,1.000,0.894,0.03,0.007,0.182,0.006,0.0251,0.034,0.826
40000,1039,1.918,1.648,31.77,19463,10741,0,3682,82,284165,213284.9,144210.5,0.089,0.746,0.095,0.069,59,43.75,25.20,0.05,0.49,9.11,8.14,0.01,0.19,12.67,9.39,0.00,0.00,0.205,0.127,724,0.057,0.053,0.928,0.003,0.016,24685,16452,1,0.015,0.985,0.001,43155,0.192,2.870,0.184,20.29,17349,177,0.507,0.280,0.354,1511885,1.01,3.12,0.347,0.642,0.000,12.0,44.0,72.0,180.0,22684,0.087,0.00,0.0016,0.056,407,0.401,0.000,0.385,0.282,3.79,4.70,4.86,0.02,0.008,1.01,1.02,1.02,0.428,0.00275,3.49,11.4257,1545.49,102543.3,140496.8,0.077,10.9031,37.219,0.000,1.000,0.168,28.5,13.071,52.308,4180,23674.3,34.22,17.307,5.49,3.584,417.9,0.948,0.133,2.01,7.7205,8021.6,0.5566,0.3960,21.83,2.000,0.001,0.4586,0.0000,0.056,0.062,0.003,0.0000,5.56,0.99,6,22,36,90,10.6845,0.0000,0.3744,0.0000,0.0000,47.6936,100.00,90.2192,96.1568,0.0,0.0000,0.0000,0.8953,0.7568,4881,0.3031,0.0000,0.0000,0.0024,0.0009,0.000002,0,0.0326,0.0115,0.0140,45,173,477,0.0000,0.0000,0.0174,0.085,0.4672,0.0007,0.1728,0.0164,0.4599,0.0548,0.5609,0.00562,0.241,0.0067,0.991,0.774,0.01,0.001,0.213,0.003,0.0512,0.028,0.864
50000,995,2.065,2.206,38.90,62749,37174,0,13384,278,737109,531939.8,411759.2,0.085,0.712,0.121,0.082,46,39.07,28.00,0.15,1.39,7.13,6.75,0.00,0.00,12.11,13.64,0.00,0.00,0.200,0.161,518,0.067,0.037,0.934,0.002,0.027,97229,64039,1,0.255,0.745,0.000,79626,0.209,3.169,0.254,49.46,69347,156,0.559,0.276,0.221,6345557,1.06,1.72,0.551,0.417,0.000,14.0,32.0,70.0,288.0,19292,0.074,0.00,0.0044,0.046,184,0.574,0.000,0.315,0.378,3.59,4.33,4.49,0.01,0.006,1.04,1.08,1.07,0.600,0.00402,23.96,31.2622,1352.63,94282.8,140496.8,0.322,28.9777,96.508,0.000,1.000,0.119,24.4,34.483,162.587,5626,32759.0,29.25,45.462,5.05,14.822,761.2,5.087,0.136,1.99,7.2540,7217.8,0.5994,0.3972,19.39,2.000,0.000,1.5414,0.0000,0.019,0.036,0.000,0.0000,4.84,1.13,7,16,34,144,31.0260,0.0000,0.3658,0.0000,0.0000,163.9687,100.00,78.4135,163.5375,0.0,0.0000,0.0000,0.9173,0.8113,11957,0.2768,0.0000,0.0000,0.0027,0.0011,0.000004,0,0.0652,0.0070,0.0103,44,176,455,0.0000,0.0000,0.0117,0.034,1.6702,0.0015,0.6170,0.0131,0.3322,0.1131,0.6515,0.00884,0.259,0.0106,1.000,0.895,0.00,0.000,0.319,0.019,0.0337,0.058,0.863
60000,140,2.856,2.262,21.11,12760,8339,0,1202,130,90252,179510.8,57760.9,0.167,0.555,0.162,0.116,60,83.64,50.95,2.76,4.09,8.29,16.59,0.05,0.34,41.56,24.05,0.00,0.00,0.070,0.115,77,0.186,0.014,0.986,0.000,0.000,16954,12507,0,0.000,1.000,0.021,31110,0.322,3.242,0.249,17.13,12608,144,0.640,0.334,0.143,937506,1.59,2.30,0.700,0.114,0.000,50.8,63.4,179.2,257.4,7373,0.028,0.00,0.0031,0.014,0,0.497,0.000,0.207,0.298,6.63,7.21,7.46,0.15,0.050,1.24,1.96,1.59,0.513,0.00620,3.28,9.5001,737.15,101351.2,140496.8,0.000,12.8565,28.788,0.000,1.000,0.196,7.8,11.780,45.717,5531,33564.8,12.59,15.309,7.15,6.797,1229.3,0.983,0.134,2.00,10.3047,1442.7,0.3108,0.3668,52.66,1.486,0.246,0.4586,0.0000,0.350,0.167,0.193,0.0000,7.91,2.54,35,36,104,168,11.0901,0.0011,0.3429,0.0000,0.0000,47.9330,100.00,82.6822,82.8519,0.0,0.0000,0.0000,0.8745,0.7546,3942,0.2882,0.0000,0.0000,0.0027,0.0012,0.000007,2,0.0337,0.0429,0.0193,49,193,472,0.0000,0.0000,0.0073,0.028,0.1991,0.0010,0.0563,0.0071,0.4015,0.1562,0.5256,0.01641,0.221,0.0070,0.214,0.048,0.05,0.021,0.346,0.055,0.2854,0.162,0.906
70000,973,2.006,1.762,12.64,48071,27026,0,8527,225,924379,553087.2,461008.5,0.179,0.379,0.215,0.227,68,36.76,21.33,0.35,2.18,12.65,11.02,0.70,3.25,16.55,19.17,0.04,0.34,0.345,0.200,668,0.030,0.032,0.917,0.023,0.029,102569,83695,3,0.111,0.809,0.143,905977,0.289,2.895,0.209,50.22,48180,184,0.499,0.199,0.379,2170470,1.10,2.65,0.272,0.504,0.017,11.5,33.9,69.1,129.2,29439,0.112,0.00,0.0034,0.050,141,0.493,0.001,0.362,0.541,4.76,5.58,5.63,0.10,0.031,1.11,1.08,1.10,0.562,0.00324,27.92,39.1163,1791.79,102417.3,140496.8,0.015,28.6175,97.317,0.000,1.000,0.202,28.4,33.199,160.006,4522,25787.4,21.40,47.763,7.60,11.495,382.5,4.626,0.135,2.01,6.7032,6522.2,0.4137,0.3117,30.26,1.450,0.487,1.5414,0.0000,0.362,0.142,0.151,0.0000,6.27,1.78,7,22,64,119,30.5273,0.0020,0.3587,0.0000,0.0000,162.9006,100.00,84.9435,164.8177,0.0,0.0000,0.0000,0.8982,0.7658,11459,0.3339,0.0000,0.0000,0.0029,0.0012,0.000003,1,0.0772,0.0103,0.0157,44,154,400,0.0000,0.0000,0.0251,0.129,3.1161,0.0051,0.9940,0.0442,0.3383,0.0774,0.6002,0.00162,0.802,0.0317,0.599,0.131,0.47,0.143,0.571,0.051,0.2472,0.170,0.792
80000,576,2.591,1.890,15.70,15759,10333,0,1980,7,263298,202630.5,115922.4,0.113,0.651,0.127,0.109,71,72.96,33.48,1.90,4.62,13.52,11.22,1.33,4.81,30.22,18.21,0.07,0.46,0.187,0.126,466,0.009,0.049,0.938,0.000,0.014,22691,17933,1,0.101,0.899,0.135,689903,0.154,3.039,0.211,19.62,12100,186,0.440,0.231,0.128,1267434,1.41,1.75,0.351,0.589,0.030,34.7,68.3,120.9,251.2,27057,0.103,0.00,0.0012,0.069,211,0.473,0.000,0.332,0.359,6.01,7.03,7.12,0.95,0.233,1.58,1.33,1.40,0.504,0.00349,3.66,9.3218,1217.40,100149.3,140496.8,0.000,9.7803,36.697,0.000,1.000,0.249,29.5,14.148,48.465,4711,27581.9,28.11,16.432,6.89,4.533,723.6,0.954,0.135,1.99,12.1940,7023.7,0.3778,0.3212,46.97,1.514,0.138,0.4586,0.0000,0.474,0.144,0.457,0.0000,7.51,1.17,22,47,79,112,12.5333,0.0003,0.4167,0.0000,0.0000,47.3216,100.00,86.1663,86.2260,0.0,0.0000,0.0000,0.8818,0.7829,3836,0.3202,0.0000,0.0000,0.0028,0.0011,0.000004,0,0.0349,0.0312,0.0178,50,171,463,0.0000,0.0000,0.0073,0.018,0.7390,0.0021,0.2458,0.0226,0.3893,0.0705,0.5681,0.00492,0.262,0.0031,0.939,0.244,0.76,0.135,0.479,0.012,0.0880,0.052,0.767
90000,704,2.235,2.223,24.75,50339,27634,0,11191,100,1032550,549568.5,507923.0,0.096,0.786,0.057,0.062,60,47.06,27.71,0.34,2.28,12.41,10.79,0.60,2.31,10.55,9.69,0.05,0.47,0.257,0.141,599,0.013,0.023,0.936,0.004,0.037,89964,64892,0,0.000,1.000,0.132,1287770,0.129,3.213,0.262,50.83,51024,185,0.492,0.199,0.368,5205828,1.10,3.58,0.246,0.689,0.013,14.0,43.9,79.8,168.8,16831,0.064,0.00,0.0074,0.064,364,0.549,0.000,0.462,0.460,3.97,5.09,5.16,0.10,0.034,1.09,1.10,1.10,0.585,0.00829,23.99,36.4306,1754.51,95986.4,140496.8,0.049,30.2699,97.999,0.000,1.000,0.191,21.8,33.751,165.912,5417,32825.7,17.11,47.249,6.40,13.603,870.8,5.042,0.134,2.00,8.2739,5824.8,0.5549,0.3509,23.91,1.976,0.097,1.5414,0.0000,0.305,0.169,0.142,0.0000,6.02,1.18,7,23,42,83,28.6702,0.0000,0.3168,0.0000,0.0000,164.0623,100.00,80.5251,164.1715,0.0,0.0000,0.0000,0.8832,0.7804,11286,0.3029,0.0000,0.0000,0.0026,0.0010,0.000008,0,0.0743,0.0114,0.0142,44,167,424,0.0000,0.0000,0.0047,0.019,2.2363,0.0013,0.7738,0.0227,0.3391,0.1579,0.6080,0.00765,0.043,0.0010,0.668,0.400,0.54,0.132,0.371,0.007,0.0698,0.032,0.832
100000,1004,1.955,1.689,34.51,21120,12005,0,4414,38,345682,217002.7,171011.1,0.043,0.876,0.040,0.040,76,44.24,32.22,0.72,3.50,9.47,9.68,0.11,1.07,11.14,8.86,0.00,0.00,0.209,0.126,767,0.016,0.050,0.920,0.006,0.024,28364,17658,0,0.000,1.000,0.022,407214,0.117,2.905,0.193,19.95,20716,182,0.495,0.251,0.424,1923959,1.19,3.39,0.319,0.680,0.000,12.0,36.0,82.0,250.0,21538,0.082,0.00,0.0019,0.056,426,0.408,0.000,0.355,0.311,3.61,4.61,4.80,0.30,0.089,1.14,1.21,1.21,0.435,0.00314,3.65,11.3101,1541.54,102262.1,140496.8,0.029,10.7954,39.370,0.000,1.000,0.218,26.2,13.779,50.582,4226,24484.5,18.97,17.720,5.77,3.994,431.3,1.004,0.135,2.00,7.6568,7687.5,0.5619,0.3918,21.45,2.000,0.001,0.4586,0.0000,0.462,0.244,0.486,0.0000,5.55,1.31,6,17,36,116,11.2313,0.0000,0.3576,0.0000,0.0000,47.5127,100.00,88.5768,95.4175,0.0,0.0000,0.0000,0.9094,0.7841,4363,0.3063,0.0000,0.0000,0.0025,0.0009,0.000003,0,0.0350,0.0090,0.0142,45,168,467,0.0000,0.0000,0.0018,0.003,0.6577,0.0020,0.2333,0.0129,0.4574,0.0676,0.5730,0.00790,0.003,0.0000,0.853,0.526,0.09,0.022,0.284,0.004,0.0022,0.016,0.862
