step,measure,value,count
10000,band_bodies,0,36743
10000,band_hunger,0,54
10000,band_food,0,284
10000,band_bodies,1,45284
10000,band_hunger,1,89
10000,band_food,1,350
10000,band_bodies,2,55243
10000,band_hunger,2,93
10000,band_food,2,385
10000,band_bodies,3,66752
10000,band_hunger,3,149
10000,band_food,3,356
10000,band_bodies,4,80058
10000,band_hunger,4,167
10000,band_food,4,257
10000,band_bodies,5,95163
10000,band_hunger,5,208
10000,band_food,5,268
10000,band_bodies,6,113682
10000,band_hunger,6,234
10000,band_food,6,254
10000,band_bodies,7,132458
10000,band_hunger,7,300
10000,band_food,7,307
10000,band_bodies,8,153419
10000,band_hunger,8,316
10000,band_food,8,361
10000,band_bodies,9,174312
10000,band_hunger,9,383
10000,band_food,9,418
10000,band_bodies,10,192881
10000,band_hunger,10,459
10000,band_food,10,376
10000,band_bodies,11,209890
10000,band_hunger,11,518
10000,band_food,11,419
10000,band_bodies,12,230505
10000,band_hunger,12,590
10000,band_food,12,398
10000,band_bodies,13,246319
10000,band_hunger,13,612
10000,band_food,13,472
10000,band_bodies,14,260032
10000,band_hunger,14,704
10000,band_food,14,412
10000,band_bodies,15,267702
10000,band_hunger,15,744
10000,band_food,15,408
10000,band_bodies,16,275379
10000,band_hunger,16,859
10000,band_food,16,495
10000,band_bodies,17,281229
10000,band_hunger,17,830
10000,band_food,17,568
10000,band_bodies,18,285739
10000,band_hunger,18,872
10000,band_food,18,523
10000,band_bodies,19,288795
10000,band_hunger,19,907
10000,band_food,19,450
10000,band_bodies,20,294349
10000,band_hunger,20,959
10000,band_food,20,384
10000,band_bodies,21,295919
10000,band_hunger,21,969
10000,band_food,21,414
10000,band_bodies,22,298404
10000,band_hunger,22,1003
10000,band_food,22,406
10000,band_bodies,23,297865
10000,band_hunger,23,967
10000,band_food,23,340
10000,band_bodies,24,299418
10000,band_hunger,24,1028
10000,band_food,24,441
10000,band_bodies,25,297875
10000,band_hunger,25,1056
10000,band_food,25,419
10000,band_bodies,26,296310
10000,band_hunger,26,1067
10000,band_food,26,408
10000,band_bodies,27,293519
10000,band_hunger,27,1023
10000,band_food,27,347
10000,band_bodies,28,291316
10000,band_hunger,28,1027
10000,band_food,28,378
10000,band_bodies,29,292106
10000,band_hunger,29,993
10000,band_food,29,313
10000,band_bodies,30,292611
10000,band_hunger,30,1041
10000,band_food,30,309
10000,band_bodies,31,291558
10000,band_hunger,31,1050
10000,band_food,31,297
10000,band_bodies,32,290267
10000,band_hunger,32,1011
10000,band_food,32,220
10000,band_bodies,33,288294
10000,band_hunger,33,946
10000,band_food,33,273
10000,band_bodies,34,283582
10000,band_hunger,34,945
10000,band_food,34,360
10000,band_bodies,35,281315
10000,band_hunger,35,891
10000,band_food,35,230
10000,band_bodies,36,279338
10000,band_hunger,36,921
10000,band_food,36,316
10000,band_bodies,37,273676
10000,band_hunger,37,905
10000,band_food,37,425
10000,band_bodies,38,264897
10000,band_hunger,38,900
10000,band_food,38,306
10000,band_bodies,39,256608
10000,band_hunger,39,869
10000,band_food,39,243
10000,band_bodies,40,241569
10000,band_hunger,40,828
10000,band_food,40,303
10000,band_bodies,41,222256
10000,band_hunger,41,755
10000,band_food,41,253
10000,band_bodies,42,204085
10000,band_hunger,42,634
10000,band_food,42,375
10000,band_bodies,43,183079
10000,band_hunger,43,618
10000,band_food,43,329
10000,band_bodies,44,161845
10000,band_hunger,44,515
10000,band_food,44,276
10000,band_bodies,45,141514
10000,band_hunger,45,459
10000,band_food,45,337
10000,band_bodies,46,122683
10000,band_hunger,46,410
10000,band_food,46,316
10000,band_bodies,47,106101
10000,band_hunger,47,267
10000,band_food,47,334
10000,band_bodies,48,91897
10000,band_hunger,48,233
10000,band_food,48,339
10000,band_bodies,49,78913
10000,band_hunger,49,245
10000,band_food,49,365
10000,band_bodies,50,68475
10000,band_hunger,50,187
10000,band_food,50,425
10000,band_bodies,51,59481
10000,band_hunger,51,167
10000,band_food,51,316
10000,band_bodies,52,51309
10000,band_hunger,52,140
10000,band_food,52,344
10000,band_bodies,53,45907
10000,band_hunger,53,121
10000,band_food,53,300
10000,band_bodies,54,40362
10000,band_hunger,54,110
10000,band_food,54,286
10000,band_bodies,55,36382
10000,band_hunger,55,99
10000,band_food,55,331
10000,band_bodies,56,33094
10000,band_hunger,56,69
10000,band_food,56,288
10000,band_bodies,57,29641
10000,band_hunger,57,80
10000,band_food,57,284
10000,band_bodies,58,26549
10000,band_hunger,58,62
10000,band_food,58,333
10000,band_bodies,59,23773
10000,band_hunger,59,67
10000,band_food,59,276
10000,band_bodies,60,21252
10000,band_hunger,60,56
10000,band_food,60,237
10000,band_bodies,61,19332
10000,band_hunger,61,50
10000,band_food,61,267
10000,band_bodies,62,17839
10000,band_hunger,62,52
10000,band_food,62,217
10000,band_bodies,63,16263
10000,band_hunger,63,29
10000,band_food,63,180
10000,band_bodies,64,15210
10000,band_hunger,64,35
10000,band_food,64,192
10000,band_bodies,65,13881
10000,band_hunger,65,30
10000,band_food,65,236
10000,band_bodies,66,13040
10000,band_hunger,66,28
10000,band_food,66,185
10000,band_bodies,67,12225
10000,band_hunger,67,28
10000,band_food,67,192
10000,band_bodies,68,11455
10000,band_hunger,68,34
10000,band_food,68,151
10000,band_bodies,69,10858
10000,band_hunger,69,20
10000,band_food,69,121
10000,band_bodies,70,10584
10000,band_hunger,70,18
10000,band_food,70,116
10000,band_bodies,71,10339
10000,band_hunger,71,19
10000,band_food,71,163
10000,band_bodies,72,10221
10000,band_hunger,72,10
10000,band_food,72,150
10000,band_bodies,73,9363
10000,band_hunger,73,27
10000,band_food,73,76
10000,band_bodies,74,8966
10000,band_hunger,74,14
10000,band_food,74,249
10000,band_bodies,75,8775
10000,band_hunger,75,20
10000,band_food,75,123
10000,band_bodies,76,8770
10000,band_hunger,76,16
10000,band_food,76,211
10000,band_bodies,77,8467
10000,band_hunger,77,15
10000,band_food,77,171
10000,band_bodies,78,8360
10000,band_hunger,78,15
10000,band_food,78,220
10000,band_bodies,79,8599
10000,band_hunger,79,11
10000,band_food,79,194
10000,band_bodies,80,8750
10000,band_hunger,80,9
10000,band_food,80,215
10000,band_bodies,81,8476
10000,band_hunger,81,12
10000,band_food,81,228
10000,band_bodies,82,7969
10000,band_hunger,82,12
10000,band_food,82,236
10000,band_bodies,83,7872
10000,band_hunger,83,10
10000,band_food,83,215
10000,band_bodies,84,7605
10000,band_hunger,84,12
10000,band_food,84,248
10000,band_bodies,85,7137
10000,band_hunger,85,10
10000,band_food,85,277
10000,band_bodies,86,6523
10000,band_hunger,86,12
10000,band_food,86,201
10000,band_bodies,87,6400
10000,band_hunger,87,13
10000,band_food,87,242
10000,band_bodies,88,6206
10000,band_hunger,88,11
10000,band_food,88,227
10000,band_bodies,89,6298
10000,band_hunger,89,11
10000,band_food,89,208
10000,band_bodies,90,6584
10000,band_hunger,90,7
10000,band_food,90,181
10000,band_bodies,91,6659
10000,band_hunger,91,10
10000,band_food,91,110
10000,band_bodies,92,6824
10000,band_hunger,92,13
10000,band_food,92,123
10000,band_bodies,93,6755
10000,band_hunger,93,8
10000,band_food,93,124
10000,band_bodies,94,6976
10000,band_hunger,94,14
10000,band_food,94,124
10000,band_bodies,95,7084
10000,band_hunger,95,15
10000,band_food,95,206
10000,band_bodies,96,7272
10000,band_hunger,96,6
10000,band_food,96,124
10000,band_bodies,97,7844
10000,band_hunger,97,7
10000,band_food,97,110
10000,band_bodies,98,8268
10000,band_hunger,98,15
10000,band_food,98,160
10000,band_bodies,99,8423
10000,band_hunger,99,13
10000,band_food,99,120
10000,band_bodies,100,8247
10000,band_hunger,100,10
10000,band_food,100,125
10000,band_bodies,101,8146
10000,band_hunger,101,10
10000,band_food,101,104
10000,band_bodies,102,8237
10000,band_hunger,102,13
10000,band_food,102,111
10000,band_bodies,103,8090
10000,band_hunger,103,17
10000,band_food,103,121
10000,band_bodies,104,7676
10000,band_hunger,104,11
10000,band_food,104,163
10000,band_bodies,105,7500
10000,band_hunger,105,12
10000,band_food,105,292
10000,band_bodies,106,7682
10000,band_hunger,106,13
10000,band_food,106,324
10000,band_bodies,107,7440
10000,band_hunger,107,8
10000,band_food,107,268
10000,band_bodies,108,7653
10000,band_hunger,108,10
10000,band_food,108,257
10000,band_bodies,109,7574
10000,band_hunger,109,14
10000,band_food,109,241
10000,band_bodies,110,7705
10000,band_hunger,110,11
10000,band_food,110,300
10000,band_bodies,111,7570
10000,band_hunger,111,10
10000,band_food,111,242
10000,band_bodies,112,8191
10000,band_hunger,112,10
10000,band_food,112,248
10000,band_bodies,113,8707
10000,band_hunger,113,13
10000,band_food,113,179
10000,band_bodies,114,9246
10000,band_hunger,114,14
10000,band_food,114,213
10000,band_bodies,115,9553
10000,band_hunger,115,26
10000,band_food,115,210
10000,band_bodies,116,10170
10000,band_hunger,116,16
10000,band_food,116,238
10000,band_bodies,117,10839
10000,band_hunger,117,14
10000,band_food,117,160
10000,band_bodies,118,11152
10000,band_hunger,118,22
10000,band_food,118,211
10000,band_bodies,119,11906
10000,band_hunger,119,22
10000,band_food,119,210
10000,band_bodies,120,12828
10000,band_hunger,120,15
10000,band_food,120,244
10000,band_bodies,121,14082
10000,band_hunger,121,26
10000,band_food,121,202
10000,band_bodies,122,15330
10000,band_hunger,122,25
10000,band_food,122,213
10000,band_bodies,123,16233
10000,band_hunger,123,15
10000,band_food,123,175
10000,band_bodies,124,18573
10000,band_hunger,124,22
10000,band_food,124,144
10000,band_bodies,125,21647
