step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,360,29.47,0.75,5.87,0.00,8.33,0.12,1.23,0.058,0.062,215693.3,186483.1,1,40,3.17,1.24,1.22,15.8918,395.16,34250.0,0.1785,17.2316,5462,11.2907,1883,4.0708,14411.7,156.68,45.2033,0.0,0.0000,0.908,0.3471
10000,1,235,27.63,0.50,6.00,0.03,7.11,0.09,1.16,0.043,0.037,208041.2,178849.5,1,31,2.97,1.17,1.12,17.1560,328.55,35392.0,0.0715,16.1400,5461,11.2887,1611,3.8922,15247.6,81.11,57.2248,0.0,0.0000,0.832,0.2686
10000,2,229,28.39,0.71,5.37,0.01,7.97,0.07,1.30,0.031,0.037,194749.4,181707.3,1,36,3.13,1.26,1.35,16.9447,386.69,30214.7,0.0516,14.9695,5461,11.2887,1615,3.3189,13309.4,62.20,61.7212,0.0,0.0000,0.808,0.2734
20000,0,463,40.90,0.83,8.00,0.22,13.85,0.05,1.24,0.026,0.120,98001.5,40277.4,1,43,3.95,1.31,1.18,3.8680,305.89,30111.5,0.0000,9.1094,5462,4.1288,1704,3.2481,6315.9,158.83,20.7215,0.0,0.0000,0.939,0.4264
20000,1,212,37.76,0.67,8.37,0.20,9.97,0.05,1.27,0.024,0.048,50661.1,21643.4,1,47,3.47,1.27,1.26,2.7126,223.88,35310.1,0.0000,4.9632,5461,4.1281,1768,1.3422,2564.5,86.63,14.7659,0.0,0.0000,0.869,0.2679
20000,2,258,32.70,0.91,5.29,0.03,9.94,0.07,1.37,0.027,0.048,43303.3,18741.3,1,19,3.21,1.39,1.37,2.3807,419.87,30467.8,0.0000,4.1869,5461,4.1281,1653,1.0961,2254.4,54.52,13.9470,0.0,0.0000,0.835,0.2144
30000,0,602,26.56,0.14,5.56,0.14,7.37,0.00,1.06,0.000,0.091,179162.9,162415.2,1,59,2.63,1.05,1.06,9.4792,387.68,30085.7,0.0328,16.5242,5462,11.5586,1880,5.8148,17084.9,146.89,45.9071,0.0,0.0000,0.936,0.3916
30000,1,462,27.49,0.25,5.49,0.13,7.71,0.00,1.08,0.002,0.072,170009.6,158330.5,1,30,2.85,1.07,1.09,9.7976,227.90,32471.4,0.0176,15.4619,5461,11.5565,1937,5.5199,17546.4,104.46,58.2726,0.0,0.0000,0.959,0.3283
30000,2,297,26.39,0.00,4.95,0.16,8.16,0.00,1.00,0.000,0.045,156011.3,137944.5,1,39,2.60,1.00,1.00,9.2403,314.17,30973.6,0.0015,13.9232,5461,11.5565,1586,5.3168,16616.5,48.64,63.5966,0.0,0.0000,0.915,0.1619
40000,0,506,27.13,0.25,5.37,0.05,7.67,0.02,1.11,0.014,0.077,99814.4,39031.5,2,55,3.04,1.15,1.10,3.4893,343.06,27499.6,0.0000,9.2765,5462,4.6927,1676,3.0584,6418.8,133.42,20.5291,0.0,0.0000,0.926,0.3718
40000,1,282,29.45,0.45,5.59,0.04,8.23,0.09,1.19,0.053,0.046,52997.2,21324.4,2,40,2.94,1.23,1.11,2.2252,256.79,33816.9,0.0000,4.9868,5461,4.6918,1860,1.4636,2879.6,112.84,14.6023,0.0,0.0000,0.928,0.3736
40000,2,182,28.94,0.38,6.90,0.01,6.80,0.02,1.18,0.011,0.030,40935.4,14846.6,2,34,2.91,1.15,1.20,2.1041,218.92,36382.4,0.0000,3.9174,5461,4.6918,1617,1.1845,2191.9,53.73,14.3141,0.0,0.0000,0.872,0.2023
50000,0,385,36.27,0.25,4.42,0.18,13.14,0.01,1.07,0.005,0.079,179897.1,93323.1,1,47,3.40,1.09,1.02,7.2532,591.44,30205.0,0.3480,16.4058,5462,12.4523,1778,5.9375,18306.3,138.21,45.3523,0.0,0.0000,0.944,0.3079
50000,1,371,31.91,0.43,5.73,0.06,9.34,0.02,1.15,0.011,0.067,172151.6,93261.8,1,52,3.12,1.20,1.05,8.1031,430.10,29972.9,0.1625,15.4028,5461,12.4500,1887,5.9595,19628.2,95.55,59.5002,0.0,0.0000,0.890,0.3126
50000,2,298,29.54,0.31,5.99,0.02,8.16,0.02,1.13,0.013,0.049,155877.3,82688.0,1,66,3.02,1.15,1.11,7.8189,197.67,33116.0,0.0446,13.9451,5461,12.4500,1692,5.6349,17972.5,66.24,62.7628,0.0,0.0000,0.944,0.2901
