step,event,lineage,other,size
5000,birth,1,0,40
5000,birth,2,0,535
5000,birth,7,0,122
7000,split,41,2,27
7000,extinct,1,0,40
8000,split,57,2,42
8000,split,79,2,63
9000,split,84,2,85
9000,extinct,57,0,42
10000,extinct,79,0,5
11000,split,141,2,151
11000,extinct,2,0,7
12000,split,176,41,12
13000,split,195,151,70
13000,split,199,41,41
14000,extinct,176,0,14
15000,extinct,7,0,9
16000,extinct,195,0,28
17000,split,256,199,65
17000,split,257,199,189
18000,extinct,41,0,7
19000,extinct,199,0,11
23000,split,265,84,942
24000,split,269,257,206
24000,split,270,257,284
25000,split,276,257,189
25000,extinct,141,0,42
26000,split,284,275,254
27000,split,301,265,27
27000,extinct,265,0,9
28000,split,310,265,21
28000,split,313,257,144
28000,split,314,257,6
28000,extinct,257,0,58
29000,split,327,84,15
29000,split,330,265,8
29000,split,332,270,139
29000,split,334,256,14
29000,split,343,270,10
29000,split,344,311,24
29000,split,345,265,8
29000,split,358,256,49
29000,extinct,314,0,6
30000,split,378,284,12
30000,extinct,276,0,27
30000,extinct,310,0,21
30000,extinct,330,0,8
30000,extinct,344,0,24
31000,split,399,256,50
31000,extinct,269,0,33
31000,extinct,334,0,14
31000,extinct,345,0,8
31000,extinct,358,0,7
31000,extinct,378,0,12
32000,split,414,269,5
32000,split,419,397,193
32000,extinct,84,0,16
32000,extinct,327,0,18
32000,extinct,343,0,18
33000,extinct,414,0,5
34000,extinct,301,0,14
35000,split,437,419,12
35000,extinct,256,0,19
35000,extinct,313,0,8
35000,extinct,399,0,6
36000,extinct,419,0,39
39000,split,446,270,63
39000,split,447,332,53
39000,extinct,270,0,32
42000,extinct,447,0,66
44000,extinct,332,0,30
46000,split,473,437,1549
47000,split,489,446,57
47000,split,495,284,5
47000,extinct,437,0,36
47000,extinct,446,0,162
48000,split,522,446,79
48000,split,525,476,278
48000,extinct,495,0,5
49000,extinct,284,0,8
49000,extinct,489,0,5
50000,split,574,473,8
50000,split,585,522,110
51000,split,609,575,61
51000,split,610,525,18
51000,split,614,575,60
51000,extinct,473,0,14
51000,extinct,574,0,8
52000,split,654,574,23
52000,split,655,574,6
52000,split,664,574,16
52000,split,670,585,9
52000,extinct,610,0,18
53000,extinct,609,0,5
54000,split,734,695,17
54000,extinct,655,0,6
54000,extinct,664,0,16
55000,extinct,585,0,9
56000,extinct,522,0,38
56000,extinct,614,0,7
57000,extinct,654,0,12
57000,extinct,734,0,17
59000,extinct,670,0,5
60000,split,754,724,72
61000,split,776,754,62
62000,extinct,754,0,55
64000,split,781,754,46
65000,split,793,754,41
65000,extinct,781,0,46
66000,split,801,525,45
67000,extinct,793,0,41
69000,split,865,525,58
69000,split,873,840,10
70000,split,895,525,17
70000,split,914,801,25
70000,extinct,801,0,7
71000,split,917,776,9
72000,split,957,865,30
73000,extinct,917,0,9
74000,extinct,525,0,6
74000,extinct,873,0,13
74000,extinct,895,0,6
74000,extinct,914,0,13
75000,split,969,776,22
75000,extinct,865,0,15
78000,extinct,969,0,10
80000,extinct,957,0,9
82000,split,982,776,11
82000,split,983,776,36
83000,extinct,982,0,11
84000,extinct,983,0,24
85000,split,985,776,45
86000,extinct,985,0,45
87000,split,997,776,503
88000,split,1002,776,81
88000,split,1004,776,22
88000,extinct,776,0,20
90000,split,1035,1002,32
90000,split,1037,1002,8
91000,split,1054,1004,214
91000,split,1064,1004,20
92000,split,1074,1035,6
92000,split,1075,1035,32
92000,extinct,1002,0,18
92000,extinct,1035,0,9
92000,extinct,1037,0,8
92000,extinct,1064,0,20
93000,split,1100,1064,11
93000,extinct,1074,0,6
94000,split,1110,997,28
96000,extinct,997,0,7
99000,split,1135,1004,60
