step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,530,44.33,3.19,9.30,0.08,24.39,0.49,1.51,0.160,0.222,364603.1,202550.6,3,66,5.60,1.52,1.48,13.2980,114.34,32951.7,0.0400,30.1079,5462,27.9776,940,7.6106,31037.5,165.42,2.1329,0.0,0.0000,1.000,0.7635
10000,1,425,42.46,3.62,7.97,0.42,22.28,0.37,1.69,0.134,0.168,344767.6,197181.6,5,61,5.23,1.63,1.72,12.9171,106.30,35375.5,0.0361,28.2849,5461,27.9725,923,7.4367,29723.9,81.35,15.4435,0.0,0.0000,1.000,0.2025
10000,2,250,43.30,2.48,9.70,0.17,22.81,0.30,1.47,0.116,0.101,263422.1,141120.3,4,65,5.22,1.51,1.39,9.3744,77.44,38703.9,0.0321,21.0171,5461,27.9725,691,5.0416,17978.8,53.21,32.3128,0.0,0.0000,1.000,0.0207
20000,0,656,33.02,2.28,7.34,0.59,11.48,0.53,1.65,0.159,0.163,170389.9,82521.8,5,47,3.79,1.62,1.40,3.4500,328.38,27889.4,0.0000,16.4056,5462,9.1335,1320,3.8009,10224.8,165.42,0.9963,0.0,0.0000,1.000,0.7635
20000,1,614,33.09,1.59,7.33,0.98,12.17,0.31,1.46,0.093,0.156,78954.9,33558.8,5,98,3.92,1.44,1.31,1.3596,237.26,33231.6,0.0000,7.7518,5461,9.1318,1192,1.5280,3669.2,81.35,4.5104,0.0,0.0000,1.000,0.2025
20000,2,334,37.34,2.95,8.52,0.56,14.02,0.72,1.76,0.177,0.098,47322.1,16867.9,5,88,4.26,1.72,1.41,0.7080,120.83,38897.9,0.0000,4.8278,5461,9.1318,1056,0.9427,1816.1,53.21,8.5260,0.0,0.0000,1.000,0.0207
30000,0,547,39.58,4.37,8.84,1.20,18.92,1.14,2.11,0.302,0.207,346849.5,288246.4,6,78,5.06,2.31,1.31,11.9689,341.61,33453.7,0.0000,31.8516,5462,26.1340,981,7.4210,30144.4,165.42,2.2053,0.0,0.0000,1.000,0.7635
30000,1,441,37.17,4.04,8.62,1.43,16.90,1.17,2.07,0.320,0.157,324575.8,254398.4,6,70,4.78,2.25,1.33,10.7633,219.52,35138.6,0.0000,29.8458,5461,26.1292,982,7.0177,28059.0,81.35,16.1681,0.0,0.0000,1.000,0.2025
30000,2,323,38.76,3.81,8.93,0.69,18.08,0.97,1.99,0.285,0.117,231796.5,170500.2,4,78,4.79,2.17,1.28,6.6380,127.06,38661.7,0.0000,21.5345,5461,26.1292,735,4.3971,16598.8,53.21,33.1731,0.0,0.0000,1.000,0.0207
40000,0,609,34.14,0.26,8.91,1.80,12.08,0.04,1.06,0.018,0.160,163905.1,73564.5,4,52,3.92,1.07,1.05,2.8678,270.06,29796.4,0.0000,15.7977,5462,8.9781,1104,2.1301,7395.5,165.42,0.9860,0.0,0.0000,1.000,0.7635
40000,1,465,34.99,0.17,8.99,1.96,13.65,0.02,1.02,0.006,0.132,79467.8,33359.6,4,77,4.14,1.01,1.03,1.3197,159.72,34234.8,0.0000,7.7197,5461,8.9764,991,1.0645,3026.4,81.35,4.5207,0.0,0.0000,1.000,0.2025
40000,2,304,35.66,0.07,8.91,2.53,14.11,0.01,1.00,0.007,0.089,49867.8,19123.3,4,87,4.19,1.00,1.00,0.7939,97.15,39258.2,0.0000,4.8654,5461,8.9764,749,0.6720,1547.1,53.21,8.5499,0.0,0.0000,1.000,0.0207
50000,0,753,32.74,1.34,7.39,0.11,13.56,0.25,1.44,0.122,0.192,360694.0,358055.9,3,65,3.96,1.47,1.32,14.7003,211.50,32258.4,0.0000,32.9274,5462,25.4766,872,9.6095,34092.8,165.42,2.2958,0.0,0.0000,1.000,0.7635
50000,1,575,30.25,1.26,7.36,0.27,13.65,0.22,1.40,0.108,0.148,332720.2,325763.1,3,72,3.98,1.41,1.40,13.3927,147.89,34619.7,0.0000,30.4445,5461,25.4720,940,9.3871,31613.1,81.35,16.2606,0.0,0.0000,1.000,0.2025
50000,2,460,31.91,1.36,7.60,0.19,13.94,0.18,1.39,0.074,0.122,244340.5,221185.8,3,81,4.13,1.35,1.41,8.5355,119.19,37943.8,0.0000,22.7093,5461,25.4720,749,6.3444,19951.0,53.21,33.8257,0.0,0.0000,1.000,0.0207
