step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,986,53.9,2.6,15.9,0.2,20.3,0.3,1.46,3.1,763,277,22.93,14.93,346,356,284,0.4,1.42,1.46,1.50,5.63,6.66,6.64,31.0,1.293,0.527,7.42
6000,1,924,58.1,2.2,15.3,0.0,22.5,0.2,1.43,3.1,712,321,26.84,15.56,323,361,240,0.3,1.37,1.38,1.49,5.58,6.75,6.63,30.7,1.370,0.497,7.46
7000,1,674,59.5,1.9,16.3,0.1,21.3,0.1,1.36,2.6,528,295,25.22,15.16,254,246,174,0.2,1.34,1.29,1.41,5.42,6.74,6.59,30.5,1.437,0.500,7.31
8000,1,578,61.7,1.8,14.4,0.1,23.6,0.1,1.27,2.4,440,346,28.11,15.93,208,237,133,0.2,1.23,1.26,1.30,5.58,6.72,6.67,29.9,1.474,0.488,7.31
9000,1,490,65.1,1.6,14.4,0.5,25.1,0.1,1.24,2.3,401,399,34.05,16.59,179,193,118,0.2,1.19,1.26,1.27,5.80,6.91,6.76,30.3,1.505,0.485,7.41
10000,1,375,68.4,1.8,16.1,0.3,25.0,0.2,1.20,2.0,294,534,45.96,18.25,170,111,94,0.3,1.22,1.09,1.26,5.87,6.99,6.86,28.7,1.530,0.489,7.43
11000,1,354,67.9,0.7,15.6,0.0,26.5,0.1,1.06,1.7,255,557,50.19,17.49,171,101,82,0.1,1.04,1.07,1.06,5.91,7.00,6.84,27.6,1.558,0.499,7.34
11000,15,10,35.6,0.0,7.9,0.0,15.2,0.0,1.00,5.0,6,563,35.22,7.84,4,4,2,0.0,1.00,1.00,1.00,3.50,4.60,4.90,28.2,1.542,0.340,6.00
12000,1,172,64.2,0.7,15.9,0.0,24.2,0.0,1.09,1.6,128,589,52.93,13.83,108,33,31,0.2,1.07,1.08,1.12,5.53,6.81,6.65,25.2,1.545,0.502,7.13
12000,20,11,71.8,1.5,16.5,0.0,25.5,0.0,1.01,0.0,11,743,64.17,16.39,4,2,5,0.0,1.00,1.03,1.00,5.55,6.91,6.91,37.5,1.595,0.486,6.91
12000,15,8,42.7,0.2,9.5,0.0,17.9,0.0,1.01,2.0,7,320,33.30,2.99,6,1,1,0.5,1.00,1.00,1.02,4.38,5.62,5.62,22.0,1.528,0.362,6.12
13000,1,151,71.4,0.4,15.9,0.0,28.8,0.0,1.07,1.4,104,569,52.30,12.69,90,48,13,0.1,1.02,1.10,1.08,6.07,7.05,6.90,23.3,1.565,0.476,7.31
13000,15,5,51.6,0.0,11.8,0.0,21.4,0.0,1.00,0.0,3,844,59.43,3.55,1,1,3,0.0,1.00,1.00,1.00,4.40,6.00,6.00,36.3,1.553,0.347,6.00
13000,20,5,67.9,0.0,16.8,0.0,25.8,0.0,1.00,0.0,4,1001,74.10,33.71,2,1,2,0.0,1.00,1.00,1.00,6.00,6.80,6.80,29.8,1.595,0.472,6.80
14000,1,58,71.6,0.8,19.3,0.0,24.5,0.2,1.06,2.0,42,899,76.29,9.52,38,12,8,0.6,1.06,1.05,1.06,5.66,7.03,6.79,25.2,1.573,0.508,7.41
14000,20,7,60.0,2.1,16.0,0.0,17.3,0.7,1.30,0.0,4,699,50.36,20.23,6,1,0,0.9,1.63,1.00,1.28,5.00,6.29,6.29,19.1,1.599,0.521,6.29
15000,1,81,64.3,1.4,16.6,0.0,21.4,0.1,1.27,2.1,60,483,48.75,11.80,65,16,0,0.2,1.30,1.24,1.27,5.27,6.78,6.65,17.4,1.585,0.447,7.25
15000,20,12,52.4,0.0,15.9,0.0,15.9,0.0,1.00,1.0,10,598,43.60,4.82,8,3,1,0.0,1.00,1.00,1.00,5.33,6.00,5.50,22.4,1.647,0.479,6.00
16000,1,43,81.0,2.1,18.7,0.0,27.3,0.1,1.18,1.4,29,538,55.11,8.49,37,5,1,0.1,1.17,1.24,1.15,6.23,6.95,7.07,18.9,1.614,0.438,7.37
16000,20,35,52.9,0.0,11.6,0.0,22.2,0.0,1.00,0.2,17,416,36.87,1.69,22,7,6,0.0,1.00,1.00,1.00,5.09,6.00,5.94,24.9,1.561,0.387,6.03
17000,1,83,59.6,0.2,16.0,0.0,21.8,0.0,1.01,1.5,49,404,38.68,7.95,62,16,5,0.0,1.00,1.01,1.00,5.31,6.53,6.49,22.9,1.554,0.492,6.88
17000,20,19,51.0,0.0,10.4,0.0,22.2,0.0,1.00,0.4,16,805,62.97,5.96,12,4,3,0.0,1.00,1.00,1.00,5.05,5.89,5.89,24.2,1.566,0.380,6.00
17000,27,12,84.6,0.0,13.5,0.0,42.2,0.0,1.00,0.8,8,669,80.58,3.06,6,4,2,0.0,1.00,1.00,1.00,7.00,7.33,7.75,25.3,1.520,0.454,7.75
18000,1,103,63.0,0.7,16.2,0.0,23.0,0.1,1.04,1.6,72,315,32.01,7.92,78,14,11,0.1,1.03,1.06,1.04,5.54,6.64,6.52,23.2,1.550,0.507,6.97
18000,20,29,54.0,0.0,12.1,0.0,21.9,0.0,1.00,0.1,18,633,49.76,6.12,21,5,3,0.0,1.00,1.00,1.00,4.62,6.00,5.97,21.9,1.586,0.411,6.00
18000,27,28,81.4,1.5,11.9,0.0,36.7,0.0,1.07,0.6,23,604,63.42,4.24,20,5,3,0.0,1.00,1.17,1.04,6.43,7.36,7.25,22.4,1.575,0.497,7.46
19000,1,195,63.5,0.6,16.5,0.0,22.9,0.0,1.07,1.4,131,475,44.21,12.01,88,71,36,0.1,1.04,1.11,1.07,5.76,6.77,6.61,27.8,1.554,0.510,7.05
19000,20,55,52.4,0.1,14.0,0.0,18.6,0.0,1.00,0.3,42,636,45.52,11.24,16,22,17,0.0,1.00,1.00,1.00,4.78,6.07,5.95,31.2,1.595,0.405,6.09
19000,27,19,77.5,0.0,11.7,0.0,37.4,0.0,1.00,1.6,14,884,89.22,7.12,8,5,6,0.0,1.00,1.00,1.00,6.68,7.05,7.00,29.1,1.577,0.486,7.42
20000,1,286,59.5,0.5,15.6,0.0,21.2,0.1,1.05,2.1,205,446,38.88,12.88,133,96,57,0.1,1.04,1.06,1.05,5.28,6.51,6.38,27.7,1.575,0.505,6.97
