step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,2,812,35.7,3.8,6.3,0.5,21.4,0.2,1.60,2.5,673,292,23.26,6.61,330,280,202,0.4,1.42,1.92,1.55,4.91,6.09,5.89,29.5,1.005,0.601,6.62
5000,8,354,39.3,0.1,12.3,0.0,11.4,0.0,1.01,4.5,297,280,13.28,19.42,147,113,94,0.0,1.02,1.01,1.01,4.03,5.27,5.06,29.7,1.667,0.448,6.29
5000,25,153,44.5,8.2,13.7,0.7,14.2,2.7,3.32,5.1,135,207,11.63,19.16,9,63,81,2.8,3.78,1.58,4.46,5.34,6.20,6.63,37.8,0.990,0.668,7.68
5000,3,58,53.0,0.7,14.0,0.3,19.6,0.1,1.14,9.8,55,595,38.12,47.64,16,31,11,0.2,1.20,1.06,1.16,5.38,5.91,6.52,30.3,1.488,0.425,8.66
5000,1,13,53.8,0.0,16.3,0.5,18.2,0.0,1.00,8.9,13,695,40.72,57.94,11,2,0,0.0,1.00,1.00,1.00,5.62,6.54,7.00,20.6,1.537,0.620,9.00
6000,2,925,39.3,3.7,6.1,0.3,23.3,0.1,1.48,1.7,659,260,21.74,5.80,396,323,206,0.5,1.25,1.90,1.39,5.15,6.24,6.08,28.6,1.058,0.607,6.59
6000,25,269,48.6,8.3,13.1,0.4,19.0,2.5,3.12,4.2,247,214,15.90,15.26,36,79,154,2.6,3.81,1.61,3.93,5.67,6.77,6.85,38.4,0.988,0.666,7.87
6000,8,101,29.2,0.1,10.1,0.0,6.8,0.0,1.04,6.2,94,433,16.47,21.25,55,36,10,0.1,1.05,1.05,1.03,3.49,4.54,4.46,25.8,1.701,0.485,6.05
6000,3,10,35.4,0.0,13.5,0.0,8.6,0.0,1.00,15.2,10,889,57.62,59.14,1,1,8,0.0,1.00,1.00,1.00,3.70,5.50,4.70,41.9,1.592,0.527,8.90
7000,2,1025,36.6,3.1,6.9,0.4,21.1,0.1,1.46,1.5,699,268,21.25,5.48,428,331,266,0.5,1.32,1.74,1.39,4.89,6.09,6.02,29.3,1.067,0.620,6.42
7000,37,530,15.8,2.4,4.4,0.4,7.9,1.3,1.94,13.8,385,253,10.70,6.62,163,275,92,1.4,2.89,1.57,1.89,3.30,6.25,3.12,30.4,0.913,0.643,8.13
7000,25,436,46.2,5.1,11.0,1.3,23.6,1.8,2.39,3.7,348,211,16.96,13.04,120,118,198,1.8,2.87,1.41,2.86,5.78,6.85,6.77,36.6,1.013,0.645,7.75
7000,8,22,31.2,0.0,11.6,0.0,7.0,0.0,1.00,5.5,18,676,21.76,23.71,15,2,5,0.0,1.00,1.00,1.00,3.27,5.09,4.23,24.0,1.684,0.485,6.05
8000,2,787,40.2,3.1,7.6,0.1,23.9,0.1,1.36,1.5,533,305,25.23,5.77,276,291,220,0.3,1.30,1.47,1.33,5.36,6.36,6.36,30.6,1.061,0.573,6.74
8000,25,262,45.0,4.8,10.7,1.5,22.3,1.5,2.33,3.2,211,345,26.32,14.02,91,121,50,1.5,2.73,1.36,2.81,5.53,6.64,6.65,30.8,1.036,0.663,7.45
8000,37,187,17.4,1.9,5.7,0.6,9.1,1.2,1.78,11.7,132,268,12.45,6.12,34,81,72,1.2,2.66,1.47,1.69,3.52,6.77,3.53,35.8,0.905,0.644,8.09
8000,40,9,33.9,0.1,12.6,0.0,8.9,0.3,1.01,2.2,9,461,23.99,18.59,4,3,2,0.3,1.04,1.00,1.00,3.33,5.11,5.78,26.0,1.546,0.349,6.00
9000,2,738,38.4,2.4,8.5,0.1,22.3,0.2,1.35,1.7,535,340,26.92,6.16,313,246,179,0.5,1.34,1.40,1.32,5.25,6.36,6.31,29.1,1.078,0.566,6.76
9000,25,215,53.2,6.7,13.2,0.6,23.3,1.7,2.77,2.4,184,323,25.49,15.04,65,82,68,1.8,3.23,1.62,3.27,5.88,6.95,7.07,32.8,1.058,0.644,7.60
9000,37,48,19.1,2.4,5.8,0.9,8.2,0.8,1.91,12.4,44,397,16.40,5.85,15,18,15,0.8,2.78,1.39,1.91,3.46,6.42,3.44,32.1,0.969,0.626,8.02
10000,2,910,43.6,3.2,8.2,0.1,25.0,0.4,1.50,1.1,580,326,27.06,4.97,453,290,167,0.6,1.50,1.56,1.48,5.49,6.55,6.55,27.4,1.095,0.569,6.82
10000,25,177,42.1,3.4,11.2,1.1,20.5,0.9,1.83,2.5,142,326,23.18,11.30,43,82,52,1.0,2.09,1.12,2.17,5.43,6.32,6.18,33.3,1.095,0.644,6.86
10000,67,17,77.8,0.3,23.4,0.0,21.2,0.2,1.06,0.7,13,472,29.42,27.50,7,3,7,0.2,1.10,1.00,1.08,6.29,7.06,7.18,32.2,1.718,0.342,7.29
11000,2,545,42.1,2.7,8.2,0.1,25.2,0.2,1.35,1.3,312,336,28.34,3.82,225,195,125,0.4,1.30,1.45,1.33,5.37,6.53,6.52,29.6,1.087,0.553,6.85
11000,25,319,40.0,2.7,9.9,1.1,19.4,0.6,1.66,1.7,268,285,20.61,9.15,130,118,71,0.9,1.80,1.35,1.82,5.09,5.94,5.95,28.4,1.167,0.612,6.38
11000,74,9,41.1,0.0,9.9,0.0,11.9,0.0,1.00,0.4,6,276,14.55,7.06,0,0,9,0.0,1.00,1.00,1.00,3.78,4.89,4.89,44.6,1.887,0.659,5.00
12000,2,206,42.8,2.3,9.4,0.0,24.5,0.1,1.31,1.3,134,395,33.24,4.28,88,84,34,0.3,1.21,1.61,1.23,5.17,6.65,6.55,27.8,1.106,0.557,6.92
12000,25,124,32.9,0.7,12.5,0.1,10.0,0.4,1.24,2.1,87,232,12.36,10.02,65,36,23,0.4,1.34,1.12,1.25,4.06,4.92,5.09,26.6,1.353,0.701,5.54
13000,25,229,36.1,0.4,10.5,0.1,15.2,0.1,1.10,1.2,147,261,16.67,7.45,136,64,29,0.1,1.10,1.09,1.11,4.35,5.30,5.32,24.7,1.350,0.704,5.62
13000,2,30,29.5,2.1,5.9,0.0,17.8,0.2,1.42,4.9,30,357,26.61,3.21,25,5,0,0.3,1.41,1.62,1.34,4.47,5.47,5.50,17.3,1.070,0.592,6.70
14000,25,98,33.7,0.2,8.5,0.2,17.7,0.0,1.04,1.4,79,270,19.77,5.62,52,20,26,0.1,1.01,1.06,1.04,4.39,5.37,5.21,26.9,1.264,0.726,5.65
