step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,4329,0.00,149.93,43.07,594,1,0,0,1.00,1.00,1.00,1,1,1,23.2,4.042,1,2.000,0.843,4,1.000,14,13.73,2.50,0,0.0390,0.000,0.0000,3807,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,4328,0.00,152.99,47.29,241,1,0,0,1.00,1.00,1.00,1,1,1,26.4,5.674,1,2.000,0.814,4,1.000,13,16.79,-11.75,0,0.0416,0.000,0.0000,3798,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,4190,0.00,124.40,34.51,532,1,0,0,1.00,1.00,1.00,1,1,1,27.3,0.797,1,2.000,0.718,4,1.000,12,17.51,3.00,0,0.0171,0.000,0.0000,3702,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,4141,0.00,115.20,24.97,603,0,0,0,1.00,1.00,1.00,1,1,1,22.0,0.674,1,2.000,0.788,4,1.000,12,20.44,20.25,0,0.0264,0.000,0.0000,3621,1.0000
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,4133,0.00,141.80,26.51,594,0,0,0,1.00,1.00,1.00,1,1,1,17.9,3.322,1,2.000,0.799,4,1.000,13,16.99,14.25,0,0.0267,0.000,0.0000,3630,1.0000
100000,4.00,16,0,0,0,2,0,1.00,8,0.000,4129,0.00,184.07,45.73,241,1,1,0,1.00,1.00,1.00,2,2,2,30.1,13.140,2,2.000,0.774,4,1.000,11,8.40,-4.25,0,0.0355,0.000,0.0000,3683,1.0000
100000,4.00,16,0,1,0,1,0,1.00,8,0.250,4091,0.00,105.47,28.99,595,0,0,0,1.00,1.00,1.00,1,2,2,15.4,0.529,2,2.000,0.846,4,1.000,13,3.02,1.25,0,0.0518,0.000,0.0000,3597,1.0000
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,4090,0.00,151.60,30.09,595,1,0,0,1.00,1.00,1.00,1,1,1,24.4,4.448,1,2.000,0.802,4,1.000,12,19.80,-18.00,0,0.0534,0.000,0.0000,3536,1.0000
100000,6.00,16,0,2,0,1,0,1.00,8,0.333,4077,-0.00,129.62,49.92,595,0,0,0,1.00,1.00,1.00,2,2,2,11.8,19.887,3,2.000,0.874,4,1.000,13,11.25,11.25,0,0.0584,0.000,0.0000,3617,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,4072,0.00,128.21,27.23,565,0,0,0,1.00,1.00,1.00,1,1,1,12.6,4.574,1,2.000,0.975,4,1.000,11,18.81,17.25,0,0.0850,0.000,0.0000,3572,1.0000
100000,4.00,16,0,1,0,1,0,1.00,8,0.250,4057,0.00,121.15,35.95,241,1,0,0,1.00,1.00,1.00,1,2,2,27.4,6.618,2,2.000,0.817,4,1.000,12,15.21,-10.50,0,0.0486,0.000,0.0000,3556,1.0000
100000,4.00,16,0,1,0,1,0,1.00,8,0.250,4039,0.00,158.75,19.26,241,2,0,0,1.00,1.00,1.00,1,2,2,38.5,13.293,2,2.000,0.763,4,1.000,13,24.58,-24.50,0,0.0592,0.000,0.0000,3522,1.0000
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,4010,0.00,120.49,25.28,597,0,0,0,1.00,1.00,1.00,1,2,1,13.8,1.600,2,2.000,0.722,4,1.000,11,10.28,-10.25,0,0.0334,0.000,0.0000,3528,1.0000
100000,4.00,16,0,1,0,1,0,1.00,8,0.250,4010,0.00,140.12,37.04,603,1,0,0,1.00,1.00,1.00,1,2,2,23.5,11.829,2,2.000,0.802,4,1.000,12,24.15,21.75,0,0.0057,0.000,0.0000,3521,1.0000
