step,measure,value,count
50000,hamming,0,482
50000,hamming,1,1211
50000,hamming,2,1780
50000,hamming,3,2021
50000,hamming,4,2229
50000,hamming,5,2465
50000,hamming,6,2622
50000,hamming,7,2852
50000,hamming,8,3075
50000,hamming,9,3120
50000,hamming,10,3280
50000,hamming,11,3474
50000,hamming,12,3641
50000,hamming,13,3885
50000,hamming,14,3970
50000,hamming,15,4236
50000,hamming,16,4513
50000,hamming,17,4788
50000,hamming,18,5058
50000,hamming,19,5380
50000,hamming,20,5897
50000,hamming,21,6570
50000,hamming,22,7192
50000,hamming,23,7536
50000,hamming,24,8325
50000,hamming,25,8819
50000,hamming,26,9690
50000,hamming,27,10109
50000,hamming,28,11057
50000,hamming,29,11939
50000,hamming,30,12568
50000,hamming,31,13220
50000,hamming,32,14257
50000,hamming,33,14874
50000,hamming,34,15720
50000,hamming,35,16700
50000,hamming,36,17529
50000,hamming,37,18161
50000,hamming,38,19283
50000,hamming,39,20401
50000,hamming,40,20961
50000,hamming,41,22769
50000,hamming,42,24224
50000,hamming,43,25747
50000,hamming,44,28117
50000,hamming,45,30678
50000,hamming,46,33229
50000,hamming,47,35938
50000,hamming,48,39076
50000,hamming,49,41887
50000,hamming,50,44858
50000,hamming,51,47713
50000,hamming,52,50241
50000,hamming,53,52170
50000,hamming,54,54330
50000,hamming,55,56113
50000,hamming,56,57326
50000,hamming,57,58490
50000,hamming,58,59149
50000,hamming,59,59149
50000,hamming,60,59614
50000,hamming,61,60131
50000,hamming,62,60145
50000,hamming,63,59680
50000,hamming,64,59421
50000,hamming,65,59270
50000,hamming,66,58652
50000,hamming,67,59168
50000,hamming,68,58619
50000,hamming,69,57678
50000,hamming,70,56891
50000,hamming,71,56840
50000,hamming,72,55972
50000,hamming,73,55450
50000,hamming,74,54572
50000,hamming,75,53828
50000,hamming,76,52730
50000,hamming,77,51969
50000,hamming,78,50834
50000,hamming,79,49827
50000,hamming,80,48965
50000,hamming,81,48271
50000,hamming,82,47406
50000,hamming,83,46680
50000,hamming,84,46344
50000,hamming,85,45950
50000,hamming,86,45740
50000,hamming,87,45898
50000,hamming,88,46091
50000,hamming,89,45865
50000,hamming,90,46798
50000,hamming,91,47240
50000,hamming,92,49099
50000,hamming,93,50753
50000,hamming,94,52831
50000,hamming,95,55379
50000,hamming,96,58034
50000,hamming,97,61276
50000,hamming,98,64638
50000,hamming,99,67741
50000,hamming,100,70806
50000,hamming,101,74284
50000,hamming,102,77413
50000,hamming,103,80572
50000,hamming,104,82578
50000,hamming,105,85207
50000,hamming,106,87220
50000,hamming,107,89223
50000,hamming,108,91323
50000,hamming,109,93188
50000,hamming,110,93718
50000,hamming,111,94632
50000,hamming,112,95361
50000,hamming,113,95404
50000,hamming,114,94274
50000,hamming,115,92734
50000,hamming,116,90901
50000,hamming,117,87914
50000,hamming,118,84000
50000,hamming,119,79148
50000,hamming,120,73742
50000,hamming,121,66476
50000,hamming,122,60064
50000,hamming,123,53021
50000,hamming,124,46757
50000,hamming,125,40298
50000,hamming,126,34367
50000,hamming,127,28850
50000,hamming,128,24821
50000,hamming,129,21072
50000,hamming,130,17481
50000,hamming,131,14381
50000,hamming,132,11859
50000,hamming,133,10148
50000,hamming,134,8479
50000,hamming,135,7096
50000,hamming,136,5855
50000,hamming,137,5126
50000,hamming,138,4323
50000,hamming,139,3667
50000,hamming,140,3042
50000,hamming,141,2535
50000,hamming,142,2010
50000,hamming,143,1513
50000,hamming,144,1179
50000,hamming,145,850
50000,hamming,146,690
50000,hamming,147,473
50000,hamming,148,284
50000,hamming,149,253
50000,hamming,150,188
50000,hamming,151,96
50000,hamming,152,87
50000,hamming,153,65
50000,hamming,154,31
50000,hamming,155,33
50000,hamming,156,13
50000,hamming,157,15
50000,hamming,158,5
50000,hamming,159,2
50000,genes,0,5887
50000,genes,1,2930
50000,genes,2,7490
50000,genes,3,7090
50000,genes,4,11908
50000,genes,5,12875
50000,genes,6,17336
50000,genes,7,20533
50000,genes,8,25373
50000,genes,9,32223
50000,genes,10,38061
50000,genes,11,45177
50000,genes,12,54929
50000,genes,13,65586
50000,genes,14,78421
50000,genes,15,88481
50000,genes,16,108578
50000,genes,17,120644
50000,genes,18,132509
50000,genes,19,143090
50000,genes,20,155369
50000,genes,21,155940
50000,genes,22,158729
50000,genes,23,148099
50000,genes,24,144616
50000,genes,25,141550
50000,genes,26,129672
50000,genes,27,122856
50000,genes,28,117687
50000,genes,29,113754
50000,genes,30,109694
50000,genes,31,107590
50000,genes,32,101293
50000,genes,33,99836
50000,genes,34,92454
50000,genes,35,87615
50000,genes,36,76957
50000,genes,37,71091
50000,genes,38,63427
50000,genes,39,61076
50000,genes,40,58696
50000,genes,41,64226
50000,genes,42,77106
50000,genes,43,90615
50000,genes,44,108381
50000,genes,45,132481
50000,genes,46,158748
50000,genes,47,165731
50000,genes,48,184231
50000,genes,49,172857
50000,genes,50,169850
50000,genes,51,156186
50000,genes,52,145571
50000,genes,53,129661
50000,genes,54,107776
50000,genes,55,92966
50000,genes,56,73952
50000,genes,57,58193
50000,genes,58,45816
50000,genes,59,36925
50000,genes,60,27307
50000,genes,61,21237
50000,genes,62,14425
50000,genes,63,10313
50000,genes,64,6442
50000,genes,65,4355
50000,genes,66,2715
