step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,1422,26.28,0.52,6.87,0.12,5.19,0.05,1.21,0.025,0.207,425987.4,450173.9,1,143,2.88,1.23,1.18,22.4409,732.57,23600.1,0.0462,36.3271,5462,29.5197,2137,8.4588,33003.6,147.65,3.0083,0.0,0.0000,1.000,0.6946
10000,1,1337,26.47,0.39,6.93,0.11,5.51,0.01,1.14,0.006,0.197,432934.5,448381.2,2,115,2.90,1.13,1.15,23.0056,642.00,22168.2,0.0499,36.7024,5461,29.5142,2003,8.9754,35990.3,90.55,10.7661,0.0,0.0000,1.000,0.3296
10000,2,1031,27.39,0.45,7.27,0.05,6.09,0.04,1.16,0.019,0.164,351304.6,331420.1,2,167,2.99,1.18,1.15,16.8250,459.54,25632.3,0.0478,29.6757,5461,29.5142,1933,6.6545,24778.7,61.79,26.3087,0.0,0.0000,1.000,0.1150
20000,0,1201,27.06,0.62,6.73,0.01,5.54,0.02,1.25,0.011,0.176,222742.4,169780.3,7,126,2.93,1.23,1.28,5.5255,424.58,11826.5,1.6146,21.2491,5462,13.0665,2175,4.3673,11147.3,147.65,1.4929,0.0,0.0000,1.000,0.6946
20000,1,1030,28.01,0.47,6.91,0.01,6.14,0.01,1.19,0.006,0.161,127694.0,95828.0,5,112,2.98,1.19,1.16,2.8683,395.00,25249.0,0.0000,12.3399,5461,13.0641,2105,2.2747,5418.5,90.55,3.1636,0.0,0.0000,1.000,0.3296
20000,2,724,27.91,0.43,7.54,0.00,5.55,0.02,1.17,0.010,0.111,90838.1,67082.1,4,113,2.92,1.18,1.16,1.9632,191.28,33791.7,0.0000,8.9561,5461,13.0641,2119,1.6317,3452.3,61.79,7.1587,0.0,0.0000,1.000,0.1150
30000,0,1111,44.36,0.46,8.85,0.00,12.41,0.00,1.08,0.000,0.276,394791.3,195969.9,14,125,3.83,1.07,1.09,9.3092,178.10,17415.6,0.3206,35.9371,5462,34.2967,1863,11.4131,42332.8,147.65,3.2265,0.0,0.0000,1.000,0.6946
30000,1,1120,42.62,0.28,8.58,0.02,12.18,0.00,1.04,0.000,0.270,400087.0,197026.4,17,115,3.75,1.04,1.04,9.4585,268.69,19720.2,0.0394,36.0441,5461,34.2905,1574,11.4270,44288.1,90.55,11.1988,0.0,0.0000,1.000,0.3296
30000,2,852,40.04,0.36,8.44,0.00,10.87,0.00,1.09,0.004,0.192,330807.3,147200.1,13,161,3.63,1.09,1.09,6.8229,197.29,25392.2,0.0051,30.2929,5461,34.2905,1720,8.3763,29522.6,61.79,28.2547,0.0,0.0000,1.000,0.1150
40000,0,1052,46.36,0.46,8.48,0.00,13.78,0.00,1.09,0.000,0.275,223737.2,67759.1,12,96,3.87,1.08,1.07,3.9102,196.48,10090.9,2.4215,21.1910,5462,13.9829,1609,3.9726,12365.7,147.65,1.4903,0.0,0.0000,1.000,0.6946
40000,1,993,46.52,0.43,8.81,0.00,13.59,0.00,1.09,0.000,0.258,130223.4,37889.5,12,134,3.87,1.08,1.10,2.2410,178.01,23493.0,0.0000,12.5545,5461,13.9803,1569,1.9684,5681.6,90.55,3.1855,0.0,0.0000,1.000,0.3296
40000,2,726,47.90,0.58,8.75,0.00,14.05,0.00,1.16,0.001,0.194,95049.1,26748.6,12,156,3.92,1.18,1.12,1.6594,140.87,32922.9,0.0000,9.1270,5461,13.9803,1575,1.4241,3471.0,61.79,7.1208,0.0,0.0000,1.000,0.1150
50000,0,1244,41.77,0.38,7.75,0.00,12.38,0.00,1.09,0.000,0.293,405963.8,165000.8,8,112,3.71,1.07,1.08,9.6116,272.07,14818.8,0.9046,37.5334,5462,35.6877,1477,7.9978,37973.3,147.65,3.1815,0.0,0.0000,1.000,0.6946
50000,1,1130,40.99,0.23,8.03,0.00,12.00,0.00,1.07,0.000,0.262,407845.6,163746.1,9,111,3.69,1.08,1.04,9.4175,199.74,18986.3,0.1184,37.4451,5461,35.6811,1451,8.6060,41607.6,90.55,11.0671,0.0,0.0000,1.000,0.3296
50000,2,973,41.93,0.45,8.36,0.00,11.70,0.00,1.10,0.001,0.228,335999.3,124211.2,10,170,3.75,1.08,1.11,7.3983,222.23,26531.5,0.0001,31.2430,5461,35.6811,1462,6.3020,27498.7,61.79,27.6867,0.0,0.0000,1.000,0.1150
60000,0,1102,47.28,0.80,8.06,0.00,13.98,0.00,1.21,0.001,0.288,223188.4,68178.1,16,117,3.90,1.15,1.25,4.4073,274.09,10137.9,2.6227,21.4130,5462,13.9552,1540,3.5399,11456.5,147.65,1.4894,0.0,0.0000,1.000,0.6946
