step,cause,age,size,mass,n,worn
10000,hunger,0,0,0,24,0
10000,hunger,0,0,4,10,0
10000,hunger,0,4,0,7,0
10000,hunger,0,4,4,34,0
10000,hunger,0,4,8,54,0
10000,hunger,0,4,12,9,0
10000,hunger,0,8,0,1,0
10000,hunger,0,8,4,5,0
10000,hunger,0,8,8,29,0
10000,hunger,0,8,12,73,0
10000,hunger,0,8,16,93,0
10000,hunger,0,8,20,50,0
10000,hunger,0,12,4,3,0
10000,hunger,0,12,8,5,0
10000,hunger,0,12,12,11,0
10000,hunger,0,12,16,63,0
10000,hunger,0,12,20,173,0
10000,hunger,0,12,24,276,0
10000,hunger,0,12,28,140,0
10000,hunger,0,16,12,10,0
10000,hunger,0,16,16,27,0
10000,hunger,0,16,20,68,0
10000,hunger,0,16,24,205,0
10000,hunger,0,16,28,1408,1
10000,hunger,0,16,32,186,0
10000,hunger,0,16,36,63,0
10000,hunger,0,20,8,1,0
10000,hunger,0,20,16,5,0
10000,hunger,0,20,20,16,0
10000,hunger,0,20,24,39,0
10000,hunger,0,20,28,105,0
10000,hunger,0,20,32,128,0
10000,hunger,0,20,36,253,0
10000,hunger,0,20,40,205,0
10000,hunger,0,20,44,111,0
10000,hunger,0,24,12,5,0
10000,hunger,0,24,20,11,1
10000,hunger,0,24,24,45,0
10000,hunger,0,24,28,54,0
10000,hunger,0,24,32,146,0
10000,hunger,0,24,36,336,0
10000,hunger,0,24,40,670,0
10000,hunger,0,24,44,872,0
10000,hunger,0,24,48,646,0
10000,hunger,0,24,52,6,0
10000,hunger,0,28,12,1,0
10000,hunger,0,28,16,2,0
10000,hunger,0,28,20,1,0
10000,hunger,0,28,24,4,0
10000,hunger,0,28,28,6,0
10000,hunger,0,28,32,10,0
10000,hunger,0,28,36,44,0
10000,hunger,0,28,40,38,0
10000,hunger,0,28,44,29,0
10000,hunger,0,28,48,11,0
10000,hunger,0,28,52,15,0
10000,hunger,0,28,56,15,0
10000,hunger,0,28,60,3,0
10000,hunger,0,32,16,1,0
10000,hunger,0,32,20,1,0
10000,hunger,0,32,24,2,0
10000,hunger,0,32,28,2,0
10000,hunger,0,32,32,2,0
10000,hunger,0,32,36,10,0
10000,hunger,0,32,40,24,0
10000,hunger,0,32,44,19,0
10000,hunger,0,32,48,17,0
10000,hunger,0,32,52,16,0
10000,hunger,0,32,56,17,0
10000,hunger,0,32,60,15,0
10000,hunger,0,32,64,29,0
10000,hunger,0,32,68,8,0
10000,hunger,0,36,12,1,0
10000,hunger,0,36,16,1,0
10000,hunger,0,36,20,3,0
10000,hunger,0,36,24,3,0
10000,hunger,0,36,28,3,0
10000,hunger,0,36,32,10,0
10000,hunger,0,36,36,13,1
10000,hunger,0,36,40,17,0
10000,hunger,0,36,44,41,0
10000,hunger,0,36,48,63,0
10000,hunger,0,36,52,71,0
10000,hunger,0,36,56,47,0
10000,hunger,0,36,60,32,0
10000,hunger,0,36,64,46,0
10000,hunger,0,36,68,101,0
10000,hunger,0,36,72,4,0
10000,hunger,0,40,16,1,0
10000,hunger,0,40,20,5,0
10000,hunger,0,40,24,2,0
10000,hunger,0,40,28,1,0
10000,hunger,0,40,32,1,0
10000,hunger,0,40,36,1,0
10000,hunger,0,40,40,7,0
10000,hunger,0,40,44,3,0
10000,hunger,0,40,48,6,0
10000,hunger,0,40,52,5,0
10000,hunger,0,40,56,4,0
10000,hunger,0,40,60,2,0
10000,hunger,0,40,64,1,0
10000,hunger,0,40,68,5,0
10000,hunger,0,40,72,1,0
10000,hunger,0,40,76,1,0
10000,hunger,0,40,80,4,0
10000,hunger,0,44,16,2,0
10000,hunger,0,44,24,5,0
10000,hunger,0,44,28,2,0
10000,hunger,0,44,40,2,0
10000,hunger,0,44,44,2,0
10000,hunger,0,44,48,5,0
10000,hunger,0,44,52,1,0
10000,hunger,0,44,56,5,0
10000,hunger,0,44,60,3,0
10000,hunger,0,44,64,3,0
10000,hunger,0,44,76,2,0
10000,hunger,0,44,80,1,0
10000,hunger,0,44,84,5,0
10000,hunger,0,44,88,4,0
10000,hunger,0,44,92,1,0
10000,hunger,0,48,16,8,0
10000,hunger,0,48,20,22,0
10000,hunger,0,48,24,27,0
10000,hunger,0,48,28,3,0
10000,hunger,0,48,32,8,0
10000,hunger,0,48,36,10,0
10000,hunger,0,48,40,9,0
10000,hunger,0,48,44,7,0
10000,hunger,0,48,48,15,1
10000,hunger,0,48,52,18,0
10000,hunger,0,48,56,19,0
10000,hunger,0,48,60,20,0
10000,hunger,0,48,64,9,0
10000,hunger,0,48,68,6,0
10000,hunger,0,48,72,6,0
10000,hunger,0,48,76,5,0
10000,hunger,0,48,80,2,0
10000,hunger,0,48,84,7,0
10000,hunger,0,48,88,4,0
10000,hunger,0,48,92,9,0
10000,hunger,0,48,96,21,0
10000,hunger,0,52,24,2,0
10000,hunger,0,52,28,2,0
10000,hunger,0,52,52,2,0
10000,hunger,0,52,56,2,0
10000,hunger,0,52,64,1,0
10000,hunger,0,52,92,1,0
10000,hunger,0,52,112,1,0
10000,hunger,0,52,120,1,0
10000,hunger,0,56,16,1,0
10000,hunger,0,56,24,1,0
10000,hunger,0,56,52,1,0
10000,hunger,0,56,56,3,0
10000,hunger,0,56,60,1,0
10000,hunger,0,56,64,2,0
10000,hunger,0,56,68,2,0
10000,hunger,0,56,72,2,0
10000,hunger,0,56,80,1,0
10000,hunger,0,56,96,1,0
10000,hunger,0,56,108,1,0
10000,hunger,0,56,116,2,0
10000,hunger,0,60,20,1,0
10000,hunger,0,60,24,2,0
10000,hunger,0,60,32,1,0
10000,hunger,0,60,60,1,0
10000,hunger,0,60,72,3,0
10000,hunger,0,60,76,3,0
10000,hunger,0,60,80,1,0
10000,hunger,0,60,96,2,0
10000,hunger,0,60,100,1,0
10000,hunger,0,60,116,1,0
10000,hunger,0,60,124,2,0
10000,hunger,0,64,20,2,0
10000,hunger,0,64,24,10,0
10000,hunger,0,64,28,4,0
10000,hunger,0,64,40,3,0
10000,hunger,0,64,44,2,0
10000,hunger,0,64,48,3,0
10000,hunger,0,64,52,7,1
10000,hunger,0,64,56,10,0
10000,hunger,0,64,60,6,0
10000,hunger,0,64,64,13,0
10000,hunger,0,64,68,10,0
10000,hunger,0,64,72,15,0
10000,hunger,0,64,76,8,0
10000,hunger,0,64,80,4,0
10000,hunger,0,64,84,2,0
10000,hunger,0,64,88,2,0
10000,hunger,0,64,92,2,0
10000,hunger,0,64,96,3,0
10000,hunger,0,64,104,1,0
10000,hunger,0,64,108,2,0
10000,hunger,0,64,124,6,0
10000,hunger,0,68,32,1,0
10000,hunger,0,68,72,2,0
10000,hunger,0,68,80,1,0
10000,hunger,0,68,84,1,0
10000,hunger,0,68,88,1,0
10000,hunger,0,68,124,1,0
10000,hunger,0,68,132,1,0
10000,hunger,0,72,76,1,0
10000,hunger,0,72,80,1,0
10000,hunger,0,72,84,1,0
10000,hunger,0,72,88,1,0
10000,hunger,0,72,96,2,0
10000,hunger,0,76,76,2,0
10000,hunger,0,76,84,3,0
10000,hunger,0,76,88,8,0
10000,hunger,0,76,96,1,0
10000,hunger,0,76,148,1,0
10000,hunger,0,80,52,2,0
10000,hunger,0,80,56,1,0
10000,hunger,0,80,72,2,0
10000,hunger,0,80,76,3,0
10000,hunger,0,80,80,4,0
10000,hunger,0,80,84,5,0
10000,hunger,0,80,88,7,0
10000,hunger,0,80,92,10,0
10000,hunger,0,80,96,4,0
10000,hunger,0,80,100,4,0
10000,hunger,0,80,104,1,0
10000,hunger,0,80,108,1,0
10000,hunger,0,80,116,1,0
10000,hunger,0,80,124,1,0
