step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,12,2379,54.8,0.8,16.8,1.1,13.6,0.0,1.20,4.7,1985,218,15.40,20.04,879,763,737,0.3,1.11,1.31,1.22,4.97,5.97,6.25,30.9,1.675,0.393,7.27
5000,1,103,32.4,3.3,7.1,0.0,20.5,0.4,1.83,5.5,88,172,15.62,7.36,9,19,75,1.1,1.87,1.68,1.89,5.11,6.07,5.88,42.1,0.946,0.656,7.34
6000,12,1785,47.8,0.3,16.2,0.5,9.1,0.0,1.09,4.8,1379,196,11.66,21.58,618,616,551,0.1,1.07,1.12,1.10,4.30,5.32,5.54,31.6,1.833,0.450,6.62
6000,1,203,34.1,3.6,4.8,0.9,24.9,0.4,1.62,3.9,173,184,16.77,8.32,15,84,104,0.6,1.65,1.56,1.65,5.08,6.14,6.17,38.0,0.912,0.593,7.12
7000,12,466,43.1,0.1,12.8,0.2,9.7,0.0,1.02,5.8,389,241,13.94,19.72,158,146,162,0.0,1.01,1.03,1.03,3.95,4.81,5.14,32.6,1.905,0.487,6.44
7000,17,232,24.0,3.9,4.7,0.1,16.9,0.5,2.08,7.2,215,227,21.26,10.54,133,83,16,1.1,2.19,1.77,2.25,4.15,5.42,5.39,24.2,0.810,0.581,7.20
7000,1,189,34.9,2.2,4.9,0.2,27.9,0.3,1.32,3.5,126,118,15.12,5.81,29,92,68,0.4,1.34,1.22,1.35,5.28,6.25,6.44,35.0,0.934,0.545,7.23
8000,17,1044,29.9,3.0,6.4,0.1,22.6,0.4,1.56,3.7,828,187,17.66,6.99,418,298,328,0.8,1.60,1.39,1.64,4.87,6.01,5.91,31.2,0.847,0.595,6.88
8000,12,374,49.7,0.1,13.0,0.5,11.8,0.0,1.02,3.3,286,275,13.88,19.30,154,123,97,0.1,1.01,1.03,1.02,4.22,5.15,5.23,30.0,1.974,0.423,6.01
9000,17,1217,30.9,3.7,6.7,0.2,21.7,0.6,1.68,3.6,981,232,19.73,7.13,498,356,363,1.0,1.83,1.39,1.76,4.84,6.10,5.94,30.0,0.858,0.588,6.91
9000,12,328,47.6,0.1,15.8,0.5,7.8,0.0,1.02,3.5,283,267,12.16,19.64,88,107,133,0.1,1.01,1.03,1.02,4.06,5.15,5.29,34.8,1.986,0.333,6.10
10000,17,1438,32.6,3.7,6.8,0.2,23.2,0.6,1.60,3.2,1085,238,19.71,6.53,670,473,295,1.0,1.71,1.39,1.67,5.10,6.17,6.06,28.4,0.864,0.584,6.93
10000,34,291,54.5,0.3,10.1,0.0,16.8,0.0,1.06,3.4,265,380,21.12,19.11,112,126,53,0.1,1.01,1.10,1.06,4.32,5.64,5.40,29.2,1.989,0.329,6.37
10000,12,187,47.8,0.0,16.5,0.4,7.3,0.0,1.00,2.6,166,453,14.67,33.56,60,61,66,0.0,1.00,1.00,1.00,4.12,5.50,5.50,32.1,1.995,0.304,6.16
11000,17,584,32.0,2.8,8.0,0.1,26.0,0.4,1.49,2.5,456,285,25.03,4.02,294,162,128,1.0,1.51,1.27,1.58,5.24,6.46,6.31,26.2,0.804,0.613,7.00
11000,34,175,56.3,0.5,11.7,0.0,15.6,0.0,1.09,3.1,162,546,25.69,26.69,108,43,24,0.2,1.02,1.20,1.07,4.51,5.69,5.49,25.8,1.988,0.317,6.37
11000,12,115,44.6,0.1,13.2,0.6,8.7,0.0,1.01,3.6,105,680,21.37,37.75,50,37,28,0.1,1.00,1.03,1.01,3.98,5.09,5.27,29.7,1.992,0.308,6.07
11000,59,96,38.1,0.1,13.4,0.0,5.5,0.0,1.02,1.7,86,290,5.43,19.69,37,36,23,0.1,1.01,1.05,1.02,3.55,4.71,4.73,29.6,1.993,0.149,5.15
12000,17,566,29.6,1.9,8.3,0.1,24.9,0.2,1.33,2.7,435,351,29.99,3.44,281,173,112,0.6,1.38,1.19,1.38,5.14,6.31,6.13,27.1,0.799,0.630,6.89
12000,12,102,57.9,0.1,17.9,0.8,10.6,0.0,1.01,2.5,89,537,20.89,27.73,58,21,23,0.1,1.00,1.03,1.00,4.48,5.77,5.67,27.3,1.990,0.313,6.34
12000,34,83,57.3,0.9,11.1,0.0,16.0,0.0,1.22,3.2,80,689,30.91,33.35,39,21,23,0.3,1.12,1.34,1.22,4.41,5.67,5.53,29.4,1.988,0.344,6.40
12000,59,62,42.9,0.2,17.6,0.0,3.5,0.0,1.03,1.0,36,245,3.94,19.25,36,21,5,0.2,1.00,1.05,1.03,3.69,4.81,4.85,23.7,1.995,0.110,5.08
13000,17,354,30.6,2.0,8.2,0.1,26.0,0.2,1.32,2.7,272,374,32.10,3.92,219,99,36,0.5,1.33,1.20,1.38,5.04,6.38,6.11,23.3,0.801,0.625,6.93
