step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
10000,0,963,35.75,2.69,8.36,0.27,18.48,0.42,1.44,0.164,0.325,468658.5,430002.7,3,128,4.69,1.53,1.25,23.1117,353.66,28904.8,0.0398,40.0709,5462,33.6403,1097,9.0729,37724.0,165.42,2.1909,0.0,0.0000,1.000,0.7635
10000,1,751,38.59,2.52,8.71,0.08,19.85,0.35,1.43,0.130,0.270,447739.0,401073.7,3,103,4.80,1.45,1.34,21.1874,252.41,32248.7,0.0374,38.1764,5461,33.6342,1042,8.3982,34510.0,81.35,15.9107,0.0,0.0000,1.000,0.2025
10000,2,492,38.96,2.43,10.02,0.16,18.12,0.37,1.39,0.146,0.173,356827.1,296051.7,3,107,4.72,1.49,1.23,14.9505,174.70,35722.6,0.0326,30.1499,5461,33.6342,1073,5.4347,21203.2,53.21,32.5782,0.0,0.0000,1.000,0.0207
20000,0,1148,32.30,0.82,8.95,0.03,9.62,0.12,1.24,0.045,0.254,260067.9,150112.0,5,113,3.49,1.29,1.15,5.3273,553.44,21214.3,0.0000,25.3750,5462,14.8524,1389,2.2497,9841.8,165.42,0.9682,0.0,0.0000,1.000,0.7635
20000,1,823,34.06,0.78,9.25,0.10,11.45,0.14,1.20,0.053,0.205,132830.0,69366.6,5,142,3.73,1.20,1.13,2.3034,300.12,28892.6,0.0000,13.2126,5461,14.8497,1477,1.0163,3948.9,81.35,4.3846,0.0,0.0000,1.000,0.2025
20000,2,571,35.09,0.80,10.63,0.27,9.89,0.23,1.21,0.074,0.141,85878.4,42239.0,5,158,3.73,1.28,1.09,1.3359,248.99,38288.8,0.0000,8.7441,5461,14.8497,1541,0.7101,2276.2,53.21,8.3282,0.0,0.0000,1.000,0.0207
30000,0,965,29.13,2.84,8.11,0.24,11.65,0.95,1.80,0.322,0.253,455432.0,416912.2,5,128,3.99,1.99,1.29,17.7320,331.19,28578.5,0.0000,42.6125,5462,35.3384,1237,6.5473,31895.7,165.42,2.2040,0.0,0.0000,1.000,0.7635
30000,1,835,28.13,3.05,8.30,0.25,12.20,1.09,1.76,0.374,0.228,428295.2,368929.0,4,140,4.09,2.01,1.23,15.4330,278.49,31658.9,0.0000,39.9757,5461,35.3320,1099,6.0376,29594.1,81.35,15.6421,0.0,0.0000,1.000,0.2025
30000,2,600,29.59,3.53,8.85,0.07,11.06,1.29,1.92,0.430,0.161,333991.0,261734.4,3,127,4.17,2.20,1.30,9.7957,137.73,36692.7,0.0000,31.4647,5461,35.3320,1041,3.8973,18118.4,53.21,32.5863,0.0,0.0000,1.000,0.0207
40000,0,935,33.79,1.74,9.14,0.03,11.87,0.41,1.54,0.138,0.244,258601.0,164878.5,3,105,3.84,1.63,1.32,5.5969,477.96,22205.9,0.0000,25.2350,5462,14.7290,1522,2.0151,9341.6,165.42,0.9201,0.0,0.0000,1.000,0.7635
40000,1,768,32.01,2.14,9.03,0.04,10.21,0.47,1.67,0.167,0.189,132659.8,76530.9,3,127,3.79,1.72,1.37,2.4286,370.18,29917.3,0.0000,13.2486,5461,14.7263,1523,0.9019,3801.1,81.35,4.3786,0.0,0.0000,1.000,0.2025
40000,2,527,33.27,1.87,9.79,0.04,10.40,0.54,1.62,0.175,0.132,86707.6,44009.6,3,125,3.78,1.69,1.28,1.2994,236.13,38435.1,0.0000,8.8135,5461,14.7263,1436,0.5196,2002.9,53.21,8.2262,0.0,0.0000,1.000,0.0207
50000,0,1042,35.25,4.05,8.80,0.02,10.99,1.36,2.30,0.406,0.284,456619.5,366530.8,15,125,4.05,2.58,1.48,15.8816,537.12,26890.1,0.0000,42.8128,5462,35.3701,1384,6.2412,31010.6,165.42,2.2159,0.0,0.0000,1.000,0.7635
