step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,30.00,25,0,7,0,8,0,1.00,0,0.233,3667,0.47,175.22,175.75,310,1,0,0,1.00,1.00,1.00,3,5,5,28.1,69.932,15,2.000,0.004,5,1.000,8,36.22,-34.00,0,0.0206,0.711,0.0000,2811,0.8546
100000,34.00,25,0,9,0,8,0,1.00,0,0.265,3485,0.00,123.45,23.91,310,0,0,0,1.00,1.00,1.00,3,5,5,18.6,2.711,17,2.000,0.004,5,1.000,6,75.82,-61.75,0,0.0206,0.711,0.0000,2672,0.8282
100000,40.00,25,0,10,0,10,0,1.00,0,0.250,3325,5.23,125.02,57.50,310,0,0,0,1.00,1.00,1.00,4,5,5,21.9,34.822,20,2.000,0.004,5,1.000,4,78.69,54.25,0,0.0206,0.711,0.0000,2549,0.7953
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,3166,0.00,50.12,226.63,703,1,1,0,1.00,1.00,1.00,2,4,4,31.8,13.516,12,2.000,0.003,4,1.000,3,73.27,54.25,0,0.0000,0.579,0.0000,2731,0.9036
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,3026,2.98,103.00,82.25,703,0,1,0,1.00,1.00,1.00,1,4,4,13.8,59.622,14,2.000,0.003,4,1.000,2,22.56,22.25,0,0.0000,0.618,0.0000,2547,0.8694
100000,26.00,16,0,6,0,7,0,1.00,0,0.231,2995,0.00,96.17,58.24,310,1,0,0,1.00,1.00,1.00,2,4,4,32.4,29.864,13,2.000,0.013,4,1.000,3,57.32,-2.75,0,0.0428,0.698,0.0000,2530,0.8857
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,2774,0.00,58.43,86.53,703,2,1,0,1.00,1.00,1.00,2,4,4,53.0,7.853,12,2.000,0.003,4,1.000,1,53.12,27.00,0,0.0000,0.579,0.0000,2400,0.9036
100000,48.00,25,0,14,0,10,0,1.00,0,0.292,2769,0.00,121.96,30.15,310,1,1,0,1.00,1.00,1.00,4,5,5,24.8,44.337,24,2.000,0.004,5,1.000,1,68.49,46.00,0,0.0206,0.711,0.0000,2090,0.7598
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,2708,0.00,34.48,108.90,703,2,0,0,1.00,1.00,1.00,2,4,4,44.6,13.990,14,2.000,0.003,4,1.000,1,63.13,16.25,0,0.0000,0.579,0.0000,2286,0.8694
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,2596,0.00,60.15,127.63,703,1,1,0,1.00,1.00,1.00,2,4,4,25.3,24.016,14,2.000,0.003,4,1.000,2,48.37,17.75,0,0.0000,0.579,0.0000,2204,0.8694
100000,26.00,16,0,8,0,5,0,1.00,0,0.308,2403,0.00,72.33,68.64,703,0,1,0,1.00,1.00,1.00,2,4,4,19.4,22.496,13,2.000,0.003,4,1.000,1,35.72,8.25,0,0.0000,0.557,0.0000,2069,0.8857
100000,15.00,36,1,3,1,2,0,1.33,12,0.200,2356,0.04,81.30,12.95,703,2,0,1,1.00,1.67,1.33,2,3,3,62.7,3.330,7,2.000,0.003,6,1.000,1,51.51,51.50,1,0.0000,0.094,0.0000,1871,1.0000
100000,17.14,49,3,1,0,5,0,2.33,10,0.058,2238,0.00,107.20,12.80,722,0,0,1,3.50,4.50,1.86,4,7,2,19.4,10.683,9,1.428,0.504,7,1.000,0,12.59,-1.50,0,0.0000,0.083,0.0000,1827,0.9830
100000,26.00,16,0,8,0,5,0,1.00,0,0.308,2233,0.00,39.71,119.74,703,2,0,0,1.00,1.00,1.00,2,4,4,53.5,52.164,13,2.000,0.003,4,1.000,0,52.57,49.75,0,0.0000,0.579,0.0000,1939,0.8857
100000,24.00,16,0,7,0,5,0,1.00,0,0.292,2102,0.00,36.70,80.74,703,2,0,0,1.00,1.00,1.00,3,4,4,57.6,36.961,12,2.000,0.003,4,1.000,0,31.65,22.00,0,0.0000,0.579,0.0000,1842,0.9036
100000,50.00,25,0,14,0,11,0,1.00,0,0.280,2074,0.76,55.72,107.97,310,0,1,0,1.00,1.00,1.00,4,5,5,5.7,33.299,25,2.000,0.004,5,1.000,0,27.55,-27.00,0,0.0204,0.711,0.0000,1559,0.7521
100000,56.45,49,1,8,1,33,2,1.14,0,0.142,2021,0.00,111.49,11.02,698,1,1,2,1.29,1.00,1.14,9,7,7,34.5,25.766,43,1.298,0.348,7,1.000,2,18.00,8.25,1,0.0000,0.000,0.0000,1451,0.7297
