step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,1149,41.8,0.5,13.3,0.8,20.9,0.0,1.10,2.8,818,364,23.97,13.37,321,365,463,0.1,1.08,1.11,1.12,4.97,6.32,6.42,34.3,1.161,0.556,7.07
5000,2,63,36.7,6.2,4.9,0.1,20.0,0.0,1.95,1.0,40,328,20.45,6.00,31,23,9,0.3,1.80,1.70,2.17,4.84,5.67,5.98,25.7,0.981,0.352,6.08
6000,1,1066,44.0,0.9,14.3,1.5,17.6,0.0,1.15,2.9,759,331,20.04,15.34,283,301,482,0.1,1.15,1.15,1.16,4.77,6.15,6.20,33.4,1.249,0.572,6.91
6000,2,139,35.7,5.2,4.4,0.1,20.7,0.0,1.99,1.2,90,396,24.48,7.52,66,54,19,0.2,2.07,1.55,2.19,4.77,5.83,5.82,27.2,1.007,0.354,6.14
7000,1,1282,42.0,1.7,10.8,1.2,18.0,0.0,1.36,2.8,973,309,18.41,13.48,445,381,456,0.1,1.36,1.35,1.38,4.66,5.88,6.07,31.2,1.270,0.532,6.66
8000,1,545,56.5,0.3,15.5,0.2,23.0,0.0,1.10,2.7,392,307,20.54,18.47,263,195,87,0.1,1.12,1.10,1.09,5.43,6.47,6.62,27.7,1.420,0.632,7.21
9000,1,681,63.2,0.7,15.5,0.1,22.8,0.1,1.15,1.7,469,296,19.36,17.15,366,253,62,0.2,1.21,1.07,1.16,5.44,6.40,6.58,26.0,1.603,0.560,6.92
10000,1,609,53.5,0.2,14.5,0.1,17.1,0.0,1.04,2.5,462,390,19.79,20.81,253,257,99,0.1,1.03,1.05,1.04,4.84,5.81,6.04,28.7,1.684,0.508,6.56
11000,1,429,58.7,0.4,16.0,0.1,17.5,0.0,1.09,2.1,340,441,20.36,21.52,119,141,169,0.1,1.06,1.10,1.09,4.90,6.01,6.17,35.0,1.717,0.489,6.62
12000,14,155,56.0,3.4,10.6,0.0,28.6,0.1,1.23,1.5,96,508,37.57,3.74,57,27,71,0.3,1.16,1.38,1.19,5.38,6.75,6.72,32.4,1.210,0.579,7.10
12000,1,154,67.8,0.3,17.4,0.3,22.7,0.1,1.06,1.2,126,581,27.37,24.29,44,40,70,0.3,1.06,1.05,1.06,5.63,6.55,6.62,34.1,1.678,0.468,6.89
13000,21,343,52.5,0.1,14.6,1.4,24.8,0.0,1.01,2.6,260,434,28.38,12.36,181,102,60,0.1,1.01,1.01,1.01,6.05,6.57,6.83,26.1,1.300,0.479,7.36
13000,1,46,81.5,1.8,25.5,0.0,20.5,0.0,1.32,0.6,32,454,15.37,39.50,29,4,13,0.4,1.17,1.54,1.28,5.80,7.13,7.26,24.0,1.645,0.565,7.35
13000,14,19,45.9,4.1,8.2,0.0,21.3,0.1,1.48,3.4,18,1549,97.29,6.92,4,2,13,0.8,1.23,1.93,1.38,4.79,6.26,6.16,36.3,1.213,0.583,7.05
14000,21,198,57.2,0.0,14.7,1.6,26.7,0.0,1.00,3.0,145,584,37.12,17.19,118,53,27,0.0,1.00,1.00,1.00,6.13,6.75,6.71,24.9,1.346,0.478,7.48
14000,1,36,81.6,0.0,40.5,0.0,7.3,0.0,1.00,0.2,11,256,5.44,29.18,30,6,0,0.0,1.00,1.00,1.00,5.83,7.03,7.00,17.5,1.708,0.594,7.06
15000,21,185,54.7,0.0,13.4,2.1,26.5,0.0,1.00,2.2,140,651,43.57,15.31,151,30,4,0.0,1.00,1.00,1.00,6.04,6.61,6.80,20.4,1.336,0.472,7.25
15000,1,18,76.8,0.1,35.8,0.0,8.1,0.0,1.02,1.0,13,480,13.30,45.36,11,5,2,0.3,1.00,1.04,1.02,6.11,6.72,6.89,23.8,1.740,0.604,7.06
16000,21,169,57.8,0.1,13.8,1.6,28.2,0.0,1.00,1.8,123,557,37.84,14.74,134,33,2,0.0,1.00,1.00,1.00,6.15,6.89,6.82,21.2,1.338,0.479,7.31
16000,1,18,83.1,0.4,39.3,0.0,8.0,0.0,1.08,0.0,4,333,7.67,32.82,15,3,0,0.6,1.00,1.13,1.10,6.50,7.00,7.00,20.3,1.726,0.601,7.00
17000,21,45,42.9,0.0,10.4,4.4,19.7,0.0,1.00,2.8,40,827,50.96,6.69,36,7,2,0.0,1.00,1.00,1.00,5.87,6.02,6.31,20.8,1.326,0.435,6.87
17000,1,23,84.7,2.8,34.2,0.1,10.1,0.2,1.49,0.8,17,420,14.95,42.78,13,4,6,0.7,1.05,1.85,1.53,6.35,6.96,7.09,27.1,1.698,0.612,7.22
18000,21,55,41.3,0.0,12.1,0.8,18.9,0.0,1.00,2.8,39,674,40.81,9.05,15,22,18,0.0,1.00,1.00,1.00,5.67,6.31,6.20,33.8,1.313,0.465,6.96
18000,1,47,77.6,0.1,35.3,0.0,9.8,0.0,1.02,0.6,18,434,14.45,45.44,25,7,15,0.4,1.00,1.03,1.03,5.55,6.96,6.85,27.7,1.712,0.619,7.04
19000,1,132,74.8,0.5,34.1,0.0,8.1,0.0,1.09,0.9,73,403,12.07,40.11,77,30,25,0.3,1.09,1.10,1.11,5.88,6.73,6.83,22.1,1.737,0.601,7.02
19000,21,16,42.7,0.0,10.6,0.0,21.4,0.0,1.00,2.4,14,975,48.89,10.17,7,4,5,0.0,1.00,1.00,1.00,5.56,5.75,5.94,30.6,1.344,0.426,6.44
20000,1,396,67.5,1.1,22.4,0.1,14.3,0.2,1.30,2.4,306,335,13.71,26.68,172,108,116,0.8,1.30,1.37,1.30,5.34,6.50,6.48,28.9,1.730,0.605,7.08
20000,21,9,36.5,0.0,15.1,0.0,12.1,0.0,1.00,4.7,7,276,20.28,9.09,0,3,6,0.0,1.00,1.00,1.00,4.89,5.78,6.11,39.2,1.323,0.559,7.11
21000,1,662,67.4,1.0,19.4,0.3,17.1,0.1,1.23,2.5,508,337,16.02,24.06,288,197,177,0.4,1.19,1.29,1.22,5.23,6.35,6.50,29.5,1.738,0.616,7.05
21000,31,140,52.7,0.7,11.7,0.0,28.0,0.0,1.15,4.9,125,392,31.63,9.77,35,35,70,0.2,1.22,1.06,1.16,5.67,6.50,7.00,34.4,1.275,0.583,7.97
21000,21,14,21.3,0.0,8.0,0.0,7.2,0.0,1.00,8.3,14,343,17.83,12.59,0,2,12,0.0,1.00,1.00,1.00,3.57,4.50,4.36,47.9,1.398,0.530,6.50
22000,1,782,66.9,1.1,16.7,0.3,18.7,0.1,1.30,3.0,631,390,20.10,25.59,358,277,147,0.3,1.32,1.34,1.27,5.16,6.31,6.44,28.4,1.770,0.623,7.12
