step,event,lineage,other,size
5000,birth,1,0,548
5000,birth,2,0,327
5000,birth,5,0,395
5000,birth,7,0,342
5000,birth,8,0,62
7000,extinct,8,0,10
10000,split,43,2,40
11000,split,49,5,61
11000,split,56,1,41
11000,extinct,7,0,16
12000,split,57,5,29
12000,split,58,5,16
12000,extinct,43,0,7
13000,split,69,1,49
13000,split,70,57,114
14000,split,80,5,97
14000,split,84,5,7
14000,extinct,2,0,6
14000,extinct,56,0,7
14000,extinct,57,0,29
15000,extinct,49,0,21
15000,extinct,84,0,7
16000,split,125,5,21
16000,split,126,5,14
16000,extinct,5,0,14
17000,split,41,36,32
17000,split,137,70,35
17000,split,140,125,33
17000,extinct,69,0,10
17000,extinct,80,0,33
18000,extinct,58,0,24
20000,split,135,80,17
20000,extinct,137,0,6
21000,split,147,125,6
21000,extinct,135,0,17
23000,split,156,70,30
23000,extinct,41,0,22
23000,extinct,147,0,13
24000,extinct,70,0,14
24000,extinct,125,0,16
24000,extinct,140,0,6
25000,split,166,126,10
25000,extinct,156,0,5
26000,split,184,126,5
26000,split,185,1,8
26000,split,193,1,185
26000,split,197,1,41
26000,split,199,126,40
27000,split,216,184,210
27000,extinct,126,0,13
27000,extinct,166,0,5
28000,split,230,1,23
28000,extinct,184,0,5
28000,extinct,185,0,8
28000,extinct,199,0,40
30000,split,278,216,284
30000,extinct,216,0,13
30000,extinct,230,0,23
31000,extinct,197,0,14
32000,split,330,1,81
32000,split,333,216,5
33000,extinct,333,0,5
34000,extinct,278,0,10
35000,split,395,333,141
37000,split,410,395,21
38000,split,415,1,11
39000,split,422,395,42
39000,split,423,395,29
39000,extinct,193,0,7
40000,split,427,395,16
40000,split,428,395,65
40000,merge,330,1,70
40000,extinct,415,0,8
41000,extinct,423,0,9
42000,split,430,422,9
42000,split,432,395,25
42000,split,434,422,8
43000,split,440,395,290
43000,split,443,395,24
43000,merge,434,395,8
44000,split,448,432,37
45000,split,465,422,36
46000,split,438,395,30
46000,split,470,410,11
47000,split,460,432,23
47000,split,484,440,67
47000,extinct,432,0,6
48000,split,495,440,76
