step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,2,2295,33.43,0.72,7.75,0.59,11.02,0.12,1.18,0.057,0.190,1041601.4,573469.0,5,0,3.60,1.22,1.13,38.9354,995.49,81932.3,2.6292,87.5227,15162,85.6545,3583,22.5003,110232.9,101.64,35.7062,0.0,0.0000,1.000,0.3915,1.4547,6.6650
10000,0,26,32.14,0.12,8.73,0.00,10.85,0.00,1.00,0.000,0.024,13128.7,5929.3,2,25,3.81,1.00,1.00,0.7788,10.98,11357.9,0.0000,0.0895,1222,6.2905,48,0.0000,12.7,79.66,0.0386,0.0,0.0000,1.000,0.2005,0.2877,0.2077
20000,2,2158,31.15,0.52,8.40,0.06,10.58,0.02,1.12,0.015,0.173,463491.1,223869.7,7,0,3.71,1.12,1.10,9.5212,1103.55,92968.8,0.1329,43.3616,15257,39.4837,2794,5.3455,23794.7,99.14,10.5170,0.0,0.0000,1.000,0.3703,1.0901,3.3986
20000,0,44,39.17,0.50,11.95,0.11,10.84,0.00,1.16,0.000,0.051,1991.9,1009.0,4,39,3.73,1.17,1.16,0.0768,15.52,8179.6,0.0000,0.0470,1127,2.9200,27,0.0000,2.0,111.64,0.0176,0.0,0.0000,1.000,0.4712,0.1491,0.0815
30000,2,2671,23.68,0.66,5.90,0.09,9.06,0.19,1.15,0.086,0.170,981922.8,770169.2,4,0,3.34,1.17,1.11,35.0966,642.25,91996.1,4.0625,91.6473,15425,82.3271,2697,22.1279,109279.7,99.97,35.9085,0.0,0.0000,1.000,0.3758,1.0529,9.9511
30000,0,30,28.27,0.97,8.33,0.00,6.33,0.30,1.44,0.100,0.030,4084.9,7372.3,3,29,2.90,1.48,1.40,0.2713,9.11,7605.3,0.0000,0.0942,959,6.2476,14,0.0000,11.8,100.43,0.0327,0.0,0.0000,1.000,0.4004,0.1001,0.2940
40000,2,2431,24.93,0.50,6.85,0.14,8.90,0.13,1.12,0.062,0.165,465754.3,208744.4,7,0,3.35,1.15,1.08,8.1515,599.73,87812.8,0.6054,44.2984,15074,40.0578,2685,4.1407,19971.1,99.77,10.1037,0.0,0.0000,1.000,0.3802,1.0322,4.1064
40000,0,27,23.02,0.04,7.67,0.00,6.67,0.00,1.01,0.000,0.018,1441.6,1345.8,2,26,2.85,1.00,1.02,0.0754,6.72,10383.9,0.0000,0.0274,1310,2.9477,16,0.0000,1.3,102.67,0.0078,0.0,0.0000,1.000,0.3435,0.0864,0.0929
50000,2,2814,27.40,0.18,5.58,0.00,8.13,0.02,1.06,0.014,0.161,1017607.7,378350.7,19,0,3.05,1.07,1.04,24.0163,1064.86,60666.0,16.7550,97.1873,15138,85.3437,3029,13.8699,74654.2,100.56,38.7041,0.0,0.0000,1.000,0.3805,1.1070,6.7543
50000,0,35,25.74,0.31,5.97,0.00,6.74,0.17,1.11,0.086,0.023,3884.3,2481.8,10,33,3.11,1.09,1.04,0.3297,19.44,7980.5,0.0000,0.1095,1246,7.2745,51,0.0000,7.8,93.20,0.0320,0.0,0.0000,1.000,0.3379,0.2423,0.1458
60000,2,2454,24.90,0.34,5.81,0.08,8.91,0.05,1.11,0.031,0.152,470660.0,131914.6,16,0,3.22,1.11,1.10,11.3391,557.93,82915.7,1.1810,44.9960,15275,40.3478,2457,2.5926,12663.5,99.46,11.3483,0.0,0.0000,1.000,0.3718,0.8701,2.9466
60000,0,21,24.15,0.05,6.33,0.14,8.24,0.00,1.02,0.000,0.019,2083.8,1377.4,6,21,3.00,1.02,1.00,0.2304,7.18,8046.6,0.0000,0.0397,1109,3.3006,18,0.0000,1.5,107.45,0.0090,0.0,0.0000,1.000,0.4518,0.1069,0.0747
70000,2,2813,27.74,0.14,5.16,0.00,8.42,0.00,1.05,0.003,0.158,1025177.9,305442.7,14,0,3.06,1.06,1.05,31.8561,1327.32,56317.1,26.6658,99.4010,15268,82.8513,2451,6.9607,42146.5,99.73,44.1010,0.0,0.0000,1.000,0.3753,0.8434,4.8242
70000,0,45,25.96,0.02,5.09,0.00,7.84,0.00,1.00,0.000,0.032,3738.5,2686.3,7,45,2.40,1.00,1.00,0.4329,33.96,6229.0,0.0000,0.1075,1116,5.8354,23,0.0000,4.8,103.66,0.0320,0.0,0.0000,1.000,0.4041,0.1298,0.0992
80000,2,2445,29.15,0.21,5.25,0.00,8.91,0.00,1.08,0.002,0.144,454527.1,123438.4,9,0,3.10,1.07,1.07,14.7271,572.99,69655.0,3.7906,44.0367,15264,37.3949,2675,2.8195,11546.6,99.07,12.0095,0.0,0.0000,1.000,0.3757,0.9467,2.1489
80000,0,29,29.31,0.07,5.86,0.00,8.66,0.00,1.02,0.000,0.024,2410.8,1308.4,6,28,2.93,1.00,1.04,0.2161,6.01,8406.7,0.0002,0.0439,1120,2.8670,17,0.0000,1.8,112.65,0.0080,0.0,0.0000,1.000,0.3991,0.0869,0.0538
90000,2,2954,27.42,0.16,4.81,0.00,8.58,0.00,1.06,0.002,0.164,1001833.8,305210.8,18,0,3.08,1.06,1.05,35.7185,1313.53,55725.0,29.4982,97.7995,15263,79.2396,2221,5.2872,33537.9,99.78,45.6485,0.0,0.0000,1.000,0.3771,0.7357,4.4358
90000,0,35,25.77,0.00,4.46,0.00,8.43,0.00,1.00,0.000,0.027,3188.8,3294.7,5,35,2.94,1.00,1.00,0.5797,34.24,7129.0,0.0000,0.0760,1121,6.9101,17,0.0000,3.2,103.02,0.0208,0.0,0.0000,1.000,0.3791,0.0729,0.1221
100000,2,2558,28.53,0.23,4.87,0.00,8.92,0.00,1.09,0.004,0.148,450034.6,123310.9,22,0,3.14,1.11,1.07,15.0927,719.63,68045.4,3.4509,43.6968,15173,36.7479,2494,2.4416,10261.6,99.18,12.7576,0.0,0.0000,1.000,0.3681,0.8718,2.0908
100000,0,46,28.96,0.20,5.28,0.00,8.80,0.00,1.05,0.000,0.034,2037.3,1377.9,10,45,2.96,1.07,1.02,0.2430,17.78,7064.2,0.0000,0.0378,1211,2.6590,23,0.0000,1.1,110.22,0.0082,0.0,0.0000,1.000,0.4922,0.1270,0.0513
