step,cause,age,size,mass,n,worn
10000,hunger,0,0,0,12,0
10000,hunger,0,0,4,10,0
10000,hunger,0,4,0,1,0
10000,hunger,0,4,4,21,0
10000,hunger,0,4,8,15,0
10000,hunger,0,4,12,11,0
10000,hunger,0,8,4,6,0
10000,hunger,0,8,8,12,0
10000,hunger,0,8,12,21,0
10000,hunger,0,8,16,74,0
10000,hunger,0,8,20,25,0
10000,hunger,0,8,28,1,0
10000,hunger,0,12,4,1,0
10000,hunger,0,12,8,5,0
10000,hunger,0,12,12,12,1
10000,hunger,0,12,16,40,0
10000,hunger,0,12,20,234,0
10000,hunger,0,12,24,348,0
10000,hunger,0,12,28,125,0
10000,hunger,0,12,32,3,0
10000,hunger,0,16,4,1,0
10000,hunger,0,16,8,1,0
10000,hunger,0,16,12,3,0
10000,hunger,0,16,16,5,0
10000,hunger,0,16,20,33,0
10000,hunger,0,16,24,195,0
10000,hunger,0,16,28,1227,1
10000,hunger,0,16,32,399,0
10000,hunger,0,16,36,98,0
10000,hunger,0,16,40,2,0
10000,hunger,0,16,56,1,0
10000,hunger,0,20,8,7,0
10000,hunger,0,20,16,8,0
10000,hunger,0,20,20,7,0
10000,hunger,0,20,24,33,0
10000,hunger,0,20,28,94,0
10000,hunger,0,20,32,170,0
10000,hunger,0,20,36,343,1
10000,hunger,0,20,40,312,1
10000,hunger,0,20,44,97,0
10000,hunger,0,20,48,4,0
10000,hunger,0,20,52,1,0
10000,hunger,0,24,16,6,0
10000,hunger,0,24,20,11,0
10000,hunger,0,24,24,20,0
10000,hunger,0,24,28,22,0
10000,hunger,0,24,32,79,0
10000,hunger,0,24,36,152,0
10000,hunger,0,24,40,170,0
10000,hunger,0,24,44,384,0
10000,hunger,0,24,48,1388,0
10000,hunger,0,24,52,28,0
10000,hunger,0,24,56,7,0
10000,hunger,0,24,60,4,0
10000,hunger,0,24,64,1,0
10000,hunger,0,24,76,1,0
10000,hunger,0,28,12,1,0
10000,hunger,0,28,20,4,0
10000,hunger,0,28,24,5,0
10000,hunger,0,28,28,7,0
10000,hunger,0,28,32,11,0
10000,hunger,0,28,36,60,0
10000,hunger,0,28,40,80,0
10000,hunger,0,28,44,41,0
10000,hunger,0,28,48,28,0
10000,hunger,0,28,52,56,0
10000,hunger,0,28,56,57,0
10000,hunger,0,28,60,11,0
10000,hunger,0,28,64,1,0
