step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned,rich,plant_rich,plant_thin,pop_rich,hunger_rich,hunger_thin
10000,2122,1.522,1.549,15.11,73419,64547,0,7403,762,958162,1038233.3,559806.8,0.164,0.631,0.109,0.095,96,39.96,19.46,0.63,2.83,8.96,6.68,0.36,2.13,12.73,8.21,0.08,0.52,0.221,0.135,1611,0.013,0.062,0.928,0.002,0.008,158884,136194,8,0.057,0.869,0.059,4329925,0.200,2.861,0.176,81.94,63114,323,0.584,0.183,0.272,9118202,1.17,2.14,0.290,0.607,0.028,15.3,40.3,65.9,185.3,48113,0.184,0.00,0.0038,0.000,35,0.621,0.000,0.451,0.552,3.86,4.96,5.02,0.15,0.059,1.19,1.13,1.19,0.641,0.00294,88.56,38.9069,755.21,93841.8,140122.1,3.159,31.6235,202.243,0.000,1.000,0.230,74.7,89.897,93.230,3722,22261.5,13.93,88.433,6.45,30.194,1150.4,13.525,0.133,2.00,7.4941,15902.6,0.5012,0.3385,22.67,1.765,0.295,1.5345,0.0000,0.422,0.163,0.311,0.0000,5.52,0.85,9,23,36,94,85.0934,0.0156,0.4623,0.0000,0.0000,46.7600,100.00,75.7394,385.5690,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0030,0.0013,0.000004,6,0.3083,0.0250,0.0283,64,211,573,0.0000,0.0000,0.0136,0.043,2.3058,0.0261,0.8247,0.0226,0.2969,0.0635,0.0000,0.00015,0.633,0.0158,0.280,0.087,0.26,0.059,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8428,0.0000,1.4942,0.00000,0.05207,1.0000,1.0000,0.3752,2.141,1.007,0.5283,2.6719,3.7828
20000,2043,1.335,1.600,17.49,41532,35489,0,5878,241,471779,420845.7,226116.6,0.124,0.742,0.092,0.043,114,29.70,15.96,0.63,2.35,7.52,6.12,0.04,0.55,9.74,9.23,0.04,0.32,0.262,0.176,1540,0.014,0.052,0.913,0.005,0.029,55224,42534,4,0.587,0.278,0.010,546922,0.259,2.893,0.181,39.47,29051,239,0.479,0.251,0.342,4111505,1.18,3.11,0.120,0.605,0.024,10.0,29.5,48.0,161.8,36623,0.140,0.00,0.0021,0.000,25,0.462,0.000,0.405,0.301,3.55,4.74,4.71,0.17,0.076,1.22,1.14,1.19,0.481,0.00232,13.08,9.6488,990.98,97582.1,140122.1,0.623,10.3045,86.832,0.000,1.000,0.211,57.1,38.611,38.038,3849,22900.9,17.69,33.046,5.64,9.075,1130.0,2.798,0.134,2.00,6.0378,12335.3,0.5448,0.3615,17.93,1.725,0.387,0.4655,0.0000,0.310,0.219,0.287,0.0000,5.50,0.80,6,16,35,81,35.3015,0.0009,0.4298,0.0000,0.0000,13.7508,100.00,96.1023,290.7189,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0032,0.0014,0.000004,3,0.1250,0.0157,0.0199,59,183,553,0.0000,0.0000,0.0123,0.028,1.7281,0.0135,0.6857,0.1018,0.4096,0.0643,0.0000,0.00005,0.673,0.0326,0.244,0.063,0.03,0.010,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7852,0.0000,1.2538,0.00000,0.06687,1.0000,1.0000,0.3875,2.202,1.007,0.5399,1.6204,1.9285
30000,2145,1.031,1.204,18.28,117381,92837,0,23446,992,1274893,970491.1,685151.7,0.127,0.683,0.134,0.056,73,29.68,14.63,0.98,2.78,6.03,4.93,0.17,0.97,13.05,8.33,0.31,0.95,0.209,0.145,1565,0.037,0.056,0.924,0.004,0.016,180556,133847,8,0.152,0.644,0.047,712050,0.197,2.518,0.130,87.39,99700,215,0.537,0.256,0.178,12281848,1.27,1.58,0.297,0.603,0.115,13.2,29.3,46.6,134.6,43406,0.166,0.00,0.0035,0.000,39,0.556,0.000,0.502,0.373,3.58,4.71,4.71,0.53,0.200,1.38,1.14,1.29,0.579,0.00387,73.59,31.8704,554.88,99721.5,140122.1,10.373,29.4758,203.644,0.000,1.000,0.297,75.1,85.700,108.224,3064,17101.0,15.72,80.600,5.02,27.567,706.8,11.042,0.133,2.01,7.9767,17109.9,0.5574,0.3938,20.24,1.481,0.414,1.5345,0.0000,0.400,0.265,0.538,0.0000,5.11,0.87,9,19,34,77,79.1281,0.0031,0.5166,0.0000,0.0000,51.8338,100.00,75.1788,401.7000,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0013,0.000006,4,0.2190,0.0438,0.0146,52,177,518,0.0000,0.0000,0.0149,0.033,4.1388,0.0146,1.8576,0.0401,0.3383,0.1220,0.0000,0.00036,0.255,0.0050,0.367,0.096,0.17,0.047,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9476,0.0000,1.6712,0.00000,0.04008,1.0000,1.0000,0.3724,1.686,0.796,0.6042,4.2068,5.0769
40000,1800,1.285,1.284,13.34,33882,31736,0,2395,75,259921,436980.3,155378.7,0.068,0.659,0.200,0.073,127,36.43,16.42,0.73,2.48,8.80,6.60,0.05,0.38,12.13,7.27,0.04,0.33,0.240,0.132,1364,0.021,0.060,0.933,0.001,0.007,43136,34486,8,0.474,0.155,0.023,449796,0.170,2.601,0.140,41.92,21653,399,0.598,0.210,0.237,3689098,1.22,1.87,0.276,0.654,0.023,14.4,36.5,57.5,160.2,39070,0.149,0.00,0.0020,0.000,27,0.459,0.000,0.429,0.287,3.83,4.92,4.95,0.30,0.113,1.22,1.22,1.23,0.470,0.00211,14.68,7.2413,650.84,99640.3,140122.1,0.817,5.3185,89.016,0.000,1.000,0.225,63.3,41.112,40.715,3205,18283.0,16.21,33.347,5.20,4.514,730.8,1.949,0.137,2.00,8.7540,15757.2,0.5741,0.4267,21.71,1.626,0.220,0.4655,0.0000,0.636,0.110,0.852,0.0000,5.40,0.66,9,23,35,91,38.5637,0.0038,0.4861,0.0000,0.0000,13.5743,100.00,99.6299,300.1372,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0028,0.0013,0.000003,21,0.3240,0.0339,0.0379,69,199,751,0.0000,0.0000,0.0118,0.024,0.6534,0.0436,0.3194,0.0289,0.4182,0.0641,0.0000,0.00024,0.279,0.0033,0.734,0.151,0.05,0.023,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6905,0.0000,0.8723,0.00000,0.06563,1.0000,1.0000,0.3788,1.881,0.784,0.5911,1.6877,1.4859
50000,1938,1.573,2.286,26.70,93442,74188,0,18604,508,1383787,936267.2,738421.1,0.108,0.739,0.126,0.027,74,44.28,26.99,1.17,3.92,8.44,7.68,0.07,0.65,11.33,8.49,0.08,0.49,0.195,0.135,1465,0.025,0.048,0.933,0.001,0.018,145014,106375,3,0.070,0.874,0.023,315988,0.160,3.377,0.264,84.65,77383,274,0.534,0.187,0.269,11989637,1.37,1.92,0.337,0.608,0.036,16.0,40.0,74.0,290.0,40732,0.155,0.00,0.0043,0.000,39,0.568,0.000,0.549,0.381,3.50,4.71,4.81,0.26,0.108,1.36,1.31,1.42,0.591,0.00515,70.86,31.6667,762.36,82249.6,140122.1,9.998,34.9795,198.288,0.000,1.000,0.176,65.5,82.183,103.834,5243,33468.9,14.24,77.600,5.33,34.248,2136.0,12.881,0.135,2.00,8.0457,15592.5,0.5887,0.4080,21.02,1.999,0.015,1.5345,0.0000,0.905,0.095,0.992,0.0000,5.24,1.11,8,19,36,82,74.2403,0.0049,0.4814,0.0000,0.0000,52.6201,100.00,70.0158,384.6461,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0028,0.0012,0.000008,4,0.2019,0.0232,0.0185,59,205,581,0.0000,0.0000,0.0065,0.014,2.9287,0.0106,1.2684,0.0237,0.3361,0.1144,0.0000,-0.00001,0.995,0.0848,0.982,0.749,0.07,0.023,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9477,0.0000,1.6745,0.00000,0.03721,1.0000,1.0000,0.3621,2.904,1.657,0.5165,3.2525,4.1663
60000,1879,1.639,1.689,30.04,29747,26684,0,2918,183,287670,415365.2,166224.5,0.070,0.719,0.176,0.036,95,47.91,26.40,0.54,2.50,8.91,7.54,0.10,1.16,13.91,10.32,0.01,0.09,0.185,0.121,1342,0.030,0.056,0.921,0.001,0.021,36942,28301,5,0.509,0.258,0.014,180621,0.207,2.971,0.194,37.50,23921,311,0.578,0.250,0.146,3750227,1.15,1.89,0.310,0.543,0.004,18.0,48.0,80.0,288.0,44081,0.168,0.00,0.0016,0.000,26,0.494,0.000,0.419,0.273,3.90,5.04,5.06,0.10,0.048,1.10,1.20,1.16,0.506,0.00221,11.46,8.3296,730.81,84480.1,140122.1,0.258,12.5901,82.088,0.000,1.000,0.138,64.7,37.362,37.027,4085,24662.4,22.72,33.843,5.64,12.226,1106.3,3.432,0.136,1.99,12.2545,23026.2,0.7202,0.4176,23.46,2.000,0.000,0.4655,0.0000,0.910,0.070,0.997,0.0000,5.52,0.98,9,24,36,144,34.4760,0.0000,0.4513,0.0000,0.0000,13.9828,100.00,86.7748,261.0150,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0027,0.0012,0.000004,21,0.3075,0.0782,0.0325,68,219,658,0.0000,0.0000,0.0128,0.032,0.6313,0.0468,0.2853,0.0506,0.4137,0.0417,0.0000,-0.00009,0.998,0.0923,0.997,0.907,0.06,0.014,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8265,0.0000,1.3422,0.00000,0.04562,1.0000,1.0000,0.3636,2.319,1.152,0.5625,1.3124,1.3560
70000,2132,1.134,1.327,32.29,57170,49227,0,7007,344,527612,958607.6,384451.3,0.050,0.735,0.168,0.048,76,42.86,18.76,0.29,1.68,8.24,5.48,0.04,0.78,12.59,6.70,0.02,0.25,0.191,0.100,1286,0.029,0.069,0.926,0.000,0.005,83246,60107,14,0.194,0.099,0.008,256348,0.241,2.604,0.146,85.80,56111,384,0.729,0.212,0.052,12153474,1.10,1.13,0.379,0.485,0.011,18.0,46.0,64.0,176.0,45105,0.172,0.00,0.0036,0.000,17,0.625,0.000,0.394,0.350,3.78,4.81,4.82,0.08,0.038,1.08,1.11,1.10,0.635,0.00359,74.57,24.4951,1055.04,70193.5,140122.1,16.150,24.6633,192.825,0.000,1.000,0.046,75.7,85.287,112.012,3411,18851.5,19.42,77.885,5.20,25.578,491.0,11.227,0.135,2.00,20.5716,43858.7,1.2898,0.4625,21.16,2.000,0.000,1.5345,0.0000,0.940,0.063,0.999,0.0000,5.10,0.85,9,23,31,88,79.9792,0.0111,0.5366,0.0000,0.0000,49.5268,100.00,59.9261,384.4976,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0020,0.0008,0.000004,339,2.4025,0.2795,0.0595,70,231,902,0.0000,0.0000,0.0120,0.024,1.1368,0.5723,0.7970,0.1008,0.3012,0.0757,0.0000,-0.00003,1.000,0.0940,1.000,0.959,0.02,0.008,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9683,0.0000,1.7026,0.00000,0.04005,1.0000,1.0000,0.3664,1.749,0.935,0.5685,2.3960,2.5267
80000,2007,1.185,1.217,31.69,18385,17122,0,667,110,75504,443725.8,100933.6,0.025,0.715,0.229,0.032,113,41.15,16.25,0.24,1.25,7.34,4.49,0.03,0.47,12.74,6.51,0.01,0.11,0.178,0.094,1145,0.026,0.078,0.909,0.001,0.012,19013,14726,6,0.336,0.114,0.007,73423,0.221,2.484,0.134,42.47,14177,343,1.337,0.258,0.036,4112522,1.06,0.76,0.406,0.425,0.004,22.0,44.0,58.0,184.0,40838,0.156,0.00,0.0017,0.000,20,0.476,0.000,0.245,0.180,3.70,4.71,4.74,0.05,0.028,1.06,1.07,1.06,0.479,0.00188,13.96,12.8603,825.48,73754.5,140122.1,0.345,8.5217,87.145,0.000,1.000,0.002,61.4,38.812,42.384,3219,17314.6,21.05,35.498,4.98,4.507,357.5,1.853,0.139,1.99,21.0908,42329.2,1.3052,0.4098,20.35,2.000,0.000,0.4655,0.0000,0.960,0.049,1.000,0.0000,4.92,0.80,11,22,29,92,36.6290,0.0082,0.4704,0.0000,0.0000,13.8058,100.00,85.9937,239.4003,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0015,0.0007,0.000002,611,2.6105,0.2327,0.1362,78,239,2202,0.0000,0.0000,0.0149,0.035,0.1750,0.7739,0.4358,0.0623,0.4351,0.0434,0.0000,-0.00009,1.000,0.0915,1.000,0.948,0.02,0.007,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9597,0.0000,1.6542,0.00000,0.05880,1.0000,1.0000,0.3637,1.600,0.885,0.5745,0.8856,0.8266
90000,2569,0.939,1.034,32.15,38737,34586,0,1317,339,150776,1004443.8,297369.6,0.017,0.703,0.256,0.024,92,34.35,14.35,0.30,1.58,6.11,3.63,0.04,0.78,10.45,5.03,0.05,0.33,0.179,0.090,1420,0.095,0.062,0.931,0.001,0.007,50225,35871,7,0.555,0.067,0.004,122114,0.226,2.298,0.110,95.46,34079,335,1.972,0.255,0.043,12003390,1.10,1.09,0.404,0.486,0.022,14.0,32.0,50.0,116.0,43404,0.166,0.00,0.0037,0.000,20,0.568,0.000,0.295,0.282,3.25,4.25,4.30,0.09,0.040,1.11,1.07,1.11,0.570,0.00264,78.68,39.5184,1543.01,61994.7,140122.1,20.679,18.9352,200.918,0.000,1.000,0.039,77.5,83.963,128.031,2740,13753.7,34.69,81.575,4.71,8.616,193.4,5.478,0.134,2.00,22.1608,56931.0,1.7176,0.4112,16.90,2.000,0.000,1.5345,0.0000,0.976,0.028,1.000,0.0000,4.55,0.61,7,16,25,52,79.9563,0.0438,0.5220,0.0000,0.0000,47.3926,100.00,45.5186,376.7494,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0012,0.0005,0.000002,1933,7.3257,0.3511,0.1573,78,233,3198,0.0000,0.0000,0.0134,0.029,0.3676,2.0008,1.1828,0.1035,0.3587,0.0676,0.0000,0.00001,1.000,0.0951,1.000,0.956,0.02,0.004,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0249,0.0000,1.6575,0.00000,0.04811,1.0000,1.0000,0.3759,1.369,0.663,0.5730,1.7220,1.7366
100000,2044,1.232,1.032,31.84,18853,17836,0,456,146,64044,452003.4,118275.7,0.016,0.702,0.260,0.022,123,40.77,14.85,0.52,2.31,7.03,3.99,0.00,0.08,12.32,5.04,0.07,0.46,0.173,0.086,1021,0.105,0.086,0.902,0.001,0.011,19543,14160,10,0.430,0.069,0.002,23340,0.210,2.273,0.111,43.86,14220,355,1.847,0.239,0.044,4278486,1.18,0.80,0.477,0.428,0.032,22.0,46.0,50.0,142.0,40612,0.155,0.00,0.0018,0.000,32,0.450,0.000,0.239,0.168,3.59,4.56,4.60,0.12,0.048,1.22,1.10,1.21,0.452,0.00180,14.93,15.9678,821.24,71059.9,140122.1,0.427,8.7529,90.469,0.000,1.000,0.090,59.2,39.206,43.180,2820,14392.9,19.05,35.830,4.60,3.194,226.8,1.405,0.138,2.00,23.4373,47905.9,1.4326,0.4343,19.87,2.000,0.000,0.4655,0.0000,0.982,0.018,1.000,0.0000,4.78,0.62,10,23,25,64,37.1608,0.0166,0.4604,0.0000,0.0000,13.1502,100.00,85.1496,266.0974,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0014,0.0006,0.000002,940,3.1756,0.2446,0.1626,80,237,3226,0.0000,0.0000,0.0074,0.016,0.1198,0.7704,0.4873,0.0558,0.4603,0.0473,0.0000,0.00006,0.999,0.0958,1.000,0.939,0.00,0.002,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0047,0.0000,1.5799,0.00000,0.05319,1.0000,1.0000,0.3721,1.435,0.692,0.6248,0.9680,0.8156
